date,TES,MRE,Total Arrivées
01/2025,624848.0,640349.0,1265197
02/2025,761377.0,634800.0,1396177
03/2025,768739.0,583272.0,1352011
04/2025,966724.0,698077.0,1664801
05/2025,,,154004
06/2025,,,1665206
01/2024,494208.0,498333.0,992541
02/2024,642733.0,505266.0,1147999
03/2024,691026.0,466481.0,1157507
04/2024,754100.0,554558.0,1308658
05/2024,767212.0,564022.0,1331234
06/2024,683375.0,820357.0,1503732
07/2024,860187.0,1695181.0,2555368
08/2024,829406.0,987216.0,1816622
09/2024,699434.0,581667.0,1281101
10/2024,871449.0,627666.0,1499115
11/2024,720467.0,559671.0,1280138
12/2024,784192.0,753742.0,1537934
01/2023,444408.0,454921.0,899329
02/2023,541643.0,431759.0,973402
03/2023,597667.0,452682.0,1050349
04/2023,654928.0,461646.0,1116574
05/2023,630077.0,495899.0,1125976
06/2023,598308.0,769109.0,1367417
07/2023,752207.0,1378778.0,2130985
08/2023,616143.0,878037.0,1494180
09/2023,500010.0,463775.0,963785
10/2023,651793.0,499229.0,1151022
11/2023,526626.0,450423.0,977049
12/2023,636217.0,638475.0,1274692
01/2022,2774.0,8131.0,10905
02/2022,120051.0,201221.0,321272
03/2022,241920.0,291852.0,533772
04/2022,343246.0,243339.0,586585
05/2022,436416.0,364763.0,801179
06/2022,520182.0,623431.0,1143613
07/2022,689139.0,1401567.0,2090706
08/2022,510183.0,804583.0,1314766
09/2022,475089.0,421665.0,896754
10/2022,636775.0,481796.0,1118571
11/2022,494013.0,403395.0,897408
12/2022,594992.0,558340.0,1153332
01/2021,50534.0,141327.0,191861
02/2021,32686.0,89018.0,121704
03/2021,36989.0,79401.0,116390
04/2021,14222.0,15995.0,30217
05/2021,21995.0,19013.0,41008
06/2021,100985.0,239980.0,340965
07/2021,264761.0,712576.0,977337
08/2021,188453.0,469074.0,657527
09/2021,142806.0,195222.0,338028
10/2021,248642.0,261324.0,509966
11/2021,178544.0,204872.0,383416
12/2021,3718.0,9565.0,13283
01/2019,479056.0,312835.0,791891
02/2019,518846.0,284190.0,803036
03/2019,598406.0,312842.0,911248
04/2019,689215.0,388604.0,1077819
05/2019,475117.0,249014.0,724131
06/2019,600091.0,492341.0,1092432
07/2019,733880.0,1410644.0,2144524
08/2019,662760.0,1059321.0,1722081
09/2019,535809.0,347983.0,883792
10/2019,657350.0,314861.0,972211
