date,mm_yy,categorie,nuitees
2018-01-01,01/18,Agadir-Taghazout,443587
2018-01-01,01/18,Casablanca,166947
2018-01-01,01/18,El Jadida-Mazagan,39960
2018-01-01,01/18,Essaouira-Mogador,27349
2018-01-01,01/18,Fès,70026
2018-01-01,01/18,Marrakech,514450
2018-01-01,01/18,Meknès,16348
2018-01-01,01/18,Ouarzazate,24255
2018-01-01,01/18,Oujda-Angad,13346
2018-01-01,01/18,Rabat,53874
2018-01-01,01/18,Saïdia,0
2018-01-01,01/18,Tanger,86330
2018-01-01,01/18,Tétouan,20774
2018-02-01,02/18,Agadir-Taghazout,408308
2018-02-01,02/18,Casablanca,163557
2018-02-01,02/18,El Jadida-Mazagan,39008
2018-02-01,02/18,Essaouira-Mogador,30490
2018-02-01,02/18,Fès,77263
2018-02-01,02/18,Marrakech,529945
2018-02-01,02/18,Meknès,20046
2018-02-01,02/18,Ouarzazate,28749
2018-02-01,02/18,Oujda-Angad,15110
2018-02-01,02/18,Rabat,60759
2018-02-01,02/18,Saïdia,0
2018-02-01,02/18,Tanger,74781
2018-02-01,02/18,Tétouan,23611
2018-03-01,03/18,Agadir-Taghazout,444742
2018-03-01,03/18,Casablanca,190172
2018-03-01,03/18,El Jadida-Mazagan,23725
2018-03-01,03/18,Essaouira-Mogador,48939
2018-03-01,03/18,Fès,112736
2018-03-01,03/18,Marrakech,698945
2018-03-01,03/18,Meknès,25251
2018-03-01,03/18,Ouarzazate,42359
2018-03-01,03/18,Oujda-Angad,13078
2018-03-01,03/18,Rabat,73043
2018-03-01,03/18,Saïdia,0
2018-03-01,03/18,Tanger,100313
2018-03-01,03/18,Tétouan,26279
2018-04-01,04/18,Agadir-Taghazout,450023
2018-04-01,04/18,Casablanca,202499
2018-04-01,04/18,El Jadida-Mazagan,30696
2018-04-01,04/18,Essaouira-Mogador,51246
2018-04-01,04/18,Fès,176635
2018-04-01,04/18,Marrakech,833829
2018-04-01,04/18,Meknès,30110
2018-04-01,04/18,Ouarzazate,57014
2018-04-01,04/18,Oujda-Angad,20182
2018-04-01,04/18,Rabat,78980
2018-04-01,04/18,Saïdia,17090
2018-04-01,04/18,Tanger,124662
2018-04-01,04/18,Tétouan,31703
2018-05-01,05/18,Agadir-Taghazout,392555
2018-05-01,05/18,Casablanca,175132
2018-05-01,05/18,El Jadida-Mazagan,16907
2018-05-01,05/18,Essaouira-Mogador,45533
2018-05-01,05/18,Fès,96427
2018-05-01,05/18,Marrakech,518155
2018-05-01,05/18,Meknès,15067
2018-05-01,05/18,Ouarzazate,39454
2018-05-01,05/18,Oujda-Angad,12211
2018-05-01,05/18,Rabat,68205
2018-05-01,05/18,Saïdia,11807
2018-05-01,05/18,Tanger,84741
2018-05-01,05/18,Tétouan,27571
2018-06-01,06/18,Agadir-Taghazout,412960
2018-06-01,06/18,Casablanca,129945
2018-06-01,06/18,El Jadida-Mazagan,20928
2018-06-01,06/18,Essaouira-Mogador,33248
2018-06-01,06/18,Fès,76637
2018-06-01,06/18,Marrakech,509068
2018-06-01,06/18,Meknès,11932
2018-06-01,06/18,Ouarzazate,18115
2018-06-01,06/18,Oujda-Angad,13984
2018-06-01,06/18,Rabat,25539
2018-06-01,06/18,Saïdia,56704
2018-06-01,06/18,Tanger,84257
2018-06-01,06/18,Tétouan,26767
2018-07-01,07/18,Agadir-Taghazout,702907
2018-07-01,07/18,Casablanca,167589
2018-07-01,07/18,El Jadida-Mazagan,42113
2018-07-01,07/18,Essaouira-Mogador,41602
2018-07-01,07/18,Fès,107177
2018-07-01,07/18,Marrakech,647041
2018-07-01,07/18,Meknès,17085
2018-07-01,07/18,Ouarzazate,17925
2018-07-01,07/18,Oujda-Angad,18357
2018-07-01,07/18,Rabat,65896
2018-07-01,07/18,Saïdia,92322
2018-07-01,07/18,Tanger,138409
2018-07-01,07/18,Tétouan,22316
2018-08-01,08/18,Agadir-Taghazout,850111
2018-08-01,08/18,Casablanca,149593
2018-08-01,08/18,El Jadida-Mazagan,63524
2018-08-01,08/18,Essaouira-Mogador,65259
2018-08-01,08/18,Fès,82562
2018-08-01,08/18,Marrakech,851557
2018-08-01,08/18,Meknès,21123
2018-08-01,08/18,Ouarzazate,23818
2018-08-01,08/18,Oujda-Angad,17800
2018-08-01,08/18,Rabat,69601
2018-08-01,08/18,Saïdia,119604
2018-08-01,08/18,Tanger,190498
2018-08-01,08/18,Tétouan,20758
2018-09-01,09/18,Agadir-Taghazout,533622
2018-09-01,09/18,Casablanca,176730
2018-09-01,09/18,El Jadida-Mazagan,29305
2018-09-01,09/18,Essaouira-Mogador,43222
2018-09-01,09/18,Fès,93425
2018-09-01,09/18,Marrakech,677281
2018-09-01,09/18,Meknès,18418
2018-09-01,09/18,Ouarzazate,31590
2018-09-01,09/18,Oujda-Angad,14490
2018-09-01,09/18,Rabat,79332
2018-09-01,09/18,Saïdia,70498
2018-09-01,09/18,Tanger,132045
2018-09-01,09/18,Tétouan,10827
2018-10-01,10/18,Agadir-Taghazout,477950
2018-10-01,10/18,Casablanca,199331
2018-10-01,10/18,El Jadida-Mazagan,29129
2018-10-01,10/18,Essaouira-Mogador,58078
2018-10-01,10/18,Fès,125035
2018-10-01,10/18,Marrakech,771184
2018-10-01,10/18,Meknès,25032
2018-10-01,10/18,Ouarzazate,47809
2018-10-01,10/18,Oujda-Angad,15434
2018-10-01,10/18,Rabat,79323
2018-10-01,10/18,Saïdia,12918
2018-10-01,10/18,Tanger,119808
2018-10-01,10/18,Tétouan,12094
2018-11-01,11/18,Agadir-Taghazout,398438
2018-11-01,11/18,Casablanca,176061
2018-11-01,11/18,El Jadida-Mazagan,21602
2018-11-01,11/18,Essaouira-Mogador,37556
2018-11-01,11/18,Fès,93054
2018-11-01,11/18,Marrakech,651661
2018-11-01,11/18,Meknès,23760
2018-11-01,11/18,Ouarzazate,33659
2018-11-01,11/18,Oujda-Angad,13479
2018-11-01,11/18,Rabat,66772
2018-11-01,11/18,Saïdia,2241
2018-11-01,11/18,Tanger,97568
2018-11-01,11/18,Tétouan,8751
2018-12-01,12/18,Agadir-Taghazout,383551
2018-12-01,12/18,Casablanca,167063
2018-12-01,12/18,El Jadida-Mazagan,21018
2018-12-01,12/18,Essaouira-Mogador,36730
2018-12-01,12/18,Fès,76573
2018-12-01,12/18,Marrakech,605997
2018-12-01,12/18,Meknès,19208
2018-12-01,12/18,Ouarzazate,28481
2018-12-01,12/18,Oujda-Angad,14194
2018-12-01,12/18,Rabat,65826
2018-12-01,12/18,Saïdia,68
2018-12-01,12/18,Tanger,92096
2018-12-01,12/18,Tétouan,8646
