Date,casablanca airport
2010-01,61
2010-02,58
2010-03,66
2010-04,97
2010-05,86
2010-06,50
2010-07,63
2010-08,61
2010-09,57
2010-10,61
2010-11,50
2010-12,69
2011-01,57
2011-02,66
2011-03,47
2011-04,48
2011-05,41
2011-06,50
2011-07,57
2011-08,47
2011-09,50
2011-10,43
2011-11,38
2011-12,38
2012-01,44
2012-02,52
2012-03,47
2012-04,49
2012-05,44
2012-06,47
2012-07,46
2012-08,55
2012-09,47
2012-10,46
2012-11,44
2012-12,43
2013-01,51
2013-02,46
2013-03,52
2013-04,52
2013-05,51
2013-06,51
2013-07,53
2013-08,52
2013-09,52
2013-10,56
2013-11,50
2013-12,49
2014-01,50
2014-02,48
2014-03,55
2014-04,58
2014-05,49
2014-06,48
2014-07,51
2014-08,58
2014-09,55
2014-10,52
2014-11,49
2014-12,48
2015-01,46
2015-02,46
2015-03,54
2015-04,52
2015-05,51
2015-06,47
2015-07,60
2015-08,56
2015-09,52
2015-10,48
2015-11,43
2015-12,45
2016-01,49
2016-02,46
2016-03,51
2016-04,48
2016-05,52
2016-06,48
2016-07,61
2016-08,55
2016-09,57
2016-10,58
2016-11,51
2016-12,51
2017-01,59
2017-02,59
2017-03,69
2017-04,74
2017-05,62
2017-06,50
2017-07,70
2017-08,71
2017-09,64
2017-10,68
2017-11,60
2017-12,61
2018-01,69
2018-02,63
2018-03,74
2018-04,77
2018-05,59
2018-06,66
2018-07,73
2018-08,74
2018-09,62
2018-10,65
2018-11,60
2018-12,58
2019-01,59
2019-02,60
2019-03,74
2019-04,78
2019-05,65
2019-06,84
2019-07,80
2019-08,80
2019-09,80
2019-10,75
2019-11,71
2019-12,78
2020-01,81
2020-02,72
2020-03,56
2020-04,18
2020-05,18
2020-06,20
2020-07,29
2020-08,25
2020-09,24
2020-10,21
2020-11,21
2020-12,26
2021-01,25
2021-02,24
2021-03,25
2021-04,25
2021-05,25
2021-06,46
2021-07,43
2021-08,41
2021-09,33
2021-10,35
2021-11,40
2021-12,24
2022-01,24
2022-02,42
2022-03,49
2022-04,48
2022-05,64
2022-06,66
2022-07,65
2022-08,62
2022-09,61
2022-10,60
2022-11,55
2022-12,63
2023-01,61
2023-02,64
2023-03,70
2023-04,63
2023-05,78
2023-06,71
2023-07,77
2023-08,69
2023-09,71
2023-10,65
2023-11,57
2023-12,68
2024-01,68
2024-02,71
2024-03,70
2024-04,77
2024-05,75
2024-06,74
2024-07,78
2024-08,83
2024-09,78
2024-10,77
2024-11,71
2024-12,78
2025-01,86
2025-02,80
2025-03,76
2025-04,91
2025-05,90
2025-06,100
