keyword,lag_mois,correlation,pvalue,n_obs
marrakech airport,1,0.79,1.052126301685454e-37,171
marrakech,1,0.786,3.835628867656147e-37,171
marrakech souk,1,0.768,1.600169063130152e-34,171
marrakech souks,1,0.759,2.353307957169778e-33,171
morocco airport,1,0.756,6.354013643619511e-33,171
aeropuerto marrakech,1,0.73,1.0515731305331974e-29,171
best time to visit vietnam,1,0.728,1.573482920125804e-29,171
essaouira,1,0.723,6.1110220026646e-29,171
marrakech to casablanca,1,0.712,9.46579810285602e-28,171
jardin majorelle marrakech,1,0.7,1.5544888877893864e-26,171
flight to thailand,3,0.7,3.538641804055098e-26,169
aeropuerto de marrakech,1,0.687,2.9849113546298295e-25,171
marrakech best of,1,0.682,1.0225061593806594e-24,171
vol marrakech,1,0.682,1.0534166033474093e-24,171
casablanca time,1,0.676,3.466747044673813e-24,171
restaurant marrakech,1,0.676,3.337652955452903e-24,171
marrakech market,1,0.675,4.0058951315213454e-24,171
le jardin marrakech,1,0.673,6.648779021560004e-24,171
aeroport marrakech,1,0.67,1.1735499052479231e-23,171
flight,1,0.67,1.2009245484842644e-23,171
desierto marrakech,1,0.67,1.1923365827090513e-23,171
ouzoud waterfalls marrakech,1,0.667,2.1124138704341092e-23,171
google flight,1,0.653,3.718262940496707e-22,171
flights to casablanca morocco,1,0.65,6.521367746492355e-22,171
places to visit in morocco,2,0.648,1.2138413603725672e-21,170
cmn airport,1,0.646,1.4661603569677864e-21,171
riad,2,0.646,1.7316725014004744e-21,170
best hotel marrakech,1,0.645,1.7687861632321253e-21,171
medina marrakech,1,0.641,3.8919244118357504e-21,171
marrakech itinerary,1,0.635,9.95372073510916e-21,171
bilbao marrakech,1,0.634,1.421119998795926e-20,171
tangier,1,0.632,1.8189728845722598e-20,171
nomad marrakech,1,0.631,2.0545353639996956e-20,171
malaga marrakech,1,0.631,2.0878280955106046e-20,171
la marrakech,1,0.627,4.7674896906562664e-20,171
is morocco safe to visit,3,0.626,8.959809624169675e-20,169
villa marrakech,2,0.624,1.0136530764161713e-19,170
paris marrakech vol,1,0.62,1.506464986632628e-19,171
que ver en marrakech,1,0.62,1.6106066797433677e-19,171
hora marrakech,1,0.617,2.4088253805759966e-19,171
casablanca morocco,3,0.616,4.596727403327319e-19,169
vuelo a marrakech,1,0.615,3.7251651255746193e-19,171
bordeaux marrakech,1,0.613,5.021769666346805e-19,171
merzouga tour,1,0.612,6.295526185080475e-19,171
nobu marrakech,2,0.608,1.389296822015418e-18,170
marrakech que ver,1,0.604,2.2974581188106683e-18,171
morocco weather by month,9,0.602,1.874394048046169e-17,163
morocco itinerary,1,0.602,3.0764277587972747e-18,171
casablanca tshirt,12,0.6,5.434892077554093e-17,160
restaurant riad marrakech,1,0.598,5.671097264887079e-18,171
best time to visit morocco weather,1,0.597,6.874678574519738e-18,171
tajine marrakech,1,0.597,7.37300318240508e-18,171
free tour marrakech,1,0.596,7.913902484953526e-18,171
marrakech weather by month,6,0.595,2.88096713689933e-17,166
civitatis marrakech,1,0.595,9.166390429101006e-18,171
best time to go to morocco,2,0.594,1.4207032205798558e-17,170
barcelona marrakech,1,0.593,1.3123508673856413e-17,171
best riad marrakech,2,0.593,1.651117008990508e-17,170
casablanca shirt,12,0.593,1.3753839729170473e-16,160
longue vie hotel marrakech,2,0.593,1.6107003264733433e-17,170
lisbon to marrakech flights,1,0.59,2.1882700806811085e-17,171
things to do in morocco marrakech,1,0.589,2.240496142426524e-17,171
what to visit in morocco,2,0.589,3.174774793242719e-17,170
restaurant in morocco,3,0.589,3.779872610612929e-17,169
le marrakech,1,0.587,3.0969345905466616e-17,171
paris marrakech,1,0.587,3.3496724866794094e-17,171
travel insurance,1,0.585,4.549574877691703e-17,171
la trattoria marrakech,1,0.584,5.357655651963344e-17,171
agadir flights,1,0.583,6.310204975026962e-17,171
hora en marrakech,1,0.582,6.905340533414025e-17,171
casablanca t shirt,12,0.58,8.986798961782628e-16,160
nobu hotel marrakech,2,0.577,1.6787269022225627e-16,170
sol oasis marrakech,11,0.576,1.2240261020107321e-15,161
best places to visit in morocco,1,0.574,2.1936166180356887e-16,171
morocco trip itinerary,3,0.574,3.5234380507792474e-16,169
covid pcr test for travel near me,1,-0.573,2.533672822754536e-16,171
what is a riad marrakech,2,0.573,3.239983473617756e-16,170
booking flights,1,0.573,2.4770331995908623e-16,171
viaje marrakech,1,0.57,4.1340347002520237e-16,171
