Date,marrakech_lag_1,TES,MRE,Total Arrivées,Nuité,Taux d'occupation
01-2010,,291608.0,216485.0,508093,,
02-2010,56.0,327017.0,214346.0,541363,,
03-2010,61.0,437338.0,234940.0,672278,,
04-2010,62.0,432338.0,232737.0,665075,,
05-2010,60.0,430974.0,241339.0,672313,,
06-2010,55.0,431246.0,461253.0,892499,,
07-2010,54.0,509173.0,1139837.0,1649010,,
08-2010,56.0,404345.0,474552.0,878897,,
09-2010,53.0,393909.0,276371.0,670280,,
10-2010,56.0,488256.0,252161.0,740417,,
11-2010,53.0,372583.0,322419.0,695002,,
12-2010,49.0,391648.0,311463.0,703111,,
01-2011,55.0,347822.0,238691.0,586513,1285171.0,
02-2011,57.0,382407.0,215674.0,598081,1287995.0,
03-2011,49.0,407232.0,241264.0,648496,1436477.0,
04-2011,48.0,500811.0,283161.0,783972,1696037.0,
05-2011,74.0,381295.0,262433.0,643728,1324788.0,
06-2011,53.0,424473.0,516809.0,941282,1294143.0,
07-2011,48.0,520225.0,1068449.0,1588674,1969759.0,
08-2011,51.0,395222.0,401943.0,797165,1315792.0,
09-2011,46.0,393646.0,289568.0,683214,1552365.0,
10-2011,55.0,451442.0,294302.0,745744,1503095.0,
11-2011,49.0,340267.0,287262.0,627529,1084808.0,
12-2011,45.0,389041.0,308694.0,697735,1116792.0,
01-2012,48.0,305247.0,227783.0,533030,1073849.0,32.0
02-2012,51.0,339974.0,230028.0,570002,1199252.0,37.0
03-2012,52.0,406796.0,235426.0,642222,1306297.0,38.0
04-2012,50.0,477277.0,296495.0,773772,1675203.0,46.0
05-2012,56.0,411668.0,249701.0,661369,1470336.0,41.0
06-2012,50.0,466273.0,487026.0,953299,1465909.0,41.0
07-2012,50.0,504471.0,811865.0,1316336,1702036.0,42.0
08-2012,57.0,474003.0,659373.0,1133376,1822884.0,42.0
09-2012,53.0,408814.0,285529.0,694343,1722651.0,46.0
10-2012,54.0,465188.0,355935.0,821123,1533702.0,41.0
11-2012,49.0,353943.0,214977.0,568920,1303983.0,38.0
12-2012,46.0,398075.0,309289.0,707364,1209277.0,34.0
01-2013,51.0,309813.0,240686.0,550499,1220383.0,35.0
02-2013,54.0,340481.0,210732.0,551213,1184176.0,38.0
03-2013,56.0,455991.0,246794.0,702785,1551862.0,43.0
04-2013,61.0,466638.0,287268.0,753906,1749955.0,48.0
05-2013,57.0,451501.0,270655.0,722156,1699540.0,46.0
06-2013,57.0,466513.0,439863.0,906376,1674401.0,46.0
07-2013,58.0,495939.0,814978.0,1310917,1368256.0,35.0
08-2013,58.0,543236.0,987485.0,1530721,2328836.0,54.0
09-2013,61.0,444438.0,301238.0,745676,1836892.0,50.0
10-2013,58.0,500574.0,359073.0,859647,1695657.0,44.0
11-2013,54.0,391344.0,230610.0,621954,1397315.0,41.0
12-2013,56.0,456865.0,333549.0,790414,1406493.0,39.0
01-2014,58.0,354493.0,248723.0,603216,1333413.0,
02-2014,65.0,395875.0,229398.0,625273,1366815.0,
03-2014,61.0,471088.0,255671.0,726759,1646762.0,
04-2014,59.0,553296.0,301739.0,855035,1962531.0,
05-2014,63.0,480992.0,279261.0,760253,1807977.0,
06-2014,59.0,456995.0,414124.0,871119,1601789.0,
07-2014,56.0,498176.0,997612.0,1495788,1270630.0,
08-2014,56.0,514785.0,905769.0,1420554,2532476.0,
09-2014,63.0,431151.0,326470.0,757621,1804323.0,
10-2014,60.0,483134.0,311458.0,794592,1703179.0,
11-2014,53.0,373381.0,239901.0,613282,1353341.0,
12-2014,52.0,424087.0,335365.0,759452,1250239.0,
01-2015,57.0,329830.0,275000.0,604830,1225147.0,34.0
02-2015,56.0,369286.0,244977.0,614263,1261998.0,39.0
03-2015,57.0,451461.0,275502.0,726963,1503012.0,41.0
04-2015,59.0,521785.0,299405.0,821190,1780506.0,47.0
05-2015,60.0,466305.0,297394.0,763699,1692343.0,45.0
06-2015,57.0,385871.0,395335.0,781206,1202842.0,33.0
07-2015,61.0,515054.0,1198637.0,1713691,1477294.0,35.0
08-2015,57.0,458999.0,797515.0,1256514,2477886.0,55.0
09-2015,58.0,434775.0,393836.0,828611,1614269.0,42.0
10-2015,55.0,468856.0,267264.0,736120,1649545.0,43.0
11-2015,56.0,346872.0,242645.0,589517,1309674.0,37.0
12-2015,48.0,402610.0,337548.0,740158,1229735.0,33.0
