city,place name,note,review title,positive_text,negative_text
Marrakech,"Riad L'EncensOriental
Une nouvelle fenêtre va s'ouvrir", 10,Exceptionnel,"Ce nouveau riad  dès qu' on rentre  on se sent bien 
Ce riad est très  épuré  
Le personnel est au petit soin 
La propreté
Merci á Mohamed  pour sa gentillesse
Les jus de fruit frais servis au bord de la piscine 
Je reviendrais avec plaisir",Tout etait bien
Marrakech,"Riad L'EncensOriental
Une nouvelle fenêtre va s'ouvrir", 10,"On revient vite, c était top 😃 . Merci🙏","Un lieu authentique  pour s'immerger dans l'ambiance Marocaine. Et en plus, un super petit déjeuner. Nous avons adoré et nous reviendrons avec grand plaisir. Merci pour cet accueil chaleureux et bienveillant.",
Marrakech,"Riad L'EncensOriental
Une nouvelle fenêtre va s'ouvrir", 10,Exceptionnel,"Cet havre de paix ,  
.Un super   accueil  ,  dès que vous rentrez  ,vous vous sentez  bien , c est apaisant , les chambres sont décorées avec gout et  d une propreté😀 ça sent bon le musk.
Je reviendrais avec grand plaisir 
Merci Mohamed pour ton professionaliste 
Loubna la femme de menage lumineuse
Merci 
Estelle","Tout était super  quartier kasbah que j apprecie  beaucoup 
Le taxi m a posé devant le riad top"
Marrakech,"Riad L'EncensOriental
Une nouvelle fenêtre va s'ouvrir", 10,Quelle étonnante surprise.,"Arrivé devant une magnifique porte, quelle surprise en entrant dans ce long couloir qui abouti au cœur du Riad, une décoration complètement immergé dans une ambiance Berbère un régal pour les yeux, l accueil du personnel était extraordinaire, poli, respectueux et très à l écoute de nos souhaits où désirs. 
Cette nuit fut digne des milles et une nuit.",Rien c était juste une nuit.
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir"," 7,0",Bien,"Je remercie Mr adil qui a fait le check in de plusieurs personnes tout seul. 

Un seul personne a la réception durant cette période de haute saison c’est pas du tout acceptable",Pas d’eau chaude dans les douches.
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir"," 6,0",Agréable,"Bon rapport qualité prix, chambre propre et confortable",Beaucoup de bruit le soir (musique en bas de la chambre) et il y avait énormément de monde à la piscine
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir"," 7,0",Bien,Pas mal,Les équipements
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir"," 7,0",Bon,"J’ai beaucoup aimé mon séjour dans cet hôtel. La chambre était confortable, le personnel toujours souriant et serviable. L’emplacement est idéal, le petit-déjeuner était varié et de bonne qualité.","Séjour correct mais déçue par quelques points : pas de fer à repasser ni de bouilloire, poussière à côté du lit et petit-déjeuner qui se termine trop tôt 10h30, ce qui est trop tôt pour un séjour en été où l’on aimerait profiter d’un rythme plus détendu."
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir"," 7,0",Bien,"Hotel familial avec restaurants a prix corrects, ambiance piscine , parking a proximité",Chambres bruyantes
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir"," 8,0",Le séjour sa passe bien 👍,Trop bien,Le frigidaire
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,"Le personnel de l’accueil est très compétent, sympathique et agréable surtout Nora.","Je n’aime pas le petit déjeuner. L’horaire d’ouverture est à 7h mais le stand pour les œufs, msemens et crêpes n’ouvrent pas avant 8h et quelques. Le réapprovisionnement n’est pas contrôlé, il faut toujours informer le personnel présent du manque de papier, couverts, chocolat ou café ce qui crée de l’attente entre la demande et le réapprovisionnement qui est parfois très longue."
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir"," 7,0",Bien,"La chambre était agréable et spacieuse, personnel agréable","Piscine petite , déjeuner moyen très peu de choix , toujours la même chose"
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir"," 7,0",Bien,"J’ai bien aimé la Clim , le lit était accés confortable, l’ambiance de l’hôtel était plutôt cool , le personnel très agréable et accueillant",Le temps de service était long ou jamais effectué ( je leur demande le fer à repasser il faut les faire rappeler plusieurs fois avant de pouvoir l’avoir)
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir"," 8,0",Merci aux agents de service Touria et samira pour leur travail irréprochable.,Je trouve que on terme de petit dej il faut un peu plus varier et le donner un 10/10 vraiment rien à dire en plus de sa cst à volonté.,
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir", 10,Exceptionnel,"La piscine exposer plein soleil 
Le petit déjeuner 
Le personnel juste incroyable",
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir", 10,Un petit coin de paradis,Établissement parfait,Tout
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir", 10,Exceptionnel,On a adoré magnifique,
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir", 10,Super séjour,Super établissement à recommander pour des voyageurs qui recherche la tranquillité,
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir", 10,Très très bonne expérience,"Le personnel, plus particulièrement nacer qui nous a très bien accueilli et la personne qui nous ouvrez la porte de l’hôtel très gentille aussi, merci a tout le personnel !","La seule chose à revoir ce sont les petits déjeuner, le fait que l’eau soit payante elle est sencer être inclus dans le petit déjeuner"
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir"," 9,0",Fabuleux,Top comme lieu de résidence pour des vacances de repos et au calme.,
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir", 10,Superbe séjour au petit soin établissement très propre et très calme UN GRAND merci à NASSER,Magnifique établissement comme à la maison,
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir", 10,J’ai passer des bon moment le calme le confort le service franchement rien a dire,J’ai tout aimer hâte de revenir une autre fois,
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir", 10,Parfait,"Le personnel est au top, nous avons passé un séjour de 5 nuits idyllique  ! Le petit déjeuner était parfait, servi sur table. Rien à redire sur l’hôtel, tant au niveau du style, du design, de l’emplacement et de la propreté. Nous avons fait un massage de 1h en couple (réservation quelques heure avant), tout simplement incroyable, un moment hors du temps, professionnel et agréable.",Rien
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir", 10,"Séjour au calme, avec service 5 étoiles","L’oriental est excentré de la ville (10 minutes en voiture de Jamaa El Fna), ce qui est parfait pour profiter tranquillement. Nous avons passé un super moment, au calme. L’accueil était vraiment digne d’un hôtel 5 étoiles. Nassar a été au petit soin de notre arrivée, jusqu’à ce qu’on parte. L’établissement est extrêmement propre, soigné, bien entretenu. Le petit dej est simple mais très bien pour commencer la journée. La chambre est spacieuse, vue sur la piscine. Vraiment un hôtel que je recommande",Rien ! C’était vraiment parfait
Marrakech,"Wazo Appart-Hôtel
Une nouvelle fenêtre va s'ouvrir"," 6,0",Agréable,La piscine été la seule chose que j'ai aimé dans mon séjour.,"L'appartement n'est pas assez  propre, ya la poussière sous le lit et les tapis de la chambre sont très sale . Trop de bruit la nuit les grosses motos passent et font un bruit très fort au point dei réveiller les enfants."
