review title,review,place name,category,city
Breakfast,Naima and Sami were very friendly people who helped us on our first day at hotel. These are very nice people.  Nice atmosphere friendly.,Movenpick Hotel Mansour Eddahbi Marrakech,Hotel,Marrakech
Excellent experience,"Excellent stay at the conveniently situated Movenpick Mansour 

Anazing hospitality from Lahcen who endured our stay was perfect 

Yassine and Salma were superbly attentive during breakfast anticipating our requirements and fulfilling our requests 

Must stay again soon",Movenpick Hotel Mansour Eddahbi Marrakech,Hotel,Marrakech
Recommended hotel,"An impressive hall with EN-suite facilities and enough sun loungers in the pool 
Good breakfast enlivened with a cute peacock
A little far DE la Medina",Movenpick Hotel Mansour Eddahbi Marrakech,Hotel,Marrakech
Exceptional massage,"We stayed at the Movenpick hotel where we met Najia a very nice masseuse, nice with heart on hand who gave us an exceptional massage.
The SPA DE the hotel is very beautiful and I would like to point out that the staff and the manager of the SPA Madame Amal are very helpful and attentive.

If you are staying there, I recommend you go!",Movenpick Hotel Mansour Eddahbi Marrakech,Hotel,Marrakech
.,"Hotel on top! Great location and with great service and very very clean room. Thank you especially to Madame Chaimae the governess. She's always at our service 
We will return inchAllah.",Movenpick Hotel Mansour Eddahbi Marrakech,Hotel,Marrakech
Thank you very much Najia!!!,"A moment DE pure happiness by the pool with Najia and Mrs Amal in charge of the SPA.
Her massage was both relaxing and deeply soothing.
She has expert hands and a reassuring presence.
The EN plein air setting, with the noise DE the water, was just magical.
Najia has relaxed each tension with gentleness and precision.
I highly recommend this unique and beneficial experience.",Movenpick Hotel Mansour Eddahbi Marrakech,Hotel,Marrakech
Najia,Najia a lovely lady x wonderful massage x so polite x felt so relaxed x done a lovely massage x so needed it x thank you Najia x beautiful hotel x the staff are so polite and very helpful x very welcoming x,Movenpick Hotel Mansour Eddahbi Marrakech,Hotel,Marrakech
Najia,Najia was amazing! So kind and an excellent massuse! The spa is beautiful and clean with professional beauty treatments. Me and my friends really enjoyed ourselves. Madame Amal was also wonderful. Thank you very much!,Movenpick Hotel Mansour Eddahbi Marrakech,Hotel,Marrakech
Service at the top,"Najia is top, very good service by the pool DE. A moment DE relaxation, she makes orange blossom massages worthy of Morocco. It offers DE services of SPA, with a service and staff DE quality soft, kind, smiling and helpful. And for her SPA manager Mrs Amal.
To do absolutely!",Movenpick Hotel Mansour Eddahbi Marrakech,Hotel,Marrakech
Thank you for lovely stay,"After accommodation from atlas trek experience we stay in this place tw nights
Everything was perfect the rooms the service was excellent the breakfast was king for us we really enjoyed our stay thank you ",Movenpick Hotel Mansour Eddahbi Marrakech,Hotel,Marrakech
Authentic Moroccan experience,The staff at this hotel are so attentive. All your requests and needs are met immediately. The rooms are large and decorated in authentic traditional Moroccan style. At first getting to your room is like being in a maze with so many courtyards and corridors but you soon find your way. Very private and no outside noise except you can hear the birds singing. The breakfast and afternoon tea are very refreshing. Two restaurants on site if you arrive jet lagged you don’t have to go out. All in all a wonderful experience and I would stay there again. Highly recommend this hotel.,La Maison Arabe,Hotel,Marrakech
Fantastic stay ✨,"Excellent location excellent staff turn to customers, especially Mr. Driss at the front desk. 
We had a great stay thanks to all of you",La Maison Arabe,Hotel,Marrakech
