city,place name,date,note,full_review_trunc,lang,plateforme,sentiment_label,sentiment_score
Marrakech,"Riad L'EncensOriental
Une nouvelle fenêtre va s'ouvrir",21/08/2025,5.0/5,Exceptionnel | Positive: Ce nouveau riad dès qu' on rentre on se sent bien Ce riad est très épuré Le personnel est au petit soin La propreté Merci á Mohamed pour sa gentillesse Les jus de fruit frais servis au bord de la piscine Je reviendrais avec plaisir | Negative: Tout etait bien,fr,Booking,positive,3.663
Marrakech,"Riad L'EncensOriental
Une nouvelle fenêtre va s'ouvrir",21/08/2025,5.0/5,"On revient vite, c était top . Merci | Positive: Un lieu authentique pour s'immerger dans l'ambiance Marocaine. Et en plus, un super petit déjeuner. Nous avons adoré et nous reviendrons avec grand plaisir. Merci pour cet accueil chaleureux et bienveillant. | Negative: nan",fr,Booking,positive,3.675
Marrakech,"Riad L'EncensOriental
Une nouvelle fenêtre va s'ouvrir",21/08/2025,5.0/5,"Exceptionnel | Positive: Cet havre de paix , .Un super accueil , dès que vous rentrez ,vous vous sentez bien , c est apaisant , les chambres sont décorées avec gout et d une propreté ça sent bon le musk. Je reviendrais avec grand plaisir Merci Mohamed pour ton professionaliste Loubna la femme de menage lumineuse Merci Estelle | Negative: Tout était super quartier kasbah que j apprecie beaucoup Le taxi m a posé devant le riad top",fr,Booking,positive,3.596
Marrakech,"Riad L'EncensOriental
Une nouvelle fenêtre va s'ouvrir",21/08/2025,5.0/5,"Quelle étonnante surprise. | Positive: Arrivé devant une magnifique porte, quelle surprise en entrant dans ce long couloir qui abouti au cœur du Riad, une décoration complètement immergé dans une ambiance Berbère un régal pour les yeux, l accueil du personnel était extraordinaire, poli, respectueux et très à l écoute de nos souhaits où désirs. Cette nuit fut digne des milles et une nuit. | Negative: Rien c était juste une nuit.",fr,Booking,positive,3.633
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir",27/08/2025,3.5/5,Bien | Positive: Je remercie Mr adil qui a fait le check in de plusieurs personnes tout seul. Un seul personne a la réception durant cette période de haute saison c'est pas du tout acceptable | Negative: Pas d'eau chaude dans les douches.,fr,Booking,positive,3.199
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir",26/08/2025,3.0/5,"Agréable | Positive: Bon rapport qualité prix, chambre propre et confortable | Negative: Beaucoup de bruit le soir (musique en bas de la chambre) et il y avait énormément de monde à la piscine",fr,Booking,positive,3.325
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir",24/08/2025,3.5/5,Bien | Positive: Pas mal | Negative: Les équipements,fr,Booking,negative,2.95
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir",24/08/2025,3.5/5,"Bon | Positive: J'ai beaucoup aimé mon séjour dans cet hôtel. La chambre était confortable, le personnel toujours souriant et serviable. L'emplacement est idéal, le petit-déjeuner était varié et de bonne qualité. | Negative: Séjour correct mais déçue par quelques points : pas de fer à repasser ni de bouilloire, poussière à côté du lit et petit-déjeuner qui se termine trop tôt 10h30, ce qui est trop tôt pour un séjour en été où l'on aimerait profiter d'un rythme plus détendu.",fr,Booking,positive,3.642
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir",23/08/2025,3.5/5,"Bien | Positive: Hotel familial avec restaurants a prix corrects, ambiance piscine , parking a proximité | Negative: Chambres bruyantes",fr,Booking,positive,3.416
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir",22/08/2025,4.0/5,Le séjour sa passe bien | Positive: Trop bien | Negative: Le frigidaire,fr,Booking,positive,3.589
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir",22/08/2025,4.0/5,"Très bien | Positive: Le personnel de l'accueil est très compétent, sympathique et agréable surtout Nora. | Negative: Je n'aime pas le petit déjeuner. L'horaire d'ouverture est à 7h mais le stand pour les œufs, msemens et crêpes n'ouvrent pas avant 8h et quelques. Le réapprovisionnement n'est pas contrôlé, il faut toujours informer le personnel présent du manque de papier, couverts, chocolat ou café ce qui crée de l'attente entre la demande et le réapprovisionnement qui est parfois très longue.",fr,Booking,positive,3.01
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir",20/08/2025,3.5/5,"Bien | Positive: La chambre était agréable et spacieuse, personnel agréable | Negative: Piscine petite , déjeuner moyen très peu de choix , toujours la même chose",fr,Booking,positive,3.114
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir",19/08/2025,3.5/5,"Bien | Positive: J'ai bien aimé la Clim , le lit était accés confortable, l'ambiance de l'hôtel était plutôt cool , le personnel très agréable et accueillant | Negative: Le temps de service était long ou jamais effectué ( je leur demande le fer à repasser il faut les faire rappeler plusieurs fois avant de pouvoir l'avoir)",fr,Booking,positive,3.645
Marrakech,"Wazo Hotel
Une nouvelle fenêtre va s'ouvrir",18/08/2025,4.0/5,Merci aux agents de service Touria et samira pour leur travail irréprochable. | Positive: Je trouve que on terme de petit dej il faut un peu plus varier et le donner un 10/10 vraiment rien à dire en plus de sa cst à volonté. | Negative: nan,fr,Booking,positive,3.248
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir",20/08/2025,5.0/5,Exceptionnel | Positive: La piscine exposer plein soleil Le petit déjeuner Le personnel juste incroyable | Negative: nan,fr,Booking,positive,3.608
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir",13/08/2025,5.0/5,Un petit coin de paradis | Positive: Établissement parfait | Negative: Tout,fr,Booking,positive,3.323
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir",05/08/2025,5.0/5,Exceptionnel | Positive: On a adoré magnifique | Negative: nan,fr,Booking,positive,3.637
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir",04/08/2025,5.0/5,Super séjour | Positive: Super établissement à recommander pour des voyageurs qui recherche la tranquillité | Negative: nan,fr,Booking,positive,3.635
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir",25/07/2025,5.0/5,"Très très bonne expérience | Positive: Le personnel, plus particulièrement nacer qui nous a très bien accueilli et la personne qui nous ouvrez la porte de l'hôtel très gentille aussi, merci a tout le personnel ! | Negative: La seule chose à revoir ce sont les petits déjeuner, le fait que l'eau soit payante elle est sencer être inclus dans le petit déjeuner",fr,Booking,positive,3.653
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir",16/07/2025,4.5/5,Fabuleux | Positive: Top comme lieu de résidence pour des vacances de repos et au calme. | Negative: nan,fr,Booking,positive,3.667
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir",25/06/2025,5.0/5,Superbe séjour au petit soin établissement très propre et très calme UN GRAND merci à NASSER | Positive: Magnifique établissement comme à la maison | Negative: nan,fr,Booking,positive,3.663
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir",21/06/2025,5.0/5,J'ai passer des bon moment le calme le confort le service franchement rien a dire | Positive: J'ai tout aimer hâte de revenir une autre fois | Negative: nan,fr,Booking,positive,3.637
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir",18/06/2025,5.0/5,"Parfait | Positive: Le personnel est au top, nous avons passé un séjour de 5 nuits idyllique ! Le petit déjeuner était parfait, servi sur table. Rien à redire sur l'hôtel, tant au niveau du style, du design, de l'emplacement et de la propreté. Nous avons fait un massage de 1h en couple (réservation quelques heure avant), tout simplement incroyable, un moment hors du temps, professionnel et agréable. | Negative: Rien",fr,Booking,positive,3.655
Marrakech,"L'Orientale By La Siredrah
Une nouvelle fenêtre va s'ouvrir",16/06/2025,5.0/5,"Séjour au calme, avec service 5 étoiles | Positive: L'oriental est excentré de la ville (10 minutes en voiture de Jamaa El Fna), ce qui est parfait pour profiter tranquillement. Nous avons passé un super moment, au calme. L'accueil était vraiment digne d'un hôtel 5 étoiles. Nassar a été au petit soin de notre arrivée, jusqu'à ce qu'on parte. L'établissement est extrêmement propre, soigné, bien entretenu. Le petit dej est simple mais très bien pour commencer la journée. La chambre est spacieuse, vue sur la piscine. Vraiment un hôtel que je recommande | Negative: Rien ! C'était vraiment parfait",fr,Booking,positive,3.613
Marrakech,"Wazo Appart-Hôtel
Une nouvelle fenêtre va s'ouvrir",25/08/2025,3.0/5,"Agréable | Positive: La piscine été la seule chose que j'ai aimé dans mon séjour. | Negative: L'appartement n'est pas assez propre, ya la poussière sous le lit et les tapis de la chambre sont très sale . Trop de bruit la nuit les grosses motos passent et font un bruit très fort au point dei réveiller les enfants.",fr,Booking,negative,2.5
