date,TES,MRE,Total Arrivées,Nuité,Taux d'occupation
2010-01-01,291608.0,216485.0,508093.0,,
2010-02-01,327017.0,214346.0,541363.0,,
2010-03-01,437338.0,234940.0,672278.0,,
2010-04-01,432338.0,232737.0,665075.0,,
2010-05-01,430974.0,241339.0,672313.0,,
2010-06-01,431246.0,461253.0,892499.0,,
2010-07-01,509173.0,1139837.0,1649010.0,,
2010-08-01,404345.0,474552.0,878897.0,,
2010-09-01,393909.0,276371.0,670280.0,,
2010-10-01,488256.0,252161.0,740417.0,,
2010-11-01,372583.0,322419.0,695002.0,,
2010-12-01,391648.0,311463.0,703111.0,,
2011-01-01,347822.0,238691.0,586513.0,1285171.0,
2011-02-01,382407.0,215674.0,598081.0,1287995.0,
2011-03-01,407232.0,241264.0,648496.0,1436477.0,
2011-04-01,500811.0,283161.0,783972.0,1696037.0,
2011-05-01,381295.0,262433.0,643728.0,1324788.0,
2011-06-01,424473.0,516809.0,941282.0,1294143.0,
2011-07-01,520225.0,1068449.0,1588674.0,1969759.0,
2011-08-01,395222.0,401943.0,797165.0,1315792.0,
2011-09-01,393646.0,289568.0,683214.0,1552365.0,
2011-10-01,451442.0,294302.0,745744.0,1503095.0,
2011-11-01,340267.0,287262.0,627529.0,1084808.0,
2011-12-01,389041.0,308694.0,697735.0,1116792.0,
2012-01-01,305247.0,227783.0,533030.0,1073849.0,32.0
2012-02-01,339974.0,230028.0,570002.0,1199252.0,37.0
2012-03-01,406796.0,235426.0,642222.0,1306297.0,38.0
2012-04-01,477277.0,296495.0,773772.0,1675203.0,46.0
2012-05-01,411668.0,249701.0,661369.0,1470336.0,41.0
2012-06-01,466273.0,487026.0,953299.0,1465909.0,41.0
2012-07-01,504471.0,811865.0,1316336.0,1702036.0,42.0
2012-08-01,474003.0,659373.0,1133376.0,1822884.0,42.0
2012-09-01,408814.0,285529.0,694343.0,1722651.0,46.0
2012-10-01,465188.0,355935.0,821123.0,1533702.0,41.0
2012-11-01,353943.0,214977.0,568920.0,1303983.0,38.0
2012-12-01,398075.0,309289.0,707364.0,1209277.0,34.0
2013-01-01,309813.0,240686.0,550499.0,1220383.0,35.0
2013-02-01,340481.0,210732.0,551213.0,1184176.0,38.0
2013-03-01,455991.0,246794.0,702785.0,1551862.0,43.0
2013-04-01,466638.0,287268.0,753906.0,1749955.0,48.0
2013-05-01,451501.0,270655.0,722156.0,1699540.0,46.0
2013-06-01,466513.0,439863.0,906376.0,1674401.0,46.0
2013-07-01,495939.0,814978.0,1310917.0,1368256.0,35.0
2013-08-01,543236.0,987485.0,1530721.0,2328836.0,54.0
2013-09-01,444438.0,301238.0,745676.0,1836892.0,50.0
2013-10-01,500574.0,359073.0,859647.0,1695657.0,44.0
2013-11-01,391344.0,230610.0,621954.0,1397315.0,41.0
2013-12-01,456865.0,333549.0,790414.0,1406493.0,39.0
2014-01-01,354493.0,248723.0,603216.0,1333413.0,
2014-02-01,395875.0,229398.0,625273.0,1366815.0,
2014-03-01,471088.0,255671.0,726759.0,1646762.0,
2014-04-01,553296.0,301739.0,855035.0,1962531.0,
2014-05-01,480992.0,279261.0,760253.0,1807977.0,
2014-06-01,456995.0,414124.0,871119.0,1601789.0,
2014-07-01,498176.0,997612.0,1495788.0,1270630.0,
2014-08-01,514785.0,905769.0,1420554.0,2532476.0,
2014-09-01,431151.0,326470.0,757621.0,1804323.0,
