date,destination,nuité
06-2025,Essaouira,55700
06-2025,Al Haouz,71991
06-2025,Agadir,560175
06-2025,Casablanca,181510
06-2025,Tanger,168910
06-2025,Marrakech,784073
06-2025,Rabat,71176
06-2025,Fès,64791
05-2025,Tanger,190218
05-2025,Agadir,563091
05-2025,Casablanca,236189
05-2025,Marrakech,969991
05-2025,Fès,109527
05-2025,Rabat,89689
05-2025,Al Haouz,78257
05-2025,Essaouira,68577
04-2025,Ouarzazate,46951
04-2025,Errachidia,56925
04-2025,Al Haouz,74147
04-2025,Essaouira,76134
04-2025,Rabat,93670
04-2025,Fès,127609
04-2025,Tanger,162937
04-2025,Casablanca,258856
04-2025,Agadir,567743
04-2025,Marrakech,998802
03-2025,El Jadida,21618
03-2025,Tanger,71467
03-2025,Ouarzazate,29177
03-2025,Agadir,479876
03-2025,Casablanca,150733
03-2025,Marrakech,768782
03-2025,Fès,74527
03-2025,Al Haouz,61554
03-2025,Essaouira,52211
03-2025,Rabat,44695
02-2025,Essaouira,57032
02-2025,Al Haouz,59679
02-2025,Fès,77777
02-2025,Tanger,110456
02-2025,Casablanca,187315
02-2025,Agadir,512725
02-2025,Marrakech,792194
01-2025,Agadir,479283
01-2025,Marrakech,744674
01-2025,Essaouira,47460
01-2025,Tanger,113442
01-2025,Casablanca,178186
01-2025,Al Haouz,55009
01-2025,Fès,71684
01-2025,Rabat,59050
12-2024,Fès,86575
12-2024,Marrakech,841081
12-2024,Casablanca,216427
12-2024,Tanger,133033
12-2024,Agadir,482258
12-2024,Rabat,70060
12-2024,Al Haouz,67494
12-2024,Essaouira,53869
11-2024,Al Haouz,65131
11-2024,Rabat,85810
11-2024,Fès,92436
11-2024,Tanger,129017
11-2024,Casablanca,218405
11-2024,Agadir,486559
11-2024,Marrakech,860402
11-2024,Essaouira,54234
10-2024,Fès,125723
10-2024,Marrakech,999459
10-2024,Agadir,583737
10-2024,Casablanca,234245
10-2024,Tanger,173394
10-2024,Rabat,86814
10-2024,Essaouira,75568
10-2024,Al Haouz,83213
09-2024,Essaouira,60328
09-2024,Rabat,72814
09-2024,Al Haouz,78062
09-2024,Fès,89978
09-2024,Tanger,192118
09-2024,Casablanca,205040
09-2024,Agadir,578635
09-2024,Marrakech,905008
08-2024,Casablanca,191277
08-2024,Marrakech,976548
08-2024,Agadir,808082
08-2024,Tanger,284131
08-2024,Al Haouz,88536
08-2024,Essaouira,96384
08-2024,Rabat,69822
08-2024,Al Hoceima,69554
07-2024,Marrakech,791477
07-2024,Fès,57251
07-2024,Essaouira,66054
07-2024,Rabat,76795
07-2024,M'diq-Fnideq,77584
07-2024,Al Haouz,78607
07-2024,Berkan (+Saïdia),92262
07-2024,Tanger,201276
07-2024,Agadir,642096
07-2024,Casablanca,176899
06-2024,Agadir,510184
06-2024,Rabat,68822
06-2024,Marrakech,777515
06-2024,Essaouira,53313
06-2024,Fès,63644
06-2024,M'diq-Fnideq,39899
06-2024,Berkan (+Saïdia),69422
06-2024,Al Haouz,80660
06-2024,Tanger,137490
06-2024,Casablanca,166713
05-2024,Ouarzazate,27784
05-2024,Casablanca,227428
05-2024,Tanger,161179
05-2024,Fès,103169
05-2024,Al Haouz,86033
05-2024,Rabat,81027
05-2024,Essaouira,62310
05-2024,Oued Ed-Dahab,33863
05-2024,Agadir,560658
05-2024,Marrakech,924426
04-2024,Ouarzazate,28332
04-2024,Oued Ed-Dahab,35483
04-2024,Essaouira,63089
04-2024,Al Haouz,70007
04-2024,Fès,101037
04-2024,Tanger,115297
04-2024,Casablanca,184624
