TES,tangier morocco_lag0,casablanca airport_lag0,morocco visa_lag0,rabat morocco_lag0,fes morocco_lag0,marrakech morocco_lag0
291608.0,44.0,60.0,28.0,64.0,57.0,60.0
347822.0,39.0,55.0,30.0,58.0,52.0,61.0
305247.0,36.0,45.0,28.0,63.0,48.0,59.0
309813.0,45.0,51.0,27.0,62.0,51.0,59.0
354493.0,46.0,50.0,32.0,75.0,65.0,69.0
329830.0,47.0,45.0,34.0,68.0,64.0,61.0
316871.0,57.0,49.0,34.0,70.0,59.0,59.0
358608.0,52.0,60.0,40.0,75.0,68.0,75.0
431349.0,77.0,68.0,47.0,74.0,84.0,86.0
479056.0,63.0,58.0,48.0,65.0,82.0,72.0
50534.0,28.0,25.0,15.0,31.0,26.0,18.0
2774.0,31.0,24.0,27.0,43.0,29.0,27.0
444408.0,68.0,59.0,71.0,77.0,75.0,70.0
494208.0,77.0,68.0,78.0,75.0,63.0,73.0
624848.0,81.0,85.0,100.0,83.0,81.0,85.0
327017.0,45.0,57.0,30.0,63.0,42.0,54.0
382407.0,44.0,64.0,27.0,57.0,58.0,47.0
339974.0,38.0,52.0,25.0,56.0,48.0,50.0
340481.0,39.0,44.0,26.0,57.0,54.0,57.0
395875.0,49.0,48.0,32.0,69.0,71.0,58.0
369286.0,50.0,46.0,30.0,67.0,65.0,58.0
349581.0,58.0,45.0,35.0,71.0,67.0,60.0
403694.0,55.0,59.0,41.0,74.0,68.0,72.0
481441.0,74.0,61.0,45.0,76.0,86.0,76.0
518846.0,61.0,59.0,46.0,65.0,82.0,70.0
32686.0,26.0,23.0,14.0,31.0,21.0,16.0
120051.0,40.0,41.0,38.0,42.0,47.0,48.0
541643.0,69.0,64.0,66.0,79.0,80.0,62.0
642733.0,75.0,70.0,74.0,78.0,73.0,71.0
761377.0,86.0,79.0,87.0,85.0,78.0,84.0
437338.0,48.0,64.0,30.0,67.0,56.0,53.0
407232.0,35.0,45.0,24.0,57.0,45.0,39.0
406796.0,43.0,48.0,23.0,65.0,54.0,50.0
455991.0,54.0,49.0,29.0,66.0,67.0,58.0
471088.0,52.0,53.0,31.0,70.0,68.0,59.0
451461.0,49.0,53.0,31.0,77.0,67.0,61.0
441745.0,58.0,50.0,35.0,74.0,64.0,58.0
476096.0,62.0,69.0,41.0,77.0,76.0,73.0
625284.0,77.0,74.0,47.0,75.0,100.0,79.0
598406.0,66.0,73.0,47.0,66.0,85.0,69.0
36989.0,25.0,25.0,15.0,32.0,25.0,16.0
241920.0,50.0,48.0,45.0,56.0,53.0,50.0
597667.0,67.0,69.0,63.0,72.0,78.0,60.0
691026.0,76.0,69.0,79.0,76.0,72.0,75.0
768739.0,77.0,75.0,96.0,92.0,90.0,80.0
432338.0,48.0,92.0,28.0,64.0,59.0,47.0
500811.0,39.0,47.0,28.0,60.0,53.0,49.0
477277.0,52.0,50.0,25.0,64.0,52.0,49.0
466638.0,45.0,53.0,27.0,61.0,62.0,57.0
553296.0,58.0,58.0,31.0,74.0,67.0,55.0
521785.0,47.0,53.0,36.0,75.0,65.0,63.0
497266.0,54.0,49.0,33.0,72.0,68.0,55.0
586866.0,66.0,75.0,43.0,77.0,78.0,69.0
632117.0,73.0,76.0,45.0,73.0,89.0,72.0
689215.0,69.0,77.0,46.0,71.0,84.0,75.0
14222.0,22.0,24.0,16.0,31.0,22.0,14.0
