Date,marrakech
2010-01,56
2010-02,61
2010-03,62
2010-04,60
2010-05,55
2010-06,54
2010-07,56
2010-08,53
2010-09,56
2010-10,53
2010-11,49
2010-12,55
2011-01,57
2011-02,49
2011-03,48
2011-04,74
2011-05,53
2011-06,48
2011-07,51
2011-08,46
2011-09,55
2011-10,49
2011-11,45
2011-12,48
2012-01,51
2012-02,52
2012-03,50
2012-04,56
2012-05,50
2012-06,50
2012-07,57
2012-08,53
2012-09,54
2012-10,49
2012-11,46
2012-12,51
2013-01,54
2013-02,56
2013-03,61
2013-04,57
2013-05,57
2013-06,58
2013-07,58
2013-08,61
2013-09,58
2013-10,54
2013-11,56
2013-12,58
2014-01,65
2014-02,61
2014-03,59
2014-04,63
2014-05,59
2014-06,56
2014-07,56
2014-08,63
2014-09,60
2014-10,53
2014-11,52
2014-12,57
2015-01,56
2015-02,57
2015-03,59
2015-04,60
2015-05,57
2015-06,61
2015-07,57
2015-08,58
2015-09,55
2015-10,56
2015-11,48
2015-12,50
2016-01,55
2016-02,58
2016-03,57
2016-04,56
2016-05,59
2016-06,52
2016-07,63
2016-08,57
2016-09,54
2016-10,55
2016-11,57
2016-12,53
2017-01,56
2017-02,60
2017-03,63
2017-04,61
2017-05,52
2017-06,52
2017-07,67
2017-08,66
2017-09,59
2017-10,63
2017-11,67
2017-12,57
2018-01,72
2018-02,73
2018-03,74
2018-04,72
2018-05,62
2018-06,60
2018-07,73
2018-08,67
2018-09,72
2018-10,69
2018-11,66
2018-12,77
2019-01,73
2019-02,76
2019-03,78
2019-04,83
2019-05,66
2019-06,70
2019-07,80
2019-08,79
2019-09,77
2019-10,73
2019-11,76
2019-12,72
2020-01,80
2020-02,79
2020-03,44
2020-04,22
2020-05,23
2020-06,28
2020-07,32
2020-08,30
2020-09,28
2020-10,31
2020-11,31
2020-12,34
2021-01,34
2021-02,32
2021-03,36
2021-04,28
2021-05,32
2021-06,39
2021-07,47
2021-08,42
2021-09,42
2021-10,50
2021-11,43
2021-12,33
2022-01,39
2022-02,55
2022-03,66
2022-04,64
2022-05,70
2022-06,65
2022-07,75
2022-08,73
2022-09,69
2022-10,68
2022-11,63
2022-12,69
2023-01,77
2023-02,77
2023-03,70
2023-04,76
2023-05,73
2023-06,66
2023-07,75
2023-08,82
2023-09,96
2023-10,67
2023-11,62
2023-12,69
2024-01,78
2024-02,82
2024-03,84
2024-04,100
2024-05,81
2024-06,74
2024-07,79
2024-08,85
2024-09,81
2024-10,87
2024-11,82
2024-12,78
2025-01,84
2025-02,84
2025-03,83
2025-04,86
2025-05,78
2025-06,73
