place name,category,city,link
Ma Poêle Smoke House restaurant agadir,Restaurant,Agadir,https://www.google.com/maps/place/Ma+Po%C3%AAle+Smoke+House+restaurant+agadir/data=!4m7!3m6!1s0xdb3b7002736c921:0x81367a1f6740adf3!8m2!3d30.4191505!4d-9.5961988!16s%2Fg%2F11w2mpm101!19sChIJIck2JwC3sw0R861AZx96NoE?authuser=0&hl=fr&rclk=1
Blacksmith agadir restaurant,Restaurant,Agadir,https://www.google.com/maps/place/Blacksmith+agadir+restaurant/data=!4m7!3m6!1s0xdb3b7e39bc59c59:0xfc255e3fcb491282!8m2!3d30.4226616!4d-9.6018325!16s%2Fg%2F11ks4hv6yv!19sChIJWZzFm-O3sw0RghJJyz9eJfw?authuser=0&hl=fr&rclk=1
Amsterdam luxury restaurant,Restaurant,Agadir,https://www.google.com/maps/place/Amsterdam+luxury+restaurant/data=!4m7!3m6!1s0xdb3b7f7e729b727:0xa38ffd8122e86ce6!8m2!3d30.4377258!4d-9.5633521!16s%2Fg%2F11qgfbps6j!19sChIJJ7cp5_e3sw0R5mzoIoH9j6M?authuser=0&hl=fr&rclk=1
Ô Playa,Restaurant,Agadir,https://www.google.com/maps/place/%C3%94+Playa/data=!4m7!3m6!1s0xdb3b6e4edfaa8af:0x2538a87226d94793!8m2!3d30.4113303!4d-9.6028118!16s%2Fg%2F11c4b6fytf!19sChIJr6j67eS2sw0Rk0fZJnKoOCU?authuser=0&hl=fr&rclk=1
Le Jardin d'Eau,Restaurant,Agadir,https://www.google.com/maps/place/Le+Jardin+d%27Eau/data=!4m7!3m6!1s0xdb3b6e549245929:0x21f818b4905b7251!8m2!3d30.4139011!4d-9.6007349!16s%2Fg%2F1tg9ph3v!19sChIJKVkkSeW2sw0RUXJbkLQY-CE?authuser=0&hl=fr&rclk=1
Pure Passion,Restaurant,Agadir,https://www.google.com/maps/place/Pure+Passion/data=!4m7!3m6!1s0xdb3b6c6deedf85f:0xcd97874c3033786d!8m2!3d30.4224334!4d-9.6186831!16s%2Fg%2F11btmbyq_v!19sChIJX_jt3sa2sw0RbXgzMEyHl80?authuser=0&hl=fr&rclk=1
Restaurant la Pastilla,Restaurant,Agadir,https://www.google.com/maps/place/Restaurant+la+Pastilla/data=!4m7!3m6!1s0xdb3b722fce50a89:0x358d7e86b34ae491!8m2!3d30.4140587!4d-9.6011851!16s%2Fg%2F11vbxn9nbv!19sChIJiQrl_CK3sw0RkeRKs4Z-jTU?authuser=0&hl=fr&rclk=1
L'Ardoise Gourmande,Restaurant,Agadir,https://www.google.com/maps/place/L%27Ardoise+Gourmande/data=!4m7!3m6!1s0xdb3b794005e3e55:0x173452fe42d52427!8m2!3d30.4233885!4d-9.6052202!16s%2Fg%2F11f7v35814!19sChIJVT5eAJS3sw0RJyTVQv5SNBc?authuser=0&hl=fr&rclk=1
"Latté Latté Brunch, petit Déjeuner & Restaurant-Agadir",Restaurant,Agadir,"https://www.google.com/maps/place/Latt%C3%A9+Latt%C3%A9+Brunch,+petit+D%C3%A9jeuner+%26+Restaurant-Agadir/data=!4m7!3m6!1s0xdb3b7b3384fe089:0xe2d10e04738c3077!8m2!3d30.399557!4d-9.5845903!16s%2Fg%2F11sd7s2_09!19sChIJieBPOLO3sw0RdzCMcwQO0eI?authuser=0&hl=fr&rclk=1"
Arômes de Paris,Restaurant,Agadir,https://www.google.com/maps/place/Ar%C3%B4mes+de+Paris/data=!4m7!3m6!1s0xdb3b72331000767:0xc327b8a1fb064ab9!8m2!3d30.3994633!4d-9.5879654!16s%2Fg%2F11pz5w_96x!19sChIJZwcAMSO3sw0RuUoG-6G4J8M?authuser=0&hl=fr&rclk=1
