place name,category,city,link
Crocoparc Agadir Jardin exotique et Parc animalier,Tourist Attraction,Agadir,https://www.google.com/maps/place/Crocoparc+Agadir+Jardin+exotique+et+Parc+animalier/data=!4m7!3m6!1s0xdb3c894a02dbe37:0x26943f9b88c1785a!8m2!3d30.3884029!4d-9.48364!16s%2Fg%2F11c2j7vnhb!19sChIJN74toJTIsw0RWnjBiJs_lCY?authuser=0&hl=fr&rclk=1
Kasbah Agadir Oufella,Tourist Attraction,Agadir,https://www.google.com/maps/place/Kasbah+Agadir+Oufella/data=!4m7!3m6!1s0xdb3b6b778463b43:0xef686a1182a072a!8m2!3d30.4291875!4d-9.6241875!16s%2Fg%2F1hc2p6m8z!19sChIJQztGeLe2sw0RKgcqGKGG9g4?authuser=0&hl=fr&rclk=1
Souk El Had,Tourist Attraction,Agadir,https://www.google.com/maps/place/Souk+El+Had/data=!4m7!3m6!1s0xdb3b651bf98bc1b:0xd8649dee84e320a3!8m2!3d30.4128035!4d-9.5797395!16s%2Fg%2F11xf2yl6v!19sChIJG7yYv1G2sw0RoyDjhO6dZNg?authuser=0&hl=fr&rclk=1
Paradise Valley - Agadir,Tourist Attraction,Agadir,https://www.google.com/maps/place/Paradise+Valley+-+Agadir/data=!4m7!3m6!1s0xdb3c705080dd0a1:0xec3370b43cba2e08!8m2!3d30.5877332!4d-9.5281817!16s%2Fg%2F11f5q83r5t!19sChIJodANCAXHsw0RCC66PLRwM-w?authuser=0&hl=fr&rclk=1
Corniche de la plage d'Agadir,Tourist Attraction,Agadir,https://www.google.com/maps/place/Corniche+de+la+plage+d%27Agadir/data=!4m7!3m6!1s0xdb3b6ef3b13bbed:0x87db1d52fadf26bc!8m2!3d30.4171113!4d-9.6053586!16s%2Fg%2F11c1ht_sfm!19sChIJ7bsTO--2sw0RvCbf-lId24c?authuser=0&hl=fr&rclk=1
Gare de Départ Téléphérique | Danialand,Tourist Attraction,Agadir,https://www.google.com/maps/place/Gare+de+D%C3%A9part+T%C3%A9l%C3%A9ph%C3%A9rique+%7C+Danialand/data=!4m7!3m6!1s0xdb3b7285a5ba703:0x73bbf66ac8c3a2d1!8m2!3d30.4260316!4d-9.6060073!16s%2Fg%2F11t7362bb9!19sChIJA6dbWii3sw0R0aLDyGr2u3M?authuser=0&hl=fr&rclk=1
Gare d'arrivée Téléphérique | Danialand,Tourist Attraction,Agadir,https://www.google.com/maps/place/Gare+d%27arriv%C3%A9e+T%C3%A9l%C3%A9ph%C3%A9rique+%7C+Danialand/data=!4m7!3m6!1s0xdb3b78058c8b51f:0x304a84171e17f7b3!8m2!3d30.4298803!4d-9.6231321!16s%2Fg%2F11t7jwkjkc!19sChIJH7XIWIC3sw0Rs_cXHheESjA?authuser=0&hl=fr&rclk=1
Agadir sunset,Tourist Attraction,Agadir,https://www.google.com/maps/place/Agadir+sunset/data=!4m7!3m6!1s0xdb3b719973fb073:0xf0c764d679be3f25!8m2!3d30.3812587!4d-9.5713767!16s%2Fg%2F11rrpb9y9w!19sChIJc7A_lxm3sw0RJT--edZkx_A?authuser=0&hl=fr&rclk=1
Danialand Waterpark,Tourist Attraction,Agadir,https://www.google.com/maps/place/Danialand+Waterpark/data=!4m7!3m6!1s0xdb3b1004de8db85:0x7facd469172e97ed!8m2!3d30.4393267!4d-9.633614!16s%2Fg%2F11vqdv6cl5!19sChIJhdvoTQCxsw0R7ZcuF2nUrH8?authuser=0&hl=fr&rclk=1
AGADIR DESERT AVENTURE,Tourist Attraction,Agadir,https://www.google.com/maps/place/AGADIR+DESERT+AVENTURE/data=!4m7!3m6!1s0xdb3b7db243accb1:0x8cd06a6f5b53e7b3!8m2!3d30.4111685!4d-9.5481174!16s%2Fg%2F11p6wn6fv8!19sChIJscw6JNu3sw0Rs-dTW29q0Iw?authuser=0&hl=fr&rclk=1
