place name,category,city,link
Hôtel Mercure Quemado Resort,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+Mercure+Quemado+Resort/data=!4m10!3m9!1s0xd74318b5d0b1db1:0x5d01aba2e53a32a2!5m2!4m1!1i2!8m2!3d35.2450963!4d-3.9269741!16s%2Fg%2F1q6cc_ftg!19sChIJsR0LXYsxdA0RojI65aKrAV0?authuser=0&hl=fr&rclk=1
Radisson Blu Resort,Hotel,Al Hoceima,https://www.google.com/maps/place/Radisson+Blu+Resort/data=!4m10!3m9!1s0xd742d98a3010289:0x6d35adc95e399592!5m2!4m1!1i2!8m2!3d35.2032922!4d-3.8863813!16s%2Fg%2F11p1509lbg!19sChIJiQIBo5gtdA0RkpU5XsmtNW0?authuser=0&hl=fr&rclk=1
Hôtel National,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+National/data=!4m10!3m9!1s0xd74318afebcb1e1:0x6822370d65168eaf!5m2!4m1!1i2!8m2!3d35.2416466!4d-3.9288306!16s%2Fg%2F1tgpzk8j!19sChIJ4bG8_ooxdA0Rr44WZQ03Img?authuser=0&hl=fr&rclk=1
Hôtel Al Hoceima Bay,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+Al+Hoceima+Bay/data=!4m10!3m9!1s0xd742d8f345d7d99:0xeec35520207b49e8!5m2!4m1!1i2!8m2!3d35.207549!4d-3.8999!16s%2Fg%2F12vtjhfh9!19sChIJmX1dNI8tdA0R6El7ICBVw-4?authuser=0&hl=fr&rclk=1
Hôtel La Marina,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+La+Marina/data=!4m10!3m9!1s0xd743221f5fcd0b3:0xc58903e9ae7a9c2f!5m2!4m1!1i2!8m2!3d35.2335016!4d-3.9276318!16s%2Fg%2F1hf31tby9!19sChIJs9D89SEydA0RL5x6rukDicU?authuser=0&hl=fr&rclk=1
Radisson Blu Residences Al Hoceima,Hotel,Al Hoceima,https://www.google.com/maps/place/Radisson+Blu+Residences+Al+Hoceima/data=!4m10!3m9!1s0xd742def7f53a7b1:0x2ed0e97f96181c3a!5m2!4m1!1i2!8m2!3d35.2075503!4d-3.8975775!16s%2Fg%2F11nw9hmn5d!19sChIJsadTf-8tdA0ROhwYln_p0C4?authuser=0&hl=fr&rclk=1
Hôtel Nexus Budget,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+Nexus+Budget/data=!4m10!3m9!1s0xd7431ba1c110255:0xdc48712ac9e17fc9!5m2!4m1!1i2!8m2!3d35.242059!4d-3.9304032!16s%2Fg%2F11j7kqn_5v!19sChIJVQIRHLoxdA0RyX_hySpxSNw?authuser=0&hl=fr&rclk=1
Appart Hôtel Puerto Marino,Hotel,Al Hoceima,https://www.google.com/maps/place/Appart+H%C3%B4tel+Puerto+Marino/data=!4m10!3m9!1s0xd7431d592bb3d51:0xec2525fb8c309b38!5m2!4m1!1i2!8m2!3d35.2408072!4d-3.9341107!16s%2Fg%2F11f8hlf92v!19sChIJUT27ktUxdA0ROJswjPslJew?authuser=0&hl=fr&rclk=1
Hôtel Mira Palace,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+Mira+Palace/data=!4m10!3m9!1s0xd743182ca6d4c2f:0x14c3bc3709518554!5m2!4m1!1i2!8m2!3d35.249281!4d-3.945615!16s%2Fg%2F1hf9_pkvx!19sChIJL0xtyoIxdA0RVIVRCTe8wxQ?authuser=0&hl=fr&rclk=1
Hôtel La Perla,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+La+Perla/data=!4m10!3m9!1s0xd743185573bb27f:0xb5f515611cbd7e24!5m2!4m1!1i2!8m2!3d35.2471546!4d-3.9319493!16s%2Fg%2F12hkwqd3w!19sChIJf7I7V4UxdA0RJH69HGEV9bU?authuser=0&hl=fr&rclk=1
Hôtel Cataleya,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+Cataleya/data=!4m10!3m9!1s0xd74319c54e2e1f1:0x19ef1fcec6727582!5m2!4m1!1i2!8m2!3d35.2524605!4d-3.9443938!16s%2Fg%2F11c1q8jq21!19sChIJ8eHiVJwxdA0RgnVyxs4f7xk?authuser=0&hl=fr&rclk=1
RS Appartements Hôtel,Hotel,Al Hoceima,https://www.google.com/maps/place/RS+Appartements+H%C3%B4tel/data=!4m10!3m9!1s0xd74316d199680ad:0xbed36dd7e4d304e6!5m2!4m1!1i2!8m2!3d35.251094!4d-3.9487721!16s%2Fg%2F11v3m_3l8l!19sChIJrYCWGW0xdA0R5gTT5Ndt074?authuser=0&hl=fr&rclk=1
Hôtel Al Khouzama,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+Al+Khouzama/data=!4m10!3m9!1s0xd74318bbe5246e1:0xfc49bcc80701cb73!5m2!4m1!1i2!8m2!3d35.2430178!4d-3.9301532!16s%2Fg%2F11b6jgvvhb!19sChIJ4UZSvosxdA0Rc8sBB8i8Sfw?authuser=0&hl=fr&rclk=1
Hôtel Amir Plage,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+Amir+Plage/data=!4m10!3m9!1s0xd74321e562a7d15:0x20947c59eb3efed9!5m2!4m1!1i2!8m2!3d35.2365542!4d-3.9236081!16s%2Fg%2F1ptvx69zb!19sChIJFX0qVh4ydA0R2f4-61l8lCA?authuser=0&hl=fr&rclk=1
Suites Hotel Mohammed V by Accor,Hotel,Al Hoceima,https://www.google.com/maps/place/Suites+Hotel+Mohammed+V+by+Accor/data=!4m10!3m9!1s0xd74317518958931:0x4d379ed96e691549!5m2!4m1!1i2!8m2!3d35.2457853!4d-3.9283073!16s%2Fg%2F11hz7j8gmq!19sChIJMYmVGHUxdA0RSRVpbtmeN00?authuser=0&hl=fr&rclk=1
Hôtel Basilic,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+Basilic/data=!4m10!3m9!1s0xd74318c0b6f984b:0xea44bdf85ab9ac42!5m2!4m1!1i2!8m2!3d35.2448416!4d-3.9305983!16s%2Fg%2F1pp2vc7jd!19sChIJS5hvC4wxdA0RQqy5Wvi9ROo?authuser=0&hl=fr&rclk=1
Hôtel Almunecar,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+Almunecar/data=!4m10!3m9!1s0xd74336d2de47bcd:0x7c385a1140bc2edd!5m2!4m1!1i2!8m2!3d35.2329567!4d-3.9283451!16s%2Fg%2F11h37szfgb!19sChIJzXvkLW0zdA0R3S68QBFaOHw?authuser=0&hl=fr&rclk=1
Chafarina's Beach Hotel,Hotel,Al Hoceima,https://www.google.com/maps/place/Chafarina%27s+Beach+Hotel/data=!4m10!3m9!1s0xd7433fdb73c28a5:0xbd20310fe18e2420!5m2!4m1!1i2!8m2!3d35.235635!4d-3.9809936!16s%2Fg%2F12hp4nw35!19sChIJpSg8t_0zdA0RICSO4Q8xIL0?authuser=0&hl=fr&rclk=1
Hôtel La Perla Bleue,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+La+Perla+Bleue/data=!4m10!3m9!1s0xd74321f36b9203b:0x7100a9cb20338598!5m2!4m1!1i2!8m2!3d35.2335787!4d-3.9273184!16s%2Fg%2F11b6dqfn81!19sChIJOyC5Nh8ydA0RmIUzIMupAHE?authuser=0&hl=fr&rclk=1
Hôtel Villa Florido,Hotel,Al Hoceima,https://www.google.com/maps/place/H%C3%B4tel+Villa+Florido/data=!4m10!3m9!1s0xd74318aec11e28d:0x71ba5b2c05ef2abd!5m2!4m1!1i2!8m2!3d35.2407743!4d-3.9282551!16s%2Fg%2F11cfbhmxv!19sChIJjeIR7IoxdA0RvSrvBSxbunE?authuser=0&hl=fr&rclk=1
