place name,category,city,link
Break Alhoceima,Restaurant,Al Hoceima,https://www.google.com/maps/place/Break+Alhoceima/data=!4m7!3m6!1s0xd74311da3fbb0cd:0x2a18252242eb2b52!8m2!3d35.2410126!4d-3.9308535!16s%2Fg%2F11q948b2x2!19sChIJzbD7ox0xdA0RUivrQiIlGCo?authuser=0&hl=fr&rclk=1
Espace Mira Mar,Restaurant,Al Hoceima,https://www.google.com/maps/place/Espace+Mira+Mar/data=!4m7!3m6!1s0xd74318b0453fd89:0x28716168091f482d!8m2!3d35.2422776!4d-3.928701!16s%2Fg%2F11bw3d522g!19sChIJif1TBIsxdA0RLUgfCWhhcSg?authuser=0&hl=fr&rclk=1
Regal,Restaurant,Al Hoceima,https://www.google.com/maps/place/Regal/data=!4m7!3m6!1s0xd74318bf65c832b:0x2c738ff38ec55f3f!8m2!3d35.2445014!4d-3.9308909!16s%2Fg%2F11c581mqc2!19sChIJK4Nc9osxdA0RP1_FjvOPcyw?authuser=0&hl=fr&rclk=1
il Gusto,Restaurant,Al Hoceima,https://www.google.com/maps/place/il+Gusto/data=!4m7!3m6!1s0xd743100177f8c55:0x2e9b65fe7e641c57!8m2!3d35.2427994!4d-3.9303833!16s%2Fg%2F11w4h1ht0d!19sChIJVYx_FwAxdA0RVxxkfv5lmy4?authuser=0&hl=fr&rclk=1
Wok in Al Hoceima,Restaurant,Al Hoceima,https://www.google.com/maps/place/Wok+in+Al+Hoceima/data=!4m7!3m6!1s0xd74310462c4d5eb:0x205558daf4cecdfe!8m2!3d35.2408849!4d-3.9304972!16s%2Fg%2F11hyzz0y77!19sChIJ69XEYgQxdA0R_s3O9NpYVSA?authuser=0&hl=fr&rclk=1
Casa Bento,Restaurant,Al Hoceima,https://www.google.com/maps/place/Casa+Bento/data=!4m7!3m6!1s0xd743164d16f69d1:0x77956853aee8b6ae!8m2!3d35.2506555!4d-3.9375597!16s%2Fg%2F11t38jbbk2!19sChIJ0Wlv0WQxdA0RrrborlNolXc?authuser=0&hl=fr&rclk=1
Lunamar Express,Restaurant,Al Hoceima,https://www.google.com/maps/place/Lunamar+Express/data=!4m7!3m6!1s0xd74318bef29cc99:0x92e1173a05ba5ca4!8m2!3d35.2436747!4d-3.9309636!16s%2Fg%2F1v16rnlk!19sChIJmcwp74sxdA0RpFy6BToX4ZI?authuser=0&hl=fr&rclk=1
Tres Sabores,Restaurant,Al Hoceima,https://www.google.com/maps/place/Tres+Sabores/data=!4m7!3m6!1s0xd743107c92ae50d:0xd340f93ccdd187ea!8m2!3d35.2490286!4d-3.9454352!16s%2Fg%2F11rgrl8v6b!19sChIJDeUqyQcxdA0R6ofRzTz5QNM?authuser=0&hl=fr&rclk=1
Thuishaven Alhoceima,Restaurant,Al Hoceima,https://www.google.com/maps/place/Thuishaven+Alhoceima/data=!4m7!3m6!1s0xd7431002812efdf:0x2ca8e60265e2da2b!8m2!3d35.2518529!4d-3.9415133!16s%2Fg%2F11xm_mgk1z!19sChIJ3-8SKAAxdA0RK9riZQLmqCw?authuser=0&hl=fr&rclk=1
BARBECUE BROTHER'S,Restaurant,Al Hoceima,https://www.google.com/maps/place/BARBECUE+BROTHER%27S/data=!4m7!3m6!1s0xd7431811ebb7655:0x7a663f4570df48b2!8m2!3d35.2541368!4d-3.934602!16s%2Fg%2F11kr_yy3s5!19sChIJVXa7HoExdA0RskjfcEU_Zno?authuser=0&hl=fr&rclk=1
Jazz Cinéma : Café & Restaurant,Restaurant,Al Hoceima,https://www.google.com/maps/place/Jazz+Cin%C3%A9ma+:+Caf%C3%A9+%26+Restaurant/data=!4m7!3m6!1s0xd74318266fd01b9:0xc94a18d4def0d4fc!8m2!3d35.250768!4d-3.9377338!16s%2Fg%2F11n_y3qn_k!19sChIJuQH9ZoIxdA0R_NTw3tQYSsk?authuser=0&hl=fr&rclk=1
La Belle Vue,Restaurant,Al Hoceima,https://www.google.com/maps/place/La+Belle+Vue/data=!4m7!3m6!1s0xd74318bb3e088ef:0xceefd76fa768b11c!8m2!3d35.2444245!4d-3.9293076!16s%2Fg%2F11bwkbxt3p!19sChIJ74jgs4sxdA0RHLFop2_X784?authuser=0&hl=fr&rclk=1
Al Minar,Restaurant,Al Hoceima,https://www.google.com/maps/place/Al+Minar/data=!4m7!3m6!1s0xd7431f2f7c24a2f:0xa3d67e6a91efe4cd!8m2!3d35.2481649!4d-3.9242488!16s%2Fg%2F1q6h_dccg!19sChIJL0rC9_IxdA0RzeTvkWp-1qM?authuser=0&hl=fr&rclk=1
Restaurant Rif,Restaurant,Al Hoceima,https://www.google.com/maps/place/Restaurant+Rif/data=!4m7!3m6!1s0xd74317c86710299:0x8053c2e75c9ab4a9!8m2!3d35.2410923!4d-3.9278284!16s%2Fg%2F11rfrvccdx!19sChIJmQJxhnwxdA0RqbSaXOfCU4A?authuser=0&hl=fr&rclk=1
Gamma Le Café des Temps,Restaurant,Al Hoceima,https://www.google.com/maps/place/Gamma+Le+Caf%C3%A9+des+Temps/data=!4m7!3m6!1s0xd74311a34bcc249:0x1f458bf41af4b619!8m2!3d35.2484357!4d-3.9325067!16s%2Fg%2F11r_v64hx6!19sChIJScK8NBoxdA0RGbb0GvSLRR8?authuser=0&hl=fr&rclk=1
تاكوس الحسيمة,Restaurant,Al Hoceima,https://www.google.com/maps/place/%D8%AA%D8%A7%D9%83%D9%88%D8%B3+%D8%A7%D9%84%D8%AD%D8%B3%D9%8A%D9%85%D8%A9%E2%80%AD/data=!4m7!3m6!1s0xd74318bec771367:0xb577e5743549dfee!8m2!3d35.2449847!4d-3.9305743!16s%2Fg%2F11hbpxlbm_!19sChIJZxN37IsxdA0R7t9JNXTld7U?authuser=0&hl=fr&rclk=1
Délicafé,Restaurant,Al Hoceima,https://www.google.com/maps/place/D%C3%A9licaf%C3%A9/data=!4m7!3m6!1s0xd74318f49c75361:0x345a6c05812054ed!8m2!3d35.2445548!4d-3.9355255!16s%2Fg%2F11b698wgn3!19sChIJYVPHSY8xdA0R7VQggQVsWjQ?authuser=0&hl=fr&rclk=1
La Fabrica,Restaurant,Al Hoceima,https://www.google.com/maps/place/La+Fabrica/data=!4m7!3m6!1s0xd7431d9f15afe5d:0x1a375fca7103c769!8m2!3d35.2551913!4d-3.9353442!16s%2Fg%2F11frmj2pkm!19sChIJXf5a8dkxdA0RaccDccpfNxo?authuser=0&hl=fr&rclk=1
Tima,Restaurant,Al Hoceima,https://www.google.com/maps/place/Tima/data=!4m7!3m6!1s0xd7431300c2fcc5d:0xae849ef42a4e20c0!8m2!3d35.2455021!4d-3.9591843!16s%2Fg%2F11v3rp6bbh!19sChIJXcwvDDAxdA0RwCBOKvSehK4?authuser=0&hl=fr&rclk=1
Niebla Marina,Restaurant,Al Hoceima,https://www.google.com/maps/place/Niebla+Marina/data=!4m7!3m6!1s0xd7431806d4e6fcd:0x38d6a69b2d761808!8m2!3d35.2503174!4d-3.9214107!16s%2Fg%2F11tj2llb66!19sChIJzW9ObYAxdA0RCBh2LZum1jg?authuser=0&hl=fr&rclk=1
Ohana : Coffee & Bakery Place,Restaurant,Al Hoceima,https://www.google.com/maps/place/Ohana+:+Coffee+%26+Bakery+Place/data=!4m7!3m6!1s0xd74315a42f4b491:0x5638acfcb4c1d3eb!8m2!3d35.2416039!4d-3.9293987!16s%2Fg%2F11g2w4gk94!19sChIJkbT0QloxdA0R69PBtPysOFY?authuser=0&hl=fr&rclk=1
NASSAMAT FOOD,Restaurant,Al Hoceima,https://www.google.com/maps/place/NASSAMAT+FOOD/data=!4m7!3m6!1s0xd74314de2dbfb81:0x8cafc8c5c3246e69!8m2!3d35.24708!4d-3.9326019!16s%2Fg%2F11ygl50hmj!19sChIJgfvb4k0xdA0RaW4kw8XIr4w?authuser=0&hl=fr&rclk=1
Coin BBQ,Restaurant,Al Hoceima,https://www.google.com/maps/place/Coin+BBQ/data=!4m7!3m6!1s0xd7431aeb6777da1:0xf56f7eff246cc367!8m2!3d35.2489064!4d-3.9350728!16s%2Fg%2F11sp7_7xzx!19sChIJoX13tq4xdA0RZ8NsJP9-b_U?authuser=0&hl=fr&rclk=1
