place name,category,city,link
Parc National d'Al-Hoceima,Tourist Attraction,Al Hoceima,https://www.google.com/maps/place/Parc+National+d%27Al-Hoceima/data=!4m7!3m6!1s0xd744ced2ced6659:0x193f1fcd4d6a7fed!8m2!3d35.1617187!4d-4.1293377!16s%2Fm%2F04lj0lq!19sChIJWWbtLO1MdA0R7X9qTc0fPxk?authuser=0&hl=fr&rclk=1
Corniche Sabadia,Tourist Attraction,Al Hoceima,https://www.google.com/maps/place/Corniche+Sabadia/data=!4m7!3m6!1s0xd743142a1e8fde3:0x34144bc53a0e9910!8m2!3d35.2481737!4d-3.9569664!16s%2Fg%2F11flc4sv8f!19sChIJ4_3ooUIxdA0REJkOOsVLFDQ?authuser=0&hl=fr&rclk=1
I love al hoceima,Tourist Attraction,Al Hoceima,https://www.google.com/maps/place/I+love+al+hoceima/data=!4m7!3m6!1s0xd74310051eb2341:0xd221ebab80670e28!8m2!3d35.2449907!4d-3.928998!16s%2Fg%2F11xn3txpql!19sChIJQSPrUQAxdA0RKA5ngKvrIdI?authuser=0&hl=fr&rclk=1
Corniche Cala Bonita,Tourist Attraction,Al Hoceima,https://www.google.com/maps/place/Corniche+Cala+Bonita/data=!4m7!3m6!1s0xd7433b996ffd6e7:0xc18efa2077033e7a!8m2!3d35.2345948!4d-3.9257958!16s%2Fg%2F11tk8nj274!19sChIJ59b_lrkzdA0Rej4DdyD6jsE?authuser=0&hl=fr&rclk=1
"Ajenna, Panoramic view of alhoceima",Tourist Attraction,Al Hoceima,"https://www.google.com/maps/place/Ajenna,+Panoramic+view+of+alhoceima/data=!4m7!3m6!1s0xd7431e26a52c235:0xc82c6c1151d76f2a!8m2!3d35.253889!4d-3.9287248!16s%2Fg%2F11s7zn3t3x!19sChIJNcJSauIxdA0RKm_XURFsLMg?authuser=0&hl=fr&rclk=1"
Boat & Jet Ski Rentals Al Hoceïma,Tourist Attraction,Al Hoceima,https://www.google.com/maps/place/Boat+%26+Jet+Ski+Rentals+Al+Hoce%C3%AFma/data=!4m7!3m6!1s0xd74310013b0a5b7:0x2753c64e1ee3219!8m2!3d35.249528!4d-3.9211338!16s%2Fg%2F11xn9l_tt_!19sChIJt6WwEwAxdA0RGTLu4WQ8dQI?authuser=0&hl=fr&rclk=1
Bedjemri Excursions,Tourist Attraction,Al Hoceima,https://www.google.com/maps/place/Bedjemri+Excursions/data=!4m7!3m6!1s0xd743169f5a278db:0x5af14876dc1693aa!8m2!3d35.2500956!4d-3.9230424!16s%2Fg%2F11v0t0bx5z!19sChIJ23ii9WkxdA0RqpMW3HZI8Vo?authuser=0&hl=fr&rclk=1
Corniche Morro Viejo,Tourist Attraction,Al Hoceima,https://www.google.com/maps/place/Corniche+Morro+Viejo/data=!4m7!3m6!1s0xd7431f5db402e25:0xe21995e36efcad04!8m2!3d35.2411766!4d-3.9221138!16s%2Fg%2F1ydpvbtnk!19sChIJJS5A2_UxdA0RBK38buOVGeI?authuser=0&hl=fr&rclk=1
ذكرى ابراهيم ونسيم,Tourist Attraction,Al Hoceima,https://www.google.com/maps/place/%D8%B0%D9%83%D8%B1%D9%89+%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85+%D9%88%D9%86%D8%B3%D9%8A%D9%85%E2%80%AD/data=!4m7!3m6!1s0xd7433003580ce7b:0xba913f98c144f353!8m2!3d35.2351198!4d-3.9225942!16s%2Fg%2F11xh3zpv7r!19sChIJe86ANQAzdA0RU_NEwZg_kbo?authuser=0&hl=fr&rclk=1
Phare de la pointe los Frailes,Tourist Attraction,Al Hoceima,https://www.google.com/maps/place/Phare+de+la+pointe+los+Frailes/data=!4m7!3m6!1s0xd74310049ce684b:0x6125ab99cb2c95f5!8m2!3d35.2613721!4d-3.9291549!16s%2Fg%2F11y8v749lt!19sChIJS2jOSQAxdA0R9ZUsy5mrJWE?authuser=0&hl=fr&rclk=1
