place name,category,city,link
Le Casablanca Hotel,Hotel,Casablanca,https://www.google.com/maps/place/Le+Casablanca+Hotel/data=!4m10!3m9!1s0xda7d2e423556d6d:0x23289b5f8cdb6edf!5m2!4m1!1i2!8m2!3d33.5887498!4d-7.6477819!16s%2Fg%2F11c51yyqkw!19sChIJbW1VI-TSpw0R327bjF-bKCM?authuser=0&hl=fr&rclk=1
Premiere classe casablanca centre ville,Hotel,Casablanca,https://www.google.com/maps/place/Premiere+classe+casablanca+centre+ville/data=!4m10!3m9!1s0xda7cdb0c9d996b9:0xf7aa3c14b6954731!5m2!4m1!1i2!8m2!3d33.594188!4d-7.599416!16s%2Fg%2F11g2wmdzx1!19sChIJuZbZybDNpw0RMUeVthQ8qvc?authuser=0&hl=fr&rclk=1
ibis Casablanca City Center,Hotel,Casablanca,https://www.google.com/maps/place/ibis+Casablanca+City+Center/data=!4m10!3m9!1s0xda7d282f6699a07:0x6d14cd968cddd191!5m2!4m1!1i2!8m2!3d33.5986226!4d-7.6135653!16s%2Fg%2F1tfc_579!19sChIJB5pp9oLSpw0RkdHdjJbNFG0?authuser=0&hl=fr&rclk=1
Imperial Casablanca Hotel & Spa,Hotel,Casablanca,https://www.google.com/maps/place/Imperial+Casablanca+Hotel+%26+Spa/data=!4m10!3m9!1s0xda7cd6c03865309:0xcb04a3ba1938d888!5m2!4m1!1i2!8m2!3d33.5937674!4d-7.6059799!16s%2Fg%2F1ptywwv8l!19sChIJCVOGA2zNpw0RiNg4GbqjBMs?authuser=0&hl=fr&rclk=1
Hotel Campanile Casablanca Centre Ville,Hotel,Casablanca,https://www.google.com/maps/place/Hotel+Campanile+Casablanca+Centre+Ville/data=!4m10!3m9!1s0xda7cd6f7477c46b:0xe5c6aa99887233f9!5m2!4m1!1i2!8m2!3d33.593552!4d-7.5998557!16s%2Fg%2F11f7bqtl8l!19sChIJa8R3dG_Npw0R-TNyiJmqxuU?authuser=0&hl=fr&rclk=1
Hilton Garden Inn Casablanca Sud,Hotel,Casablanca,https://www.google.com/maps/place/Hilton+Garden+Inn+Casablanca+Sud/data=!4m10!3m9!1s0xda62d0b1c5a6edd:0x1b68a1fe91d6316f!5m2!4m1!1i2!8m2!3d33.5080302!4d-7.6312797!16s%2Fg%2F11smyptww3!19sChIJ3W5aHAstpg0RbzHWkf6haBs?authuser=0&hl=fr&rclk=1
Radisson Blu Hôtel - Centre Ville Casablanca,Hotel,Casablanca,https://www.google.com/maps/place/Radisson+Blu+H%C3%B4tel+-+Centre+Ville+Casablanca/data=!4m10!3m9!1s0xda7cd63081ea0d1:0x8025832017dc5c22!5m2!4m1!1i2!8m2!3d33.5934514!4d-7.6081194!16s%2Fg%2F11fn5v1hv3!19sChIJ0aAeCGPNpw0RIlzcFyCDJYA?authuser=0&hl=fr&rclk=1
Hôtel Casablanca le Lido Thalasso & Spa,Hotel,Casablanca,https://www.google.com/maps/place/H%C3%B4tel+Casablanca+le+Lido+Thalasso+%26+Spa/data=!4m10!3m9!1s0xda7d30ea5f605af:0xbe2a3b0cf66a3fce!5m2!4m1!1i2!8m2!3d33.5969113!4d-7.6704472!16s%2Fg%2F1hm2bszp3!19sChIJrwX2pQ7Tpw0Rzj9q9gw7Kr4?authuser=0&hl=fr&rclk=1
Hotel Barceló Anfa Casablanca,Hotel,Casablanca,https://www.google.com/maps/place/Hotel+Barcel%C3%B3+Anfa+Casablanca/data=!4m10!3m9!1s0xda7d396ad805cd3:0xbf0d72de550e9d31!5m2!4m1!1i2!8m2!3d33.5946544!4d-7.6287289!16s%2Fg%2F11gvsm1t5h!19sChIJ01yArZbTpw0RMZ0OVd5yDb8?authuser=0&hl=fr&rclk=1
Novotel Casablanca City Center,Hotel,Casablanca,https://www.google.com/maps/place/Novotel+Casablanca+City+Center/data=!4m10!3m9!1s0xda7d282f6699a07:0x5933972490794453!5m2!4m1!1i2!8m2!3d33.598509!4d-7.6136615!16s%2Fg%2F1tfyfyc8!19sChIJB5pp9oLSpw0RU0R5kCSXM1k?authuser=0&hl=fr&rclk=1
ONOMO Hotel Casablanca City Center,Hotel,Casablanca,https://www.google.com/maps/place/ONOMO+Hotel+Casablanca+City+Center/data=!4m10!3m9!1s0xda7d2e8b8fcb8d7:0x4e1bcecf81df4f98!5m2!4m1!1i2!8m2!3d33.5863486!4d-7.6390375!16s%2Fg%2F11fflxl0ts!19sChIJ17j8uOjSpw0RmE_fgc_OG04?authuser=0&hl=fr&rclk=1
Hyatt Regency,Hotel,Casablanca,https://www.google.com/maps/place/Hyatt+Regency/data=!4m10!3m9!1s0xda7d284d7ccd05f:0xd0a597e123812ee5!5m2!4m1!1i2!8m2!3d33.596175!4d-7.6188507!16s%2Fm%2F0j_3b89!19sChIJX9DM14TSpw0R5S6BI-GXpdA?authuser=0&hl=fr&rclk=1
Hôtel Mövenpick Casablanca,Hotel,Casablanca,https://www.google.com/maps/place/H%C3%B4tel+M%C3%B6venpick+Casablanca/data=!4m10!3m9!1s0xda7d2bd61420d91:0xa320936761576b91!5m2!4m1!1i2!8m2!3d33.58365!4d-7.6237064!16s%2Fg%2F11b5qwdb7q!19sChIJkQ1CYb3Spw0RkWtXYWeTIKM?authuser=0&hl=fr&rclk=1
Pestana Casablanca,Hotel,Casablanca,https://www.google.com/maps/place/Pestana+Casablanca/data=!4m10!3m9!1s0xda7d30f52710d35:0x7cfcc6d24e4bee01!5m2!4m1!1i2!8m2!3d33.598503!4d-7.666799!16s%2Fg%2F1pp2tz_sb!19sChIJNQ1xUg_Tpw0RAe5LTtLG_Hw?authuser=0&hl=fr&rclk=1
Four Seasons Hôtel,Hotel,Casablanca,https://www.google.com/maps/place/Four+Seasons+H%C3%B4tel/data=!4m10!3m9!1s0xda7d30f4bb685d7:0x3b70333ccc54c1ed!5m2!4m1!1i2!8m2!3d33.5995886!4d-7.6638173!16s%2Fg%2F1pp2vb05d!19sChIJ14W2Sw_Tpw0R7cFUzDwzcDs?authuser=0&hl=fr&rclk=1
Sofitel Casablanca Tour Blanche,Hotel,Casablanca,https://www.google.com/maps/place/Sofitel+Casablanca+Tour+Blanche/data=!4m10!3m9!1s0xda7d2831d49419d:0xa2519eade16227d4!5m2!4m1!1i2!8m2!3d33.5978086!4d-7.6141242!16s%2Fg%2F11r94dt01!19sChIJnUFJHYPSpw0R1Cdi4a2eUaI?authuser=0&hl=fr&rclk=1
Hotel Casablanca HC,Hotel,Casablanca,https://www.google.com/maps/place/Hotel+Casablanca+HC/data=!4m10!3m9!1s0xda7cd600ecc90bf:0x2104edc728231405!5m2!4m1!1i2!8m2!3d33.5847478!4d-7.6104878!16s%2Fg%2F11bv2p7ncw!19sChIJv5DMDmDNpw0RBRQjKMftBCE?authuser=0&hl=fr&rclk=1
Aparthotel Adagio Premium Casablanca City Center,Hotel,Casablanca,https://www.google.com/maps/place/Aparthotel+Adagio+Premium+Casablanca+City+Center/data=!4m10!3m9!1s0xda7d33bd6b014b5:0x53905ec69e890a8a!5m2!4m1!1i2!8m2!3d33.5853946!4d-7.6442602!16s%2Fg%2F11fjwxqzkt!19sChIJtRSw1jvTpw0RigqJnsZekFM?authuser=0&hl=fr&rclk=1
Grand Mogador City Center,Hotel,Casablanca,https://www.google.com/maps/place/Grand+Mogador+City+Center/data=!4m10!3m9!1s0xda7cd6ff98b256d:0x3c47bcc754e884ff!5m2!4m1!1i2!8m2!3d33.5957669!4d-7.6000054!16s%2Fg%2F11clt9n8nj!19sChIJbSWL-W_Npw0R_4ToVMe8Rzw?authuser=0&hl=fr&rclk=1
Oum Palace Hôtel & Spa Casablanca,Hotel,Casablanca,https://www.google.com/maps/place/Oum+Palace+H%C3%B4tel+%26+Spa+Casablanca/data=!4m10!3m9!1s0xda7d283253a759b:0x5c1bc2d435fd14d4!5m2!4m1!1i2!8m2!3d33.5963764!4d-7.6142849!16s%2Fg%2F1thxxl0y!19sChIJm3U6JYPSpw0R1BT9NdTCG1w?authuser=0&hl=fr&rclk=1
