place name,category,city,link
Moods Café-Restaurant,Restaurant,Casablanca,https://www.google.com/maps/place/Moods+Caf%C3%A9-Restaurant/data=!4m7!3m6!1s0xda7d3ad845a4fb5:0xc008438f35e98b16!8m2!3d33.6065793!4d-7.6191761!16s%2Fg%2F11p9x9_nsv!19sChIJtU9ahK3Tpw0RFovpNY9DCMA?authuser=0&hl=fr&rclk=1
La Sqala,Restaurant,Casablanca,https://www.google.com/maps/place/La+Sqala/data=!4m7!3m6!1s0xda7d286bded69f1:0x14366c0dc062234f!8m2!3d33.6029941!4d-7.6190219!16s%2Fg%2F1hfdr8mqw!19sChIJ8WntvYbSpw0RTyNiwA1sNhQ?authuser=0&hl=fr&rclk=1
Restaurant Dar El Kaid,Restaurant,Casablanca,https://www.google.com/maps/place/Restaurant+Dar+El+Kaid/data=!4m7!3m6!1s0xda7d3067e2250f9:0x1a226597ad692f28!8m2!3d33.5967312!4d-7.6186203!16s%2Fg%2F11sjw3ppy9!19sChIJ-VAifgbTpw0RKC9prZdlIho?authuser=0&hl=fr&rclk=1
La Brasserie Bavaroise,Restaurant,Casablanca,https://www.google.com/maps/place/La+Brasserie+Bavaroise/data=!4m7!3m6!1s0xda7d29d2d8b7733:0x8cd1f19ae1b2a8c1!8m2!3d33.5952979!4d-7.6117274!16s%2Fg%2F1tfpl599!19sChIJM3eLLZ3Spw0Rwaiy4Zrx0Yw?authuser=0&hl=fr&rclk=1
BRONZ - Casablanca,Restaurant,Casablanca,https://www.google.com/maps/place/BRONZ+-+Casablanca/data=!4m7!3m6!1s0xda7cd9c9e9bc713:0xe6f7692905ca9c48!8m2!3d33.5981409!4d-7.5789352!16s%2Fg%2F11vb11lr5j!19sChIJE8ebnpzNpw0RSJzKBSlp9-Y?authuser=0&hl=fr&rclk=1
Bao Bao,Restaurant,Casablanca,https://www.google.com/maps/place/Bao+Bao/data=!4m7!3m6!1s0xda7d33414ab85f9:0x81c73a3758f99f35!8m2!3d33.5759332!4d-7.6491032!16s%2Fg%2F11h04n59ls!19sChIJ-YWrFDTTpw0RNZ_5WDc6x4E?authuser=0&hl=fr&rclk=1
Cabestan Ocean View,Restaurant,Casablanca,https://www.google.com/maps/place/Cabestan+Ocean+View/data=!4m7!3m6!1s0xda7d3ab4f0bece5:0xdf9f1eccec89e21e!8m2!3d33.6081836!4d-7.6554723!16s%2Fg%2F11b7gnvz70!19sChIJ5ewLT6vTpw0RHuKJ7Mwen98?authuser=0&hl=fr&rclk=1
NKOA,Restaurant,Casablanca,https://www.google.com/maps/place/NKOA/data=!4m7!3m6!1s0xda7d3f1ead84307:0x8b12f0d60d789229!8m2!3d33.5865956!4d-7.6292111!16s%2Fg%2F11f7kjdxz6!19sChIJB0PY6vHTpw0RKZJ4DdbwEos?authuser=0&hl=fr&rclk=1
Organic Kitchen,Restaurant,Casablanca,https://www.google.com/maps/place/Organic+Kitchen/data=!4m7!3m6!1s0xda7d2ee6e50884f:0x6cc0d796e3798c27!8m2!3d33.5907078!4d-7.6382835!16s%2Fg%2F11g6xp2js3!19sChIJT4hQbu7Spw0RJ4x545bXwGw?authuser=0&hl=fr&rclk=1
Don Camillo,Restaurant,Casablanca,https://www.google.com/maps/place/Don+Camillo/data=!4m7!3m6!1s0xda7d29e4ab8e809:0xe3bff362dcc33ca7!8m2!3d33.5876483!4d-7.6128907!16s%2Fg%2F1pp2tl5wn!19sChIJCei4Sp7Spw0RpzzD3GLzv-M?authuser=0&hl=fr&rclk=1
Boccaccio,Restaurant,Casablanca,https://www.google.com/maps/place/Boccaccio/data=!4m7!3m6!1s0xda7d2ec26695007:0xbec7d0b80f4231de!8m2!3d33.5907005!4d-7.6382792!16s%2Fg%2F11cjh_djl7!19sChIJB1BpJuzSpw0R3jFCD7jQx74?authuser=0&hl=fr&rclk=1
Little Mamma,Restaurant,Casablanca,https://www.google.com/maps/place/Little+Mamma/data=!4m7!3m6!1s0xda7d324e5a374c5:0x5b09d80149338b5d!8m2!3d33.5804705!4d-7.6233332!16s%2Fg%2F11s7nz1q4c!19sChIJxXSj5STTpw0RXYszSQHYCVs?authuser=0&hl=fr&rclk=1
Vicho's,Restaurant,Casablanca,https://www.google.com/maps/place/Vicho%27s/data=!4m7!3m6!1s0xda7d3cdbcf24e87:0xff0dc1470b0140de!8m2!3d33.5907932!4d-7.638219!16s%2Fg%2F11vbgrxg7g!19sChIJh07yvM3Tpw0R3kABC0fBDf8?authuser=0&hl=fr&rclk=1
Le Cuistot Traditionnel,Restaurant,Casablanca,https://www.google.com/maps/place/Le+Cuistot+Traditionnel/data=!4m7!3m6!1s0xda7d29a5e2e6bb3:0xbf2cb7f78a40699a!8m2!3d33.592798!4d-7.6213753!16s%2Fg%2F11c55k2z45!19sChIJs2suXprSpw0RmmlAive3LL8?authuser=0&hl=fr&rclk=1
Kôya Restaurant Lounge Casa,Restaurant,Casablanca,https://www.google.com/maps/place/K%C3%B4ya+Restaurant+Lounge+Casa/data=!4m7!3m6!1s0xda7d352485670b9:0xf9f0ae56ab6f9f9b!8m2!3d33.5933876!4d-7.6546624!16s%2Fg%2F11p5x5jzsr!19sChIJuXBWSFLTpw0Rm59vq1au8Pk?authuser=0&hl=fr&rclk=1
Bamboo,Restaurant,Casablanca,https://www.google.com/maps/place/Bamboo/data=!4m7!3m6!1s0xda7d3816c72175d:0xa64bb5047d009121!8m2!3d33.5982682!4d-7.6484323!16s%2Fg%2F11v0b7306_!19sChIJXRdybIHTpw0RIZEAfQS1S6Y?authuser=0&hl=fr&rclk=1
Chez Reda Café & Grillades,Restaurant,Casablanca,https://www.google.com/maps/place/Chez+Reda+Caf%C3%A9+%26+Grillades/data=!4m7!3m6!1s0xda7d2f44e03dee5:0x41ab46c0b5ffb1c3!8m2!3d33.6037631!4d-7.6340064!16s%2Fg%2F11b6hy9c9n!19sChIJ5d4DTvTSpw0Rw7H_tcBGq0E?authuser=0&hl=fr&rclk=1
MONGREC,Restaurant,Casablanca,https://www.google.com/maps/place/MONGREC/data=!4m7!3m6!1s0xda7d3e16971f211:0xdf86877db54a46ea!8m2!3d33.5880607!4d-7.6362843!16s%2Fg%2F11rn7svdt4!19sChIJEfJxaeHTpw0R6kZKtX2Hht8?authuser=0&hl=fr&rclk=1
Al-Mounia,Restaurant,Casablanca,https://www.google.com/maps/place/Al-Mounia/data=!4m7!3m6!1s0xda7d29bff0c9ad1:0x167370aca64980a0!8m2!3d33.5907191!4d-7.6163751!16s%2Fg%2F1tf3_qq6!19sChIJ0ZoM_5vSpw0RoIBJpqxwcxY?authuser=0&hl=fr&rclk=1
Rick's Café,Restaurant,Casablanca,https://www.google.com/maps/place/Rick%27s+Caf%C3%A9/data=!4m7!3m6!1s0xda7d287c1b84dd1:0x3976a100331c6da4!8m2!3d33.6050488!4d-7.6204046!16s%2Fm%2F047q9zv!19sChIJ0U24wYfSpw0RpG0cMwChdjk?authuser=0&hl=fr&rclk=1
L'abri restaurant,Restaurant,Casablanca,https://www.google.com/maps/place/L%27abri+restaurant/data=!4m7!3m6!1s0xda7d3b7b34c3ff1:0x7b141dc3f13f79ed!8m2!3d33.5867545!4d-7.6474654!16s%2Fg%2F11trw1zmcj!19sChIJ8T9Ms7fTpw0R7Xk_8cMdFHs?authuser=0&hl=fr&rclk=1
Porta Lisboa (ex dom petiscos Casablanca),Restaurant,Casablanca,https://www.google.com/maps/place/Porta+Lisboa+%28ex+dom+petiscos+Casablanca%29/data=!4m7!3m6!1s0xda7d37b915b37b1:0x73e7cbce4ab52b02!8m2!3d33.5922516!4d-7.6254333!16s%2Fg%2F11rfqzx9wr!19sChIJsTdbkXvTpw0RAiu1Ss7L53M?authuser=0&hl=fr&rclk=1
Spiga d'Oro Casablanca,Restaurant,Casablanca,https://www.google.com/maps/place/Spiga+d%27Oro+Casablanca/data=!4m7!3m6!1s0xda7d35cd4263c93:0x88683a9b955c7ca0!8m2!3d33.5824667!4d-7.6251432!16s%2Fg%2F11f7km3q9b!19sChIJkzwm1FzTpw0RoHxclZs6aIg?authuser=0&hl=fr&rclk=1
HUG,Restaurant,Casablanca,https://www.google.com/maps/place/HUG/data=!4m7!3m6!1s0xda7d337d4347447:0x62eca663a8f44f8!8m2!3d33.6007306!4d-7.6460834!16s%2Fg%2F11lqj6x8kt!19sChIJR3Q01DfTpw0R-ESPOmbKLgY?authuser=0&hl=fr&rclk=1
Tony Hall,Restaurant,Casablanca,https://www.google.com/maps/place/Tony+Hall/data=!4m7!3m6!1s0xda7d3ae694df9a5:0xfa14980dd0929ae9!8m2!3d33.5940326!4d-7.6282896!16s%2Fg%2F11j4cwf5lc!19sChIJpflNaa7Tpw0R6ZqS0A2YFPo?authuser=0&hl=fr&rclk=1
Vieilles Canailles,Restaurant,Casablanca,https://www.google.com/maps/place/Vieilles+Canailles/data=!4m7!3m6!1s0xda7d3074efbffb5:0xfff1e10f21ba1cea!8m2!3d33.5934179!4d-7.6415704!16s%2Fg%2F11jsl2hgkx!19sChIJtf_7TgfTpw0R6hy6IQ_h8f8?authuser=0&hl=fr&rclk=1
Trattoria del Papa,Restaurant,Casablanca,https://www.google.com/maps/place/Trattoria+del+Papa/data=!4m7!3m6!1s0xda7d3412c9df38f:0x4a47e4d561301055!8m2!3d33.5875151!4d-7.6333094!16s%2Fg%2F11gmb4myx9!19sChIJj_OdLEHTpw0RVRAwYdXkR0o?authuser=0&hl=fr&rclk=1
Café restaurant AL KHAIMA,Restaurant,Casablanca,https://www.google.com/maps/place/Caf%C3%A9+restaurant+AL+KHAIMA/data=!4m7!3m6!1s0xda7d3aed55cfff5:0xd1fa7cb6db785c0e!8m2!3d33.5939072!4d-7.6134639!16s%2Fg%2F11spls9906!19sChIJ9f9c1a7Tpw0RDlx427Z8-tE?authuser=0&hl=fr&rclk=1
le 7ème Ciel Casablanca,Restaurant,Casablanca,https://www.google.com/maps/place/le+7%C3%A8me+Ciel+Casablanca/data=!4m7!3m6!1s0xda7d375a831dde5:0x1fb6d32bd21b2749!8m2!3d33.5709449!4d-7.6528258!16s%2Fg%2F11w1cpsqxp!19sChIJ5d0xqHXTpw0RSScb0ivTth8?authuser=0&hl=fr&rclk=1
MEAT Casablanca,Restaurant,Casablanca,https://www.google.com/maps/place/MEAT+Casablanca/data=!4m7!3m6!1s0xda7d3e076531ff5:0xe1f964f51963b20d!8m2!3d33.5825341!4d-7.6247804!16s%2Fg%2F11fd550gk4!19sChIJ9R9TduDTpw0RDbJjGfVk-eE?authuser=0&hl=fr&rclk=1
Sushi Gourmet Casablanca,Restaurant,Casablanca,https://www.google.com/maps/place/Sushi+Gourmet+Casablanca/data=!4m7!3m6!1s0xda7d3491879d18f:0x438f1abf9cb3072e!8m2!3d33.5848727!4d-7.6201713!16s%2Fg%2F11g_ydp156!19sChIJj9F5GEnTpw0RLgeznL8aj0M?authuser=0&hl=fr&rclk=1
Oncle Blend,Restaurant,Casablanca,https://www.google.com/maps/place/Oncle+Blend/data=!4m7!3m6!1s0xda7d2e559b9f795:0xbb24074d4ebaa1c4!8m2!3d33.5928278!4d-7.6443634!16s%2Fg%2F11bzsrt420!19sChIJlfe5WeXSpw0RxKG6Tk0HJLs?authuser=0&hl=fr&rclk=1
Restaurant Zayna,Restaurant,Casablanca,https://www.google.com/maps/place/Restaurant+Zayna/data=!4m7!3m6!1s0xda7cd5966a4738b:0x1c7b6cdee07b2bde!8m2!3d33.577293!4d-7.6073554!16s%2Fg%2F1hc7zqhwn!19sChIJi3OkZlnNpw0R3it74N5sexw?authuser=0&hl=fr&rclk=1
Bondi Coffee Kitchen,Restaurant,Casablanca,https://www.google.com/maps/place/Bondi+Coffee+Kitchen/data=!4m7!3m6!1s0xda7d29360743f49:0x35238f2ce17f0cd9!8m2!3d33.5890965!4d-7.631686!16s%2Fg%2F11bysjpgcz!19sChIJST90YJPSpw0R2Qx_4SyPIzU?authuser=0&hl=fr&rclk=1
