place name,category,city,link
Parc Sindibad,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Parc+Sindibad/data=!4m7!3m6!1s0xda7d3676c81b2f7:0xceef9c45c02ce3d!8m2!3d33.5805142!4d-7.6896083!16s%2Fg%2F1v2jf7_t!19sChIJ97KBbGfTpw0RPc4CXMT57gw?authuser=0&hl=fr&rclk=1
Place des Nations-Unies,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Place+des+Nations-Unies/data=!4m7!3m6!1s0xda7d284a5a0e849:0xb2dffc40c39b06c7!8m2!3d33.5948128!4d-7.6187715!16s%2Fg%2F11f6158mls!19sChIJSeigpYTSpw0Rxwabw0D837I?authuser=0&hl=fr&rclk=1
Église du Sacré-Cœur,Tourist Attraction,Casablanca,https://www.google.com/maps/place/%C3%89glise+du+Sacr%C3%A9-C%C5%93ur/data=!4m7!3m6!1s0xda7d291010717e5:0x1f76295a86bb2f25!8m2!3d33.5911582!4d-7.6244078!16s%2Fm%2F028bt63!19sChIJ5RcHAZHSpw0RJS-7hlopdh8?authuser=0&hl=fr&rclk=1
Place Mohammed V,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Place+Mohammed+V/data=!4m7!3m6!1s0xda7d29a4c82bec7:0xdd27929236349093!8m2!3d33.5911057!4d-7.6185666!16s%2Fg%2F1tg5dg8t!19sChIJx76CTJrSpw0Rk5A0NpKSJ90?authuser=0&hl=fr&rclk=1
Mosquée Hassan-II,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Mosqu%C3%A9e+Hassan-II/data=!4m7!3m6!1s0xda7d2607994d58f:0x67a1d618e7b0d072!8m2!3d33.6082229!4d-7.632668!16zL20vMDQzNjds!19sChIJj9WUeWDSpw0RctCw5xjWoWc?authuser=0&hl=fr&rclk=1
Palais Royal,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Palais+Royal/data=!4m7!3m6!1s0xda7cd5c117950d1:0x70f4940f73c8cc3d!8m2!3d33.5804709!4d-7.6055747!16s%2Fg%2F1tfryv6m!19sChIJ0VB5EVzNpw0RPczIcw-U9HA?authuser=0&hl=fr&rclk=1
Dream World,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Dream+World/data=!4m7!3m6!1s0xda7d325efc8db37:0xd07c17eae7a91cbc!8m2!3d33.5818992!4d-7.6330593!16s%2Fg%2F11h6g1xrnc!19sChIJN9vI7yXTpw0RvByp5-oXfNA?authuser=0&hl=fr&rclk=1
Crazy Park,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Crazy+Park/data=!4m7!3m6!1s0xda8801968158a03:0xed40f4196acad722!8m2!3d33.5388119!4d-7.7686352!16s%2Fg%2F11b6gpcl49!19sChIJA4oVaBmAqA0RItfKahn0QO0?authuser=0&hl=fr&rclk=1
Parc de la Ligue Arabe,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Parc+de+la+Ligue+Arabe/data=!4m7!3m6!1s0xda7d2971cfc80fb:0x66b14a23a840c3a3!8m2!3d33.5892017!4d-7.6237164!16s%2Fm%2F0j6l1lw!19sChIJ-4D8HJfSpw0Ro8NAqCNKsWY?authuser=0&hl=fr&rclk=1
Parc Loupi Land,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Parc+Loupi+Land/data=!4m7!3m6!1s0xda62ccd07a47bf1:0xd842eb2271a2bd19!8m2!3d33.5564475!4d-7.6673158!16s%2Fg%2F11c2p8sjnj!19sChIJ8XukB80spg0RGb2icSLrQtg?authuser=0&hl=fr&rclk=1
Tamaris Aquaparc,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Tamaris+Aquaparc/data=!4m7!3m6!1s0xda62a9d92a98439:0xd5a18542fffc21ea!8m2!3d33.5225589!4d-7.7839804!16s%2Fg%2F1tcyb7k9!19sChIJOYSpkp0qpg0R6iH8_0KFodU?authuser=0&hl=fr&rclk=1
Église Notre-Dame-de-Lourdes de Casablanca,Tourist Attraction,Casablanca,https://www.google.com/maps/place/%C3%89glise+Notre-Dame-de-Lourdes+de+Casablanca/data=!4m7!3m6!1s0xda7d2a1967096e1:0x9154978b612518b3!8m2!3d33.5827842!4d-7.6156722!16s%2Fg%2F123dm7_tb!19sChIJ4ZZwlqHSpw0RsxglYYuXVJE?authuser=0&hl=fr&rclk=1
Fantasy Park - Casablanca Ain Sebaa,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Fantasy+Park+-+Casablanca+Ain+Sebaa/data=!4m7!3m6!1s0xda7cdf5f59ae14d:0xb54e24e044f73575!8m2!3d33.6235553!4d-7.526085!16s%2Fg%2F11v662s1x6!19sChIJTeGa9fXNpw0RdTX3ROAkTrU?authuser=0&hl=fr&rclk=1
Tourist the Cat,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Tourist+the+Cat/data=!4m7!3m6!1s0xda7cd00148d626d:0x589dba00ce38341b!8m2!3d33.5641614!4d-7.5955613!16s%2Fg%2F11yd1r03yx!19sChIJbWKNFADNpw0RGzQ4zgC6nVg?authuser=0&hl=fr&rclk=1
Musée de la Fondation Abderrahman slaoui,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Mus%C3%A9e+de+la+Fondation+Abderrahman+slaoui/data=!4m7!3m6!1s0xda7d2907e1bb68d:0x38816f214236c47b!8m2!3d33.5923928!4d-7.6225725!16s%2Fg%2F11r_prcq6!19sChIJjbYbfpDSpw0Re8Q2QiFvgTg?authuser=0&hl=fr&rclk=1
Phare El Hank,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Phare+El+Hank/data=!4m7!3m6!1s0xda7d2535538d05d:0x622cb3959db877e6!8m2!3d33.6099664!4d-7.6547605!16s%2Fg%2F11gb3n0ndg!19sChIJXdA4VVPSpw0R5ne4nZWzLGI?authuser=0&hl=fr&rclk=1
Forêt de Bouskoura,Tourist Attraction,Casablanca,https://www.google.com/maps/place/For%C3%AAt+de+Bouskoura/data=!4m7!3m6!1s0xda62dfd4ffbf35b:0x5ca738034726311e!8m2!3d33.4642281!4d-7.5788975!16s%2Fg%2F1tdyg_1w!19sChIJW_P7T_0tpg0RHjEmRwM4p1w?authuser=0&hl=fr&rclk=1
Musée de la Mosquée Hassan II,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Mus%C3%A9e+de+la+Mosqu%C3%A9e+Hassan+II/data=!4m7!3m6!1s0xda7d28a84224c75:0xca2484fe95043653!8m2!3d33.6054149!4d-7.6306758!16s%2Fg%2F11fy4s9wqv!19sChIJdUwihIrSpw0RUzYElf6EJMo?authuser=0&hl=fr&rclk=1
Dream Village,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Dream+Village/data=!4m7!3m6!1s0xda7b4f67f41c92b:0x1b05901eceea0f1c!8m2!3d33.616887!4d-7.3779259!16s%2Fg%2F1hc28vhmf!19sChIJK8lBf_a0pw0RHA_qzh6QBRs?authuser=0&hl=fr&rclk=1
Hello Park Casablanca,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Hello+Park+Casablanca/data=!4m7!3m6!1s0xda7d3ccfcf19443:0x7bd8917b3d2165ec!8m2!3d33.6081087!4d-7.6236607!16s%2Fg%2F11t_rrmwjh!19sChIJQ5Tx_MzTpw0R7GUhPXuR2Hs?authuser=0&hl=fr&rclk=1
Totem Kids Coffee (centre de loisirs casablanca ),Tourist Attraction,Casablanca,https://www.google.com/maps/place/Totem+Kids+Coffee+%28centre+de+loisirs+casablanca+%29/data=!4m7!3m6!1s0xda7d3a755dbfc4d:0x491a23ac51ee67db!8m2!3d33.592852!4d-7.641122!16s%2Fg%2F11twf08pbz!19sChIJTfzbVafTpw0R22fuUawjGkk?authuser=0&hl=fr&rclk=1
La Tour de l'Horloge,Tourist Attraction,Casablanca,https://www.google.com/maps/place/La+Tour+de+l%27Horloge/data=!4m7!3m6!1s0xda7d298a6bb23ab:0x63a07154d187d939!8m2!3d33.596889!4d-7.617253!16s%2Fg%2F11ff5jq1hb!19sChIJqyO7ppjSpw0ROdmH0VRxoGM?authuser=0&hl=fr&rclk=1
Synagogue Bethel,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Synagogue+Bethel/data=!4m7!3m6!1s0xda7d28da5785fdf:0x3fd380df40b4dc88!8m2!3d33.5957652!4d-7.6268705!16s%2Fm%2F04f09bs!19sChIJ3194pY3Spw0RiNy0QN-A0z8?authuser=0&hl=fr&rclk=1
Casablanca Morroco,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Casablanca+Morroco/data=!4m7!3m6!1s0xda7d30045368bd5:0x3dabe9942fdb42bc!8m2!3d33.5995959!4d-7.6138409!16s%2Fg%2F11wnb2mzms!19sChIJ1Ys2RQDTpw0RvELbL5Tpqz0?authuser=0&hl=fr&rclk=1
Plage Monica,Tourist Attraction,Casablanca,https://www.google.com/maps/place/Plage+Monica/data=!4m7!3m6!1s0xda7b72a22aeac61:0x74c687df15fb9d37!8m2!3d33.712832!4d-7.356405!16s%2Fg%2F11b6h_snqz!19sChIJYayuIiq3pw0RN537Fd-HxnQ?authuser=0&hl=fr&rclk=1
