place name,category,city,link
Hotel chefchaouen,Hotel,Chefchaouen,https://www.google.com/maps/place/Hotel+chefchaouen/data=!4m10!3m9!1s0xd0b265bffffffe3:0x258c5c6fdf7fb3bd!5m2!4m1!1i2!8m2!3d35.1693896!4d-5.2629643!16s%2Fg%2F11cm1727hp!19sChIJ4____1smCw0RvbN_329cjCU?authuser=0&hl=fr&rclk=1
Dar blue pearl,Hotel,Chefchaouen,https://www.google.com/maps/place/Dar+blue+pearl/data=!4m10!3m9!1s0xd0b2660c2b28b5d:0x7db6c722d8b36581!5m2!4m1!1i2!8m2!3d35.168692!4d-5.2643328!16s%2Fg%2F11d_8rlx_c!19sChIJXYuywmAmCw0RgWWz2CLHtn0?authuser=0&hl=fr&rclk=1
Hôtel Souika,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Souika/data=!4m10!3m9!1s0xd0b268a1887630f:0xa563c76fa6d93e8e!5m2!4m1!1i2!8m2!3d35.1680272!4d-5.2631131!16s%2Fg%2F12vsf1ycb!19sChIJD2OHGIomCw0Rjj7Zpm_HY6U?authuser=0&hl=fr&rclk=1
Hôtel La Joya,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+La+Joya/data=!4m10!3m9!1s0xd0b2667c5c4e8e3:0xa12ab717a49d931f!5m2!4m1!1i2!8m2!3d35.168485!4d-5.260751!16s%2Fg%2F11btm09gz7!19sChIJ4-jExWcmCw0RH5OdpBe3KqE?authuser=0&hl=fr&rclk=1
Hôtel Al Manar,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Al+Manar/data=!4m10!3m9!1s0xd0b2661dc9f6539:0xc9eb8b58e6e44b1d!5m2!4m1!1i2!8m2!3d35.1703557!4d-5.2679862!16s%2Fg%2F11cn96txd_!19sChIJOWWf3GEmCw0RHUvk5liL68k?authuser=0&hl=fr&rclk=1
Hôtel Ahrazem,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Ahrazem/data=!4m10!3m9!1s0xd0b2661e2cdd077:0x9534dbde95149cc5!5m2!4m1!1i2!8m2!3d35.1698908!4d-5.2668676!16s%2Fg%2F11b6hzx1p8!19sChIJd9DN4mEmCw0RxZwUld7bNJU?authuser=0&hl=fr&rclk=1
"Hôtel Nouara, Chefchaouen",Hotel,Chefchaouen,"https://www.google.com/maps/place/H%C3%B4tel+Nouara,+Chefchaouen/data=!4m10!3m9!1s0xd0b2661c9a9b2ed:0x903a07a06f87edec!5m2!4m1!1i2!8m2!3d35.1699172!4d-5.2670097!16s%2Fg%2F11crssdg2v!19sChIJ7bKpyWEmCw0R7O2Hb6AHOpA?authuser=0&hl=fr&rclk=1"
Hôtel Dar Nokhba Inn,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Dar+Nokhba+Inn/data=!4m10!3m9!1s0xd0b2660a4792979:0xc6ede8a4bfb3bc23!5m2!4m1!1i2!8m2!3d35.1671145!4d-5.2642501!16s%2Fg%2F11f4wv5j1f!19sChIJeSl5pGAmCw0RI7yzv6To7cY?authuser=0&hl=fr&rclk=1
Hotel Ras El Maa,Hotel,Chefchaouen,https://www.google.com/maps/place/Hotel+Ras+El+Maa/data=!4m10!3m9!1s0xd0b2667d485353b:0x9ed4c94923daadd8!5m2!4m1!1i2!8m2!3d35.1701084!4d-5.2583628!16s%2Fg%2F1hdyx59cb!19sChIJOzWF1GcmCw0R2K3aI0nJ1J4?authuser=0&hl=fr&rclk=1
Hotel Nisrine,Hotel,Chefchaouen,https://www.google.com/maps/place/Hotel+Nisrine/data=!4m10!3m9!1s0xd0b268a37b41457:0x15545b43491a1d2d!5m2!4m1!1i2!8m2!3d35.1695397!4d-5.2650953!16s%2Fg%2F11b6hx1ms3!19sChIJVxS0N4omCw0RLR0aSUNbVBU?authuser=0&hl=fr&rclk=1
Hôtel Dar Chefchaouen,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Dar+Chefchaouen/data=!4m10!3m9!1s0xd0b2660fd6ad98b:0xa0c48089fb1fd452!5m2!4m1!1i2!8m2!3d35.1694756!4d-5.2652946!16s%2Fg%2F11fz9y83jb!19sChIJi9lq_WAmCw0RUtQf-4mAxKA?authuser=0&hl=fr&rclk=1
Hôtel Chaouen فندق الشاون,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Chaouen+%D9%81%D9%86%D8%AF%D9%82+%D8%A7%D9%84%D8%B4%D8%A7%D9%88%D9%86%E2%80%AD/data=!4m10!3m9!1s0xd0b27ff14b2b155:0xc28a0c403f49f06!5m2!4m1!1i2!8m2!3d35.1532013!4d-5.2683898!16s%2Fg%2F11t2lcfvp2!19sChIJVbGyFP8nCw0RBp_0A8SgKAw?authuser=0&hl=fr&rclk=1
Blue city,Hotel,Chefchaouen,https://www.google.com/maps/place/Blue+city/data=!4m10!3m9!1s0xd0b27c2055f1323:0x7e6b3df2d69e0911!5m2!4m1!1i2!8m2!3d35.1693991!4d-5.2594589!16s%2Fg%2F11rd34lsjy!19sChIJIxNfBcInCw0REQme1vI9a34?authuser=0&hl=fr&rclk=1
Hotel Dar Annasr,Hotel,Chefchaouen,https://www.google.com/maps/place/Hotel+Dar+Annasr/data=!4m10!3m9!1s0xd0b268ea70be7db:0x16d83520b2a73ef8!5m2!4m1!1i2!8m2!3d35.1680226!4d-5.2758794!16s%2Fg%2F1tjxgxgq!19sChIJ2-cLp44mCw0R-D6nsiA12BY?authuser=0&hl=fr&rclk=1
Hotel Molino Garden,Hotel,Chefchaouen,https://www.google.com/maps/place/Hotel+Molino+Garden/data=!4m10!3m9!1s0xd0b2667d38254c5:0xd263548df848638f!5m2!4m1!1i2!8m2!3d35.1694295!4d-5.2585455!16s%2Fg%2F12vt42tqj!19sChIJxVSC02cmCw0Rj2NI-I1UY9I?authuser=0&hl=fr&rclk=1
HOTEL AYMANE ROOFTOP,Hotel,Chefchaouen,https://www.google.com/maps/place/HOTEL+AYMANE+ROOFTOP/data=!4m10!3m9!1s0xd0b2660dffa45fb:0xfd4949baae40b0e0!5m2!4m1!1i2!8m2!3d35.1693671!4d-5.2645433!16s%2Fg%2F11b8zbrzw3!19sChIJ-0X632AmCw0R4LBArrpJSf0?authuser=0&hl=fr&rclk=1
Hôtel Barcelona,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Barcelona/data=!4m10!3m9!1s0xd0b26671fe2c9fd:0xe7124e0e971ba2b5!5m2!4m1!1i2!8m2!3d35.1695!4d-5.2618!16s%2Fg%2F11h0y9rql!19sChIJ_cniH2cmCw0RtaIblw5OEuc?authuser=0&hl=fr&rclk=1
Hôtel Ouarzazate,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Ouarzazate/data=!4m10!3m9!1s0xd0b26612535efd9:0x2942cc71c9c3e654!5m2!4m1!1i2!8m2!3d35.1684516!4d-5.2639183!16s%2Fg%2F11g2xwdg8l!19sChIJ2e81JWEmCw0RVObDyXHMQik?authuser=0&hl=fr&rclk=1
Riad et Resaurant Palacio al andalus,Hotel,Chefchaouen,https://www.google.com/maps/place/Riad+et+Resaurant+Palacio+al+andalus/data=!4m10!3m9!1s0xd0b272a2650cc1d:0xb383b375e0a2c779!5m2!4m1!1i2!8m2!3d35.1693514!4d-5.2618534!16s%2Fg%2F11vwp39jy2!19sChIJHcxQJionCw0Recei4HWzg7M?authuser=0&hl=fr&rclk=1
Hôtel Chams,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Chams/data=!4m10!3m9!1s0xd0b2660c93eab83:0xd38bac2a7aa0730a!5m2!4m1!1i2!8m2!3d35.1684873!4d-5.2633775!16s%2Fg%2F11h0llf9n!19sChIJg6s-yWAmCw0RCnOgeiqsi9M?authuser=0&hl=fr&rclk=1
Pension Cordoba,Hotel,Chefchaouen,https://www.google.com/maps/place/Pension+Cordoba/data=!4m10!3m9!1s0xd0b26671f362f65:0xb28e30ab14a53c23!5m2!4m1!1i2!8m2!3d35.1694096!4d-5.2615632!16s%2Fg%2F11c0qgrf_2!19sChIJZS82H2cmCw0RIzylFKswjrI?authuser=0&hl=fr&rclk=1
Hôtel Abi Khancha,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Abi+Khancha/data=!4m10!3m9!1s0xd0b2660c1b91f65:0xe7dd3355c91c3bf5!5m2!4m1!1i2!8m2!3d35.1681747!4d-5.2643124!16s%2Fg%2F11b6hsl914!19sChIJZR-5wWAmCw0R9TscyVUz3ec?authuser=0&hl=fr&rclk=1
Riad baraka,Hotel,Chefchaouen,https://www.google.com/maps/place/Riad+baraka/data=!4m10!3m9!1s0xd0b26672d7e6655:0xbb80b90f493f6dc2!5m2!4m1!1i2!8m2!3d35.1686954!4d-5.2642583!16s%2Fg%2F11b66j61vl!19sChIJVWZ-LWcmCw0Rwm0_SQ-5gLs?authuser=0&hl=fr&rclk=1
hotel anaia,Hotel,Chefchaouen,https://www.google.com/maps/place/hotel+anaia/data=!4m10!3m9!1s0xd0b266712ece1a3:0x6f1d3a797eb09296!5m2!4m1!1i2!8m2!3d35.1682448!4d-5.2611825!16s%2Fg%2F11f66tb8kz!19sChIJo-HsEmcmCw0RlpKwfnk6HW8?authuser=0&hl=fr&rclk=1
LUXURY CHAOUEN,Hotel,Chefchaouen,https://www.google.com/maps/place/LUXURY+CHAOUEN/data=!4m10!3m9!1s0xd0b270045396e11:0x8ca9ce151ff4fc15!5m2!4m1!1i2!8m2!3d35.1718981!4d-5.2733774!16s%2Fg%2F11lyjrnh4b!19sChIJEW45RQAnCw0RFfz0HxXOqYw?authuser=0&hl=fr&rclk=1
Hotel asmara,Hotel,Chefchaouen,https://www.google.com/maps/place/Hotel+asmara/data=!4m10!3m9!1s0xd0b271e0505802d:0x565a659d1476a4ae!5m2!4m1!1i2!8m2!3d35.1699962!4d-5.2654274!16s%2Fg%2F11fql2ffy6!19sChIJLYAFBR4nCw0RrqR2FJ1lWlY?authuser=0&hl=fr&rclk=1
Hôtel Al Amana,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Al+Amana/data=!4m10!3m9!1s0xd0b265c8107213b:0x1bed3721b0ebadc9!5m2!4m1!1i2!8m2!3d35.1614261!4d-5.2615419!16s%2Fg%2F11f4wvc9b6!19sChIJOyEHgVwmCw0Rya3rsCE37Rs?authuser=0&hl=fr&rclk=1
Riad Mauritania,Hotel,Chefchaouen,https://www.google.com/maps/place/Riad+Mauritania/data=!4m10!3m9!1s0xd0b26613fadc651:0x8cf2ff3cc2acb142!5m2!4m1!1i2!8m2!3d35.1680268!4d-5.2631131!16s%2Fg%2F11c1xskzdw!19sChIJUcatP2EmCw0RQrGswjz_8ow?authuser=0&hl=fr&rclk=1
Dar Sababa,Hotel,Chefchaouen,https://www.google.com/maps/place/Dar+Sababa/data=!4m10!3m9!1s0xd0b26612dc55d9f:0x56d8871021d6e5b8!5m2!4m1!1i2!8m2!3d35.1699021!4d-5.263432!16s%2Fg%2F11b7fwm7f5!19sChIJn13FLWEmCw0RuOXWIRCH2FY?authuser=0&hl=fr&rclk=1
Dar Dadicilef Hostel,Hotel,Chefchaouen,https://www.google.com/maps/place/Dar+Dadicilef+Hostel/data=!4m10!3m9!1s0xd0b2660b5c73999:0x3f562464c7a725ee!5m2!4m1!1i2!8m2!3d35.1679094!4d-5.263417!16s%2Fg%2F11b8v9yyy9!19sChIJmTnHtWAmCw0R7iWnx2QkVj8?authuser=0&hl=fr&rclk=1
Ali Baba Apartment Hostel,Hotel,Chefchaouen,https://www.google.com/maps/place/Ali+Baba+Apartment+Hostel/data=!4m10!3m9!1s0xd0b27fd0a9464a7:0x78770ecc6fcd69d1!5m2!4m1!1i2!8m2!3d35.1585246!4d-5.2679263!16s%2Fg%2F11fjn3sfns!19sChIJp2SUCv0nCw0R0WnNb8wOd3g?authuser=0&hl=fr&rclk=1
Torre Hadra,Hotel,Chefchaouen,https://www.google.com/maps/place/Torre+Hadra/data=!4m10!3m9!1s0xd0b27a58f6952bf:0xe4de821b7005ddd6!5m2!4m1!1i2!8m2!3d35.1678742!4d-5.2690843!16s%2Fg%2F11f5t_5xsj!19sChIJv1Jpj6UnCw0R1t0FcBuC3uQ?authuser=0&hl=fr&rclk=1
Dar Besmellah,Hotel,Chefchaouen,https://www.google.com/maps/place/Dar+Besmellah/data=!4m10!3m9!1s0xd0b266649833d7f:0xca3a910c3f946a61!5m2!4m1!1i2!8m2!3d35.1699325!4d-5.2592462!16s%2Fg%2F11clgqkg0z!19sChIJfz2DSWYmCw0RYWqUPwyROso?authuser=0&hl=fr&rclk=1
Morocco palace,Hotel,Chefchaouen,https://www.google.com/maps/place/Morocco+palace/data=!4m10!3m9!1s0xd0b270025f055d1:0x78de41a127572969!5m2!4m1!1i2!8m2!3d35.1697325!4d-5.2598457!16s%2Fg%2F11xh2r2z2p!19sChIJ0VXwJQAnCw0RaSlXJ6FB3ng?authuser=0&hl=fr&rclk=1
Dar Chourafa,Hotel,Chefchaouen,https://www.google.com/maps/place/Dar+Chourafa/data=!4m10!3m9!1s0xd0b2660cb1fd6b7:0x5b20f6ae70d620d9!5m2!4m1!1i2!8m2!3d35.1682263!4d-5.2632601!16s%2Fg%2F11g9qw5t16!19sChIJt9Yfy2AmCw0R2SDWcK72IFs?authuser=0&hl=fr&rclk=1
Hôtel rural casa linda,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+rural+casa+linda/data=!4m10!3m9!1s0xd0b265ab5aeebfd:0xcaa7567753de9d12!5m2!4m1!1i2!8m2!3d35.1580515!4d-5.2556005!16s%2Fg%2F11c3pmm6l5!19sChIJ_euutVomCw0REp3eU3dWp8o?authuser=0&hl=fr&rclk=1
Hotel Meftah,Hotel,Chefchaouen,https://www.google.com/maps/place/Hotel+Meftah/data=!4m10!3m9!1s0xd0b265a1d4a6955:0x7e41b0ec8c98c7ea!5m2!4m1!1i2!8m2!3d35.1582828!4d-5.261842!16s%2Fg%2F1tdx0t5g!19sChIJVWlKHVomCw0R6seYjOywQX4?authuser=0&hl=fr&rclk=1
Hôtel Ziryab,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Ziryab/data=!4m10!3m9!1s0xd0b27aa3bdd4fdd:0x3e61f30b68147c76!5m2!4m1!1i2!8m2!3d35.1693701!4d-5.2571971!16s%2Fg%2F11ffv4b2k8!19sChIJ3U_dO6onCw0RdnwUaAvzYT4?authuser=0&hl=fr&rclk=1
Hôtel Koutoubia,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Koutoubia/data=!4m10!3m9!1s0xd0b268a1887630f:0x10409513a524e317!5m2!4m1!1i2!8m2!3d35.1694489!4d-5.2600894!16s%2Fg%2F12vsfq9n5!19sChIJD2OHGIomCw0RF-MkpROVQBA?authuser=0&hl=fr&rclk=1
Hôtel Casa Miguel en Chefchaouen,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Casa+Miguel+en+Chefchaouen/data=!4m10!3m9!1s0xd0b268a1887630f:0xf29697eb894dd93d!5m2!4m1!1i2!8m2!3d35.1704157!4d-5.2602643!16s%2Fg%2F1pp2tjqfx!19sChIJD2OHGIomCw0RPdlNieuXlvI?authuser=0&hl=fr&rclk=1
Casa Autiui,Hotel,Chefchaouen,https://www.google.com/maps/place/Casa+Autiui/data=!4m10!3m9!1s0xd0b2700376fceed:0x3a3c690f4603be8e!5m2!4m1!1i2!8m2!3d35.1709613!4d-5.2591631!16s%2Fg%2F11yg3rtnl3!19sChIJ7c5vNwAnCw0Rjr4DRg9pPDo?authuser=0&hl=fr&rclk=1
Résidence Hôtelière Chez Aziz,Hotel,Chefchaouen,https://www.google.com/maps/place/R%C3%A9sidence+H%C3%B4teli%C3%A8re+Chez+Aziz/data=!4m10!3m9!1s0xd0b266005730b09:0x7d014cc423938ba8!5m2!4m1!1i2!8m2!3d35.1670329!4d-5.2678551!16s%2Fg%2F11b5pjcplc!19sChIJCQtzBWAmCw0RqIuTI8RMAX0?authuser=0&hl=fr&rclk=1
PALACIO DEL SOL,Hotel,Chefchaouen,https://www.google.com/maps/place/PALACIO+DEL+SOL/data=!4m10!3m9!1s0xd0b2700b64f44bf:0x94ae687b5c48b985!5m2!4m1!1i2!8m2!3d35.1679499!4d-5.2625405!16s%2Fg%2F11w9nd37y7!19sChIJv0RPtgAnCw0RhblIXHtorpQ?authuser=0&hl=fr&rclk=1
Hôtel princesse ilham,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+princesse+ilham/data=!4m10!3m9!1s0xd0b273f53b4c235:0xc92bb9b1796534d6!5m2!4m1!1i2!8m2!3d35.1686358!4d-5.2576864!16s%2Fg%2F11gxmcx7bs!19sChIJNcK0Uz8nCw0R1jRlebG5K8k?authuser=0&hl=fr&rclk=1
Hôtel casa khaldi,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+casa+khaldi/data=!4m10!3m9!1s0xd0b26888a0ee67f:0xb0187a37661f9857!5m2!4m1!1i2!8m2!3d35.169725!4d-5.2663032!16s%2Fg%2F1pp2t_jk5!19sChIJf-YOiogmCw0RV5gfZjd6GLA?authuser=0&hl=fr&rclk=1
casa malek,Hotel,Chefchaouen,https://www.google.com/maps/place/casa+malek/data=!4m10!3m9!1s0xd0b2714d440629f:0xb2e5af5b6fc57bf!5m2!4m1!1i2!8m2!3d35.1692865!4d-5.2609398!16s%2Fg%2F11fmzclm6f!19sChIJn2JA1BQnCw0Rv1f8tvVaLgs?authuser=0&hl=fr&rclk=1
Hôtel Nokhba,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Nokhba/data=!4m10!3m9!1s0xd0b27281c4cc2b3:0xfd19c3854041bf24!5m2!4m1!1i2!8m2!3d35.1669536!4d-5.2630389!16s%2Fg%2F11hf27lr3p!19sChIJs8JMHCgnCw0RJL9BQIXDGf0?authuser=0&hl=fr&rclk=1
Hôtel Pedro,Hotel,Chefchaouen,https://www.google.com/maps/place/H%C3%B4tel+Pedro/data=!4m10!3m9!1s0xd0b27ec89c4cfad:0xe5ecc186adc80de2!5m2!4m1!1i2!8m2!3d35.1669614!4d-5.2631647!16s%2Fg%2F11pkj15r6j!19sChIJrc_EiewnCw0R4g3IrYbB7OU?authuser=0&hl=fr&rclk=1
Casa blue star,Hotel,Chefchaouen,https://www.google.com/maps/place/Casa+blue+star/data=!4m10!3m9!1s0xd0b272739db906f:0xf2c6926aa8a5aeb3!5m2!4m1!1i2!8m2!3d35.1691561!4d-5.2598239!16s%2Fg%2F11c1xzyc17!19sChIJb5DbOScnCw0Rs66lqGqSxvI?authuser=0&hl=fr&rclk=1
Dar aicha tesemlale Chefchaoun maroc,Hotel,Chefchaouen,https://www.google.com/maps/place/Dar+aicha+tesemlale+Chefchaoun+maroc/data=!4m10!3m9!1s0xd0b273c3dc94183:0x79670d134f99083e!5m2!4m1!1i2!8m2!3d35.1768279!4d-5.2756761!16s%2Fg%2F11j03sg7lp!19sChIJg0HJPTwnCw0RPgiZTxMNZ3k?authuser=0&hl=fr&rclk=1
Casa Rahma,Hotel,Chefchaouen,https://www.google.com/maps/place/Casa+Rahma/data=!4m10!3m9!1s0xd0b27ad91f57eeb:0x82455ed60689a131!5m2!4m1!1i2!8m2!3d35.1646982!4d-5.2672115!16s%2Fg%2F11g2w5xjdp!19sChIJ6371ka0nCw0RMaGJBtZeRYI?authuser=0&hl=fr&rclk=1
دار الأمان Dar El Aman,Hotel,Chefchaouen,https://www.google.com/maps/place/%D8%AF%D8%A7%D8%B1+%D8%A7%D9%84%D8%A3%D9%85%D8%A7%D9%86+Dar+El+Aman%E2%80%AD/data=!4m10!3m9!1s0xd0b275b579dba6d:0xf47899ae9a229f63!5m2!4m1!1i2!8m2!3d35.1669182!4d-5.2644702!16s%2Fg%2F11fkqqlqxd!19sChIJbbqdV1snCw0RY58imq6ZePQ?authuser=0&hl=fr&rclk=1
Hotel Restaurant Al Kasbah,Hotel,Chefchaouen,https://www.google.com/maps/place/Hotel+Restaurant+Al+Kasbah/data=!4m10!3m9!1s0xd0b266721741fa3:0x8aa60f81d8b5870!5m2!4m1!1i2!8m2!3d35.1691613!4d-5.2620562!16s%2Fg%2F11g0mv8bv8!19sChIJox90IWcmCw0RcFiLHfhgqgg?authuser=0&hl=fr&rclk=1
