place name,category,city,link
Assaada,Restaurant,Chefchaouen,https://www.google.com/maps/place/Assaada/data=!4m7!3m6!1s0xd0b2660c28dd73f:0x1b1d7cca53c62233!8m2!3d35.1684888!4d-5.2646575!16s%2Fg%2F1yfdqyh1l!19sChIJP9eNwmAmCw0RMyLGU8p8HRs?authuser=0&hl=fr&rclk=1
El Cielo restaurant,Restaurant,Chefchaouen,https://www.google.com/maps/place/El+Cielo+restaurant/data=!4m7!3m6!1s0xd0b27312fbac127:0xf21fb8342706260d!8m2!3d35.1694269!4d-5.2585294!16s%2Fg%2F11vzxtnxxl!19sChIJJ8G6LzEnCw0RDSYGJzS4H_I?authuser=0&hl=fr&rclk=1
Cafe Clock,Restaurant,Chefchaouen,https://www.google.com/maps/place/Cafe+Clock/data=!4m7!3m6!1s0xd0b27fb2020499f:0x2c0f162ea2ab9e44!8m2!3d35.1696184!4d-5.263062!16s%2Fg%2F11g2wj62md!19sChIJn0kgIPsnCw0RRJ6roi4WDyw?authuser=0&hl=fr&rclk=1
Restaurant La fuente,Restaurant,Chefchaouen,https://www.google.com/maps/place/Restaurant+La+fuente/data=!4m7!3m6!1s0xd0b27487e78682f:0xa0103e0fa2711b62!8m2!3d35.1691731!4d-5.2615179!16s%2Fg%2F11t1hd3t70!19sChIJL2h4fkgnCw0RYhtxog8-EKA?authuser=0&hl=fr&rclk=1
Restaurant Bilmos,Restaurant,Chefchaouen,https://www.google.com/maps/place/Restaurant+Bilmos/data=!4m7!3m6!1s0xd0b27ec14db14bf:0x8ff68e5ca8652181!8m2!3d35.1686641!4d-5.2626022!16s%2Fg%2F11fp7xccxr!19sChIJvxTbFOwnCw0RgSFlqFyO9o8?authuser=0&hl=fr&rclk=1
Restaurant Chourafa,Restaurant,Chefchaouen,https://www.google.com/maps/place/Restaurant+Chourafa/data=!4m7!3m6!1s0xd0b27399ba96f7d:0x9242952fb95dfd34!8m2!3d35.1681168!4d-5.2642137!16s%2Fg%2F11q1rmgs1l!19sChIJfW-pmzknCw0RNP1duS-VQpI?authuser=0&hl=fr&rclk=1
Sofia,Restaurant,Chefchaouen,https://www.google.com/maps/place/Sofia/data=!4m7!3m6!1s0xd0b2667041176b1:0xc4104693dda67a81!8m2!3d35.169178!4d-5.2611976!16s%2Fg%2F11b7ztv_zj!19sChIJsXYRBGcmCw0RgXqm3ZNGEMQ?authuser=0&hl=fr&rclk=1
Restaurant El Wiam,Restaurant,Chefchaouen,https://www.google.com/maps/place/Restaurant+El+Wiam/data=!4m7!3m6!1s0xd0b2660cd317631:0x142a593d5fbcfafe!8m2!3d35.1686816!4d-5.2633836!16s%2Fg%2F11ggt1fh22!19sChIJMXYxzWAmCw0R_vq8Xz1ZKhQ?authuser=0&hl=fr&rclk=1
Restaurant paloma (HAMAMA),Restaurant,Chefchaouen,https://www.google.com/maps/place/Restaurant+paloma+%28HAMAMA%29/data=!4m7!3m6!1s0xd0b277f41840b4f:0xf5a1922e6ba43df2!8m2!3d35.1685213!4d-5.2629279!16s%2Fg%2F11pkkd99gk!19sChIJTwuEQX8nCw0R8j2kay6SofU?authuser=0&hl=fr&rclk=1
Restaurant Jbaria,Restaurant,Chefchaouen,https://www.google.com/maps/place/Restaurant+Jbaria/data=!4m7!3m6!1s0xd0b27ca303936c3:0x7d751aa1e4dbef42!8m2!3d35.1681154!4d-5.2642032!16s%2Fg%2F11vbsrfbz_!19sChIJwzY5MMonCw0RQu_b5KEadX0?authuser=0&hl=fr&rclk=1
MIDO'S,Restaurant,Chefchaouen,https://www.google.com/maps/place/MIDO%27S/data=!4m7!3m6!1s0xd0b266730151ddf:0x7f7deb5d3c0bf93d!8m2!3d35.1685633!4d-5.2627015!16s%2Fg%2F11c0vxk0nn!19sChIJ3x0VMGcmCw0RPfkLPF3rfX8?authuser=0&hl=fr&rclk=1
Restaurant SAYEDA ALHURRA,Restaurant,Chefchaouen,https://www.google.com/maps/place/Restaurant+SAYEDA+ALHURRA/data=!4m7!3m6!1s0xd0b27003938240d:0xf7fb6efdcee364c4!8m2!3d35.1679751!4d-5.2653374!16s%2Fg%2F11ln3kwwj6!19sChIJDSQ4OQAnCw0RxGTjzv1u-_c?authuser=0&hl=fr&rclk=1
Chez Toda : crêperie & ice cream,Restaurant,Chefchaouen,https://www.google.com/maps/place/Chez+Toda+:+cr%C3%AAperie+%26+ice+cream/data=!4m7!3m6!1s0xd0b27363db34703:0xba6cf5b05bb5f094!8m2!3d35.1702586!4d-5.2595467!16s%2Fg%2F11fmwnzdky!19sChIJA0ezPTYnCw0RlPC1W7D1bLo?authuser=0&hl=fr&rclk=1
Restaurant Morisco,Restaurant,Chefchaouen,https://www.google.com/maps/place/Restaurant+Morisco/data=!4m7!3m6!1s0xd0b26673cd0bba7:0x56d7926e932fadc!8m2!3d35.1689199!4d-5.2622911!16s%2Fg%2F119tc8z14!19sChIJp7vQPGcmCw0R3Poy6SZ5bQU?authuser=0&hl=fr&rclk=1
Restaurant Cafe Zambra,Restaurant,Chefchaouen,https://www.google.com/maps/place/Restaurant+Cafe+Zambra/data=!4m7!3m6!1s0xd0b27aacacbe0eb:0xf545d019d7254499!8m2!3d35.1703694!4d-5.2621182!16s%2Fg%2F11krh6p_zc!19sChIJ6-DLyqonCw0RmUQl1xnQRfU?authuser=0&hl=fr&rclk=1
Restaurant Triana,Restaurant,Chefchaouen,https://www.google.com/maps/place/Restaurant+Triana/data=!4m7!3m6!1s0xd0b27f6f1207745:0x953236407505b205!8m2!3d35.1681776!4d-5.260296!16s%2Fg%2F11rsp_pmrn!19sChIJRXcg8fYnCw0RBbIFdUA2MpU?authuser=0&hl=fr&rclk=1
Restaurant Bab Ssour,Restaurant,Chefchaouen,https://www.google.com/maps/place/Restaurant+Bab+Ssour/data=!4m7!3m6!1s0xd0b27f39188e4f9:0xe3985315866b1b74!8m2!3d35.1672507!4d-5.2634293!16s%2Fg%2F11fsn69tb4!19sChIJ-eSIkfMnCw0RdBtrhhVTmOM?authuser=0&hl=fr&rclk=1
Galito’s,Restaurant,Chefchaouen,https://www.google.com/maps/place/Galito%E2%80%99s/data=!4m7!3m6!1s0xd0b27565c7002ff:0x1b54b16cf6da4ed0!8m2!3d35.1672584!4d-5.2622259!16s%2Fg%2F11hybgpjxv!19sChIJ_wJwXFYnCw0R0E7a9myxVBs?authuser=0&hl=fr&rclk=1
FORNACCIO- Coffe & Kitchen,Restaurant,Chefchaouen,https://www.google.com/maps/place/FORNACCIO-+Coffe+%26+Kitchen/data=!4m7!3m6!1s0xd0b27000f370713:0x50b7c93d5b09b21b!8m2!3d35.1697766!4d-5.2660718!16s%2Fg%2F11vzxrk28_!19sChIJEwc3DwAnCw0RG7IJWz3Jt1A?authuser=0&hl=fr&rclk=1
Oudia restaurant,Restaurant,Chefchaouen,https://www.google.com/maps/place/Oudia+restaurant/data=!4m7!3m6!1s0xd0b27aa5a0c5ecd:0xd480192029314bce!8m2!3d35.1671876!4d-5.2658424!16s%2Fg%2F11fhz8ppzf!19sChIJzV4MWqonCw0RzksxKSAZgNQ?authuser=0&hl=fr&rclk=1
café snack Dalia,Restaurant,Chefchaouen,https://www.google.com/maps/place/caf%C3%A9+snack+Dalia/data=!4m7!3m6!1s0xd0b27c7f19afefd:0x3f350e7ca45b3819!8m2!3d35.168248!4d-5.2637943!16s%2Fg%2F11qg65rx5r!19sChIJ_f6a8ccnCw0RGThbpHwONT8?authuser=0&hl=fr&rclk=1
Casa Hassan,Restaurant,Chefchaouen,https://www.google.com/maps/place/Casa+Hassan/data=!4m10!3m9!1s0xd0b26671e27a9d7:0x44b78fd40566ab3d!5m2!4m1!1i2!8m2!3d35.1693828!4d-5.2620461!16s%2Fg%2F12hkg5145!19sChIJ16knHmcmCw0RPatmBdSPt0Q?authuser=0&hl=fr&rclk=1
مطعم بلديrestaurant baladi,Restaurant,Chefchaouen,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A8%D9%84%D8%AF%D9%8Arestaurant+baladi%E2%80%AD/data=!4m7!3m6!1s0xd0b27617b1ad9bb:0xa9f987f34b01ff31!8m2!3d35.1684972!4d-5.2634439!16s%2Fg%2F11tf53_890!19sChIJu9kae2EnCw0RMf8BS_OH-ak?authuser=0&hl=fr&rclk=1
Restaurant Lalla Messaouda,Restaurant,Chefchaouen,https://www.google.com/maps/place/Restaurant+Lalla+Messaouda/data=!4m7!3m6!1s0xd0b2666dc5919f7:0x9435465753132495!8m2!3d35.1700022!4d-5.2620927!16s%2Fg%2F11hbghcqg8!19sChIJ9xlZ3GYmCw0RlSQTU1dGNZQ?authuser=0&hl=fr&rclk=1
Chez Hicham,Restaurant,Chefchaouen,https://www.google.com/maps/place/Chez+Hicham/data=!4m10!3m9!1s0xd0b266718e73615:0xcb4acc1c1af2ee15!5m2!4m1!1i2!8m2!3d35.1690917!4d-5.2616274!16s%2Fg%2F11bwpzwzzj!19sChIJFTbnGGcmCw0RFe7yGhzMSss?authuser=0&hl=fr&rclk=1
Tissemlal,Restaurant,Chefchaouen,https://www.google.com/maps/place/Tissemlal/data=!4m7!3m6!1s0xd0b268ea64b4a87:0x978c7f940ffcb645!8m2!3d35.1695025!4d-5.2619248!16s%2Fg%2F11g_pny6c!19sChIJh0pLpo4mCw0RRbb8D5R_jJc?authuser=0&hl=fr&rclk=1
