place name,category,city,link
Chefchaouen Medina,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/Chefchaouen+Medina/data=!4m7!3m6!1s0xd0b271f19a024b3:0x56df674ee74db2e6!8m2!3d35.1694458!4d-5.2600053!16s%2Fg%2F11sz3_hjbp!19sChIJsySgGR8nCw0R5rJN505n31Y?authuser=0&hl=fr&rclk=1
Chefchaouen Gate,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/Chefchaouen+Gate/data=!4m7!3m6!1s0xd0b27bd0d95f04d:0xc72e739b168b0a49!8m2!3d35.1526789!4d-5.2678533!16s%2Fg%2F11fm2mrv0c!19sChIJTfCVDb0nCw0RSQqLFptzLsc?authuser=0&hl=fr&rclk=1
Place El Haouta,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/Place+El+Haouta/data=!4m7!3m6!1s0xd0b2660d154b433:0x61a2ad1d08751544!8m2!3d35.1690196!4d-5.2636619!16s%2Fg%2F1td61_06!19sChIJM7RU0WAmCw0RRBV1CB2tomE?authuser=0&hl=fr&rclk=1
I LOVE CHEFCHAOUEN,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/I+LOVE+CHEFCHAOUEN/data=!4m7!3m6!1s0xd0b270020c38b5f:0x2ca62d38198dd299!8m2!3d35.1557201!4d-5.2634365!16s%2Fg%2F11vyr7ltgd!19sChIJX4vDIAAnCw0RmdKNGTgtpiw?authuser=0&hl=fr&rclk=1
Grande Cascade D'akchour,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/Grande+Cascade+D%27akchour/data=!4m7!3m6!1s0xd0b2c2189388adf:0xf3290c54361cf095!8m2!3d35.2177153!4d-5.1382689!16s%2Fg%2F11c1qsdv9t!19sChIJ34o4iSEsCw0RlfAcNlQMKfM?authuser=0&hl=fr&rclk=1
Kasbah,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/Kasbah/data=!4m7!3m6!1s0xd0b266713f8207b:0x2d27475cf66f0bf5!8m2!3d35.1685246!4d-5.2619952!16s%2Fg%2F1vqtj0wg!19sChIJeyD4E2cmCw0R9Qtv9lxHJy0?authuser=0&hl=fr&rclk=1
Bab el ain,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/Bab+el+ain/data=!4m7!3m6!1s0xd0b2700491b90b3:0xff29c99ec8b0ebae!8m2!3d35.1682582!4d-5.2648326!16s%2Fg%2F11x0pkfshv!19sChIJs5AbSQAnCw0RruuwyJ7JKf8?authuser=0&hl=fr&rclk=1
Les cascades d'Akchour,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/Les+cascades+d%27Akchour/data=!4m7!3m6!1s0xd0b2c22260509bf:0xcdd5aa44f4ec081c!8m2!3d35.2393737!4d-5.177349!16s%2Fg%2F1tg9jtjg!19sChIJvwkFJiIsCw0RHAjs9ESq1c0?authuser=0&hl=fr&rclk=1
Bab Chaouen,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/Bab+Chaouen/data=!4m7!3m6!1s0xd0b275603d2ba61:0xfd25073c016e4b84!8m2!3d35.1526417!4d-5.2678377!16s%2Fg%2F11h88rxwzt!19sChIJYbrSA1YnCw0RhEtuATwHJf0?authuser=0&hl=fr&rclk=1
Derb El Assri,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/Derb+El+Assri/data=!4m7!3m6!1s0xd0b2729409bc409:0x9555de0e135edaf3!8m2!3d35.1701337!4d-5.2631573!16s%2Fg%2F11h3dg2f7n!19sChIJCcSbQCknCw0R89peEw7eVZU?authuser=0&hl=fr&rclk=1
View on Chefchaouen,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/View+on+Chefchaouen/data=!4m7!3m6!1s0xd0b27004893297f:0x5877fd9bed758c46!8m2!3d35.1677536!4d-5.2551344!16s%2Fg%2F11ltkw5rcd!19sChIJfymTSAAnCw0RRox17Zv9d1g?authuser=0&hl=fr&rclk=1
Vue panoramique sur Chefchaouen,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/Vue+panoramique+sur+Chefchaouen/data=!4m7!3m6!1s0xd0b27000bb8ec4d:0x538b291a257dcde8!8m2!3d35.1657016!4d-5.2556773!16s%2Fg%2F11w84nkjh9!19sChIJTey4CwAnCw0R6M19JRopi1M?authuser=0&hl=fr&rclk=1
Darb Limoun,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/Darb+Limoun/data=!4m7!3m6!1s0xd0b27701deb461f:0xad819624b4111dc4!8m2!3d35.1695625!4d-5.2642344!16s%2Fg%2F11v3pnz6rm!19sChIJH0brHXAnCw0RxB0RtCSWga0?authuser=0&hl=fr&rclk=1
Plaza Uta el Hamman,Tourist Attraction,Chefchaouen,https://www.google.com/maps/place/Plaza+Uta+el+Hamman/data=!4m7!3m6!1s0xd0b2768030035cb:0xccdbb13f4b5259bd!8m2!3d35.1687825!4d-5.2622234!16s%2Fg%2F11hzmm_3f3!19sChIJyzUAA2gnCw0RvVlSSz-x28w?authuser=0&hl=fr&rclk=1
