place name,category,city,link
Tulum Beach Resort & Spa Dakhla,Hotel,Dakhla,https://www.google.com/maps/place/Tulum+Beach+Resort+%26+Spa+Dakhla/data=!4m10!3m9!1s0xc2249c203a4ec59:0x416f2966ab92b31e!5m2!4m1!1i2!8m2!3d23.7708183!4d-15.9231298!16s%2Fg%2F11s4trk5x7!19sChIJWeykA8JJIgwRHrOSq2Ypb0E?authuser=0&hl=fr&rclk=1
Hôtel Dakhla Sur Mer,Hotel,Dakhla,https://www.google.com/maps/place/H%C3%B4tel+Dakhla+Sur+Mer/data=!4m10!3m9!1s0xc22491e95dc0fd5:0x1208ee288b46920e!5m2!4m1!1i2!8m2!3d23.695117!4d-15.9327463!16s%2Fg%2F11f9y0868r!19sChIJ1Q_clR5JIgwRDpJGiyjuCBI?authuser=0&hl=fr&rclk=1
Inyan Hotel,Hotel,Dakhla,https://www.google.com/maps/place/Inyan+Hotel/data=!4m10!3m9!1s0xc2249531f4c953d:0x3a98457606fe3a7f!5m2!4m1!1i2!8m2!3d23.6945053!4d-15.9334533!16s%2Fg%2F11gmg3yzy1!19sChIJPZVMH1NJIgwRfzr-BnZFmDo?authuser=0&hl=fr&rclk=1
Dakhla South Bay - WorldHotels Distinctive,Hotel,Dakhla,https://www.google.com/maps/place/Dakhla+South+Bay+-+WorldHotels+Distinctive/data=!4m10!3m9!1s0xc22493b939a689f:0x3c375ad8c5a7fc25!5m2!4m1!1i2!8m2!3d23.7664146!4d-15.9067354!16s%2Fg%2F11q22wg7vq!19sChIJn2iakztJIgwRJfynxdhaNzw?authuser=0&hl=fr&rclk=1
Hotel Golden Sunset Dakhla,Hotel,Dakhla,https://www.google.com/maps/place/Hotel+Golden+Sunset+Dakhla/data=!4m10!3m9!1s0xc2249b4ea9a6ced:0x6ac3d10301c8cd7c!5m2!4m1!1i2!8m2!3d23.6893069!4d-15.9424493!16s%2Fg%2F11vdfj1tx1!19sChIJ7Wya6rRJIgwRfM3IAQPRw2o?authuser=0&hl=fr&rclk=1
Kite House Dakhla,Hotel,Dakhla,https://www.google.com/maps/place/Kite+House+Dakhla/data=!4m10!3m9!1s0xc2249a9f56aaaab:0x7ad7b74c74e07c75!5m2!4m1!1i2!8m2!3d23.7351938!4d-15.9138601!16s%2Fg%2F11k5grds_j!19sChIJq6pq9alJIgwRdXzgdEy313o?authuser=0&hl=fr&rclk=1
Medina Hotel Dakhla,Hotel,Dakhla,https://www.google.com/maps/place/Medina+Hotel+Dakhla/data=!4m10!3m9!1s0xc2249d2a4c43c65:0x51edf47155ea8d9a!5m2!4m1!1i2!8m2!3d23.6990886!4d-15.9298916!16s%2Fg%2F11x20mlg04!19sChIJZTzEpNJJIgwRmo3qVXH07VE?authuser=0&hl=fr&rclk=1
Hôtel Calipau Sahara,Hotel,Dakhla,https://www.google.com/maps/place/H%C3%B4tel+Calipau+Sahara/data=!4m10!3m9!1s0xc22491032666133:0x4549977f13deeb0f!5m2!4m1!1i2!8m2!3d23.7487277!4d-15.9084568!16s%2Fg%2F119x5hv91!19sChIJM2FmMhBJIgwRD-veE3-XSUU?authuser=0&hl=fr&rclk=1
Hôtel ANakhil dak,Hotel,Dakhla,https://www.google.com/maps/place/H%C3%B4tel+ANakhil+dak/data=!4m10!3m9!1s0xc2249002571703b:0x4db29797981a449a!5m2!4m1!1i2!8m2!3d23.6904438!4d-15.9498085!16s%2Fg%2F11y99tk3fp!19sChIJO3BxJQBJIgwRmkQamJeXsk0?authuser=0&hl=fr&rclk=1
Hotel Soukina,Hotel,Dakhla,https://www.google.com/maps/place/Hotel+Soukina/data=!4m10!3m9!1s0xc22484fffffffdd:0x12fac0b88e56a3ad!5m2!4m1!1i2!8m2!3d23.6986875!4d-15.9320625!16s%2Fg%2F11q3cgzw22!19sChIJ3f___09IIgwRraNWjrjA-hI?authuser=0&hl=fr&rclk=1
WOW HOTEL DAKHLA,Hotel,Dakhla,https://www.google.com/maps/place/WOW+HOTEL+DAKHLA/data=!4m10!3m9!1s0xc2249907ad96cfd:0xe051ac36e8b82aed!5m2!4m1!1i2!8m2!3d23.7142677!4d-15.9436326!16s%2Fg%2F11k_yk2k7l!19sChIJ_WzZepBJIgwR7Sq46DasUeA?authuser=0&hl=fr&rclk=1
Hotel Dakhla Ville,Hotel,Dakhla,https://www.google.com/maps/place/Hotel+Dakhla+Ville/data=!4m10!3m9!1s0xc22496047f20d83:0x913a5ac8312c4575!5m2!4m1!1i2!8m2!3d23.6971327!4d-15.931367!16s%2Fg%2F11pqckqd9r!19sChIJgw3yR2BJIgwRdUUsMchaOpE?authuser=0&hl=fr&rclk=1
Bavaro Beach Dakhla,Hotel,Dakhla,https://www.google.com/maps/place/Bavaro+Beach+Dakhla/data=!4m10!3m9!1s0xc22484548dc78b5:0xf2263259b6461f93!5m2!4m1!1i2!8m2!3d23.7976425!4d-15.8940547!16s%2Fg%2F11j_p_xxx4!19sChIJtXjcSEVIIgwRkx9GtlkyJvI?authuser=0&hl=fr&rclk=1
Dakhla Attitude,Hotel,Dakhla,https://www.google.com/maps/place/Dakhla+Attitude/data=!4m10!3m9!1s0xc23ad576f2a84ad:0xd47d8501707c5856!5m2!4m1!1i2!8m2!3d23.8939275!4d-15.7713164!16s%2Fg%2F1tftsbd0!19sChIJrYQqb1etIwwRVlh8cAGFfdQ?authuser=0&hl=fr&rclk=1
La Crique Hôtel & Spa Dakhla,Hotel,Dakhla,https://www.google.com/maps/place/La+Crique+H%C3%B4tel+%26+Spa+Dakhla/data=!4m10!3m9!1s0xc22496c68faa065:0xc12bec85231c6774!5m2!4m1!1i2!8m2!3d23.7701985!4d-15.9023048!16s%2Fg%2F11vymrrmf1!19sChIJZaD6aGxJIgwRdGccI4XsK8E?authuser=0&hl=fr&rclk=1
Elite View Hotel Dakhla,Hotel,Dakhla,https://www.google.com/maps/place/Elite+View+Hotel+Dakhla/data=!4m10!3m9!1s0xc2249986fca2c3f:0xb3a613f92a2aecd2!5m2!4m1!1i2!8m2!3d23.7611686!4d-15.9198897!16s%2Fg%2F11y5fxc3t7!19sChIJPyzKb5hJIgwR0uwqKvkTprM?authuser=0&hl=fr&rclk=1
Hôtel Almohit,Hotel,Dakhla,https://www.google.com/maps/place/H%C3%B4tel+Almohit/data=!4m10!3m9!1s0xc224825d160faa1:0xfcab5b2b9391872f!5m2!4m1!1i2!8m2!3d23.6934799!4d-15.9370936!16s%2Fg%2F11bz_rk_0y!19sChIJofpg0SVIIgwRL4eRkytbq_w?authuser=0&hl=fr&rclk=1
OASIS212,Hotel,Dakhla,https://www.google.com/maps/place/OASIS212/data=!4m10!3m9!1s0xc22343c5cd36f7b:0xf73e1d03da71d543!5m2!4m1!1i2!8m2!3d23.6298039!4d-15.8605508!16s%2Fg%2F11txbfd1qq!19sChIJe2_TXDw0IgwRQ9Vx2gMdPvc?authuser=0&hl=fr&rclk=1
Fyndy Hotel,Hotel,Dakhla,https://www.google.com/maps/place/Fyndy+Hotel/data=!4m10!3m9!1s0xc2237779ac40f03:0x3edca1dcd94d5e3d!5m2!4m1!1i2!8m2!3d23.6855082!4d-15.9452087!16s%2Fg%2F11s8tvp4zj!19sChIJAw_Emnc3IgwRPV5N2dyh3D4?authuser=0&hl=fr&rclk=1
Blue Vista Hotel,Hotel,Dakhla,https://www.google.com/maps/place/Blue+Vista+Hotel/data=!4m10!3m9!1s0xc22496638ac7067:0xd19cdea0693e094f!5m2!4m1!1i2!8m2!3d23.6904111!4d-15.9473011!16s%2Fg%2F11y6d1nhk7!19sChIJZ3CsOGZJIgwRTwk-aaDenNE?authuser=0&hl=fr&rclk=1
Caravan Dakhla by Our Habitas,Hotel,Dakhla,https://www.google.com/maps/place/Caravan+Dakhla+by+Our+Habitas/data=!4m10!3m9!1s0xc22485aacd3c355:0xc4a591ac4508bf41!5m2!4m1!1i2!8m2!3d23.9138755!4d-15.7815499!16s%2Fg%2F11sct07h74!19sChIJVcPTrFpIIgwRQb8IRayRpcQ?authuser=0&hl=fr&rclk=1
Playa Hôtel & Restaurant Dakhla,Hotel,Dakhla,https://www.google.com/maps/place/Playa+H%C3%B4tel+%26+Restaurant+Dakhla/data=!4m10!3m9!1s0xc2249b5967512b5:0x56c466162ff2bce8!5m2!4m1!1i2!8m2!3d23.7076408!4d-15.9238013!16s%2Fg%2F11v0_77hq6!19sChIJtRJ1lrVJIgwR6LzyLxZmxFY?authuser=0&hl=fr&rclk=1
Hôtel Dakhla Guest,Hotel,Dakhla,https://www.google.com/maps/place/H%C3%B4tel+Dakhla+Guest/data=!4m10!3m9!1s0xc22490bb4cc77b7:0x703631a4b599f9ab!5m2!4m1!1i2!8m2!3d23.7029666!4d-15.9269749!16s%2Fg%2F11vht49y08!19sChIJt3fMtAtJIgwRq_mZtaQxNnA?authuser=0&hl=fr&rclk=1
Hotel Buena Vista,Hotel,Dakhla,https://www.google.com/maps/place/Hotel+Buena+Vista/data=!4m10!3m9!1s0xc224834bec3fa51:0x2cc304217de6ba4a!5m2!4m1!1i2!8m2!3d23.7070983!4d-15.9241362!16s%2Fg%2F1yh7_rcfx!19sChIJUfrDvjRIIgwRSrrmfSEEwyw?authuser=0&hl=fr&rclk=1
Darkom Hôtel,Hotel,Dakhla,https://www.google.com/maps/place/Darkom+H%C3%B4tel/data=!4m10!3m9!1s0xc2249007ae33fb9:0xb1b7aa224a205cd1!5m2!4m1!1i2!8m2!3d23.7329118!4d-15.9156144!16s%2Fg%2F11mcm6ddpj!19sChIJuT_jegBJIgwR0VwgSiKqt7E?authuser=0&hl=fr&rclk=1
Ayouz House Hotel,Hotel,Dakhla,https://www.google.com/maps/place/Ayouz+House+Hotel/data=!4m10!3m9!1s0xc22497b213b8e75:0x80fef8d5dd76284f!5m2!4m1!1i2!8m2!3d23.6891593!4d-15.9437923!16s%2Fg%2F11llcz5b19!19sChIJdY47IXtJIgwRTyh23dX4_oA?authuser=0&hl=fr&rclk=1
The Ocean Villa Dakhla,Hotel,Dakhla,https://www.google.com/maps/place/The+Ocean+Villa+Dakhla/data=!4m10!3m9!1s0xc22491d357c9f33:0xa9bf3e4501556e07!5m2!4m1!1i2!8m2!3d23.7599032!4d-15.9223022!16s%2Fg%2F11y8pcf0fh!19sChIJM598NR1JIgwRB25VAUU-v6k?authuser=0&hl=fr&rclk=1
Dakhla Boarding Hotel & Restaurant,Hotel,Dakhla,https://www.google.com/maps/place/Dakhla+Boarding+Hotel+%26+Restaurant/data=!4m10!3m9!1s0xc2249ea28d90577:0xbcb469cebc3dc405!5m2!4m1!1i2!8m2!3d23.7054397!4d-15.9433531!16s%2Fg%2F11tcfkrc04!19sChIJdwXZKOpJIgwRBcQ9vM5ptLw?authuser=0&hl=fr&rclk=1
HOTEL MARINA DREAMS DAKHLA,Hotel,Dakhla,https://www.google.com/maps/place/HOTEL+MARINA+DREAMS+DAKHLA/data=!4m10!3m9!1s0xc2249297e7fa8eb:0xdd59e8cfaf74ffbc!5m2!4m1!1i2!8m2!3d23.6945719!4d-15.9333382!16s%2Fg%2F11js4cxt6p!19sChIJ66h_filJIgwRvP90r8_oWd0?authuser=0&hl=fr&rclk=1
Hôtel Tahiti,Hotel,Dakhla,https://www.google.com/maps/place/H%C3%B4tel+Tahiti/data=!4m10!3m9!1s0xc224820ffe98163:0x9e8b0e10a269cd18!5m2!4m1!1i2!8m2!3d23.689301!4d-15.9434688!16s%2Fg%2F1pp2ty3p2!19sChIJY4Hp_yBIIgwRGM1pohAOi54?authuser=0&hl=fr&rclk=1
Hôtel Moukawama,Hotel,Dakhla,https://www.google.com/maps/place/H%C3%B4tel+Moukawama/data=!4m10!3m9!1s0xc224831eb00b971:0x8c6b0a23dbe68bb2!5m2!4m1!1i2!8m2!3d23.7006227!4d-15.9297651!16s%2Fg%2F11c1qx0my7!19sChIJcbkA6zFIIgwRsovm2yMKa4w?authuser=0&hl=fr&rclk=1
Ahmed Ali Hotel,Hotel,Dakhla,https://www.google.com/maps/place/Ahmed+Ali+Hotel/data=!4m10!3m9!1s0xc2249004e71a2b5:0xf97c101cf50250ad!5m2!4m1!1i2!8m2!3d23.6907545!4d-15.9494584!16s%2Fg%2F11w82t5jh4!19sChIJtaJxTgBJIgwRrVAC9RwQfPk?authuser=0&hl=fr&rclk=1
PK25 Dakhla,Hotel,Dakhla,https://www.google.com/maps/place/PK25+Dakhla/data=!4m10!3m9!1s0xc2253c22eb4dae1:0x442eff7275beda9d!5m2!4m1!1i2!8m2!3d23.9016571!4d-15.7854359!16s%2Fg%2F11fklk2wb_!19sChIJ4dq0LsJTIgwRndq-dXL_LkQ?authuser=0&hl=fr&rclk=1
TIMAZIN Hotel Dakhla,Hotel,Dakhla,https://www.google.com/maps/place/TIMAZIN+Hotel+Dakhla/data=!4m10!3m9!1s0xc2248324f73f4b1:0x76ce3b66fb92b8b7!5m2!4m1!1i2!8m2!3d23.702035!4d-15.926869!16s%2Fg%2F11vm7mph6r!19sChIJsfRzTzJIIgwRt7iS-2Y7znY?authuser=0&hl=fr&rclk=1
Karam City Hotel Dakhla,Hotel,Dakhla,https://www.google.com/maps/place/Karam+City+Hotel+Dakhla/data=!4m10!3m9!1s0xc2249024db966fd:0xe826db1d13e9bcde!5m2!4m1!1i2!8m2!3d23.6982407!4d-15.9325122!16s%2Fg%2F11sf82xvsg!19sChIJ_Wa5TQJJIgwR3rzpEx3bJug?authuser=0&hl=fr&rclk=1
