place name,category,city,link
Chez N'TIFI,Restaurant,Dakhla,https://www.google.com/maps/place/Chez+N%27TIFI/data=!4m7!3m6!1s0xc224826cdff0919:0x69f834123f113c11!8m2!3d23.6905517!4d-15.940621!16s%2Fg%2F1pyc_7j0n!19sChIJGQn_zSZIIgwRETwRPxI0-Gk?authuser=0&hl=fr&rclk=1
Nadawi's,Restaurant,Dakhla,https://www.google.com/maps/place/Nadawi%27s/data=!4m7!3m6!1s0xc22499acf5c822d:0x9c535241fecd7413!8m2!3d23.7028469!4d-15.9272579!16s%2Fg%2F11sg1zmfd8!19sChIJLYJcz5pJIgwRE3TN_kFSU5w?authuser=0&hl=fr&rclk=1
Restaurant Villa Dakhla,Restaurant,Dakhla,https://www.google.com/maps/place/Restaurant+Villa+Dakhla/data=!4m7!3m6!1s0xc22482e503fe94f:0x5fd7abb4e5643d5f!8m2!3d23.6970501!4d-15.9312325!16s%2Fg%2F1hf140nsg!19sChIJT-k_UC5IIgwRXz1k5bSr118?authuser=0&hl=fr&rclk=1
Cassa Dakhla,Restaurant,Dakhla,https://www.google.com/maps/place/Cassa+Dakhla/data=!4m7!3m6!1s0xc22482e3c77f9a3:0x3c0b3376cbc84393!8m2!3d23.698397!4d-15.9307193!16s%2Fg%2F1hd_7lstc!19sChIJo_l3PC5IIgwRk0PIy3YzCzw?authuser=0&hl=fr&rclk=1
Porto Rico,Restaurant,Dakhla,https://www.google.com/maps/place/Porto+Rico/data=!4m7!3m6!1s0xc2249e3daf2bbc1:0xb9fcd1e43f986346!8m2!3d23.693993!4d-15.933476!16s%2Fg%2F11pzh13ht3!19sChIJwbvy2uNJIgwRRmOYP-TR_Lk?authuser=0&hl=fr&rclk=1
Le passage café restaurant pâtisserie,Restaurant,Dakhla,https://www.google.com/maps/place/Le+passage+caf%C3%A9+restaurant+p%C3%A2tisserie/data=!4m7!3m6!1s0xc22494bd40a667b:0x59a0426a890f48e1!8m2!3d23.7326399!4d-15.917148!16s%2Fg%2F11t0tb6t06!19sChIJe2YK1EtJIgwR4UgPiWpCoFk?authuser=0&hl=fr&rclk=1
Samarkand,Restaurant,Dakhla,https://www.google.com/maps/place/Samarkand/data=!4m7!3m6!1s0xc22482e55b88f95:0x27e1cd4f76326297!8m2!3d23.6964494!4d-15.9315718!16s%2Fg%2F1hhw2srld!19sChIJlY-4VS5IIgwRl2Iydk_N4Sc?authuser=0&hl=fr&rclk=1
Restaurant al-oumda,Restaurant,Dakhla,https://www.google.com/maps/place/Restaurant+al-oumda/data=!4m7!3m6!1s0xc2249000f41eaab:0x8eda6d5d6199d9f!8m2!3d23.7351201!4d-15.9161971!16s%2Fg%2F11l_4bg_sr!19sChIJq-pBDwBJIgwRn50Z1tWm7Qg?authuser=0&hl=fr&rclk=1
Restaurant Dakhla Plaisance,Restaurant,Dakhla,https://www.google.com/maps/place/Restaurant+Dakhla+Plaisance/data=!4m7!3m6!1s0xc224f6eaefd605f:0xcf1467669f3a7a62!8m2!3d23.8029732!4d-15.8881124!16s%2Fg%2F11k2wscjr3!19sChIJX2D9rm5PIgwRYno6n2ZnFM8?authuser=0&hl=fr&rclk=1
Snack Los Amigos,Restaurant,Dakhla,https://www.google.com/maps/place/Snack+Los+Amigos/data=!4m7!3m6!1s0xc2249ec3b40915b:0xd3e322e3c6f2fd16!8m2!3d23.6988585!4d-15.9307433!16s%2Fg%2F11shfn1363!19sChIJW5FAO-xJIgwRFv3yxuMi49M?authuser=0&hl=fr&rclk=1
Restaurant Elite,Restaurant,Dakhla,https://www.google.com/maps/place/Restaurant+Elite/data=!4m7!3m6!1s0xc2249d5d818ad1f:0x3d3b947091b9abdc!8m2!3d23.7331792!4d-15.9170654!16s%2Fg%2F11pc9m7cvc!19sChIJH60Y2NVJIgwR3Ku5kXCUOz0?authuser=0&hl=fr&rclk=1
Kayan by casanova,Restaurant,Dakhla,https://www.google.com/maps/place/Kayan+by+casanova/data=!4m7!3m6!1s0xc22493d7162986b:0x404aff65d6b8d1b4!8m2!3d23.7020257!4d-15.9274899!16s%2Fg%2F11rtf6_npf!19sChIJa5hicT1JIgwRtNG41mX_SkA?authuser=0&hl=fr&rclk=1
My Octopus,Restaurant,Dakhla,https://www.google.com/maps/place/My+Octopus/data=!4m7!3m6!1s0xc224900655bc05d:0x1a2d0c0d0c3548da!8m2!3d23.6972662!4d-15.9313023!16s%2Fg%2F11vj_wg_vt!19sChIJXcBbZQBJIgwR2kg1DA0MLRo?authuser=0&hl=fr&rclk=1
Teranga,Restaurant,Dakhla,https://www.google.com/maps/place/Teranga/data=!4m7!3m6!1s0xc2249df0ab37995:0xe1294a9689ac9203!8m2!3d23.7032297!4d-15.9281592!16s%2Fg%2F11qh682yly!19sChIJlXmzCt9JIgwRA5KsiZZKKeE?authuser=0&hl=fr&rclk=1
Restaurant Dakhla,Restaurant,Dakhla,https://www.google.com/maps/place/Restaurant+Dakhla/data=!4m7!3m6!1s0xd0c9cccce01e1eb:0x6146364ce300ba38!8m2!3d35.8444655!4d-5.5613519!16s%2Fg%2F1hg4wwjrw!19sChIJ6-EBzsycDA0ROLoA40w2RmE?authuser=0&hl=fr&rclk=1
Polpo restaurant,Restaurant,Dakhla,https://www.google.com/maps/place/Polpo+restaurant/data=!4m7!3m6!1s0xc2249004fbbcf71:0x414b708d19607473!8m2!3d23.6970205!4d-15.9466534!16s%2Fg%2F11vjz0p6tf!19sChIJcc-7TwBJIgwRc3RgGY1wS0E?authuser=0&hl=fr&rclk=1
