place name,category,city,link
Hostel La Smala,Hotel,Essaouira,https://www.google.com/maps/place/Hostel+La+Smala/data=!4m10!3m9!1s0xdad9bcdccd03e1d:0x657a475de4d3b66a!5m2!4m1!1i2!8m2!3d31.5140418!4d-9.772266!16s%2Fg%2F11qgbfn5cy!19sChIJHT7QzM2brQ0RarbT5F1HemU?authuser=0&hl=fr&rclk=1
Hôtel Le Médina Essaouira Thalassa sea & spa - MGallery,Hotel,Essaouira,https://www.google.com/maps/place/H%C3%B4tel+Le+M%C3%A9dina+Essaouira+Thalassa+sea+%26+spa+-+MGallery/data=!4m10!3m9!1s0xdad9a34e41aa7b7:0xf9a8ac0bbcd4bf3a!5m2!4m1!1i2!8m2!3d31.5085738!4d-9.7663052!16s%2Fg%2F11h0sws5s!19sChIJt6ca5DSarQ0ROr_UvAusqPk?authuser=0&hl=fr&rclk=1
Riad Darko Guest House,Hotel,Essaouira,https://www.google.com/maps/place/Riad+Darko+Guest+House/data=!4m10!3m9!1s0xdad9bcd4c624a0f:0x5204f31ccfb70c9c!5m2!4m1!1i2!8m2!3d31.515351!4d-9.7681371!16s%2Fg%2F1v832ggw!19sChIJD0piTM2brQ0RnAy3zxzzBFI?authuser=0&hl=fr&rclk=1
Hotel Océan Vagabond,Hotel,Essaouira,https://www.google.com/maps/place/Hotel+Oc%C3%A9an+Vagabond/data=!4m10!3m9!1s0xdad9a34ba5e6221:0x8cb8c5a939f4edc7!5m2!4m1!1i2!8m2!3d31.5099286!4d-9.7670978!16s%2Fg%2F1td1960h!19sChIJIWJeujSarQ0Rx-30OanFuIw?authuser=0&hl=fr&rclk=1
Hotel Majestic,Hotel,Essaouira,https://www.google.com/maps/place/Hotel+Majestic/data=!4m10!3m9!1s0xdad9bcdafae0015:0x9e8db41c8d50e215!5m2!4m1!1i2!8m2!3d31.5139766!4d-9.7714681!16s%2Fg%2F12hyk690k!19sChIJFQCur82brQ0RFeJQjRy0jZ4?authuser=0&hl=fr&rclk=1
Moga Hostel,Hotel,Essaouira,https://www.google.com/maps/place/Moga+Hostel/data=!4m10!3m9!1s0xdad9b090ed8e551:0xd912b3f1ec76e36a!5m2!4m1!1i2!8m2!3d31.5141197!4d-9.7695742!16s%2Fg%2F11h09pl74v!19sChIJUeXYDgmbrQ0RauN27PGzEtk?authuser=0&hl=fr&rclk=1
HOTEL SAHARA ESSAOUIRA,Hotel,Essaouira,https://www.google.com/maps/place/HOTEL+SAHARA+ESSAOUIRA/data=!4m10!3m9!1s0xdad9bcc66da25eb:0x4d4ddcd1c60d6aca!5m2!4m1!1i2!8m2!3d31.5116467!4d-9.7712445!16s%2Fg%2F11b73pf32_!19sChIJ6yXaZsybrQ0RymoNxtHcTU0?authuser=0&hl=fr&rclk=1
La Perle de Mogador,Hotel,Essaouira,https://www.google.com/maps/place/La+Perle+de+Mogador/data=!4m10!3m9!1s0xdad9bcc558572cf:0x5e86e8b4949c72b2!5m2!4m1!1i2!8m2!3d31.4954804!4d-9.7569085!16s%2Fg%2F1pp2t_c_3!19sChIJz3KFVcybrQ0RsnKclLTohl4?authuser=0&hl=fr&rclk=1
Hotel Le Golf D’Essaouira & Spa,Hotel,Essaouira,https://www.google.com/maps/place/Hotel+Le+Golf+D%E2%80%99Essaouira+%26+Spa/data=!4m10!3m9!1s0xdad9b1c1bcb6f5b:0x6bdde9b95ae1252!5m2!4m1!1i2!8m2!3d31.4698359!4d-9.7673548!16s%2Fg%2F11r9hrc1g!19sChIJW2_LGxybrQ0RUhKulZvevQY?authuser=0&hl=fr&rclk=1
Riad 7 Pierres,Hotel,Essaouira,https://www.google.com/maps/place/Riad+7+Pierres/data=!4m10!3m9!1s0xdad9bfbbb41d5d5:0x1279fd45613cfdb6!5m2!4m1!1i2!8m2!3d31.5129593!4d-9.7655314!16s%2Fg%2F11jm6wsr68!19sChIJ1dVBu_ubrQ0Rtv08YUX9eRI?authuser=0&hl=fr&rclk=1
Hôtel Borj Mogador,Hotel,Essaouira,https://www.google.com/maps/place/H%C3%B4tel+Borj+Mogador/data=!4m10!3m9!1s0xdad9a317b297c29:0xa4634f4817a1c28f!5m2!4m1!1i2!8m2!3d31.4997112!4d-9.7579254!16s%2Fg%2F1tdz19n8!19sChIJKXwpezGarQ0Rj8KhF0hPY6Q?authuser=0&hl=fr&rclk=1
Résidence Essaouira Mogador,Hotel,Essaouira,https://www.google.com/maps/place/R%C3%A9sidence+Essaouira+Mogador/data=!4m10!3m9!1s0xdad9a4f322218cf:0xdcf79df9c74dcf50!5m2!4m1!1i2!8m2!3d31.4998093!4d-9.7587938!16s%2Fg%2F11f3y1bgbv!19sChIJzxgiMk-arQ0RUM9Nx_md99w?authuser=0&hl=fr&rclk=1
Al Jasira Hôtel,Hotel,Essaouira,https://www.google.com/maps/place/Al+Jasira+H%C3%B4tel/data=!4m10!3m9!1s0xdad9a4ed05eeb45:0xe925d2c929004c26!5m2!4m1!1i2!8m2!3d31.4994095!4d-9.7600077!16s%2Fg%2F1trchsjg!19sChIJRete0E6arQ0RJkwAKcnSJek?authuser=0&hl=fr&rclk=1
Atlas Essaouira Riad Resort,Hotel,Essaouira,https://www.google.com/maps/place/Atlas+Essaouira+Riad+Resort/data=!4m10!3m9!1s0xdad9a4bdafc0adb:0xa1e420dbeb271c47!5m2!4m1!1i2!8m2!3d31.5015465!4d-9.7627111!16s%2Fg%2F1tfkxnty!19sChIJ2wr82kuarQ0RRxwn69sg5KE?authuser=0&hl=fr&rclk=1
Hotel Coeur de Mogador,Hotel,Essaouira,https://www.google.com/maps/place/Hotel+Coeur+de+Mogador/data=!4m10!3m9!1s0xdad9bcd3093f741:0x30101a57272a7cd1!5m2!4m1!1i2!8m2!3d31.5144209!4d-9.7684455!16s%2Fg%2F11gcc_wbw9!19sChIJQfeTMM2brQ0R0XwqJ1caEDA?authuser=0&hl=fr&rclk=1
Riad Al Madina Essaouira Hôtel,Hotel,Essaouira,https://www.google.com/maps/place/Riad+Al+Madina+Essaouira+H%C3%B4tel/data=!4m10!3m9!1s0xdad9bcd0001c675:0x129752bfd1758429!5m2!4m1!1i2!8m2!3d31.5134055!4d-9.7704558!16s%2Fg%2F119vy8q3s!19sChIJdcYBAM2brQ0RKYR10b9SlxI?authuser=0&hl=fr&rclk=1
Tweets Hôtel,Hotel,Essaouira,https://www.google.com/maps/place/Tweets+H%C3%B4tel/data=!4m10!3m9!1s0xdad9a3601d1b715:0x9d145f23ae1824a0!5m2!4m1!1i2!8m2!3d31.5140651!4d-9.7617672!16s%2Fg%2F11g_60bwz!19sChIJFbfRATaarQ0RoCQYriNfFJ0?authuser=0&hl=fr&rclk=1
Essaouira Trip Hostel,Hotel,Essaouira,https://www.google.com/maps/place/Essaouira+Trip+Hostel/data=!4m10!3m9!1s0xdad9b0019fd33c9:0x4ef27076c0bc83c3!5m2!4m1!1i2!8m2!3d31.5002379!4d-9.7588918!16s%2Fg%2F11yh55pnls!19sChIJyTP9GQCbrQ0Rw4O8wHZw8k4?authuser=0&hl=fr&rclk=1
Hostel Riad Maqam,Hotel,Essaouira,https://www.google.com/maps/place/Hostel+Riad+Maqam/data=!4m10!3m9!1s0xdad9b005465f73b:0x1f094c0888966793!5m2!4m1!1i2!8m2!3d31.514733!4d-9.7679214!16s%2Fg%2F11x12lfg02!19sChIJO_dlVACbrQ0Rk2eWiAhMCR8?authuser=0&hl=fr&rclk=1
Mama Souiri Hôtel,Hotel,Essaouira,https://www.google.com/maps/place/Mama+Souiri+H%C3%B4tel/data=!4m10!3m9!1s0xdad9b7d9af1de7b:0x8378d9538ce5346!5m2!4m1!1i2!8m2!3d31.5125845!4d-9.7718118!16s%2Fg%2F11fm0fjkq2!19sChIJe97xmn2brQ0RRlPOOJWNNwg?authuser=0&hl=fr&rclk=1
Hôtel Vents des îles,Hotel,Essaouira,https://www.google.com/maps/place/H%C3%B4tel+Vents+des+%C3%AEles/data=!4m10!3m9!1s0xdad9a4466d23f5d:0xfc8ebbb3e8213f2c!5m2!4m1!1i2!8m2!3d31.498103!4d-9.752323!16s%2Fg%2F11b88k2c27!19sChIJXT_SZkSarQ0RLD8h6LO7jvw?authuser=0&hl=fr&rclk=1
Villa Quieta,Hotel,Essaouira,https://www.google.com/maps/place/Villa+Quieta/data=!4m10!3m9!1s0xdad9a4e99b60bd3:0x159c09d89d6e30d9!5m2!4m1!1i2!8m2!3d31.4982298!4d-9.7616865!16s%2Fg%2F11b62zmcfq!19sChIJ0wu2mU6arQ0R2TBundgJnBU?authuser=0&hl=fr&rclk=1
Atlantic Hostel,Hotel,Essaouira,https://www.google.com/maps/place/Atlantic+Hostel/data=!4m10!3m9!1s0xdad9a32c6c9ae2d:0x658bdf7eefa99703!5m2!4m1!1i2!8m2!3d31.5147244!4d-9.7669075!16s%2Fg%2F1jkym28zd!19sChIJLa7JxjKarQ0RA5ep737fi2U?authuser=0&hl=fr&rclk=1
Hôtel Mechouar Plaza,Hotel,Essaouira,https://www.google.com/maps/place/H%C3%B4tel+Mechouar+Plaza/data=!4m10!3m9!1s0xdad9bcc5f71d4fb:0xd4c90a5fc5e2294e!5m2!4m1!1i2!8m2!3d31.5124153!4d-9.7698556!16s%2Fg%2F11fnb2gl4m!19sChIJ-9RxX8ybrQ0RTinixV8KydQ?authuser=0&hl=fr&rclk=1
Riad Perle D'Eau - Essaouira,Hotel,Essaouira,https://www.google.com/maps/place/Riad+Perle+D%27Eau+-+Essaouira/data=!4m10!3m9!1s0xdad9bcd5d324d87:0x60fc6fd33058a1dc!5m2!4m1!1i2!8m2!3d31.5157324!4d-9.7685549!16s%2Fg%2F11yl6j68b!19sChIJh00yXc2brQ0R3KFYMNNv_GA?authuser=0&hl=fr&rclk=1
Essaouira Youth Hostel and Social Travel,Hotel,Essaouira,https://www.google.com/maps/place/Essaouira+Youth+Hostel+and+Social+Travel/data=!4m10!3m9!1s0xdad9a32e7a2c097:0x8749d37c22dcce60!5m2!4m1!1i2!8m2!3d31.5142817!4d-9.7663102!16s%2Fg%2F11c51s1jrg!19sChIJl8Ci5zKarQ0RYM7cInzTSYc?authuser=0&hl=fr&rclk=1
Riad Villa Garance Essaouira,Hotel,Essaouira,https://www.google.com/maps/place/Riad+Villa+Garance+Essaouira/data=!4m10!3m9!1s0xdad9bcd0c12eed7:0xf5629fa79b572f37!5m2!4m1!1i2!8m2!3d31.5144347!4d-9.770178!16s%2Fg%2F11gzh8f_t!19sChIJ1-4SDM2brQ0RNy9Xm6efYvU?authuser=0&hl=fr&rclk=1
"MAMA LOVA Essaouira - Boutique Hôtel, Riad, Restaurant & SPA",Hotel,Essaouira,"https://www.google.com/maps/place/MAMA+LOVA+Essaouira+-+Boutique+H%C3%B4tel,+Riad,+Restaurant+%26+SPA/data=!4m10!3m9!1s0xdad9b50714cdc69:0x8358354787a1d126!5m2!4m1!1i2!8m2!3d31.512959!4d-9.7691648!16s%2Fg%2F11rrr1jgkw!19sChIJadxMcVCbrQ0RJtGhh0c1WIM?authuser=0&hl=fr&rclk=1"
Riad l'Oasis d'Essaouira,Hotel,Essaouira,https://www.google.com/maps/place/Riad+l%27Oasis+d%27Essaouira/data=!4m10!3m9!1s0xdad9b0db9c69b05:0x275b5016d2e88b9f!5m2!4m1!1i2!8m2!3d31.5153813!4d-9.7681194!16s%2Fg%2F11jcd5jwll!19sChIJBZvGuQ2brQ0Rn4vo0hZQWyc?authuser=0&hl=fr&rclk=1
Appartements La Grotte,Hotel,Essaouira,https://www.google.com/maps/place/Appartements+La+Grotte/data=!4m10!3m9!1s0xdad9a3733ff3037:0x9db0a7a603dfe65!5m2!4m1!1i2!8m2!3d31.5110986!4d-9.7585295!16s%2Fg%2F11n0hp8bqp!19sChIJNzD_MzearQ0RZf49YHoK2wk?authuser=0&hl=fr&rclk=1
