place name,category,city,link
La Coupole Essaouira Beach,Restaurant,Essaouira,https://www.google.com/maps/place/La+Coupole+Essaouira+Beach/data=!4m7!3m6!1s0xdad9a4a0d46cdeb:0x730b6535882ec196!8m2!3d31.5050081!4d-9.7635201!16s%2Fg%2F11cmdrhhks!19sChIJ681GDUqarQ0RlsEuiDVlC3M?authuser=0&hl=fr&rclk=1
The Loft,Restaurant,Essaouira,https://www.google.com/maps/place/The+Loft/data=!4m7!3m6!1s0xdad9bcc5ae776ab:0x14aff231d0c11eca!8m2!3d31.5125088!4d-9.7712172!16s%2Fg%2F11cjp_gksh!19sChIJq3bnWsybrQ0Ryh7B0DHyrxQ?authuser=0&hl=fr&rclk=1
Restaurant safran Citron,Restaurant,Essaouira,https://www.google.com/maps/place/Restaurant+safran+Citron/data=!4m7!3m6!1s0xdad9b8c677e1fa5:0xe559603bfd9b8347!8m2!3d31.5138245!4d-9.7711758!16s%2Fg%2F11qwwyrz42!19sChIJpR9-Z4ybrQ0RR4Ob_TtgWeU?authuser=0&hl=fr&rclk=1
The Hungry Nomad Rooftop Essaouira,Restaurant,Essaouira,https://www.google.com/maps/place/The+Hungry+Nomad+Rooftop+Essaouira/data=!4m7!3m6!1s0xdad9b9f166df627:0x2e4d9fb0f46f082f!8m2!3d31.5146514!4d-9.7668938!16s%2Fg%2F11g1qhzsyh!19sChIJJ_ZtFp-brQ0RLwhv9LCfTS4?authuser=0&hl=fr&rclk=1
Khmissa,Restaurant,Essaouira,https://www.google.com/maps/place/Khmissa/data=!4m7!3m6!1s0xdad9bcdafca2187:0xdb01abfc2f5dd1df!8m2!3d31.5139815!4d-9.7705381!16s%2Fg%2F11f4pn5tmc!19sChIJhyHKr82brQ0R39FdL_yrAds?authuser=0&hl=fr&rclk=1
Butterfly Space – Moroccan & World Cuisine,Restaurant,Essaouira,https://www.google.com/maps/place/Butterfly+Space+%E2%80%93+Moroccan+%26+World+Cuisine/data=!4m7!3m6!1s0xdad9bc87bafe67d:0xb20644e464c42516!8m2!3d31.5138344!4d-9.7711954!16s%2Fg%2F11kbmw9zs5!19sChIJfeave8ibrQ0RFiXEZOREBrI?authuser=0&hl=fr&rclk=1
La Casa,Restaurant,Essaouira,https://www.google.com/maps/place/La+Casa/data=!4m7!3m6!1s0xdad9be9db1b4863:0xe81e007733b8bc41!8m2!3d31.5139314!4d-9.7699416!16s%2Fg%2F11stf34l0q!19sChIJY0gb2-mbrQ0RQby4M3cAHug?authuser=0&hl=fr&rclk=1
"Restaurant Berber Essaouira – Expérience Culinaire Marocaine | Tajine, Couscous & Plats Traditionnels",Restaurant,Essaouira,"https://www.google.com/maps/place/Restaurant+Berber+Essaouira+%E2%80%93+Exp%C3%A9rience+Culinaire+Marocaine+%7C+Tajine,+Couscous+%26+Plats+Traditionnels/data=!4m7!3m6!1s0xdad9bcdb184bdbd:0x6c1e05047daf6fb8!8m2!3d31.5136141!4d-9.771499!16s%2Fg%2F11hcyknggt!19sChIJvb2Esc2brQ0RuG-vfQQFHmw?authuser=0&hl=fr&rclk=1"
Dar Baba Restaurant & More,Restaurant,Essaouira,https://www.google.com/maps/place/Dar+Baba+Restaurant+%26+More/data=!4m7!3m6!1s0xdad9b446639ac6d:0x61c8234929cf0169!8m2!3d31.5132208!4d-9.770812!16s%2Fg%2F11j7vz58_m!19sChIJbaw5ZkSbrQ0RaQHPKUkjyGE?authuser=0&hl=fr&rclk=1
Fishburger Essaouira,Restaurant,Essaouira,https://www.google.com/maps/place/Fishburger+Essaouira/data=!4m7!3m6!1s0xdad9b7be55a87f3:0x94723d426d16425f!8m2!3d31.5141683!4d-9.7683327!16s%2Fg%2F11s9g6x91j!19sChIJ84da5XubrQ0RX0IWbUI9cpQ?authuser=0&hl=fr&rclk=1
Ocean Vagabond Essaouira,Restaurant,Essaouira,https://www.google.com/maps/place/Ocean+Vagabond+Essaouira/data=!4m7!3m6!1s0xdad9a4dcc78dcdf:0xec103376d3a64bb9!8m2!3d31.4966275!4d-9.7634785!16s%2Fg%2F11b6hmwz2c!19sChIJ39x4zE2arQ0RuUum03YzEOw?authuser=0&hl=fr&rclk=1
Restaurant d'Orient et d'Ailleurs,Restaurant,Essaouira,https://www.google.com/maps/place/Restaurant+d%27Orient+et+d%27Ailleurs/data=!4m7!3m6!1s0xdad9bcd95ef374b:0x5d3fcfe2fa3ee381!8m2!3d31.5149244!4d-9.7715654!16s%2Fg%2F11cffb_k6!19sChIJSzfvlc2brQ0RgeM--uLPP10?authuser=0&hl=fr&rclk=1
Café Res Amira essaouira maroc,Restaurant,Essaouira,https://www.google.com/maps/place/Caf%C3%A9+Res+Amira+essaouira+maroc/data=!4m7!3m6!1s0xdad9b754c8bc47f:0x5327d61965c5b268!8m2!3d31.5137556!4d-9.7713879!16s%2Fg%2F11fnnzhk2y!19sChIJf8SLTHWbrQ0RaLLFZRnWJ1M?authuser=0&hl=fr&rclk=1
La Clé de Voûte,Restaurant,Essaouira,https://www.google.com/maps/place/La+Cl%C3%A9+de+Vo%C3%BBte/data=!4m7!3m6!1s0xdad9bcdbec7f75b:0xad610046e7e70072!8m2!3d31.514375!4d-9.7717584!16s%2Fg%2F1hf3_d9yc!19sChIJW_fHvs2brQ0RcgDn50YAYa0?authuser=0&hl=fr&rclk=1
Les Alizes Mogador ( Restaurant ),Restaurant,Essaouira,https://www.google.com/maps/place/Les+Alizes+Mogador+%28+Restaurant+%29/data=!4m7!3m6!1s0xdad9bcdc04a9af9:0xe80156aa06d5eb6f!8m2!3d31.5140448!4d-9.7722537!16s%2Fg%2F11b6h_4lyl!19sChIJ-ZpKwM2brQ0Rb-vVBqpWAeg?authuser=0&hl=fr&rclk=1
Le Love by Caravane,Restaurant,Essaouira,https://www.google.com/maps/place/Le+Love+by+Caravane/data=!4m7!3m6!1s0xdad9bd53a8d38ff:0x26f4d34be9b2eebd!8m2!3d31.513412!4d-9.7686613!16s%2Fg%2F11hzhwmfpy!19sChIJ_ziNOtWbrQ0Rve6y6UvT9CY?authuser=0&hl=fr&rclk=1
KSOU Restaurant Rooftop,Restaurant,Essaouira,https://www.google.com/maps/place/KSOU+Restaurant+Rooftop/data=!4m7!3m6!1s0xdad9b995c0eec13:0x1aa1a5e69a43e851!8m2!3d31.5118868!4d-9.7705247!16s%2Fg%2F11v19btfbr!19sChIJE-wOXJmbrQ0RUehDmualoRo?authuser=0&hl=fr&rclk=1
El Baraka,Restaurant,Essaouira,https://www.google.com/maps/place/El+Baraka/data=!4m7!3m6!1s0xdad9bcd0668a3c9:0xd472c46c687139d7!8m2!3d31.5142394!4d-9.7708979!16s%2Fg%2F11gbwy_8fh!19sChIJyaNoBs2brQ0R1zlxaGzEctQ?authuser=0&hl=fr&rclk=1
Mandala Society,Restaurant,Essaouira,https://www.google.com/maps/place/Mandala+Society/data=!4m7!3m6!1s0xdad9b96ffcbb31d:0xa23e0f79a4eb3f9e!8m2!3d31.5134268!4d-9.7690048!16s%2Fg%2F11h081884f!19sChIJHbPL_5abrQ0Rnj_rpHkPPqI?authuser=0&hl=fr&rclk=1
M'Riste Jouhar,Restaurant,Essaouira,https://www.google.com/maps/place/M%27Riste+Jouhar/data=!4m7!3m6!1s0xdad9bcdbf78712d:0x125214cf22f3ee19!8m2!3d31.514034!4d-9.7716447!16s%2Fg%2F11b6hq8q6b!19sChIJLXF4v82brQ0RGe7zIs8UUhI?authuser=0&hl=fr&rclk=1
Le Panier du Chef Chez Rachid Akachoud,Restaurant,Essaouira,https://www.google.com/maps/place/Le+Panier+du+Chef+Chez+Rachid+Akachoud/data=!4m7!3m6!1s0xdad9b85e8cb487b:0xec3d6f703784e0bd!8m2!3d31.5139809!4d-9.7711687!16s%2Fg%2F11t0vxs8tn!19sChIJe0jL6IWbrQ0RveCEN3BvPew?authuser=0&hl=fr&rclk=1
Shyadma's Vegan Food,Restaurant,Essaouira,https://www.google.com/maps/place/Shyadma%27s+Vegan+Food/data=!4m7!3m6!1s0xdad9a34b32d24f3:0x5c543158f5afdfd6!8m2!3d31.5140071!4d-9.7709096!16s%2Fg%2F11b6j0680y!19sChIJ8yQtszSarQ0R1t-v9VgxVFw?authuser=0&hl=fr&rclk=1
Picknick,Restaurant,Essaouira,https://www.google.com/maps/place/Picknick/data=!4m7!3m6!1s0xdad9b8d449dd67f:0x5a48179efc02eb55!8m2!3d31.5115761!4d-9.7709602!16s%2Fg%2F11t2sb54mp!19sChIJf9adRI2brQ0RVesC_J4XSFo?authuser=0&hl=fr&rclk=1
Café Restaurant Bissmillah,Restaurant,Essaouira,https://www.google.com/maps/place/Caf%C3%A9+Restaurant+Bissmillah/data=!4m7!3m6!1s0xdad9b21ac4b1b6b:0x458702581c855943!8m2!3d31.5144867!4d-9.7699045!16s%2Fg%2F11tc3qtczd!19sChIJaxtLrCGbrQ0RQ1mFHFgCh0U?authuser=0&hl=fr&rclk=1
Triskala,Restaurant,Essaouira,https://www.google.com/maps/place/Triskala/data=!4m7!3m6!1s0xdad9bcd9bc17b9d:0x542594f737a45d4b!8m2!3d31.5149259!4d-9.7715653!16s%2Fg%2F11h1ncnh3!19sChIJnXvBm82brQ0RS12kN_eUJVQ?authuser=0&hl=fr&rclk=1
Cham Essaouira,Restaurant,Essaouira,https://www.google.com/maps/place/Cham+Essaouira/data=!4m7!3m6!1s0xdad9b0031acf6db:0xce3f982d9b6fb7b0!8m2!3d31.5151341!4d-9.7673262!16s%2Fg%2F11xf_x1yy0!19sChIJ2_asMQCbrQ0RsLdvmy2YP84?authuser=0&hl=fr&rclk=1
Seafood Corner,Restaurant,Essaouira,https://www.google.com/maps/place/Seafood+Corner/data=!4m7!3m6!1s0xdad9b0f8c81d2fd:0xb2daea12a92b8f4f!8m2!3d31.5132668!4d-9.7694199!16s%2Fg%2F11h2nbvg22!19sChIJ_dKBjA-brQ0RT48rqRLq2rI?authuser=0&hl=fr&rclk=1
Adwak,Restaurant,Essaouira,https://www.google.com/maps/place/Adwak/data=!4m7!3m6!1s0xdad9bcc53de06db:0x370c8ef943cad77c!8m2!3d31.5129022!4d-9.7711161!16s%2Fg%2F1q64phm0d!19sChIJ2wbeU8ybrQ0RfNfKQ_mODDc?authuser=0&hl=fr&rclk=1
L'arome des Alizes,Restaurant,Essaouira,https://www.google.com/maps/place/L%27arome+des+Alizes/data=!4m7!3m6!1s0xdad9bcd66f7d8cd:0x6fab9a20f403664b!8m2!3d31.5043945!4d-9.7575572!16s%2Fg%2F11smdyb1py!19sChIJzdj3Zs2brQ0RS2YD9CCaq28?authuser=0&hl=fr&rclk=1
Restaurant la Tolérance,Restaurant,Essaouira,https://www.google.com/maps/place/Restaurant+la+Tol%C3%A9rance/data=!4m7!3m6!1s0xdad9bcc5604caf5:0x722d53a8104b345!8m2!3d31.5132788!4d-9.7705297!16s%2Fg%2F11ddxtr7pk!19sChIJ9coEVsybrQ0RRbMEgTrVIgc?authuser=0&hl=fr&rclk=1
Le Sirocco,Restaurant,Essaouira,https://www.google.com/maps/place/Le+Sirocco/data=!4m7!3m6!1s0xdad9bcdb5eead29:0x90447183edba7361!8m2!3d31.5134547!4d-9.7720044!16s%2Fg%2F1hc5c86nh!19sChIJKa3utc2brQ0RYXO67YNxRJA?authuser=0&hl=fr&rclk=1
