place name,category,city,link
Sqala de La Kasbah,Tourist Attraction,Essaouira,https://www.google.com/maps/place/Sqala+de+La+Kasbah/data=!4m7!3m6!1s0xdad9bcd92e652bb:0x3c930976596efa0b!8m2!3d31.5142047!4d-9.772297!16s%2Fg%2F11btv7zqwf!19sChIJu1Lmks2brQ0RC_puWXYJkzw?authuser=0&hl=fr&rclk=1
Sqala du Port d'Essaouira,Tourist Attraction,Essaouira,https://www.google.com/maps/place/Sqala+du+Port+d%27Essaouira/data=!4m7!3m6!1s0xdad9bceb2bd0711:0x712bd19596b2741e!8m2!3d31.5102721!4d-9.7741966!16s%2Fg%2F11bwdxfsks!19sChIJEQe9ss6brQ0RHnSylpXRK3E?authuser=0&hl=fr&rclk=1
Galerie la Kasbah Essaouira,Tourist Attraction,Essaouira,https://www.google.com/maps/place/Galerie+la+Kasbah+Essaouira/data=!4m7!3m6!1s0xdad9bcc57a078a9:0x689d37b3386a3caf!8m2!3d31.5128497!4d-9.7710317!16s%2Fg%2F1hc76grr3!19sChIJqXigV8ybrQ0RrzxqOLM3nWg?authuser=0&hl=fr&rclk=1
Place Moulay el Hassan,Tourist Attraction,Essaouira,https://www.google.com/maps/place/Place+Moulay+el+Hassan/data=!4m7!3m6!1s0xdad9bcc6b27f8cb:0x8b488912f15563a8!8m2!3d31.5116422!4d-9.7718239!16s%2Fg%2F1tg5wdst!19sChIJy_gna8ybrQ0RqGNV8RKJSIs?authuser=0&hl=fr&rclk=1
Place du Marché aux Grains,Tourist Attraction,Essaouira,https://www.google.com/maps/place/Place+du+March%C3%A9+aux+Grains/data=!4m7!3m6!1s0xdad9a32cd2a5413:0x59690718a4358436!8m2!3d31.5143801!4d-9.7678566!16s%2Fg%2F11ddwsxytd!19sChIJE1QqzTKarQ0RNoQ1pBgHaVk?authuser=0&hl=fr&rclk=1
Skala de la Ville,Tourist Attraction,Essaouira,https://www.google.com/maps/place/Skala+de+la+Ville/data=!4m7!3m6!1s0xdad9b4f43c563f3:0x1d6ee80ac89980d!8m2!3d31.5148025!4d-9.7722691!16s%2Fg%2F11sf05j_wm!19sChIJ82PFQ0-brQ0RDZiJrIDu1gE?authuser=0&hl=fr&rclk=1
Lou's Rides,Tourist Attraction,Essaouira,https://www.google.com/maps/place/Lou%27s+Rides/data=!4m7!3m6!1s0xdad9bf3d2282c81:0xa274afbc08d4d49b!8m2!3d31.5117912!4d-9.7698436!16s%2Fg%2F11txgxx4x4!19sChIJgSwo0vObrQ0Rm9TUCLyvdKI?authuser=0&hl=fr&rclk=1
Kite Spot Essaouira,Tourist Attraction,Essaouira,https://www.google.com/maps/place/Kite+Spot+Essaouira/data=!4m7!3m6!1s0xdad9a4c6114f099:0x6488ef64bea558f2!8m2!3d31.498444!4d-9.7648327!16s%2Fg%2F11bvv4p04p!19sChIJmfAUYUyarQ0R8lilvmTviGQ?authuser=0&hl=fr&rclk=1
Horloge d'Essaouira,Tourist Attraction,Essaouira,https://www.google.com/maps/place/Horloge+d%27Essaouira/data=!4m7!3m6!1s0xdad9bcc5f42fb43:0x492b8c9888eab639!8m2!3d31.5121487!4d-9.7707091!16s%2Fg%2F11cn0qrv88!19sChIJQ_tCX8ybrQ0RObbqiJiMK0k?authuser=0&hl=fr&rclk=1
BaB El Marsa باب المرسى,Tourist Attraction,Essaouira,https://www.google.com/maps/place/BaB+El+Marsa+%D8%A8%D8%A7%D8%A8+%D8%A7%D9%84%D9%85%D8%B1%D8%B3%D9%89%E2%80%AD/data=!4m7!3m6!1s0xdad9bc955bb3037:0x8c5a28417ab2f820!8m2!3d31.5100186!4d-9.7735623!16s%2Fg%2F11bcf57902!19sChIJNzC7VcmbrQ0RIPiyekEoWow?authuser=0&hl=fr&rclk=1
