place name,category,city,link
ibis Fes,Hotel,Fes,https://www.google.com/maps/place/ibis+Fes/data=!4m10!3m9!1s0xd9f8b33c3392abb:0x1c0282b38d2793ca!5m2!4m1!1i2!8m2!3d34.0465494!4d-5.0041746!16s%2Fg%2F11dy_ht704!19sChIJuyo5wzOLnw0RypMnjbOCAhw?authuser=0&hl=fr&rclk=1
Fes Marriott Hotel Jnan Palace,Hotel,Fes,https://www.google.com/maps/place/Fes+Marriott+Hotel+Jnan+Palace/data=!4m10!3m9!1s0xd9f8b3db317c143:0xd34a0626405f2c8a!5m2!4m1!1i2!8m2!3d34.031867!4d-5.0030231!16s%2Fg%2F11c5rsmlqq!19sChIJQ8EXsz2Lnw0RiixfQCYGStM?authuser=0&hl=fr&rclk=1
Hôtel Nouzha La Perle Du Tourisme,Hotel,Fes,https://www.google.com/maps/place/H%C3%B4tel+Nouzha+La+Perle+Du+Tourisme/data=!4m10!3m9!1s0xd9f8b410bf77b8b:0x514c4d59f19f8041!5m2!4m1!1i2!8m2!3d34.0328144!4d-4.9938052!16s%2Fg%2F1tdb1152!19sChIJi3v3C0GLnw0RQYCf8VlNTFE?authuser=0&hl=fr&rclk=1
Ramada by Wyndham Fes,Hotel,Fes,https://www.google.com/maps/place/Ramada+by+Wyndham+Fes/data=!4m10!3m9!1s0xd9f8b3ab0e37653:0x300848d1491cb558!5m2!4m1!1i2!8m2!3d34.0384646!4d-5.0060856!16s%2Fg%2F11b6c979ql!19sChIJU3bjsDqLnw0RWLUcSdFICDA?authuser=0&hl=fr&rclk=1
Hôtel Volubilis,Hotel,Fes,https://www.google.com/maps/place/H%C3%B4tel+Volubilis/data=!4m10!3m9!1s0xd9f8b3c7dc3ff83:0x66f61984ec85f8f1!5m2!4m1!1i2!8m2!3d34.0350527!4d-5.00354!16s%2Fg%2F1v29dcpc!19sChIJg__DfTyLnw0R8fiF7IQZ9mY?authuser=0&hl=fr&rclk=1
MIA HOTELS FES -,Hotel,Fes,https://www.google.com/maps/place/MIA+HOTELS+FES+-/data=!4m10!3m9!1s0xd9ff534d0b00035:0x2c506b1fcc7bdc8c!5m2!4m1!1i2!8m2!3d34.0513075!4d-5.0358861!16s%2Fg%2F11b6s1rvpw!19sChIJNQCw0DT1nw0RjNx7zB9rUCw?authuser=0&hl=fr&rclk=1
Mia Urban Fes,Hotel,Fes,https://www.google.com/maps/place/Mia+Urban+Fes/data=!4m10!3m9!1s0xd9ff534db547527:0xf811a2e3fb967e65!5m2!4m1!1i2!8m2!3d34.0513075!4d-5.0358861!16s%2Fg%2F11xgxwtcxj!19sChIJJ3VU2zT1nw0RZX6W--OiEfg?authuser=0&hl=fr&rclk=1
Royal Mirage Hotel Fes,Hotel,Fes,https://www.google.com/maps/place/Royal+Mirage+Hotel+Fes/data=!4m10!3m9!1s0xd9f8b3bb079682f:0xee15e8590e685704!5m2!4m1!1i2!8m2!3d34.0370625!4d-5.0045625!16s%2Fg%2F11bw50kh10!19sChIJL2h5sDuLnw0RBFdoDlnoFe4?authuser=0&hl=fr&rclk=1
Hotel Fes Riad NOUZHA,Hotel,Fes,https://www.google.com/maps/place/Hotel+Fes+Riad+NOUZHA/data=!4m10!3m9!1s0xd9ff354470e9141:0x16f816c180f4d5ca!5m2!4m1!1i2!8m2!3d34.0578129!4d-4.9732213!16s%2Fg%2F11p5ry229v!19sChIJQZEOR1Tznw0RytX0gMEW-BY?authuser=0&hl=fr&rclk=1
Hôtel Glacier,Hotel,Fes,https://www.google.com/maps/place/H%C3%B4tel+Glacier/data=!4m10!3m9!1s0xd9f8b02d191f8e1:0x1ee1e77e0ea4397e!5m2!4m1!1i2!8m2!3d34.0518788!4d-4.9927956!16s%2Fg%2F11h02j_8yt!19sChIJ4fiR0QKLnw0RfjmkDn7n4R4?authuser=0&hl=fr&rclk=1
