place name,category,city,link
Fez & Friends,Restaurant,Fes,https://www.google.com/maps/place/Fez+%26+Friends/data=!4m7!3m6!1s0xd9ff5a8aa15db63:0xe09df0f2424afefb!8m2!3d34.0610434!4d-4.9835147!16s%2Fg%2F11td9jl5rh!19sChIJY9sVqqj1nw0R-_5KQvLwneA?authuser=0&hl=fr&rclk=1
Le Tarbouche,Restaurant,Fes,https://www.google.com/maps/place/Le+Tarbouche/data=!4m7!3m6!1s0xd9ff4a61c21ec9f:0x9b3887690f04fcd1!8m2!3d34.0639734!4d-4.9808997!16s%2Fg%2F11f0_chj8y!19sChIJn-whHKb0nw0R0fwED2mHOJs?authuser=0&hl=fr&rclk=1
Restaurant Palais Fes Yahya rooftop,Restaurant,Fes,https://www.google.com/maps/place/Restaurant+Palais+Fes+Yahya+rooftop/data=!4m7!3m6!1s0xd9ff30a63d61ec3:0x6bd68e13829c667d!8m2!3d34.0591082!4d-4.9746188!16s%2Fg%2F11kbclznx0!19sChIJwx7WYwrznw0RfWacghOO1ms?authuser=0&hl=fr&rclk=1
La Cave,Restaurant,Fes,https://www.google.com/maps/place/La+Cave/data=!4m7!3m6!1s0xd9ff55999183f09:0xadccd01a88daa46f!8m2!3d34.0644295!4d-4.9787703!16s%2Fg%2F11fnqlwjnk!19sChIJCT8YmVn1nw0Rb6TaiBrQzK0?authuser=0&hl=fr&rclk=1
Encanto,Restaurant,Fes,https://www.google.com/maps/place/Encanto/data=!4m7!3m6!1s0xd9ff5001c8eaa19:0x590a2103c4433803!8m2!3d34.0610284!4d-4.9823541!16s%2Fg%2F11y30r1yng!19sChIJGaqOHAD1nw0RAzhDxAMhClk?authuser=0&hl=fr&rclk=1
Barbecue Alarbi Fes,Restaurant,Fes,https://www.google.com/maps/place/Barbecue+Alarbi+Fes/data=!4m7!3m6!1s0xd9ff528a2205bb3:0x156e17bc16f534a2!8m2!3d34.0619147!4d-4.9838209!16s%2Fg%2F11syx5ssv6!19sChIJs1sgoij1nw0RojT1FrwXbhU?authuser=0&hl=fr&rclk=1
restaurant bab sahra fes,Restaurant,Fes,https://www.google.com/maps/place/restaurant+bab+sahra+fes/data=!4m7!3m6!1s0xd9ff50907a58177:0x62d103b0317ebeb4!8m2!3d34.0623499!4d-4.9825253!16s%2Fg%2F11rz4m_y0j!19sChIJd4GlBwn1nw0RtL5-MbAD0WI?authuser=0&hl=fr&rclk=1
Restaurant Dar Tresor,Restaurant,Fes,https://www.google.com/maps/place/Restaurant+Dar+Tresor/data=!4m7!3m6!1s0xd9ff57bde068b9f:0xfab5165508f28ccf!8m2!3d34.0580458!4d-4.9771006!16s%2Fg%2F11k4kb3bhw!19sChIJn4sG3nv1nw0Rz4zyCFUWtfo?authuser=0&hl=fr&rclk=1
EL FORNO,Restaurant,Fes,https://www.google.com/maps/place/EL+FORNO/data=!4m7!3m6!1s0xd9ff554a70d7d77:0x954ffc3265db135f!8m2!3d34.0632263!4d-4.9818678!16s%2Fg%2F11ts_wj7y0!19sChIJd30Np1T1nw0RXxPbZTL8T5U?authuser=0&hl=fr&rclk=1
Bistrot des Saveurs,Restaurant,Fes,https://www.google.com/maps/place/Bistrot+des+Saveurs/data=!4m7!3m6!1s0xd9f8b3b5e556263:0x8cc971ca549c9ac9!8m2!3d34.0355131!4d-5.0014706!16s%2Fg%2F11rbvl06nz!19sChIJY2JVXjuLnw0RyZqcVMpxyYw?authuser=0&hl=fr&rclk=1
