place name,category,city,link
Sahariano Hotel City Center,Hotel,Laayoune,https://www.google.com/maps/place/Sahariano+Hotel+City+Center/data=!4m10!3m9!1s0xc3773dec041c3b5:0xb31ec910770a6355!5m2!4m1!1i2!8m2!3d27.1516672!4d-13.1974423!16s%2Fg%2F11sgkphpc9!19sChIJtcNBwN5zNwwRVWMKdxDJHrM?authuser=0&hl=fr&rclk=1
Hôtel Noon,Hotel,Laayoune,https://www.google.com/maps/place/H%C3%B4tel+Noon/data=!4m10!3m9!1s0xc3773eae13316d3:0x93befb9f44154c01!5m2!4m1!1i2!8m2!3d27.148639!4d-13.1961237!16s%2Fg%2F11qp50zp98!19sChIJ0xYz4epzNwwRAUwVRJ_7vpM?authuser=0&hl=fr&rclk=1
CENTRO SUITE,Hotel,Laayoune,https://www.google.com/maps/place/CENTRO+SUITE/data=!4m10!3m9!1s0xc3773e3e57cc0d9:0x3e26de70378b351d!5m2!4m1!1i2!8m2!3d27.1334355!4d-13.1759015!16s%2Fg%2F11qg7x5qct!19sChIJ2cB85eNzNwwRHTWLN3DeJj4?authuser=0&hl=fr&rclk=1
Hôtel Jodesa,Hotel,Laayoune,https://www.google.com/maps/place/H%C3%B4tel+Jodesa/data=!4m10!3m9!1s0xc3772de28a05d7d:0xfe2f826f45c56de8!5m2!4m1!1i2!8m2!3d27.1529987!4d-13.1968594!16s%2Fg%2F1tjkh0s5!19sChIJfV2gKN5yNwwR6G3FRW-CL_4?authuser=0&hl=fr&rclk=1
Hôtel Borj Safae,Hotel,Laayoune,https://www.google.com/maps/place/H%C3%B4tel+Borj+Safae/data=!4m10!3m9!1s0xc37732cac816153:0xbbc280846bd74e9b!5m2!4m1!1i2!8m2!3d27.1292239!4d-13.1717237!16s%2Fg%2F11sm_yz829!19sChIJU2GBrCxzNwwRm07Xa4SAwrs?authuser=0&hl=fr&rclk=1
Hôtel BeauPort,Hotel,Laayoune,https://www.google.com/maps/place/H%C3%B4tel+BeauPort/data=!4m10!3m9!1s0xc377be633d2c703:0xb2fb455093db71f5!5m2!4m1!1i2!8m2!3d27.0998775!4d-13.411975!16s%2Fg%2F11r9csw_4r!19sChIJA8fSM-Z7NwwR9XHbk1BF-7I?authuser=0&hl=fr&rclk=1
residence london,Hotel,Laayoune,https://www.google.com/maps/place/residence+london/data=!4m10!3m9!1s0xc3773ea3a91d8f3:0xa535b861ebd11ab2!5m2!4m1!1i2!8m2!3d27.1553515!4d-13.207885!16s%2Fg%2F11w9pqjrx2!19sChIJ89iROupzNwwRshrR62G4NaU?authuser=0&hl=fr&rclk=1
Hôtel Sahara Line,Hotel,Laayoune,https://www.google.com/maps/place/H%C3%B4tel+Sahara+Line/data=!4m10!3m9!1s0xc3772e1810ea639:0x9004a05d04a4fe58!5m2!4m1!1i2!8m2!3d27.1535047!4d-13.2026162!16s%2Fg%2F1v76_xx5!19sChIJOaYOgeFyNwwRWP6kBF2gBJA?authuser=0&hl=fr&rclk=1
فندق بارادور,Hotel,Laayoune,https://www.google.com/maps/place/%D9%81%D9%86%D8%AF%D9%82+%D8%A8%D8%A7%D8%B1%D8%A7%D8%AF%D9%88%D8%B1%E2%80%AD/data=!4m10!3m9!1s0xc37731c400c9bc1:0xe5386a12b863c234!5m2!4m1!1i2!8m2!3d27.160203!4d-13.2042274!16s%2Fg%2F1td3srfm!19sChIJwZsMQBxzNwwRNMJjuBJqOOU?authuser=0&hl=fr&rclk=1
Hôtel Al Massira Laayoune,Hotel,Laayoune,https://www.google.com/maps/place/H%C3%B4tel+Al+Massira+Laayoune/data=!4m10!3m9!1s0xc37731e21ffd02f:0xb5d8ba3b30a4a46b!5m2!4m1!1i2!8m2!3d27.1564288!4d-13.2014837!16s%2Fg%2F12hpqzt5x!19sChIJL9D_IR5zNwwRa6SkMDu62LU?authuser=0&hl=fr&rclk=1
