place name,category,city,link
L'brunch,Restaurant,Laayoune,https://www.google.com/maps/place/L%27brunch/data=!4m7!3m6!1s0xc3773336efc666b:0x90d020bf4eb90b0a!8m2!3d27.1492384!4d-13.1883558!16s%2Fg%2F11ld2pdnr6!19sChIJa2b8bjNzNwwRCgu5Tr8g0JA?authuser=0&hl=fr&rclk=1
SushiKom,Restaurant,Laayoune,https://www.google.com/maps/place/SushiKom/data=!4m7!3m6!1s0xc3773d1f64c85b9:0x9944ede9a009646a!8m2!3d27.150376!4d-13.202028!16s%2Fg%2F11t13vwn0g!19sChIJuYVM9tFzNwwRamQJoOntRJk?authuser=0&hl=fr&rclk=1
Merci Lâayoune,Restaurant,Laayoune,https://www.google.com/maps/place/Merci+L%C3%A2ayoune/data=!4m7!3m6!1s0xc3773a103f1c107:0xa1eb7796bf4aba3!8m2!3d27.1506389!4d-13.1974224!16s%2Fg%2F11v0xsr476!19sChIJB8HxA6FzNwwRo6v0a3m3Hgo?authuser=0&hl=fr&rclk=1
Mi Casita,Restaurant,Laayoune,https://www.google.com/maps/place/Mi+Casita/data=!4m7!3m6!1s0xc3773dfcb8d0a13:0x3354b02e43bec4c3!8m2!3d27.1457485!4d-13.1934696!16s%2Fg%2F11sm8t95__!19sChIJEwqNy99zNwwRw8S-Qy6wVDM?authuser=0&hl=fr&rclk=1
Restaurant Gardénia,Restaurant,Laayoune,https://www.google.com/maps/place/Restaurant+Gard%C3%A9nia/data=!4m7!3m6!1s0xc3773a1ddf3e6f5:0x59d97de44ba9cad9!8m2!3d27.1567286!4d-13.2041891!16s%2Fg%2F11s4yb8wsm!19sChIJ9ebz3aFzNwwR2cqpS-R92Vk?authuser=0&hl=fr&rclk=1
Lamadone,Restaurant,Laayoune,https://www.google.com/maps/place/Lamadone/data=!4m7!3m6!1s0xc3772e12379b0c5:0xfa0bd5a2fa20c7a8!8m2!3d27.1513931!4d-13.2005581!16s%2Fg%2F11c0rmgs9k!19sChIJxbB5I-FyNwwRqMcg-qLVC_o?authuser=0&hl=fr&rclk=1
Marouzine مارو زين,Restaurant,Laayoune,https://www.google.com/maps/place/Marouzine+%D9%85%D8%A7%D8%B1%D9%88+%D8%B2%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0xc370dc6234b4307:0xffef39ed3c44120a!8m2!3d27.1363134!4d-13.1663662!16s%2Fg%2F11vzch5ydx!19sChIJB0NLI8YNNwwRChJEPO057_8?authuser=0&hl=fr&rclk=1
مطعم الأصدقاء 2,Restaurant,Laayoune,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%A3%D8%B5%D8%AF%D9%82%D8%A7%D8%A1+2%E2%80%AD/data=!4m7!3m6!1s0xc37739e7ed9603d:0x4c4cb7cf04e97630!8m2!3d27.1349495!4d-13.1777633!16s%2Fg%2F11pqwwzglj!19sChIJPWDZfp5zNwwRMHbpBM-3TEw?authuser=0&hl=fr&rclk=1
Restaurant Riad Acham,Restaurant,Laayoune,https://www.google.com/maps/place/Restaurant+Riad+Acham/data=!4m7!3m6!1s0xc377358107ab1c3:0xba6094a785343448!8m2!3d27.1487045!4d-13.1961191!16s%2Fg%2F11vhhvmvh9!19sChIJw7F6EFhzNwwRSDQ0haeUYLo?authuser=0&hl=fr&rclk=1
Chegdaly's : Restaurant & Pizzeria,Restaurant,Laayoune,https://www.google.com/maps/place/Chegdaly%27s+:+Restaurant+%26+Pizzeria/data=!4m7!3m6!1s0xc37736fcc6c9049:0x7986bc6788f74272!8m2!3d27.1351443!4d-13.1768497!16s%2Fg%2F11lg21m1dv!19sChIJSZBszG9zNwwRckL3iGe8hnk?authuser=0&hl=fr&rclk=1
