place name,category,city,link
ZEPHYR Targa,Hotel,Marrakech,https://www.google.com/maps/place/ZEPHYR+Targa/data=!4m10!3m9!1s0xdafebed3b83e5e7:0x93cf34ce8ce75661!5m2!4m1!1i2!8m2!3d31.668839!4d-8.059288!16s%2Fg%2F11hbn4zjft!19sChIJ5-WDO-3rrw0RYVbnjM40z5M?authuser=0&hl=fr&rclk=1
Hotel Medina,Hotel,Marrakech,https://www.google.com/maps/place/Hotel+Medina/data=!4m10!3m9!1s0xdafee43ee1341c9:0xd11e6bba114c042f!5m2!4m1!1i2!8m2!3d31.6241127!4d-7.9877599!16s%2Fg%2F1tx16qdj!19sChIJyUET7kPurw0RLwRMEbprHtE?authuser=0&hl=fr&rclk=1
Hotel Zagora,Hotel,Marrakech,https://www.google.com/maps/place/Hotel+Zagora/data=!4m10!3m9!1s0xdafee439f05616f:0x882d9cbc26c090a7!5m2!4m1!1i2!8m2!3d31.6244088!4d-7.9883471!16s%2Fg%2F11b6jgyvd0!19sChIJb2EFn0Purw0Rp5DAJrycLYg?authuser=0&hl=fr&rclk=1
The Central House Marrakech Medina,Hotel,Marrakech,https://www.google.com/maps/place/The+Central+House+Marrakech+Medina/data=!4m10!3m9!1s0xdafee693f86e2af:0xf3fe2adef777a37!5m2!4m1!1i2!8m2!3d31.6333287!4d-7.9879239!16s%2Fg%2F11g7_n0xb7!19sChIJr-KGP2nurw0RN3p3763iPw8?authuser=0&hl=fr&rclk=1
Hôtel Atlas,Hotel,Marrakech,https://www.google.com/maps/place/H%C3%B4tel+Atlas/data=!4m10!3m9!1s0xdafee4e69a11357:0x92a6154f8aa0daad!5m2!4m1!1i2!8m2!3d31.624912!4d-7.9885903!16s%2Fg%2F1vtqxg4l!19sChIJVxOhaU7urw0Rrdqgik8VppI?authuser=0&hl=fr&rclk=1
Mogador Menzah,Hotel,Marrakech,https://www.google.com/maps/place/Mogador+Menzah/data=!4m10!3m9!1s0xdafefab15834545:0x71f5e4911ed2d115!5m2!4m1!1i2!8m2!3d31.6208342!4d-8.0137049!16s%2Fg%2F11b66cbqfl!19sChIJRUWDFavvrw0RFdHSHpHk9XE?authuser=0&hl=fr&rclk=1
ibis Marrakech Centre Gare,Hotel,Marrakech,https://www.google.com/maps/place/ibis+Marrakech+Centre+Gare/data=!4m10!3m9!1s0xdafee937593e85d:0x5e24480114893216!5m2!4m1!1i2!8m2!3d31.6297042!4d-8.0182475!16s%2Fg%2F1tgmxmvd!19sChIJXeiTdZPurw0RFjKJFAFIJF4?authuser=0&hl=fr&rclk=1
Riad marrakech house,Hotel,Marrakech,https://www.google.com/maps/place/Riad+marrakech+house/data=!4m10!3m9!1s0xdafec20c6990695:0xe011cd5fd3f683ca!5m2!4m1!1i2!8m2!3d31.6534323!4d-8.0204804!16s%2Fg%2F11b76lhzz3!19sChIJlQaZxiDsrw0RyoP201_NEeA?authuser=0&hl=fr&rclk=1
Appart Hotel EZZAHIA by HMS,Hotel,Marrakech,https://www.google.com/maps/place/Appart+Hotel+EZZAHIA+by+HMS/data=!4m10!3m9!1s0xdafee9a2351e1a9:0xc4eb6113001bb7e0!5m2!4m1!1i2!8m2!3d31.6401681!4d-8.0186758!16s%2Fg%2F11btmqwwcj!19sChIJqeFRI5rurw0R4LcbABNh68Q?authuser=0&hl=fr&rclk=1
Savoy Le Grand Hotel Marrakech,Hotel,Marrakech,https://www.google.com/maps/place/Savoy+Le+Grand+Hotel+Marrakech/data=!4m10!3m9!1s0xdafeef0b83fd2ef:0x7641833460d08dac!5m2!4m1!1i2!8m2!3d31.6181694!4d-8.0099273!16s%2Fg%2F11bwpc2q32!19sChIJ79I_uPDurw0RrI3QYDSDQXY?authuser=0&hl=fr&rclk=1
Hostel Red Castle Kasbah,Hotel,Marrakech,https://www.google.com/maps/place/Hostel+Red+Castle+Kasbah/data=!4m10!3m9!1s0xdafee4f59b299fd:0xa34fa44ab1be767d!5m2!4m1!1i2!8m2!3d31.615712!4d-7.9867221!16s%2Fg%2F11c2y3dp7k!19sChIJ_ZmyWU_urw0RfXa-sUqkT6M?authuser=0&hl=fr&rclk=1
Kennedy Hospitality Resort,Hotel,Marrakech,https://www.google.com/maps/place/Kennedy+Hospitality+Resort/data=!4m10!3m9!1s0xdafeef38a62d9c1:0x62ce5fe3c033068f!5m2!4m1!1i2!8m2!3d31.623697!4d-8.008387!16s%2Fg%2F11tx1vvt7m!19sChIJwdliivPurw0RjwYzwONfzmI?authuser=0&hl=fr&rclk=1
