place name,category,city,link
Cafe Restaurant Dar L'hssira,Restaurant,Marrakech,https://www.google.com/maps/place/Cafe+Restaurant+Dar+L%27hssira/data=!4m7!3m6!1s0xdafefb5dcf1aaa9:0x9d4c5a3d161cdeb4!8m2!3d31.6229428!4d-7.9851535!16s%2Fg%2F11ptywb0b2!19sChIJqarx3LXvrw0RtN4cFj1aTJ0?authuser=0&hl=fr&rclk=1
La Cantine des Gazelles,Restaurant,Marrakech,https://www.google.com/maps/place/La+Cantine+des+Gazelles/data=!4m7!3m6!1s0xdafee419627f3cf:0x33ce0662273c3d0f!8m2!3d31.6260165!4d-7.9861998!16s%2Fg%2F11csbrpv86!19sChIJz_MnlkHurw0RDz08J2IGzjM?authuser=0&hl=fr&rclk=1
Restaurant Le Grand Bazar Marrakech,Restaurant,Marrakech,https://www.google.com/maps/place/Restaurant+Le+Grand+Bazar+Marrakech/data=!4m7!3m6!1s0xdafef692101f20b:0xe8da16e3c9d0237!8m2!3d31.6268964!4d-7.9868757!16s%2Fg%2F11tsp3lyyt!19sChIJC_IBIWnvrw0RNwKdPG6hjQ4?authuser=0&hl=fr&rclk=1
L'mida Marrakech,Restaurant,Marrakech,https://www.google.com/maps/place/L%27mida+Marrakech/data=!4m7!3m6!1s0xdafef74e2a4cfef:0xe304add99b2cc6b!8m2!3d31.6292243!4d-7.9864336!16s%2Fg%2F11j0c47p8h!19sChIJ78-k4nTvrw0Ra8yymd1KMA4?authuser=0&hl=fr&rclk=1
Restaurant Leopard Marrakech,Restaurant,Marrakech,https://www.google.com/maps/place/Restaurant+Leopard+Marrakech/data=!4m7!3m6!1s0xdafef15f652358d:0x681412f415df9b85!8m2!3d31.6201355!4d-8.0098623!16s%2Fg%2F11sm9mpdrv!19sChIJjTVS9hXvrw0RhZvfFfQSFGg?authuser=0&hl=fr&rclk=1
MY TAHER,Restaurant,Marrakech,https://www.google.com/maps/place/MY+TAHER/data=!4m7!3m6!1s0xdafef1ad0447685:0x339d68d51491f55a!8m2!3d31.6262542!4d-7.9869505!16s%2Fg%2F11rwmlh4p3!19sChIJhXZE0Brvrw0RWvWRFNVonTM?authuser=0&hl=fr&rclk=1
Dar Cherifa,Restaurant,Marrakech,https://www.google.com/maps/place/Dar+Cherifa/data=!4m7!3m6!1s0xdafee6826449547:0x9c4511245e527d07!8m2!3d31.6292171!4d-7.9900536!16s%2Fg%2F1q5grpv6n!19sChIJR5VEJmjurw0RB31SXiQRRZw?authuser=0&hl=fr&rclk=1
Dar Essalam,Restaurant,Marrakech,https://www.google.com/maps/place/Dar+Essalam/data=!4m7!3m6!1s0xdafee0afad31b4b:0x505f63711a585828!8m2!3d31.6223491!4d-7.9864004!16s%2Fg%2F1thgctd6!19sChIJSxvT-grurw0RKFhYGnFjX1A?authuser=0&hl=fr&rclk=1
Jungle Rooftop La Pergola - Jazz Bar & Restaurant,Restaurant,Marrakech,https://www.google.com/maps/place/Jungle+Rooftop+La+Pergola+-+Jazz+Bar+%26+Restaurant/data=!4m7!3m6!1s0xdafef67173c6bdd:0x4029c18e095dee63!8m2!3d31.6244771!4d-7.9870135!16s%2Fg%2F11g_x69kh4!19sChIJ3Ws8F2fvrw0RY-5dCY7BKUA?authuser=0&hl=fr&rclk=1
Al Khayma Marrakech - Rooftop Restaurant,Restaurant,Marrakech,https://www.google.com/maps/place/Al+Khayma+Marrakech+-+Rooftop+Restaurant/data=!4m7!3m6!1s0xdafef2b6c60e3ab:0x342cebefe59017ca!8m2!3d31.6235577!4d-7.989303!16s%2Fg%2F11q27rjsx7!19sChIJq-NgbCvvrw0RyheQ5e_rLDQ?authuser=0&hl=fr&rclk=1
La Table Ocre – Restaurant Marocain Authentique à Marrakech,Restaurant,Marrakech,https://www.google.com/maps/place/La+Table+Ocre+%E2%80%93+Restaurant+Marocain+Authentique+%C3%A0+Marrakech/data=!4m7!3m6!1s0xdafefa4b0ba5375:0xbc62cd11bde21de8!8m2!3d31.6203906!4d-7.9865332!16s%2Fg%2F11rzgvflnj!19sChIJdVO6sKTvrw0R6B3ivRHNYrw?authuser=0&hl=fr&rclk=1
Safran by Kôya,Restaurant,Marrakech,https://www.google.com/maps/place/Safran+by+K%C3%B4ya/data=!4m7!3m6!1s0xdafef1242d5792d:0xeba15c878581297e!8m2!3d31.6276089!4d-7.9945596!16s%2Fg%2F11t4bd4mbf!19sChIJLXnVQhLvrw0RfimBhYdcoes?authuser=0&hl=fr&rclk=1
Simple Restaurant marrakech,Restaurant,Marrakech,https://www.google.com/maps/place/Simple+Restaurant+marrakech/data=!4m7!3m6!1s0xdafef35de27d539:0xe679bf35c173a295!8m2!3d31.6341435!4d-7.9907043!16s%2Fg%2F11pc9_p756!19sChIJOdUn3jXvrw0RlaJzwTW_eeY?authuser=0&hl=fr&rclk=1
Un Déjeuner à Marrakech,Restaurant,Marrakech,https://www.google.com/maps/place/Un+D%C3%A9jeuner+%C3%A0+Marrakech/data=!4m7!3m6!1s0xdafee4119555555:0xb088cf4ea577c232!8m2!3d31.6239448!4d-7.984926!16s%2Fg%2F1td9rwmh!19sChIJVVVVGUHurw0RMsJ3pU7PiLA?authuser=0&hl=fr&rclk=1
