place name,category,city,link
Jardin Majorelle,Tourist Attraction,Marrakech,https://www.google.com/maps/place/Jardin+Majorelle/data=!4m7!3m6!1s0xdafee878b66b78f:0x88ccf6c9ced0f11c!8m2!3d31.6412031!4d-8.0032397!16zL20vMDQzNDdj!19sChIJj7dmi4furw0RHPHQzsn2zIg?authuser=0&hl=fr&rclk=1
Le Jardin Secret Médina Marrakech,Tourist Attraction,Marrakech,https://www.google.com/maps/place/Le+Jardin+Secret+M%C3%A9dina+Marrakech/data=!4m7!3m6!1s0xdafee684dbf3e01:0x50d89166ad205c0c!8m2!3d31.6306671!4d-7.9895084!16s%2Fg%2F11cnbz2syh!19sChIJAT6_TWjurw0RDFwgrWaR2FA?authuser=0&hl=fr&rclk=1
Palais de la Bahia,Tourist Attraction,Marrakech,https://www.google.com/maps/place/Palais+de+la+Bahia/data=!4m7!3m6!1s0xdafee4772c14bab:0x82985f4745817fdb!8m2!3d31.6217067!4d-7.9819688!16zL20vMDZmNGhr!19sChIJq0vBckfurw0R23-BRUdfmII?authuser=0&hl=fr&rclk=1
Palais El Badiî,Tourist Attraction,Marrakech,https://www.google.com/maps/place/Palais+El+Badi%C3%AE/data=!4m7!3m6!1s0xdafee4604ce6195:0xea9a85527a0e5a61!8m2!3d31.6182364!4d-7.9858623!16zL20vMDhkdzV3!19sChIJlWHOBEburw0RYVoOelKFmuo?authuser=0&hl=fr&rclk=1
Les Tombeaux Saadiens,Tourist Attraction,Marrakech,https://www.google.com/maps/place/Les+Tombeaux+Saadiens/data=!4m7!3m6!1s0xdafee4f1b2c320b:0xfdc76aef839e6ece!8m2!3d31.6173553!4d-7.9887607!16zL20vMGg0ZF94!19sChIJCzIsG0_urw0Rzm6eg-9qx_0?authuser=0&hl=fr&rclk=1
Les Jardins de la Ménara,Tourist Attraction,Marrakech,https://www.google.com/maps/place/Les+Jardins+de+la+M%C3%A9nara/data=!4m7!3m6!1s0xdafeee649f63e07:0x5d8e3627f4ecc87e!8m2!3d31.6143271!4d-8.0225425!16s%2Fm%2F025zq65!19sChIJBz72Seburw0Rfsjs9Cc2jl0?authuser=0&hl=fr&rclk=1
Place Jemaa el fna,Tourist Attraction,Marrakech,https://www.google.com/maps/place/Place+Jemaa+el+fna/data=!4m7!3m6!1s0xdafef41749d6bf9:0x72aec20ce3a1e60d!8m2!3d31.6259521!4d-7.9890491!16zL20vMDR5dnFs!19sChIJ-WuddEHvrw0RDeah4wzCrnI?authuser=0&hl=fr&rclk=1
Koutoubia Marrakech,Tourist Attraction,Marrakech,https://www.google.com/maps/place/Koutoubia+Marrakech/data=!4m7!3m6!1s0xdafee5c99d75ddf:0xd8cd38139a6e6fc2!8m2!3d31.6237205!4d-7.9936196!16zL20vMDZmNGRw!19sChIJ313XmVzurw0Rwm9umhM4zdg?authuser=0&hl=fr&rclk=1
Musée de Marrakech,Tourist Attraction,Marrakech,https://www.google.com/maps/place/Mus%C3%A9e+de+Marrakech/data=!4m7!3m6!1s0xdafee6988fdf8cb:0x5f248cd3f7de7c66!8m2!3d31.6316423!4d-7.9862131!16zL20vMDg4cG01!19sChIJy_j9iGnurw0RZnze99OMJF8?authuser=0&hl=fr&rclk=1
Oasiria Marrakech,Tourist Attraction,Marrakech,https://www.google.com/maps/place/Oasiria+Marrakech/data=!4m7!3m6!1s0xdafef12b4c7ee13:0x463cb3c1ebe9b9c9!8m2!3d31.5815118!4d-8.0143387!16s%2Fg%2F122gfmd9!19sChIJE-7HtBLvrw0Rybnp68GzPEY?authuser=0&hl=fr&rclk=1
