place name,category,city,link
Le Z Hôtel Meknès,Hotel,Meknes,https://www.google.com/maps/place/Le+Z+H%C3%B4tel+Mekn%C3%A8s/data=!4m10!3m9!1s0xda04f01fc6daedd:0x23931ed004794fe3!5m2!4m1!1i2!8m2!3d33.8415146!4d-5.5211214!16s%2Fg%2F11nh44zm0n!19sChIJ3a5t_AFPoA0R4095BNAekyM?authuser=0&hl=fr&rclk=1
Hôtel Akouas,Hotel,Meknes,https://www.google.com/maps/place/H%C3%B4tel+Akouas/data=!4m10!3m9!1s0xda044dfa42c1f6b:0x17a33adf4707d45f!5m2!4m1!1i2!8m2!3d33.8971875!4d-5.5429375!16s%2Fg%2F1v2prknx!19sChIJax8spN9EoA0RX9QHR986oxc?authuser=0&hl=fr&rclk=1
Hôtel ibis Meknes,Hotel,Meknes,https://www.google.com/maps/place/H%C3%B4tel+ibis+Meknes/data=!4m10!3m9!1s0xda044d7ccf70b6b:0x7b0314ef8c0fb75f!5m2!4m1!1i2!8m2!3d33.8957631!4d-5.5534333!16s%2Fg%2F1trrfkgf!19sChIJawv3zNdEoA0RX7cPjO8UA3s?authuser=0&hl=fr&rclk=1
Hotel Menzeh Dalia Meknes,Hotel,Meknes,https://www.google.com/maps/place/Hotel+Menzeh+Dalia+Meknes/data=!4m10!3m9!1s0xda0465e651b0adf:0x2c518a1df2372958!5m2!4m1!1i2!8m2!3d33.8571054!4d-5.5862754!16s%2Fg%2F11b6h_dkhm!19sChIJ3wobZV5GoA0RWCk38h2KUSw?authuser=0&hl=fr&rclk=1
Maison Olga - Ancienne Medina,Hotel,Meknes,https://www.google.com/maps/place/Maison+Olga+-+Ancienne+Medina/data=!4m10!3m9!1s0xda05b2a065ae595:0x560f8124cb921dd!5m2!4m1!1i2!8m2!3d33.8939891!4d-5.567525!16s%2Fg%2F11gd0hq3y6!19sChIJleVaBipboA0R3SG5TBL4YAU?authuser=0&hl=fr&rclk=1
Hôtel rif,Hotel,Meknes,https://www.google.com/maps/place/H%C3%B4tel+rif/data=!4m10!3m9!1s0xda044d9985460ad:0x2354e02d264f318a!5m2!4m1!1i2!8m2!3d33.898426!4d-5.5508487!16s%2Fg%2F11b6pw_2x0!19sChIJrWBUmNlEoA0RijFPJi3gVCM?authuser=0&hl=fr&rclk=1
Hôtel Jaouharat Ismaili,Hotel,Meknes,https://www.google.com/maps/place/H%C3%B4tel+Jaouharat+Ismaili/data=!4m10!3m9!1s0xda0453cd28e56ef:0xe89c27c02aa6a0ec!5m2!4m1!1i2!8m2!3d33.8933061!4d-5.5157733!16s%2Fg%2F11kpywpqct!19sChIJ71aO0jxFoA0R7KCmKsAnnOg?authuser=0&hl=fr&rclk=1
FEKRI HOTEL,Hotel,Meknes,https://www.google.com/maps/place/FEKRI+HOTEL/data=!4m10!3m9!1s0xda045bff87f24bb:0xc800094c7cb654b7!5m2!4m1!1i2!8m2!3d33.8606971!4d-5.5307528!16s%2Fg%2F11t_qz52zm!19sChIJuyR_-L9FoA0Rt1S2fEwJAMg?authuser=0&hl=fr&rclk=1
HOTEL BELLE VUE MEKNES,Hotel,Meknes,https://www.google.com/maps/place/HOTEL+BELLE+VUE+MEKNES/data=!4m10!3m9!1s0xda04570092764b5:0x9c8d1eaa9b2337dd!5m2!4m1!1i2!8m2!3d33.9008802!4d-5.5317767!16s%2Fg%2F11stl47900!19sChIJtWQnCXBFoA0R3Tcjm6oejZw?authuser=0&hl=fr&rclk=1
Riad Dar Merzouga,Hotel,Meknes,https://www.google.com/maps/place/Riad+Dar+Merzouga/data=!4m10!3m9!1s0xda05b1cf64807ab:0x298c7b6dde035506!5m2!4m1!1i2!8m2!3d33.8994409!4d-5.5672819!16s%2Fg%2F11h0yhqz9p!19sChIJqwdI9hxboA0RBlUD3m17jCk?authuser=0&hl=fr&rclk=1
