place name,category,city,link
Aisha,Restaurant,Meknes,https://www.google.com/maps/place/Aisha/data=!4m7!3m6!1s0xda05b2a45b8a0ad:0x5d9b9f4e09ed9c4b!8m2!3d33.8963896!4d-5.5655717!16s%2Fg%2F11cnrgdz_k!19sChIJraC4RSpboA0RS5ztCU6fm10?authuser=0&hl=fr&rclk=1
Restaurant YA HALA Meknes يا هلا مكناس,Restaurant,Meknes,https://www.google.com/maps/place/Restaurant+YA+HALA+Meknes+%D9%8A%D8%A7+%D9%87%D9%84%D8%A7+%D9%85%D9%83%D9%86%D8%A7%D8%B3%E2%80%AD/data=!4m7!3m6!1s0xda05ad58a5e4a8f:0x2368794329e9c90!8m2!3d33.8940615!4d-5.5656004!16s%2Fg%2F11b7f_k3zr!19sChIJj0peitVaoA0RkJyeMpSHNgI?authuser=0&hl=fr&rclk=1
Black PEPPER Meknès,Restaurant,Meknes,https://www.google.com/maps/place/Black+PEPPER+Mekn%C3%A8s/data=!4m7!3m6!1s0xda04578d7c69d9f:0xf2e6fa62504df0e9!8m2!3d33.8978064!4d-5.5269005!16s%2Fg%2F11j2y9_rxp!19sChIJn53G13hFoA0R6fBNUGL65vI?authuser=0&hl=fr&rclk=1
Restaurant Dar Baraka,Restaurant,Meknes,https://www.google.com/maps/place/Restaurant+Dar+Baraka/data=!4m7!3m6!1s0xda05b94b8b210cd:0x4112756ea8b1ca78!8m2!3d33.8959693!4d-5.5652423!16s%2Fg%2F11h0l48c1h!19sChIJzRCyuJRboA0ReMqxqG51EkE?authuser=0&hl=fr&rclk=1
Restaurant Gout De Meknes,Restaurant,Meknes,https://www.google.com/maps/place/Restaurant+Gout+De+Meknes/data=!4m7!3m6!1s0xda05b2a665cb611:0xc219bfbcd4f08121!8m2!3d33.895362!4d-5.5648897!16s%2Fg%2F11ckrj3n76!19sChIJEbZcZipboA0RIYHw1Ly_GcI?authuser=0&hl=fr&rclk=1
Sunday's,Restaurant,Meknes,https://www.google.com/maps/place/Sunday%27s/data=!4m7!3m6!1s0xda045f963f51607:0xf5237bd5722b60ea!8m2!3d33.9000112!4d-5.5401732!16s%2Fg%2F11ptzj2qpr!19sChIJBxb1Y_lFoA0R6mArctV7I_U?authuser=0&hl=fr&rclk=1
Foodies Meknes,Restaurant,Meknes,https://www.google.com/maps/place/Foodies+Meknes/data=!4m7!3m6!1s0xda045bbb64218d5:0x92d1dc3fe8cb7fed!8m2!3d33.8987171!4d-5.5451495!16s%2Fg%2F11y5nb5hht!19sChIJ1RhCtrtFoA0R7X_L6D_c0ZI?authuser=0&hl=fr&rclk=1
Restaurant Dar Lalla Khadra,Restaurant,Meknes,https://www.google.com/maps/place/Restaurant+Dar+Lalla+Khadra/data=!4m7!3m6!1s0xda05b0029ea0d41:0x7c26a093743705a8!8m2!3d33.8990989!4d-5.5658604!16s%2Fg%2F11y43wv1nj!19sChIJQQ3qKQBboA0RqAU3dJOgJnw?authuser=0&hl=fr&rclk=1
LA BRAISE,Restaurant,Meknes,https://www.google.com/maps/place/LA+BRAISE/data=!4m7!3m6!1s0xda045244dd2cbc7:0xc8fe81f31da0a7f8!8m2!3d33.8996568!4d-5.5496589!16s%2Fg%2F11h05bwzdb!19sChIJx8vSTSRFoA0R-KegHfOB_sg?authuser=0&hl=fr&rclk=1
Luigi Meknès - Restaurant italien,Restaurant,Meknes,https://www.google.com/maps/place/Luigi+Mekn%C3%A8s+-+Restaurant+italien/data=!4m7!3m6!1s0xda045006cc51dbf:0xb56bf118113143ba!8m2!3d33.9014179!4d-5.5402457!16s%2Fg%2F11y5slprhr!19sChIJvx3FbABFoA0RukMxERjxa7U?authuser=0&hl=fr&rclk=1
L'AS D-LYS,Restaurant,Meknes,https://www.google.com/maps/place/L%27AS+D-LYS/data=!4m7!3m6!1s0xda044d9ee820321:0xb66ad053608306fd!8m2!3d33.8993004!4d-5.5502592!16s%2Fg%2F11b6hrv57y!19sChIJIQOC7tlEoA0R_QaDYFPQarY?authuser=0&hl=fr&rclk=1
Reference Garden,Restaurant,Meknes,https://www.google.com/maps/place/Reference+Garden/data=!4m7!3m6!1s0xda045ea81da9dd7:0xd4a51dacb5b70c84!8m2!3d33.903364!4d-5.5477267!16s%2Fg%2F11y2ms3zxj!19sChIJ153agepFoA0RhAy3tawdpdQ?authuser=0&hl=fr&rclk=1
