place name,category,city,link
Mausolée de Moulay Ismaïl,Tourist Attraction,Meknes,https://www.google.com/maps/place/Mausol%C3%A9e+de+Moulay+Isma%C3%AFl/data=!4m7!3m6!1s0xda05ad55dad4ea9:0x86c3c4c665a82743!8m2!3d33.8907229!4d-5.5631701!16s%2Fg%2F120jx00q!19sChIJqU6tXdVaoA0RQyeoZcbEw4Y?authuser=0&hl=fr&rclk=1
El hedime Square,Tourist Attraction,Meknes,https://www.google.com/maps/place/El+hedime+Square/data=!4m7!3m6!1s0xda05ad5eca8cb79:0x5cb3610178a72660!8m2!3d33.893054!4d-5.5654054!16s%2Fg%2F11dxsrxgt9!19sChIJecuo7NVaoA0RYCaneAFhs1w?authuser=0&hl=fr&rclk=1
Musée Dar Eljamîi,Tourist Attraction,Meknes,https://www.google.com/maps/place/Mus%C3%A9e+Dar+Eljam%C3%AEi/data=!4m7!3m6!1s0xda05ad5fa3c81c3:0x8273709182748834!8m2!3d33.8937409!4d-5.5665809!16s%2Fg%2F1229dh62!19sChIJw4E8-tVaoA0RNIh0gpFwc4I?authuser=0&hl=fr&rclk=1
Coco Park,Tourist Attraction,Meknes,https://www.google.com/maps/place/Coco+Park/data=!4m7!3m6!1s0xda04ff9030106cb:0x7fdea213ccc2fefa!8m2!3d33.8343114!4d-5.5521026!16s%2Fg%2F11rk9_6snd!19sChIJywYBA_lPoA0R-v7CzBOi3n8?authuser=0&hl=fr&rclk=1
Aqualand Meknes Parc,Tourist Attraction,Meknes,https://www.google.com/maps/place/Aqualand+Meknes+Parc/data=!4m7!3m6!1s0xda050804c127e3d:0xa9424ea49c1246a6!8m2!3d33.8460276!4d-5.6061169!16s%2Fg%2F11g8wn2t35!19sChIJPX4STIBQoA0RpkYSnKROQqk?authuser=0&hl=fr&rclk=1
Bab El Mansour Laalej,Tourist Attraction,Meknes,https://www.google.com/maps/place/Bab+El+Mansour+Laalej/data=!4m7!3m6!1s0xda05b9e1203eed3:0x782491cb63cee104!8m2!3d33.8925906!4d-5.5646902!16s%2Fg%2F11b6g6h99c!19sChIJ0-4DEp5boA0RBOHOY8uRJHg?authuser=0&hl=fr&rclk=1
Medersa Bou Inania de Meknès,Tourist Attraction,Meknes,https://www.google.com/maps/place/Medersa+Bou+Inania+de+Mekn%C3%A8s/data=!4m7!3m6!1s0xda05b2a6eb8758d:0x9bd261e4c140c6e0!8m2!3d33.8951586!4d-5.5652967!16s%2Fm%2F025zb7t!19sChIJjXW4bipboA0R4MZAweRh0ps?authuser=0&hl=fr&rclk=1
Bab El Khemis,Tourist Attraction,Meknes,https://www.google.com/maps/place/Bab+El+Khemis/data=!4m7!3m6!1s0xda0452b490874af:0x16aac09e8024c902!8m2!3d33.8911971!4d-5.5723858!16s%2Fg%2F1235q8tp!19sChIJr3QISStFoA0RAskkgJ7AqhY?authuser=0&hl=fr&rclk=1
Meknès Médina,Tourist Attraction,Meknes,https://www.google.com/maps/place/Mekn%C3%A8s+M%C3%A9dina/data=!4m7!3m6!1s0xda05b00675326f3:0xdb070adce0456bdd!8m2!3d33.8946206!4d-5.5659733!16s%2Fg%2F11why9kwfx!19sChIJ8yZTZwBboA0R3WtF4NwKB9s?authuser=0&hl=fr&rclk=1
Place Lalla Aouda,Tourist Attraction,Meknes,https://www.google.com/maps/place/Place+Lalla+Aouda/data=!4m7!3m6!1s0xda05ad50e9cd9db:0x8f0067f4158351e4!8m2!3d33.8924724!4d-5.5639046!16s%2Fg%2F1wfvn_qx!19sChIJ29mcDtVaoA0R5FGDFfRnAI8?authuser=0&hl=fr&rclk=1
Écuries royales,Tourist Attraction,Meknes,https://www.google.com/maps/place/%C3%89curies+royales/data=!4m7!3m6!1s0xda04532361e6e6f:0x68cfd48748d6187e!8m2!3d33.8797802!4d-5.5586526!16s%2Fg%2F122y54q8!19sChIJb24eNjJFoA0RfhjWSIfUz2g?authuser=0&hl=fr&rclk=1
dar jad,Tourist Attraction,Meknes,https://www.google.com/maps/place/dar+jad/data=!4m7!3m6!1s0xda0450039989cfd:0x6cd6cac7ecd238c!8m2!3d33.9116036!4d-5.5613834!16s%2Fg%2F11xmh0pm1x!19sChIJ_ZyYOQBFoA0RjCPNfqxszQY?authuser=0&hl=fr&rclk=1
Le portail de Moulay Ismaïl,Tourist Attraction,Meknes,https://www.google.com/maps/place/Le+portail+de+Moulay+Isma%C3%AFl/data=!4m7!3m6!1s0xda05bcb1a7024fb:0x8f2f0385bea85d99!8m2!3d33.8906494!4d-5.5637843!16s%2Fg%2F11h6m99q2f!19sChIJ-yRwGstboA0RmV2ovoUDL48?authuser=0&hl=fr&rclk=1
Bab Rih,Tourist Attraction,Meknes,https://www.google.com/maps/place/Bab+Rih/data=!4m7!3m6!1s0xda04525aaaaaaab:0xf1d07cca92e6fb12!8m2!3d33.8912458!4d-5.5723573!16s%2Fg%2F11b6j1nz2q!19sChIJq6qqqiVFoA0REvvmksp80PE?authuser=0&hl=fr&rclk=1
