place name,category,city,link
Desierto Merzouga tour ⵜⴰⵏⵣⵔⵓⴼⵜ ⵏ ⵎⵔⵣⵓⴳⴰ ⵜⵓⵔ,Tourist Attraction,Merzouga,https://www.google.com/maps/place/Desierto+Merzouga+tour+%E2%B5%9C%E2%B4%B0%E2%B5%8F%E2%B5%A3%E2%B5%94%E2%B5%93%E2%B4%BC%E2%B5%9C+%E2%B5%8F+%E2%B5%8E%E2%B5%94%E2%B5%A3%E2%B5%93%E2%B4%B3%E2%B4%B0+%E2%B5%9C%E2%B5%93%E2%B5%94/data=!4m7!3m6!1s0xd973d0e19193141:0xbf2cfca891b23863!8m2!3d31.074776!4d-4.0104064!16s%2Fg%2F11pm7j2c6p!19sChIJQTEZGQ49lw0RYziykaj8LL8?authuser=0&hl=fr&rclk=1
Merzouga Dunes,Tourist Attraction,Merzouga,https://www.google.com/maps/place/Merzouga+Dunes/data=!4m7!3m6!1s0xd973e948400d589:0x5a1c0ade6dae9b3!8m2!3d31.1311846!4d-4.0166961!16s%2Fg%2F11csqwtr8b!19sChIJidUAhJQ-lw0Rs-na5q3AoQU?authuser=0&hl=fr&rclk=1
Les dunes de Merzouga,Tourist Attraction,Merzouga,https://www.google.com/maps/place/Les+dunes+de+Merzouga/data=!4m7!3m6!1s0xd973debcee5a5a5:0x7d526e260fdb7f6f!8m2!3d31.0517018!4d-3.9990586!16s%2Fg%2F11sjfcr7s4!19sChIJpaXlzus9lw0Rb3_bDyZuUn0?authuser=0&hl=fr&rclk=1
Merzouga glamping camp,Tourist Attraction,Merzouga,https://www.google.com/maps/place/Merzouga+glamping+camp/data=!4m7!3m6!1s0xd973d797651c6ad:0x1248849f0e61f18!8m2!3d31.070884!4d-4.0147009!16s%2Fg%2F11s_v2xcr6!19sChIJrcZRdnk9lw0RGB_m8EmIJAE?authuser=0&hl=fr&rclk=1
PANORAMA QUADS,Tourist Attraction,Merzouga,https://www.google.com/maps/place/PANORAMA+QUADS/data=!4m7!3m6!1s0xd973fe5337ae379:0xc6a26aecbc509a32!8m2!3d31.112851!4d-4.0169329!16s%2Fg%2F11s2j0kwvb!19sChIJeeN6M-U_lw0RMppQvOxqosY?authuser=0&hl=fr&rclk=1
Desert Activities Merzouga,Tourist Attraction,Merzouga,https://www.google.com/maps/place/Desert+Activities+Merzouga/data=!4m7!3m6!1s0xd973ddfe4bd131b:0x8b1c1dee44833763!8m2!3d31.0937822!4d-4.0098553!16s%2Fg%2F11w9fffp_n!19sChIJGxO95N89lw0RYzeDRO4dHIs?authuser=0&hl=fr&rclk=1
Lala Merzouga Sahara 500m,Tourist Attraction,Merzouga,https://www.google.com/maps/place/Lala+Merzouga+Sahara+500m/data=!4m7!3m6!1s0xd973d0077718223:0x7d49827db9d6a1df!8m2!3d31.0798159!4d-3.9934461!16s%2Fg%2F11vwjzh1f_!19sChIJI4JxdwA9lw0R36HWuX2CSX0?authuser=0&hl=fr&rclk=1
Maison Chez Nous Merzouga,Tourist Attraction,Merzouga,https://www.google.com/maps/place/Maison+Chez+Nous+Merzouga/data=!4m7!3m6!1s0xd973c6a8edd40b9:0x40047731b6aed2a!8m2!3d31.0836544!4d-4.0074228!16s%2Fg%2F11bw42bnx1!19sChIJuUDdjmo8lw0RKu1qG3NHAAQ?authuser=0&hl=fr&rclk=1
Moroccan Activities Company,Tourist Attraction,Merzouga,https://www.google.com/maps/place/Moroccan+Activities+Company/data=!4m7!3m6!1s0xd973c25824d94f9:0xfc27bc559bc7194c!8m2!3d31.0801676!4d-4.013361!16s%2Fg%2F11fy9pny8p!19sChIJ-ZRNgiU8lw0RTBnHm1W8J_w?authuser=0&hl=fr&rclk=1
Merzouga Attractions Erg Chebbi,Tourist Attraction,Merzouga,https://www.google.com/maps/place/Merzouga+Attractions+Erg+Chebbi/data=!4m7!3m6!1s0xd973d61b64b7029:0x6d923fe1662b64d4!8m2!3d31.0388475!4d-4.007799!16s%2Fg%2F11trgzg0b9!19sChIJKXBLtmE9lw0R1GQrZuE_km0?authuser=0&hl=fr&rclk=1
