place name,category,city,link
ibis Ouarzazate Centre,Hotel,Ouarzazate,https://www.google.com/maps/place/ibis+Ouarzazate+Centre/data=!4m10!3m9!1s0xdbb106b1371fb91:0x9d6931a07cfc9e2b!5m2!4m1!1i2!8m2!3d30.9200487!4d-6.9037713!16s%2Fg%2F1tz77bf2!19sChIJkftxE2sQuw0RK578fKAxaZ0?authuser=0&hl=fr&rclk=1
Hôtel Zaghro,Hotel,Ouarzazate,https://www.google.com/maps/place/H%C3%B4tel+Zaghro/data=!4m10!3m9!1s0xdbb10035e55f4fb:0x850775532696c16c!5m2!4m1!1i2!8m2!3d30.9003789!4d-6.9113691!16s%2Fg%2F11xqzgmnw!19sChIJ-_RVXgMQuw0RbMGWJlN1B4U?authuser=0&hl=fr&rclk=1
Le Berbère Palace,Hotel,Ouarzazate,https://www.google.com/maps/place/Le+Berb%C3%A8re+Palace/data=!4m10!3m9!1s0xdbb106e02386895:0xf8b2480b49019090!5m2!4m1!1i2!8m2!3d30.923062!4d-6.909776!16s%2Fg%2F1td2cpvn!19sChIJlWg4Am4Quw0RkJABSQtIsvg?authuser=0&hl=fr&rclk=1
RS Hôtel Karam Palace,Hotel,Ouarzazate,https://www.google.com/maps/place/RS+H%C3%B4tel+Karam+Palace/data=!4m10!3m9!1s0xdbb106b722a8ead:0x4ff437301ef74b14!5m2!4m1!1i2!8m2!3d30.9202512!4d-6.9044191!16s%2Fg%2F1wg5zckg!19sChIJrY4qcmsQuw0RFEv3HjA39E8?authuser=0&hl=fr&rclk=1
Hôtel Le Zat,Hotel,Ouarzazate,https://www.google.com/maps/place/H%C3%B4tel+Le+Zat/data=!4m10!3m9!1s0xdbb106aa82f6dbf:0x1f8756b8d44d911b!5m2!4m1!1i2!8m2!3d30.9254528!4d-6.8848882!16s%2Fg%2F12hn600f3!19sChIJv20vqGoQuw0RG5FN1LhWhx8?authuser=0&hl=fr&rclk=1
Hôtel Perle du Sud,Hotel,Ouarzazate,https://www.google.com/maps/place/H%C3%B4tel+Perle+du+Sud/data=!4m10!3m9!1s0xdbb10759b56d4e7:0xde340f6c98b4ec08!5m2!4m1!1i2!8m2!3d30.9204246!4d-6.9200872!16s%2Fg%2F1v3lr9k_!19sChIJ59RWm3UQuw0RCOy0mGwPNN4?authuser=0&hl=fr&rclk=1
Motel Safari Budget,Hotel,Ouarzazate,https://www.google.com/maps/place/Motel+Safari+Budget/data=!4m10!3m9!1s0xdbb1ba706c8627f:0x13aceff2d7f60214!5m2!4m1!1i2!8m2!3d30.9390319!4d-6.9774307!16s%2Fg%2F11fk086xlg!19sChIJf2LIBqcbuw0RFAL21_LvrBM?authuser=0&hl=fr&rclk=1
Oscar Hotel by Atlas Studios,Hotel,Ouarzazate,https://www.google.com/maps/place/Oscar+Hotel+by+Atlas+Studios/data=!4m10!3m9!1s0xdbb106b79f08be1:0xe602a0d6f30a7f7d!5m2!4m1!1i2!8m2!3d30.9412793!4d-6.9675425!16s%2Fg%2F1tfcppx1!19sChIJ4YvweWsQuw0RfX8K89agAuY?authuser=0&hl=fr&rclk=1
Hôtel Marmar,Hotel,Ouarzazate,https://www.google.com/maps/place/H%C3%B4tel+Marmar/data=!4m10!3m9!1s0xdbb1a9cce6fe327:0xb761cb2f769fb67!5m2!4m1!1i2!8m2!3d30.9283408!4d-6.9244034!16s%2Fg%2F1td1fs9w!19sChIJJ-Nvzpwauw0RZ_tp97Icdgs?authuser=0&hl=fr&rclk=1
Kasbah Tamsna,Hotel,Ouarzazate,https://www.google.com/maps/place/Kasbah+Tamsna/data=!4m10!3m9!1s0xdbb1b06c853d2f1:0x524de6b0869fea03!5m2!4m1!1i2!8m2!3d30.9330425!4d-6.9723437!16s%2Fg%2F11qn7x_y6s!19sChIJ8dJTyAYbuw0RA-qfhrDmTVI?authuser=0&hl=fr&rclk=1
