place name,category,city,link
The Full Sun,Restaurant,Ouarzazate,https://www.google.com/maps/place/The+Full+Sun/data=!4m7!3m6!1s0xdbb11af5c33d9d1:0x1dd6d72562b6f877!8m2!3d30.9219274!4d-6.9072738!16s%2Fg%2F11r3l93s10!19sChIJ0dkzXK8Ruw0Rd_i2YiXX1h0?authuser=0&hl=fr&rclk=1
restaurant lakasbah etoile ouarzazate,Restaurant,Ouarzazate,https://www.google.com/maps/place/restaurant+lakasbah+etoile+ouarzazate/data=!4m7!3m6!1s0xdbb111adf88ce6b:0x78f7cba339d6c891!8m2!3d30.9208446!4d-6.8999615!16s%2Fg%2F11xg4yltfd!19sChIJa86I3xoRuw0RkcjWOaPL93g?authuser=0&hl=fr&rclk=1
Jardin des Arômes : Restaurant & Lounge,Restaurant,Ouarzazate,https://www.google.com/maps/place/Jardin+des+Ar%C3%B4mes+:+Restaurant+%26+Lounge/data=!4m7!3m6!1s0xda2cd35199fd823:0x5518f899c380be19!8m2!3d30.9201513!4d-6.9153412!16s%2Fg%2F11b6hqncb4!19sChIJI9ifGTXNog0RGb6Aw5n4GFU?authuser=0&hl=fr&rclk=1
La Gironde,Restaurant,Ouarzazate,https://www.google.com/maps/place/La+Gironde/data=!4m7!3m6!1s0xdbb10748fb722d3:0xa4745e006ce63106!8m2!3d30.9216762!4d-6.9199525!16s%2Fg%2F11b6hx16t3!19sChIJ0yK3j3QQuw0RBjHmbABedKQ?authuser=0&hl=fr&rclk=1
La Datte d'Or,Restaurant,Ouarzazate,https://www.google.com/maps/place/La+Datte+d%27Or/data=!4m7!3m6!1s0xdbb11d30b5c34a7:0xa0b7615238aff004!8m2!3d30.9216314!4d-6.9111642!16s%2Fg%2F11kjp2tclq!19sChIJpzRcC9MRuw0RBPCvOFJht6A?authuser=0&hl=fr&rclk=1
Restaurant Douyria,Restaurant,Ouarzazate,https://www.google.com/maps/place/Restaurant+Douyria/data=!4m7!3m6!1s0xdbb10649c2fb7bd:0x86fa504bc778a13b!8m2!3d30.9204851!4d-6.8977714!16s%2Fg%2F12m9c0ggj!19sChIJvbcvnGQQuw0RO6F4x0tQ-oY?authuser=0&hl=fr&rclk=1
Restaurant Chay Ouarzazate,Restaurant,Ouarzazate,https://www.google.com/maps/place/Restaurant+Chay+Ouarzazate/data=!4m7!3m6!1s0xdbb11cfc676d171:0x3de1783f513f4264!8m2!3d30.9318474!4d-6.9172242!16s%2Fg%2F11sm9bqn0_!19sChIJcdF2xs8Ruw0RZEI_UT944T0?authuser=0&hl=fr&rclk=1
La Rose Des Sables : Restaurant&Pizzeria,Restaurant,Ouarzazate,https://www.google.com/maps/place/La+Rose+Des+Sables+:+Restaurant%26Pizzeria/data=!4m7!3m6!1s0xdbb1004e7571593:0x715bc75ee572efbc!8m2!3d30.9031467!4d-6.9114918!16s%2Fg%2F11b6gh2qy6!19sChIJkxVX5wQQuw0RvO9y5V7HW3E?authuser=0&hl=fr&rclk=1
Kasbah tazentoute,Restaurant,Ouarzazate,https://www.google.com/maps/place/Kasbah+tazentoute/data=!4m10!3m9!1s0xdbb1d68b0546c39:0xd546971dada6bd1a!5m2!4m1!1i2!8m2!3d30.9690536!4d-7.0926579!16s%2Fg%2F11j248x3r5!19sChIJOWxUsGgduw0RGr2mrR2XRtU?authuser=0&hl=fr&rclk=1
La Kasbah des Sables : Restaurant & Lounge,Restaurant,Ouarzazate,https://www.google.com/maps/place/La+Kasbah+des+Sables+:+Restaurant+%26+Lounge/data=!4m7!3m6!1s0xdbb104b5012e23d:0x4a1bde4e60597dec!8m2!3d30.924564!4d-6.878653!16s%2Fg%2F1v8x3k53!19sChIJPeISUEsQuw0R7H1ZYE7eG0o?authuser=0&hl=fr&rclk=1
Restaurant Toudgha,Restaurant,Ouarzazate,https://www.google.com/maps/place/Restaurant+Toudgha/data=!4m7!3m6!1s0xdbb1041439f8851:0x12a7dd320a9d1971!8m2!3d30.9238142!4d-6.8956843!16s%2Fg%2F11ggw9qms3!19sChIJUYifQ0EQuw0RcRmdCjLdpxI?authuser=0&hl=fr&rclk=1
