place name,category,city,link
Kasbah Taourirt,Tourist Attraction,Ouarzazate,https://www.google.com/maps/place/Kasbah+Taourirt/data=!4m7!3m6!1s0xdbb106aa0231bc3:0x29952ce1d0fc6a2!8m2!3d30.9201554!4d-6.8995877!16s%2Fg%2F1222z6xr!19sChIJwxsjoGoQuw0RosYPHc5SmQI?authuser=0&hl=fr&rclk=1
Place Al-Mouahidine,Tourist Attraction,Ouarzazate,https://www.google.com/maps/place/Place+Al-Mouahidine/data=!4m7!3m6!1s0xdbb1073bc9865af:0x75616743a8db20b7!8m2!3d30.9212984!4d-6.9137035!16s%2Fg%2F1tmqn3yy!19sChIJr2WYvHMQuw0RtyDbqENnYXU?authuser=0&hl=fr&rclk=1
Atlas Studios Ouarzazate,Tourist Attraction,Ouarzazate,https://www.google.com/maps/place/Atlas+Studios+Ouarzazate/data=!4m7!3m6!1s0xdbb1babacee967b:0x7db8ead55a51f92b!8m2!3d30.9413815!4d-6.9669833!16s%2Fg%2F1tf7cg22!19sChIJe5burKsbuw0RK_lRWtXquH0?authuser=0&hl=fr&rclk=1
Kasbah Tifoultoute,Tourist Attraction,Ouarzazate,https://www.google.com/maps/place/Kasbah+Tifoultoute/data=!4m7!3m6!1s0xdbb1b7223c913e9:0x9ec9cd84392d7667!8m2!3d30.9265986!4d-6.9903141!16s%2Fm%2F0n46qfp!19sChIJ6RPJI3Ibuw0RZ3YtOYTNyZ4?authuser=0&hl=fr&rclk=1
Quad Ouarzazate,Tourist Attraction,Ouarzazate,https://www.google.com/maps/place/Quad+Ouarzazate/data=!4m7!3m6!1s0xdbb1bb563870371:0xab765ad6d22c0b00!8m2!3d30.9348108!4d-6.9665476!16s%2Fg%2F11l363532t!19sChIJcQOHY7Ubuw0RAAss0tZadqs?authuser=0&hl=fr&rclk=1
Ouarzazate parco del cinema,Tourist Attraction,Ouarzazate,https://www.google.com/maps/place/Ouarzazate+parco+del+cinema/data=!4m7!3m6!1s0xdbb1b609f10ce15:0x8acacc251afa3cfe!8m2!3d30.9413967!4d-6.9669628!16s%2Fg%2F11spn29sl0!19sChIJFc4Qn2Abuw0R_jz6GiXMyoo?authuser=0&hl=fr&rclk=1
ATV Adventure Ouarzazate - Quad & Buggy,Tourist Attraction,Ouarzazate,https://www.google.com/maps/place/ATV+Adventure+Ouarzazate+-+Quad+%26+Buggy/data=!4m7!3m6!1s0xdbb1bb716229519:0xe46952c181e9a7d2!8m2!3d30.9378208!4d-6.9636516!16s%2Fg%2F11tms0sxqr!19sChIJGZUiFrcbuw0R0qfpgcFSaeQ?authuser=0&hl=fr&rclk=1
Kart Aventure,Tourist Attraction,Ouarzazate,https://www.google.com/maps/place/Kart+Aventure/data=!4m7!3m6!1s0xdbb106db4433ab3:0x90f2df273b3d0b0f!8m2!3d30.9218265!4d-6.9075825!16s%2Fg%2F1thl_t3g!19sChIJszpDtG0Quw0RDws9Oyff8pA?authuser=0&hl=fr&rclk=1
table d'orientation,Tourist Attraction,Ouarzazate,https://www.google.com/maps/place/table+d%27orientation/data=!4m7!3m6!1s0xdbb1300044faddd:0xd6905f0f2ad2b19e!8m2!3d30.9741785!4d-6.7671188!16s%2Fg%2F11y495fx8m!19sChIJ3a1PBAATuw0RnrHSKg9fkNY?authuser=0&hl=fr&rclk=1
Place ASSARAG,Tourist Attraction,Ouarzazate,https://www.google.com/maps/place/Place+ASSARAG/data=!4m7!3m6!1s0xdbb1100316d56ff:0xeb479b2d46d36ff7!8m2!3d30.9196099!4d-6.9005781!16s%2Fg%2F11m7133rn9!19sChIJ_1ZtMQARuw0R92_TRi2bR-s?authuser=0&hl=fr&rclk=1
