place name,category,city,link
Hôtel Aswan,Hotel,Oujda,https://www.google.com/maps/place/H%C3%B4tel+Aswan/data=!4m10!3m9!1s0xd78635f62360e73:0xde3432cd580429ce!5m2!4m1!1i2!8m2!3d34.6889066!4d-1.9098983!16s%2Fg%2F11btm7zgnh!19sChIJcw42Yl9jeA0RzikEWM0yNN4?authuser=0&hl=fr&rclk=1
ibis Oujda,Hotel,Oujda,https://www.google.com/maps/place/ibis+Oujda/data=!4m10!3m9!1s0xd7864ba79629b17:0x1c1f137c3d5ee815!5m2!4m1!1i2!8m2!3d34.6817552!4d-1.9222967!16s%2Fg%2F1tt8dmbk!19sChIJF5tiebpkeA0RFehePXwTHxw?authuser=0&hl=fr&rclk=1
Hôtel Atlas Terminus & Spa Oujda,Hotel,Oujda,https://www.google.com/maps/place/H%C3%B4tel+Atlas+Terminus+%26+Spa+Oujda/data=!4m10!3m9!1s0xd7864b090c3bedf:0xf6b53ce580b3e65c!5m2!4m1!1i2!8m2!3d34.6809055!4d-1.923017!16s%2Fg%2F11x9yfxbk!19sChIJ377DkLBkeA0RXOazgOU8tfY?authuser=0&hl=fr&rclk=1
Hôtel Royal,Hotel,Oujda,https://www.google.com/maps/place/H%C3%B4tel+Royal/data=!4m10!3m9!1s0xd7864afdd8b9125:0xf990dbe9bed76c8f!5m2!4m1!1i2!8m2!3d34.6806225!4d-1.9192342!16s%2Fg%2F1s04b620w!19sChIJJZGL3a9keA0Rj2zXvunbkPk?authuser=0&hl=fr&rclk=1
Relax Hôtel Oujda,Hotel,Oujda,https://www.google.com/maps/place/Relax+H%C3%B4tel+Oujda/data=!4m10!3m9!1s0xd78646af3b61057:0x7ba4734af64f3d0d!5m2!4m1!1i2!8m2!3d34.7345268!4d-1.9279147!16s%2Fg%2F11b7jv962c!19sChIJVxC282pkeA0RDT1P9kpzpHs?authuser=0&hl=fr&rclk=1
Atlas Orient,Hotel,Oujda,https://www.google.com/maps/place/Atlas+Orient/data=!4m10!3m9!1s0xd7864ae9f7a9e65:0x616ed6ac2137e0ae!5m2!4m1!1i2!8m2!3d34.6766967!4d-1.9162563!16s%2Fg%2F12hpb4n09!19sChIJZZ56n65keA0RruA3IazWbmE?authuser=0&hl=fr&rclk=1
Hôtel Raiss,Hotel,Oujda,https://www.google.com/maps/place/H%C3%B4tel+Raiss/data=!4m10!3m9!1s0xd7864a68f1d7d8b:0x2d67bde51c29ebc4!5m2!4m1!1i2!8m2!3d34.6852629!4d-1.9137773!16s%2Fg%2F1q62h_mbq!19sChIJi30dj6ZkeA0RxOspHOW9Zy0?authuser=0&hl=fr&rclk=1
Hôtel des Lilas,Hotel,Oujda,https://www.google.com/maps/place/H%C3%B4tel+des+Lilas/data=!4m10!3m9!1s0xd7864afc4932975:0xefb3d1bca335893a!5m2!4m1!1i2!8m2!3d34.6812394!4d-1.9190254!16s%2Fg%2F11cm_hxjx1!19sChIJdSmTxK9keA0ROok1o7zRs-8?authuser=0&hl=fr&rclk=1
Hôtel Golf iSly,Hotel,Oujda,https://www.google.com/maps/place/H%C3%B4tel+Golf+iSly/data=!4m10!3m9!1s0xd78650034a3e2bf:0x4d9aa08952b5837!5m2!4m1!1i2!8m2!3d34.7135423!4d-1.9188592!16s%2Fg%2F11vt0sxhlr!19sChIJv-KjNABleA0RN1grlQiq2QQ?authuser=0&hl=fr&rclk=1
Belle Escale : Appart Hôtel,Hotel,Oujda,https://www.google.com/maps/place/Belle+Escale+:+Appart+H%C3%B4tel/data=!4m10!3m9!1s0xd786544dbc38bf1:0x54a8af4e2c3e4d55!5m2!4m1!1i2!8m2!3d34.6892636!4d-1.9144849!16s%2Fg%2F11fpfqc56j!19sChIJ8YvD20RleA0RVU0-LE6vqFQ?authuser=0&hl=fr&rclk=1
