place name,category,city,link
مطعم شهيوات لمعلم restaurant lamaalem,Restaurant,Oujda,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%B4%D9%87%D9%8A%D9%88%D8%A7%D8%AA+%D9%84%D9%85%D8%B9%D9%84%D9%85+restaurant+lamaalem%E2%80%AD/data=!4m7!3m6!1s0xd786341e468891d:0xbb8384e59bb545cc!8m2!3d34.6857263!4d-1.9087947!16s%2Fg%2F11nl800pp6!19sChIJHYlo5EFjeA0RzEW1m-WEg7s?authuser=0&hl=fr&rclk=1
Le best oujda,Restaurant,Oujda,https://www.google.com/maps/place/Le+best+oujda/data=!4m7!3m6!1s0xd78650389f3c5ed:0x4740bc46d7a03106!8m2!3d34.6596024!4d-1.8991679!16s%2Fg%2F11yd14nsjq!19sChIJ7cXziQNleA0RBjGg10a8QEc?authuser=0&hl=fr&rclk=1
Restaurant Casa Sevilla Oujda,Restaurant,Oujda,https://www.google.com/maps/place/Restaurant+Casa+Sevilla+Oujda/data=!4m7!3m6!1s0xd78655267427a47:0x37c04be04b11a74!8m2!3d34.6808715!4d-1.9226982!16s%2Fg%2F11mhmzvr9x!19sChIJR3pCZ1JleA0RdBqxBL4EfAM?authuser=0&hl=fr&rclk=1
Tajine City,Restaurant,Oujda,https://www.google.com/maps/place/Tajine+City/data=!4m7!3m6!1s0xd7865cd96fe1801:0xc7d4bfc63cbaa412!8m2!3d34.6643009!4d-1.9130631!16s%2Fg%2F11kj322mrb!19sChIJARj-ls1leA0REqS6PMa_1Mc?authuser=0&hl=fr&rclk=1
Delice Oujda 48,Restaurant,Oujda,https://www.google.com/maps/place/Delice+Oujda+48/data=!4m7!3m6!1s0xd7863170926b659:0x5365b933007a4c99!8m2!3d34.6789822!4d-1.8959132!16s%2Fg%2F11s5973_sm!19sChIJWbYmCRdjeA0RmUx6ADO5ZVM?authuser=0&hl=fr&rclk=1
Restaurant la Kasbah,Restaurant,Oujda,https://www.google.com/maps/place/Restaurant+la+Kasbah/data=!4m7!3m6!1s0xd787d00015fc9ff:0x6ce60f2ab840bfc7!8m2!3d34.6594507!4d-1.8933002!16s%2Fg%2F11yfyy1nkp!19sChIJ_8lfAQB9eA0Rx79AuCoP5mw?authuser=0&hl=fr&rclk=1
Malika's Food,Restaurant,Oujda,https://www.google.com/maps/place/Malika%27s+Food/data=!4m7!3m6!1s0xd78654db2e0a415:0xcc0fdd8271523ed7!8m2!3d34.6974261!4d-1.8992091!16s%2Fg%2F11rvdkmshy!19sChIJFaTgsk1leA0R1z5ScYLdD8w?authuser=0&hl=fr&rclk=1
Mak'Dal Oujda,Restaurant,Oujda,https://www.google.com/maps/place/Mak%27Dal+Oujda/data=!4m7!3m6!1s0xd787cbaa32e9a73:0x8db757c1778df170!8m2!3d34.659197!4d-1.899112!16s%2Fg%2F11hbk4kt95!19sChIJc5ouo7p8eA0RcPGNd8FXt40?authuser=0&hl=fr&rclk=1
دار الجود restaurant marocain,Restaurant,Oujda,https://www.google.com/maps/place/%D8%AF%D8%A7%D8%B1+%D8%A7%D9%84%D8%AC%D9%88%D8%AF+restaurant+marocain%E2%80%AD/data=!4m7!3m6!1s0xd787d007bcd3f6d:0x2adae6ad9f3c2589!8m2!3d34.6579961!4d-1.8969719!16s%2Fg%2F11yfh0vdmv!19sChIJbT_NewB9eA0RiSU8n63m2io?authuser=0&hl=fr&rclk=1
Smash's : Burger & Chicken,Restaurant,Oujda,https://www.google.com/maps/place/Smash%27s+:+Burger+%26+Chicken/data=!4m7!3m6!1s0xd787dc38cc51a19:0x9fe4f60ddff66ebe!8m2!3d34.6548801!4d-1.8967857!16s%2Fg%2F11wf_zwvbf!19sChIJGRrFjMN9eA0Rvm723w325J8?authuser=0&hl=fr&rclk=1
Blankok Burger,Restaurant,Oujda,https://www.google.com/maps/place/Blankok+Burger/data=!4m7!3m6!1s0xd786578c72e4711:0x91452f63dc6e32cd!8m2!3d34.67443!4d-1.9212652!16s%2Fg%2F11rtmr5kl1!19sChIJEUcux3hleA0RzTJu3GMvRZE?authuser=0&hl=fr&rclk=1
Afandy Kebab,Restaurant,Oujda,https://www.google.com/maps/place/Afandy+Kebab/data=!4m7!3m6!1s0xd7864a6917b9b71:0x5a49f2cff38c61d7!8m2!3d34.67897!4d-1.9192463!16s%2Fg%2F11b6pgh6qr!19sChIJcZt7kaZkeA0R12GM88_ySVo?authuser=0&hl=fr&rclk=1
El Kabados,Restaurant,Oujda,https://www.google.com/maps/place/El+Kabados/data=!4m7!3m6!1s0xd7864acec96c793:0xa2e58a4d7e60251c!8m2!3d34.6724427!4d-1.9161252!16s%2Fg%2F119wmf0fg!19sChIJk8eW7KxkeA0RHCVgfk2K5aI?authuser=0&hl=fr&rclk=1
O'GRANDÉ,Restaurant,Oujda,https://www.google.com/maps/place/O%27GRAND%C3%89/data=!4m7!3m6!1s0xd787dc11a252d47:0x6ec07f1b9a4ffff2!8m2!3d34.6559909!4d-1.8966224!16s%2Fg%2F11t2t9g0x4!19sChIJRy0lGsF9eA0R8v9Pmht_wG4?authuser=0&hl=fr&rclk=1
Beau Burger,Restaurant,Oujda,https://www.google.com/maps/place/Beau+Burger/data=!4m7!3m6!1s0xd7863df8ecb7419:0xc3b07170f165ebfb!8m2!3d34.6585834!4d-1.8986769!16s%2Fg%2F11fl475w06!19sChIJGXTLjt9jeA0R--tl8XBxsMM?authuser=0&hl=fr&rclk=1
M & J,Restaurant,Oujda,https://www.google.com/maps/place/M+%26+J/data=!4m7!3m6!1s0xd7864a5bccdaeab:0xf224fd255ae9a065!8m2!3d34.6833003!4d-1.9166012!16s%2Fg%2F11cm0gf9zz!19sChIJq67NvKVkeA0RZaDpWiX9JPI?authuser=0&hl=fr&rclk=1
"Lunaria : Restaurant, Coffee Club.",Restaurant,Oujda,"https://www.google.com/maps/place/Lunaria+:+Restaurant,+Coffee+Club./data=!4m7!3m6!1s0xd787d9458d46afb:0x6c35c27e6612011!8m2!3d34.6578247!4d-1.8991842!16s%2Fg%2F11m7p_f057!19sChIJ-2rUWJR9eA0RESBh5idcwwY?authuser=0&hl=fr&rclk=1"
Gravity Food,Restaurant,Oujda,https://www.google.com/maps/place/Gravity+Food/data=!4m7!3m6!1s0xd7865bd8781db5b:0xd4b3e8894f520dc9!8m2!3d34.6780894!4d-1.9281458!16s%2Fg%2F11n18j_9fj!19sChIJW9uBh71leA0RyQ1ST4nos9Q?authuser=0&hl=fr&rclk=1
Nara Sushi,Restaurant,Oujda,https://www.google.com/maps/place/Nara+Sushi/data=!4m7!3m6!1s0xd78652508abb11d:0x77b4af8f7577a2f5!8m2!3d34.6895836!4d-1.9186172!16s%2Fg%2F11rg2pmbqt!19sChIJHbGrCCVleA0R9aJ3dY-vtHc?authuser=0&hl=fr&rclk=1
Palace Angad,Restaurant,Oujda,https://www.google.com/maps/place/Palace+Angad/data=!4m7!3m6!1s0xd78635fb9cb41e5:0x67f72ecc739142e4!8m2!3d34.69114!4d-1.9083406!16s%2Fg%2F11dz57dpf7!19sChIJ5UHLuV9jeA0R5EKRc8wu92c?authuser=0&hl=fr&rclk=1
مشويات السلطان,Restaurant,Oujda,https://www.google.com/maps/place/%D9%85%D8%B4%D9%88%D9%8A%D8%A7%D8%AA+%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0xd78637ec1f1939b:0x577c4f7f10c58274!8m2!3d34.6931373!4d-1.8852207!16s%2Fg%2F11nnq6tfhk!19sChIJm5PxwX5jeA0RdILFEH9PfFc?authuser=0&hl=fr&rclk=1
Mistral Club,Restaurant,Oujda,https://www.google.com/maps/place/Mistral+Club/data=!4m7!3m6!1s0xd787cba53507e6d:0x8753da3f9ff07f92!8m2!3d34.6571088!4d-1.8973426!16s%2Fg%2F11cjx4p1g4!19sChIJbX5QU7p8eA0Rkn_wnz_aU4c?authuser=0&hl=fr&rclk=1
