place name,category,city,link
Parc Municipal Lalla Aïcha,Tourist Attraction,Oujda,https://www.google.com/maps/place/Parc+Municipal+Lalla+A%C3%AFcha/data=!4m7!3m6!1s0xd7864a915c785a5:0x7517a42923707f84!8m2!3d34.6719141!4d-1.9062576!16s%2Fg%2F11c5bs8kxv!19sChIJpYXHFalkeA0RhH9wIymkF3U?authuser=0&hl=fr&rclk=1
BaB Sidi AbdelWahab,Tourist Attraction,Oujda,https://www.google.com/maps/place/BaB+Sidi+AbdelWahab/data=!4m7!3m6!1s0xd7864a8259ed291:0x4a2078b230d4c487!8m2!3d34.6798624!4d-1.910191!16s%2Fg%2F1tt1v0ys!19sChIJkdKeJahkeA0Rh8TUMLJ4IEo?authuser=0&hl=fr&rclk=1
Parc Sidi Mâafa,Tourist Attraction,Oujda,https://www.google.com/maps/place/Parc+Sidi+M%C3%A2afa/data=!4m7!3m6!1s0xd787c9a88ef1e43:0x11f58cd3bdad286c!8m2!3d34.6376439!4d-1.9009969!16s%2Fg%2F11dylvpzy!19sChIJQx7viJp8eA0RbCitvdOM9RE?authuser=0&hl=fr&rclk=1
Parc Lalla Meriem,Tourist Attraction,Oujda,https://www.google.com/maps/place/Parc+Lalla+Meriem/data=!4m7!3m6!1s0xd787cb04cbfffff:0xbd8d3e8b35090333!8m2!3d34.6776479!4d-1.9122843!16s%2Fg%2F11b6hyr8xz!19sChIJ__-_TLB8eA0RMwMJNYs-jb0?authuser=0&hl=fr&rclk=1
Sidi Maafa,Tourist Attraction,Oujda,https://www.google.com/maps/place/Sidi+Maafa/data=!4m7!3m6!1s0xd787ce991255a69:0xa5f9eb10e4800038!8m2!3d34.6442553!4d-1.8823654!16s%2Fg%2F12vr0lyps!19sChIJaVolkel8eA0ROACA5BDr-aU?authuser=0&hl=fr&rclk=1
Parc Écologique d'Oujda,Tourist Attraction,Oujda,https://www.google.com/maps/place/Parc+%C3%89cologique+d%27Oujda/data=!4m7!3m6!1s0xd786412dd62ce43:0x74286bdf509be14f!8m2!3d34.7382603!4d-1.9216402!16s%2Fg%2F11c2pdmk6c!19sChIJQ85i3RJkeA0RT-GbUN9rKHQ?authuser=0&hl=fr&rclk=1
The old Rail Station Amusement park «Mer Niger»,Tourist Attraction,Oujda,https://www.google.com/maps/place/The+old+Rail+Station+Amusement+park+%C2%ABMer+Niger%C2%BB/data=!4m7!3m6!1s0xd78649e6574c0ed:0xb92e1f767a1fc1bb!8m2!3d34.6975143!4d-1.9118281!16s%2Fg%2F11dzdgr3wg!19sChIJ7cB0ZZ5keA0Ru8EfenYfLrk?authuser=0&hl=fr&rclk=1
Les Trois Fontaines (ⵜⴰⵣⴰ ),Tourist Attraction,Oujda,https://www.google.com/maps/place/Les+Trois+Fontaines+%28%E2%B5%9C%E2%B4%B0%E2%B5%A3%E2%B4%B0+%29/data=!4m7!3m6!1s0xd7865559b89a5f7:0x35d571814b4546d7!8m2!3d34.67896!4d-1.9134698!16s%2Fg%2F11f7h7bmy1!19sChIJ96WJm1VleA0R10ZFS4Fx1TU?authuser=0&hl=fr&rclk=1
Art walls,Tourist Attraction,Oujda,https://www.google.com/maps/place/Art+walls/data=!4m7!3m6!1s0xd78654441819a8d:0xc3add277e3bfe098!8m2!3d34.6798407!4d-1.9141974!16s%2Fg%2F11nms5f1pr!19sChIJjZqBQURleA0RmOC_43fSrcM?authuser=0&hl=fr&rclk=1
Jardin Al Qods,Tourist Attraction,Oujda,https://www.google.com/maps/place/Jardin+Al+Qods/data=!4m7!3m6!1s0xd787cbeab013651:0x9bc32e44d311a642!8m2!3d34.6542237!4d-1.8951187!16s%2Fg%2F1tg6lxft!19sChIJUTYBq758eA0RQqYR00Quw5s?authuser=0&hl=fr&rclk=1
Parc Sidi Yahya,Tourist Attraction,Oujda,https://www.google.com/maps/place/Parc+Sidi+Yahya/data=!4m7!3m6!1s0xd787d2e7951824f:0xc644345b909e23b2!8m2!3d34.665632!4d-1.8632153!16s%2Fg%2F11clvqtrr6!19sChIJT4JReS59eA0RsiOekFs0RMY?authuser=0&hl=fr&rclk=1
Oujda,Tourist Attraction,Oujda,https://www.google.com/maps/place/Oujda/data=!4m7!3m6!1s0xd7865000db2a795:0xec4c11b2776731e4!8m2!3d34.7300589!4d-1.9254864!16s%2Fg%2F11lnlp50s5!19sChIJlaeyDQBleA0R5DFnd7IRTOw?authuser=0&hl=fr&rclk=1
Mosquée Mohammed VI,Tourist Attraction,Oujda,https://www.google.com/maps/place/Mosqu%C3%A9e+Mohammed+VI/data=!4m7!3m6!1s0xd7864c9e2dc70ab:0x975449bfcabcf417!8m2!3d34.6767446!4d-1.9295138!16s%2Fg%2F1hg4r276w!19sChIJq3Dc4slkeA0RF_S8yr9JVJc?authuser=0&hl=fr&rclk=1
Transport labasara,Tourist Attraction,Oujda,https://www.google.com/maps/place/Transport+labasara/data=!4m7!3m6!1s0xd786541321fd48b:0x7755574df42ca8fa!8m2!3d34.6904918!4d-1.9149679!16s%2Fg%2F11xvg0zt26!19sChIJi9QfMkFleA0R-qgs9E1XVXc?authuser=0&hl=fr&rclk=1
City Parc Oujda,Tourist Attraction,Oujda,https://www.google.com/maps/place/City+Parc+Oujda/data=!4m7!3m6!1s0xd7865cc3d8619a9:0x6d75a4d3bf1f0f44!8m2!3d34.6978108!4d-1.9116747!16s%2Fg%2F11q3mlxxx8!19sChIJqRmGPcxleA0RRA8fv9OkdW0?authuser=0&hl=fr&rclk=1
