place name,category,city,link
ibis Agdal,Hotel,Rabat,https://www.google.com/maps/place/ibis+Agdal/data=!4m10!3m9!1s0xda76c8ca142190d:0x62fa0ecdcc2c084c!5m2!4m1!1i2!8m2!3d33.9986544!4d-6.858756!16s%2Fg%2F1ttyy28h!19sChIJDRlCoYxspw0RTAgszM0O-mI?authuser=0&hl=fr&rclk=1
Hotel Paris,Hotel,Rabat,https://www.google.com/maps/place/Hotel+Paris/data=!4m10!3m9!1s0xda76c70db62780f:0x589da0c6a7daf06f!5m2!4m1!1i2!8m2!3d34.0208538!4d-6.8414164!16s%2Fg%2F1vq9nmrg!19sChIJD3hi23Bspw0Rb_Dap8agnVg?authuser=0&hl=fr&rclk=1
Hôtel Rabat,Hotel,Rabat,https://www.google.com/maps/place/H%C3%B4tel+Rabat/data=!4m10!3m9!1s0xda76b88c9c95c4d:0x31164bb47a913012!5m2!4m1!1i2!8m2!3d34.0207608!4d-6.8301326!16s%2Fg%2F11c606fftw!19sChIJTVzJyYhrpw0REjCRerRLFjE?authuser=0&hl=fr&rclk=1
Hôtel Oscar,Hotel,Rabat,https://www.google.com/maps/place/H%C3%B4tel+Oscar/data=!4m10!3m9!1s0xda76cf464fb00df:0xee13dfeef0d666b8!5m2!4m1!1i2!8m2!3d34.0124553!4d-6.8494345!16s%2Fg%2F1wnbzc27!19sChIJ3wD7ZPRspw0RuGbW8O7fE-4?authuser=0&hl=fr&rclk=1
Sofitel Rabat Jardin des Roses,Hotel,Rabat,https://www.google.com/maps/place/Sofitel+Rabat+Jardin+des+Roses/data=!4m10!3m9!1s0xda76c9e66c35871:0x63170e8f3c5e328f!5m2!4m1!1i2!8m2!3d33.9904297!4d-6.8372946!16s%2Fg%2F1tfr1sr7!19sChIJcVjDZp5spw0RjzJePI8OF2M?authuser=0&hl=fr&rclk=1
Four Seasons Hôtel Rabat at Kasr Al Bahr,Hotel,Rabat,https://www.google.com/maps/place/Four+Seasons+H%C3%B4tel+Rabat+at+Kasr+Al+Bahr/data=!4m10!3m9!1s0xda76d8e19ad168d:0x13d1053b042477df!5m2!4m1!1i2!8m2!3d34.0211212!4d-6.8535248!16s%2Fg%2F11pdp2sfqj!19sChIJjRatGY5tpw0R33ckBDsF0RM?authuser=0&hl=fr&rclk=1
Helnan Chellah Rabat Hotel,Hotel,Rabat,https://www.google.com/maps/place/Helnan+Chellah+Rabat+Hotel/data=!4m10!3m9!1s0xda76b86d1d61bd3:0xc1903e0be526439e!5m2!4m1!1i2!8m2!3d34.0144145!4d-6.8317421!16s%2Fg%2F1thd34dn!19sChIJ0xvW0YZrpw0RnkMm5Qs-kME?authuser=0&hl=fr&rclk=1
Hotel Farah Rabat,Hotel,Rabat,https://www.google.com/maps/place/Hotel+Farah+Rabat/data=!4m10!3m9!1s0xda76cc95ff5379b:0x20e278a2ebdfee79!5m2!4m1!1i2!8m2!3d34.0257546!4d-6.8259201!16s%2Fg%2F1vvdwl19!19sChIJmzf1X8lspw0Ree7f66J44iA?authuser=0&hl=fr&rclk=1
Studios Taha,Hotel,Rabat,https://www.google.com/maps/place/Studios+Taha/data=!4m10!3m9!1s0xda76c5e585d41d7:0xe28d76e882cb942d!5m2!4m1!1i2!8m2!3d34.0104136!4d-6.8592139!16s%2Fg%2F11c1xd82n1!19sChIJ10FdWF5spw0RLZTLguh2jeI?authuser=0&hl=fr&rclk=1
Hôtel Velleda,Hotel,Rabat,https://www.google.com/maps/place/H%C3%B4tel+Velleda/data=!4m10!3m9!1s0xda76b8791ae512f:0xb9594fe7c7e05c69!5m2!4m1!1i2!8m2!3d34.017217!4d-6.8342859!16s%2Fg%2F1tk64gzq!19sChIJL1GukYdrpw0RaVzgx-dPWbk?authuser=0&hl=fr&rclk=1
