place name,category,city,link
Restaurant Marea,Restaurant,Rabat,https://www.google.com/maps/place/Restaurant+Marea/data=!4m7!3m6!1s0xda76bfc6a77d335:0xf95d3b17c40e3787!8m2!3d34.0209399!4d-6.8281629!16s%2Fg%2F11sgkpx10z!19sChIJNdN3avxrpw0RhzcOxBc7Xfk?authuser=0&hl=fr&rclk=1
DAR AL FAWAKIH RABAT - AGDAL,Restaurant,Rabat,https://www.google.com/maps/place/DAR+AL+FAWAKIH+RABAT+-+AGDAL/data=!4m7!3m6!1s0xda76d6c7bd98ff1:0xe7b23f96e023dbcc!8m2!3d33.996669!4d-6.8469846!16s%2Fg%2F11rqx2g5_k!19sChIJ8Y_Ze2xtpw0RzNsj4JY_suc?authuser=0&hl=fr&rclk=1
Little Mamma Agdal,Restaurant,Rabat,https://www.google.com/maps/place/Little+Mamma+Agdal/data=!4m7!3m6!1s0xda76db9fa80ab7d:0x2b4c6e02ba106d22!8m2!3d33.9989251!4d-6.8492055!16s%2Fg%2F11tjw3g4jd!19sChIJfauA-rltpw0RIm0QugJuTCs?authuser=0&hl=fr&rclk=1
Dar El Medina,Restaurant,Rabat,https://www.google.com/maps/place/Dar+El+Medina/data=!4m7!3m6!1s0xda76b8a41687b49:0xdf285d1a3e971c54!8m2!3d34.0264242!4d-6.8335072!16s%2Fg%2F11bxfxwlyk!19sChIJSXtoQYprpw0RVByXPhpdKN8?authuser=0&hl=fr&rclk=1
Boho Café,Restaurant,Rabat,https://www.google.com/maps/place/Boho+Caf%C3%A9/data=!4m7!3m6!1s0xda76d7307a3886b:0x2fd2152c0a7c1475!8m2!3d34.0151034!4d-6.8369946!16s%2Fg%2F11q2w3xrm5!19sChIJa4ijB3Ntpw0RdRR8CiwV0i8?authuser=0&hl=fr&rclk=1
Dar Al Fawakih Medina,Restaurant,Rabat,https://www.google.com/maps/place/Dar+Al+Fawakih+Medina/data=!4m7!3m6!1s0xda76c705b4cd959:0x892a29e45721b2d9!8m2!3d34.0203127!4d-6.8438358!16s%2Fg%2F1tdfvhhd!19sChIJWdlMW3Bspw0R2bIhV-QpKok?authuser=0&hl=fr&rclk=1
Dar Naji Hassan,Restaurant,Rabat,https://www.google.com/maps/place/Dar+Naji+Hassan/data=!4m7!3m6!1s0xda76c7118c3c2c9:0x9397b9eaa9100066!8m2!3d34.0218353!4d-6.8419415!16s%2Fg%2F1vjdrd_5!19sChIJycLDGHFspw0RZgAQqeq5l5M?authuser=0&hl=fr&rclk=1
iL Giardino Rabat,Restaurant,Rabat,https://www.google.com/maps/place/iL+Giardino+Rabat/data=!4m7!3m6!1s0xda76b9b4866b693:0x8c0fa83783c5e3cd!8m2!3d34.0156429!4d-6.8215903!16s%2Fg%2F11cjx45zxp!19sChIJk7ZmSJtrpw0RzePFgzeoD4w?authuser=0&hl=fr&rclk=1
Le Dhow : Restaurant Lounge Club,Restaurant,Rabat,https://www.google.com/maps/place/Le+Dhow+:+Restaurant+Lounge+Club/data=!4m7!3m6!1s0xda76b8b1c6d0daf:0x6b7061fd784387a4!8m2!3d34.028934!4d-6.8323541!16s%2Fg%2F12j8h2kkn!19sChIJrw1tHItrpw0RpIdDeP1hcGs?authuser=0&hl=fr&rclk=1
Dar Rbatia,Restaurant,Rabat,https://www.google.com/maps/place/Dar+Rbatia/data=!4m7!3m6!1s0xda76c7462d56cf3:0xdb1f065361d9c01c!8m2!3d34.026978!4d-6.839644!16s%2Fg%2F1tfc7zls!19sChIJ82zVYnRspw0RHMDZYVMGH9s?authuser=0&hl=fr&rclk=1
