place name,category,city,link
Jardin Zoologique de Rabat,Tourist Attraction,Rabat,https://www.google.com/maps/place/Jardin+Zoologique+de+Rabat/data=!4m7!3m6!1s0xda712c978566615:0x169daf5f0001b466!8m2!3d33.955304!4d-6.89435!16s%2Fm%2F0k70k_c!19sChIJFWZWeMkSpw0RZrQBAF-vnRY?authuser=0&hl=fr&rclk=1
Tour Hassan,Tourist Attraction,Rabat,https://www.google.com/maps/place/Tour+Hassan/data=!4m7!3m6!1s0xda76b9194140af1:0x13366c999246615c!8m2!3d34.0240776!4d-6.8229168!16zL20vMDd5XzF3!19sChIJ8QoUlJFrpw0RXGFGkplsNhM?authuser=0&hl=fr&rclk=1
Palais Royal de Rabat,Tourist Attraction,Rabat,https://www.google.com/maps/place/Palais+Royal+de+Rabat/data=!4m7!3m6!1s0xda76c8405ecff2f:0x328c8da1200b9600!8m2!3d34.0041825!4d-6.8344774!16s%2Fm%2F010qrm23!19sChIJL__sBYRspw0RAJYLIKGNjDI?authuser=0&hl=fr&rclk=1
Jardins Andalous,Tourist Attraction,Rabat,https://www.google.com/maps/place/Jardins+Andalous/data=!4m7!3m6!1s0xda76c755491d40b:0x551bf8bd2e91579!8m2!3d34.0300583!4d-6.8353361!16s%2Fm%2F0k70kzr!19sChIJC9SRVHVspw0ReRXp0ou_UQU?authuser=0&hl=fr&rclk=1
Kasbah des Oudayas,Tourist Attraction,Rabat,https://www.google.com/maps/place/Kasbah+des+Oudayas/data=!4m7!3m6!1s0xda76dd3bd78bd61:0x449c14ed7b673961!8m2!3d34.0318725!4d-6.8361483!16s%2Fm%2F02vqhhc!19sChIJYb14vdNtpw0RYTlne-0UnEQ?authuser=0&hl=fr&rclk=1
Musée d'Histoire et des Civilisations,Tourist Attraction,Rabat,https://www.google.com/maps/place/Mus%C3%A9e+d%27Histoire+et+des+Civilisations/data=!4m7!3m6!1s0xda76b812ceaaaab:0xe13fce3ce17ec93b!8m2!3d34.0138719!4d-6.8315545!16s%2Fm%2F064qgz5!19sChIJq6rqLIFrpw0RO8l-4TzOP-E?authuser=0&hl=fr&rclk=1
Site Archéologique de Chellah,Tourist Attraction,Rabat,https://www.google.com/maps/place/Site+Arch%C3%A9ologique+de+Chellah/data=!4m7!3m6!1s0xda76b764e534c87:0xa70cd79ca5c23e85!8m2!3d34.0070668!4d-6.821318!16zL20vMDgxbm5j!19sChIJh0xTTnZrpw0RhT7CpZzXDKc?authuser=0&hl=fr&rclk=1
Rabat Corniche,Tourist Attraction,Rabat,https://www.google.com/maps/place/Rabat+Corniche/data=!4m7!3m6!1s0xda76b4da9f8a61d:0x1dadc72bbc3a0089!8m2!3d34.0284293!4d-6.8320896!16s%2Fg%2F11ssg2ntcp!19sChIJHab4qU1rpw0RiQA6vCvHrR0?authuser=0&hl=fr&rclk=1
Mausolée Mohammed V,Tourist Attraction,Rabat,https://www.google.com/maps/place/Mausol%C3%A9e+Mohammed+V/data=!4m7!3m6!1s0xda76b9101c50f21:0xe4c0166464706b47!8m2!3d34.0226318!4d-6.8214852!16zL20vMDhkdm1u!19sChIJIQ_FAZFrpw0RR2twZGQWwOQ?authuser=0&hl=fr&rclk=1
Les Jardins Exotiques de Bouknadel,Tourist Attraction,Rabat,https://www.google.com/maps/place/Les+Jardins+Exotiques+de+Bouknadel/data=!4m7!3m6!1s0xda769c94d01237d:0x783c162ea00f4e44!8m2!3d34.0939173!4d-6.7649643!16s%2Fg%2F11_yy4w36!19sChIJfSMBTclppw0RRE4PoC4WPHg?authuser=0&hl=fr&rclk=1
Bab El Had,Tourist Attraction,Rabat,https://www.google.com/maps/place/Bab+El+Had/data=!4m7!3m6!1s0xda76d007df428bd:0x96e8ccae3d9ead7f!8m2!3d34.0219551!4d-6.8404708!16s%2Fg%2F11x1yqmydh!19sChIJvSj0fQBtpw0Rf62ePa7M6JY?authuser=0&hl=fr&rclk=1
RABAT,Tourist Attraction,Rabat,https://www.google.com/maps/place/RABAT/data=!4m7!3m6!1s0xda76d0049706c77:0xcc86b08adc1c73d3!8m2!3d34.0220288!4d-6.8407508!16s%2Fg%2F11vt1_6k7f!19sChIJd2xwSQBtpw0R03Mc3Iqwhsw?authuser=0&hl=fr&rclk=1
"Forêt Urbaine Ibn Sina ""Hilton""",Tourist Attraction,Rabat,https://www.google.com/maps/place/For%C3%AAt+Urbaine+Ibn+Sina+%22Hilton%22/data=!4m7!3m6!1s0xda76c985e37ba4f:0x11c1dd1960e8f4df!8m2!3d33.9860588!4d-6.8424701!16s%2Fg%2F1xfsq2h5!19sChIJT7o3Xphspw0R3_ToYBndwRE?authuser=0&hl=fr&rclk=1
Hello Park,Tourist Attraction,Rabat,https://www.google.com/maps/place/Hello+Park/data=!4m7!3m6!1s0xda76d6db86fb743:0xa8899afb3be377bc!8m2!3d34.0006657!4d-6.8566677!16s%2Fg%2F11tsxtqn0z!19sChIJQ7dvuG1tpw0RvHfjO_uaiag?authuser=0&hl=fr&rclk=1
Souk Tahti,Tourist Attraction,Rabat,https://www.google.com/maps/place/Souk+Tahti/data=!4m7!3m6!1s0xda76b8a5f5061dd:0x2198361230e7960!8m2!3d34.0274262!4d-6.8334626!16s%2Fg%2F11cn1skpvl!19sChIJ3WFQX4prpw0RYHkOI2GDGQI?authuser=0&hl=fr&rclk=1
Parc Hassan II,Tourist Attraction,Rabat,https://www.google.com/maps/place/Parc+Hassan+II/data=!4m7!3m6!1s0xda76bfa70224f17:0x65e2c64b8b26fcfe!8m2!3d34.0014171!4d-6.8307191!16s%2Fg%2F11fmrkb075!19sChIJF08icPprpw0R_vwmi0vG4mU?authuser=0&hl=fr&rclk=1
Tourist attraction,Tourist Attraction,Rabat,https://www.google.com/maps/place/Tourist+attraction/data=!4m7!3m6!1s0xda76dc151dec43d:0xbaf44d264ee17ad6!8m2!3d34.0216705!4d-6.8409625!16s%2Fg%2F11lz_xzn1v!19sChIJPcTeUcFtpw0R1nrhTiZN9Lo?authuser=0&hl=fr&rclk=1
Jardin Nouzhat Hassan,Tourist Attraction,Rabat,https://www.google.com/maps/place/Jardin+Nouzhat+Hassan/data=!4m7!3m6!1s0xda76b89cc7428e5:0xb0e0215c96487e30!8m2!3d34.0222256!4d-6.834095!16s%2Fg%2F1tcxwlg2!19sChIJ5Sh0zIlrpw0RMH5Illwh4LA?authuser=0&hl=fr&rclk=1
Rabat Tour Guide,Tourist Attraction,Rabat,https://www.google.com/maps/place/Rabat+Tour+Guide/data=!4m7!3m6!1s0xda76b00dffacccb:0x577f3c7859820672!8m2!3d34.024489!4d-6.828822!16s%2Fg%2F11vf397hkw!19sChIJy8z63wBrpw0RcgaCWXg8f1c?authuser=0&hl=fr&rclk=1
