place name,category,city,link
Hôtel iberostar Saïdia,Hotel,Saidia,https://www.google.com/maps/place/H%C3%B4tel+iberostar+Sa%C3%AFdia/data=!4m10!3m9!1s0xd78318c2878ae61:0x8e77058b57b452d!5m2!4m1!1i2!8m2!3d35.1015332!4d-2.2822577!16s%2Fg%2F1hc1cdr21!19sChIJYa54KIwxeA0RLUV7tVhw5wg?authuser=0&hl=fr&rclk=1
Be Live Collection Saidia,Hotel,Saidia,https://www.google.com/maps/place/Be+Live+Collection+Saidia/data=!4m10!3m9!1s0xd7831462a756a29:0xd6e47c414e7e29f6!5m2!4m1!1i2!8m2!3d35.0997436!4d-2.273957!16s%2Fg%2F11b72l8_gj!19sChIJKWp1KkYxeA0R9il-TkF85NY?authuser=0&hl=fr&rclk=1
ALGOLUS,Hotel,Saidia,https://www.google.com/maps/place/ALGOLUS/data=!4m10!3m9!1s0xd783178727c3939:0x9286d56f1f498087!5m2!4m1!1i2!8m2!3d35.1113387!4d-2.3097394!16s%2Fg%2F11h5rg5kp8!19sChIJOTl8cngxeA0Rh4BJH2_VhpI?authuser=0&hl=fr&rclk=1
"Radisson Blu Resort, Saidia Beach",Hotel,Saidia,"https://www.google.com/maps/place/Radisson+Blu+Resort,+Saidia+Beach/data=!4m10!3m9!1s0xd782df8b355c477:0x91672c02502950bb!5m2!4m1!1i2!8m2!3d35.1114648!4d-2.3036183!16s%2Fg%2F11g8v2fdp0!19sChIJd8RVs_gteA0Ru1ApUAIsZ5E?authuser=0&hl=fr&rclk=1"
Too Many Suites,Hotel,Saidia,https://www.google.com/maps/place/Too+Many+Suites/data=!4m10!3m9!1s0xd7831703aaaaba5:0x149d2d4497d62334!5m2!4m1!1i2!8m2!3d35.092953!4d-2.253809!16s%2Fg%2F11h4bsn07x!19sChIJpauqOnAxeA0RNCPWl0QtnRQ?authuser=0&hl=fr&rclk=1
Family Confort Saïdia,Hotel,Saidia,https://www.google.com/maps/place/Family+Confort+Sa%C3%AFdia/data=!4m10!3m9!1s0xd78312b41a7d943:0xb006c278c6877073!5m2!4m1!1i2!8m2!3d35.0901923!4d-2.264473!16s%2Fg%2F11fj881wwq!19sChIJQ9mnQSsxeA0Rc3CHxnjCBrA?authuser=0&hl=fr&rclk=1
Hôtel Sun Beach Med,Hotel,Saidia,https://www.google.com/maps/place/H%C3%B4tel+Sun+Beach+Med/data=!4m10!3m9!1s0xd78314a75f27a93:0xe8f657f58f7c951b!5m2!4m1!1i2!8m2!3d35.0679257!4d-2.2157596!16s%2Fg%2F11c6cxh9sx!19sChIJk3rydUoxeA0RG5V8j_VX9ug?authuser=0&hl=fr&rclk=1
Hôtel Bella Address,Hotel,Saidia,https://www.google.com/maps/place/H%C3%B4tel+Bella+Address/data=!4m10!3m9!1s0xd783767b4684abf:0x5b360038959cebe1!5m2!4m1!1i2!8m2!3d35.0854622!4d-2.221608!16s%2Fg%2F11t_jz66b3!19sChIJv0potGc3eA0R4euclTgANls?authuser=0&hl=fr&rclk=1
"Radisson Blu Resort, Saidia Garden",Hotel,Saidia,"https://www.google.com/maps/place/Radisson+Blu+Resort,+Saidia+Garden/data=!4m10!3m9!1s0xd782d7a6b80932b:0x7cec23f8facf8f36!5m2!4m1!1i2!8m2!3d35.1073529!4d-2.3066358!16s%2Fg%2F11t5xkxcd3!19sChIJK5OAa3oteA0RNo_P-vgj7Hw?authuser=0&hl=fr&rclk=1"
"Alya Saphir : Appart Hôtel, Café & Restaurant",Hotel,Saidia,"https://www.google.com/maps/place/Alya+Saphir+:+Appart+H%C3%B4tel,+Caf%C3%A9+%26+Restaurant/data=!4m10!3m9!1s0xd783100aa708bc3:0xf3f1964771c6f066!5m2!4m1!1i2!8m2!3d35.0862104!4d-2.2242623!16s%2Fg%2F11hn1fpqgg!19sChIJw4twqgAxeA0RZvDGcUeW8fM?authuser=0&hl=fr&rclk=1"
