place name,category,city,link
Green Rever : Café & Restaurant,Restaurant,Saidia,https://www.google.com/maps/place/Green+Rever+:+Caf%C3%A9+%26+Restaurant/data=!4m7!3m6!1s0xd7831bb491a4817:0x5385ad05ce081aab!8m2!3d35.0811365!4d-2.2382339!16s%2Fg%2F11t2q5y50s!19sChIJF0gaSbsxeA0RqxoIzgWthVM?authuser=0&hl=fr&rclk=1
La Corniche,Restaurant,Saidia,https://www.google.com/maps/place/La+Corniche/data=!4m7!3m6!1s0xd7836b59ef6e361:0x6ec915c5bbe381c6!8m2!3d35.0859594!4d-2.2211201!16s%2Fg%2F113hj7msh!19sChIJYeP2nrU2eA0RxoHju8UVyW4?authuser=0&hl=fr&rclk=1
Snack Marhaba,Restaurant,Saidia,https://www.google.com/maps/place/Snack+Marhaba/data=!4m7!3m6!1s0xd783186076bf025:0x1c6ad2f2d13131be!8m2!3d35.0801875!4d-2.2139375!16s%2Fg%2F11s33v_014!19sChIJJfBrB4YxeA0RvjEx0fLSahw?authuser=0&hl=fr&rclk=1
Pizza Time,Restaurant,Saidia,https://www.google.com/maps/place/Pizza+Time/data=!4m7!3m6!1s0xd783134af4845fd:0x85ff712f140f87eb!8m2!3d35.0793713!4d-2.2242023!16s%2Fg%2F11dymmn207!19sChIJ_UVIrzQxeA0R64cPFC9x_4U?authuser=0&hl=fr&rclk=1
La Table du Green Teelal,Restaurant,Saidia,https://www.google.com/maps/place/La+Table+du+Green+Teelal/data=!4m7!3m6!1s0xd7831cccf0e086f:0xb22513ae3735dba!8m2!3d35.0946617!4d-2.2710123!16s%2Fg%2F11nwbcmq2z!19sChIJbwgOz8wxeA0Rul1z4zpRIgs?authuser=0&hl=fr&rclk=1
Mak'dal Saïdia,Restaurant,Saidia,https://www.google.com/maps/place/Mak%27dal+Sa%C3%AFdia/data=!4m7!3m6!1s0xd78314a9fb633ab:0xfe4089c7ef6f66ab!8m2!3d35.0845151!4d-2.2250636!16s%2Fg%2F11bztsxq88!19sChIJqzO2n0oxeA0Rq2Zv78eJQP4?authuser=0&hl=fr&rclk=1
Le Love,Restaurant,Saidia,https://www.google.com/maps/place/Le+Love/data=!4m7!3m6!1s0xd78310d0ed47f47:0x581d0b6f9dfd4697!8m2!3d35.0845128!4d-2.2250838!16s%2Fg%2F11h4zfykz6!19sChIJR3_UDg0xeA0Rl0b9nW8LHVg?authuser=0&hl=fr&rclk=1
Classico : Café & Restaurant,Restaurant,Saidia,https://www.google.com/maps/place/Classico+:+Caf%C3%A9+%26+Restaurant/data=!4m7!3m6!1s0xd7831637183e821:0xa9bd0ea6d8aaa63a!8m2!3d35.0845063!4d-2.2237369!16s%2Fg%2F11krkwwqlx!19sChIJIeiDcWMxeA0ROqaq2KYOvak?authuser=0&hl=fr&rclk=1
King Food Restaurant Saidia,Restaurant,Saidia,https://www.google.com/maps/place/King+Food+Restaurant+Saidia/data=!4m7!3m6!1s0xd78370af77deded:0x8296dce704b928fa!8m2!3d35.0850256!4d-2.2223553!16s%2Fg%2F11kpszfzlb!19sChIJ7e199wo3eA0R-ii5BOfcloI?authuser=0&hl=fr&rclk=1
Smile’S : Restaurant & Coffee,Restaurant,Saidia,https://www.google.com/maps/place/Smile%E2%80%99S+:+Restaurant+%26+Coffee/data=!4m7!3m6!1s0xd7831c5c864046b:0xbb92255bcac8a984!8m2!3d35.0847457!4d-2.223908!16s%2Fg%2F11qq3bgkj6!19sChIJawRkyMUxeA0RhKnIylslkrs?authuser=0&hl=fr&rclk=1
Sky Hut,Restaurant,Saidia,https://www.google.com/maps/place/Sky+Hut/data=!4m7!3m6!1s0xd7836b50cc173b5:0x3f6ab4c101cb929f!8m2!3d35.0860519!4d-2.221595!16s%2Fg%2F11xp_c46h!19sChIJtXPBDLU2eA0Rn5LLAcG0aj8?authuser=0&hl=fr&rclk=1
Casablanca City,Restaurant,Saidia,https://www.google.com/maps/place/Casablanca+City/data=!4m7!3m6!1s0xd7831357bd94e65:0x1758a58b4886649d!8m2!3d35.0838035!4d-2.2236351!16s%2Fg%2F11fx8byrqn!19sChIJZU7ZezUxeA0RnWSGSIulWBc?authuser=0&hl=fr&rclk=1
Samy Playa : Restaurant & Pizzeria,Restaurant,Saidia,https://www.google.com/maps/place/Samy+Playa+:+Restaurant+%26+Pizzeria/data=!4m7!3m6!1s0xd78314bd3d3e38b:0x3dbd11eb18551e68!8m2!3d35.0872318!4d-2.2273893!16s%2Fg%2F11bbrn9jfg!19sChIJi-PT00sxeA0RaB5VGOsRvT0?authuser=0&hl=fr&rclk=1
