place name,category,city,link
Saidia Corniche,Tourist Attraction,Saidia,https://www.google.com/maps/place/Saidia+Corniche/data=!4m7!3m6!1s0xd7831e3e95e2499:0x3ec58650159f61ed!8m2!3d35.086911!4d-2.2258275!16s%2Fg%2F11rn574lw9!19sChIJmSRe6eMxeA0R7WGfFVCGxT4?authuser=0&hl=fr&rclk=1
Aquaparc Alpamare Saïdia,Tourist Attraction,Saidia,https://www.google.com/maps/place/Aquaparc+Alpamare+Sa%C3%AFdia/data=!4m7!3m6!1s0xd78313edf519037:0x434f5600a014a13c!8m2!3d35.095972!4d-2.2795657!16s%2Fg%2F11ghtd30pq!19sChIJN5BR3z4xeA0RPKEUoABWT0M?authuser=0&hl=fr&rclk=1
Plage Saïdia,Tourist Attraction,Saidia,https://www.google.com/maps/place/Plage+Sa%C3%AFdia/data=!4m7!3m6!1s0xd7836b60a939e23:0x680614827a33a71a!8m2!3d35.0985757!4d-2.2656536!16s%2Fg%2F12htf6nrk!19sChIJI56TCrY2eA0RGqczeoIUBmg?authuser=0&hl=fr&rclk=1
Corniche Saidia,Tourist Attraction,Saidia,https://www.google.com/maps/place/Corniche+Saidia/data=!4m7!3m6!1s0xd7837705c0eb3c5:0xdf921419abcf4e3e!8m2!3d35.0848116!4d-2.2152867!16s%2Fg%2F11pv5_l573!19sChIJxbMOXHA3eA0RPk7PqxkUkt8?authuser=0&hl=fr&rclk=1
Saïdia Beach,Tourist Attraction,Saidia,https://www.google.com/maps/place/Sa%C3%AFdia+Beach/data=!4m7!3m6!1s0xd782de3225c4887:0xf2ff3ef659031f5a!8m2!3d35.120513!4d-2.3297828!16s%2Fg%2F11t16wjzzt!19sChIJh0hcIuMteA0RWh8DWfY-__I?authuser=0&hl=fr&rclk=1
Saïdia Mediterrania,Tourist Attraction,Saidia,https://www.google.com/maps/place/Sa%C3%AFdia+Mediterrania/data=!4m7!3m6!1s0xd7831a0b3616ded:0x6ebcdd57e459f99!8m2!3d35.0972239!4d-2.3009722!16s%2Fg%2F11vcm4mhpl!19sChIJ7W1hs6AxeA0RmZ9FftXN6wY?authuser=0&hl=fr&rclk=1
Saïdia Centre Ville,Tourist Attraction,Saidia,https://www.google.com/maps/place/Sa%C3%AFdia+Centre+Ville/data=!4m7!3m6!1s0xd7837650851fab7:0xb85ff5aebc16d898!8m2!3d35.0857197!4d-2.2224157!16s%2Fg%2F11hdzbg7d8!19sChIJt_pRCGU3eA0RmNgWvK71X7g?authuser=0&hl=fr&rclk=1
Saïdia,Tourist Attraction,Saidia,https://www.google.com/maps/place/Sa%C3%AFdia/data=!4m7!3m6!1s0xd7831a74b7ca5e3:0x480729d71c2e5c4!8m2!3d35.0831062!4d-2.231768!16s%2Fg%2F11qg337h0x!19sChIJ46V8S6cxeA0RxOXCcZ1ygAQ?authuser=0&hl=fr&rclk=1
SAIDIA CITY,Tourist Attraction,Saidia,https://www.google.com/maps/place/SAIDIA+CITY/data=!4m7!3m6!1s0xd7837006bdf116f:0x2104af16ad55f457!8m2!3d35.0851186!4d-2.2124486!16s%2Fg%2F11vs_xrt5l!19sChIJbxHfawA3eA0RV_RVrRavBCE?authuser=0&hl=fr&rclk=1
Plage de Saïdia,Tourist Attraction,Saidia,https://www.google.com/maps/place/Plage+de+Sa%C3%AFdia/data=!4m7!3m6!1s0xd78310a007478ef:0x78f25d4d914f997b!8m2!3d35.1040367!4d-2.2806579!16s%2Fg%2F11fmc4gh67!19sChIJ73h0AAoxeA0Re5lPkU1d8ng?authuser=0&hl=fr&rclk=1
Family Beach,Tourist Attraction,Saidia,https://www.google.com/maps/place/Family+Beach/data=!4m7!3m6!1s0xd782dfdd2711701:0x7a546cae36388f51!8m2!3d35.1176252!4d-2.3194409!16s%2Fg%2F11s5mljhs5!19sChIJARdx0v0teA0RUY84Nq5sVHo?authuser=0&hl=fr&rclk=1
