place name,category,city,link
Kenzi Solazur Tanger,Hotel,Tanger,https://www.google.com/maps/place/Kenzi+Solazur+Tanger/data=!4m10!3m9!1s0xd0c7f4da10e20b5:0xeefe4051ca74b093!5m2!4m1!1i2!8m2!3d35.7768292!4d-5.7978891!16s%2Fg%2F11h0d0__x!19sChIJtSAOoU1_DA0Rk7B0ylFA_u4?authuser=0&hl=fr&rclk=1
ibis budget Tanger,Hotel,Tanger,https://www.google.com/maps/place/ibis+budget+Tanger/data=!4m10!3m9!1s0xd0b889ae1dafe0b:0x4765e08d77fc355e!5m2!4m1!1i2!8m2!3d35.7147557!4d-5.9048917!16s%2Fg%2F11r8v72_w!19sChIJC_7a4ZqICw0RXjX8d43gZUc?authuser=0&hl=fr&rclk=1
ibis Tanger City Center,Hotel,Tanger,https://www.google.com/maps/place/ibis+Tanger+City+Center/data=!4m10!3m9!1s0xd0b809cc820c5f9:0x715c07f81afa8b4a!5m2!4m1!1i2!8m2!3d35.7722174!4d-5.7830438!16s%2Fg%2F1tgf4gj9!19sChIJ-cUgyJyACw0RSov6GvgHXHE?authuser=0&hl=fr&rclk=1
Mövenpick Hotel,Hotel,Tanger,https://www.google.com/maps/place/M%C3%B6venpick+Hotel/data=!4m10!3m9!1s0xd0c7f5ba3a5726d:0xdf84cb8dcb6ba43c!5m2!4m1!1i2!8m2!3d35.7847808!4d-5.7636163!16s%2Fg%2F1tgf90r9!19sChIJbXKlo1t_DA0RPKRry43LhN8?authuser=0&hl=fr&rclk=1
Hôtel Miramar Beach Tanger,Hotel,Tanger,https://www.google.com/maps/place/H%C3%B4tel+Miramar+Beach+Tanger/data=!4m10!3m9!1s0xd0c7f7f2bc4a70b:0xdb596a0945471000!5m2!4m1!1i2!8m2!3d35.7791328!4d-5.8024667!16s%2Fg%2F11hyprc4mg!19sChIJC6fEK39_DA0RABBHRQlqWds?authuser=0&hl=fr&rclk=1
Hilton Tangier Al Houara Resort & Spa,Hotel,Tanger,https://www.google.com/maps/place/Hilton+Tangier+Al+Houara+Resort+%26+Spa/data=!4m10!3m9!1s0xd0b8fc9fe02d907:0x1c98273f308ecd7e!5m2!4m1!1i2!8m2!3d35.6674645!4d-5.9658372!16s%2Fg%2F11fhw86d6h!19sChIJB9kC_smPCw0Rfs2OMD8nmBw?authuser=0&hl=fr&rclk=1
Hilton Garden Inn Tanger City Center,Hotel,Tanger,https://www.google.com/maps/place/Hilton+Garden+Inn+Tanger+City+Center/data=!4m10!3m9!1s0xd0b809c4dc6b2b7:0xa10c2e20ea93c3db!5m2!4m1!1i2!8m2!3d35.7739328!4d-5.7875281!16s%2Fg%2F11b70n_fll!19sChIJt7LGTZyACw0R28OT6iAuDKE?authuser=0&hl=fr&rclk=1
UMH Tarik Hotel,Hotel,Tanger,https://www.google.com/maps/place/UMH+Tarik+Hotel/data=!4m10!3m9!1s0xd0c7f81543cc067:0x45ee4ff23d6bafa3!5m2!4m1!1i2!8m2!3d35.7826122!4d-5.7668154!16s%2Fg%2F11r8snr9v!19sChIJZ8A8VIF_DA0Ro69rPfJP7kU?authuser=0&hl=fr&rclk=1
Médina Hostel,Hotel,Tanger,https://www.google.com/maps/place/M%C3%A9dina+Hostel/data=!4m10!3m9!1s0xd0c7f71a1e45849:0xcb680ac56485bf94!5m2!4m1!1i2!8m2!3d35.7864169!4d-5.810197!16s%2Fg%2F11fj87xc5l!19sChIJSVjkoXF_DA0RlL-FZMUKaMs?authuser=0&hl=fr&rclk=1
Hotel Astoria Tanger,Hotel,Tanger,https://www.google.com/maps/place/Hotel+Astoria+Tanger/data=!4m10!3m9!1s0xd0c7f5487ae4675:0xa19065e83c5cb5d7!5m2!4m1!1i2!8m2!3d35.7798928!4d-5.8118926!16s%2Fg%2F1hg4_b01y!19sChIJdUauh1R_DA0R17VcPOhlkKE?authuser=0&hl=fr&rclk=1
Grand Hotel Villa de France,Hotel,Tanger,https://www.google.com/maps/place/Grand+Hotel+Villa+de+France/data=!4m10!3m9!1s0xd0c78ac6262adbd:0x9dda10bfd8e91874!5m2!4m1!1i2!8m2!3d35.7828558!4d-5.8146898!16s%2Fg%2F11f5gy11zs!19sChIJva1iYqx4DA0RdBjp2L8Q2p0?authuser=0&hl=fr&rclk=1
Bayt Alice Hostel,Hotel,Tanger,https://www.google.com/maps/place/Bayt+Alice+Hostel/data=!4m10!3m9!1s0xd0c7f523fb6563d:0xccd8c590bfc2fb7d!5m2!4m1!1i2!8m2!3d35.7844463!4d-5.8101516!16s%2Fg%2F12vt8hwlz!19sChIJPVa2P1J_DA0RffvCv5DF2Mw?authuser=0&hl=fr&rclk=1
Hotel Ben Batouta Tanger,Hotel,Tanger,https://www.google.com/maps/place/Hotel+Ben+Batouta+Tanger/data=!4m10!3m9!1s0xd0b8754845cf35f:0x1fd5e9349f89470f!5m2!4m1!1i2!8m2!3d35.7259612!4d-5.892771!16s%2Fg%2F11l37xxs_s!19sChIJX_NchFSHCw0RD0eJnzTp1R8?authuser=0&hl=fr&rclk=1
Hôtel Andalucia Golf,Hotel,Tanger,https://www.google.com/maps/place/H%C3%B4tel+Andalucia+Golf/data=!4m10!3m9!1s0xd0c77d46b673909:0xa4be6d8333df786b!5m2!4m1!1i2!8m2!3d35.7779125!4d-5.8474179!16s%2Fg%2F1tfqmmlr!19sChIJCTlna9R3DA0Ra3jfM4NtvqQ?authuser=0&hl=fr&rclk=1
Hotel Tanger Med,Hotel,Tanger,https://www.google.com/maps/place/Hotel+Tanger+Med/data=!4m10!3m9!1s0xd0b78d9d112c951:0xf52e0c49a8fc6689!5m2!4m1!1i2!8m2!3d35.6828234!4d-5.6910895!16s%2Fg%2F11bwfl1x9w!19sChIJUckS0dl4Cw0RiWb8qEkMLvU?authuser=0&hl=fr&rclk=1
Hotel Le Gardenia,Hotel,Tanger,https://www.google.com/maps/place/Hotel+Le+Gardenia/data=!4m10!3m9!1s0xd0c7f5408c0fb37:0x9120b0618477555!5m2!4m1!1i2!8m2!3d35.7808162!4d-5.8096768!16s%2Fg%2F11c0rmk5bv!19sChIJN_vACFR_DA0RVXVHGAYLEgk?authuser=0&hl=fr&rclk=1
Marina Bay City Center,Hotel,Tanger,https://www.google.com/maps/place/Marina+Bay+City+Center/data=!4m10!3m9!1s0xd0c7f84183c91b3:0x51c5862ee91c1155!5m2!4m1!1i2!8m2!3d35.7795536!4d-5.8035375!16s%2Fg%2F1pp2vcyv7!19sChIJs5E8GIR_DA0RVREc6S6GxVE?authuser=0&hl=fr&rclk=1
