place name,category,city,link
Dar Harruch,Restaurant,Tanger,https://www.google.com/maps/place/Dar+Harruch/data=!4m7!3m6!1s0xd0c7f8c47537f23:0xbde32f4418851911!8m2!3d35.7866802!4d-5.8104288!16s%2Fg%2F11pv5thyp7!19sChIJI39TR4x_DA0RERmFGEQv470?authuser=0&hl=fr&rclk=1
Restaurant Antartique,Restaurant,Tanger,https://www.google.com/maps/place/Restaurant+Antartique/data=!4m7!3m6!1s0xd0b87a53bce531f:0x425c018df240a99a!8m2!3d35.7599449!4d-5.8311888!16s%2Fg%2F11lc45_ffs!19sChIJH1POO6WHCw0RmqlA8o0BXEI?authuser=0&hl=fr&rclk=1
Restaurant KEBDANI,Restaurant,Tanger,https://www.google.com/maps/place/Restaurant+KEBDANI/data=!4m7!3m6!1s0xd0c7f4df9d7efe1:0x613f924e254c3ce2!8m2!3d35.7865799!4d-5.8094637!16s%2Fg%2F11cn9c58j1!19sChIJ4e_X-U1_DA0R4jxMJU6SP2E?authuser=0&hl=fr&rclk=1
Alma Kitchen & Coffee,Restaurant,Tanger,https://www.google.com/maps/place/Alma+Kitchen+%26+Coffee/data=!4m7!3m6!1s0xd0c7f4e7cf25079:0x7f1acc36d4f0d37c!8m2!3d35.7777064!4d-5.8044583!16s%2Fg%2F11s7d4dpj8!19sChIJeVDyfE5_DA0RfNPw1DbMGn8?authuser=0&hl=fr&rclk=1
L'Océan Restaurant Tanger,Restaurant,Tanger,https://www.google.com/maps/place/L%27Oc%C3%A9an+Restaurant+Tanger/data=!4m7!3m6!1s0xd0b884ae36f8aaf:0xdefb9416d72dd298!8m2!3d35.7446673!4d-5.939255!16s%2Fg%2F11r8jhhry!19sChIJr4pv40qICw0RmNIt1xaU-94?authuser=0&hl=fr&rclk=1
Restaurant Ahlen,Restaurant,Tanger,https://www.google.com/maps/place/Restaurant+Ahlen/data=!4m7!3m6!1s0xd0c7f520e264dd5:0x254b518bade59afe!8m2!3d35.7853179!4d-5.8098535!16s%2Fg%2F11f3pcx4j7!19sChIJ1U0mDlJ_DA0R_prlrYtRSyU?authuser=0&hl=fr&rclk=1
Abou Tayssir,Restaurant,Tanger,https://www.google.com/maps/place/Abou+Tayssir/data=!4m7!3m6!1s0xd0c7f4d5b991f39:0xe3a19b0a2a31fea6!8m2!3d35.7864387!4d-5.813392!16s%2Fg%2F11f53d6s9c!19sChIJOR-ZW01_DA0Rpv4xKgqboeM?authuser=0&hl=fr&rclk=1
L'Aquarium Blue,Restaurant,Tanger,https://www.google.com/maps/place/L%27Aquarium+Blue/data=!4m7!3m6!1s0xd0b87cb2824ef7b:0x9ab1709ab5e56f2d!8m2!3d35.7716502!4d-5.8312086!16s%2Fg%2F11v0br9x_1!19sChIJe-8kKMuHCw0RLW_ltZpwsZo?authuser=0&hl=fr&rclk=1
Dada restaurant 🇲🇦,Restaurant,Tanger,https://www.google.com/maps/place/Dada+restaurant+%F0%9F%87%B2%F0%9F%87%A6/data=!4m7!3m6!1s0xd0c7f7496bb440d:0xb2181b8e18690b9b!8m2!3d35.7864305!4d-5.8108286!16s%2Fg%2F11l6_5nmfx!19sChIJDUS7lnR_DA0RmwtpGI4bGLI?authuser=0&hl=fr&rclk=1
Restaurant El Amrani,Restaurant,Tanger,https://www.google.com/maps/place/Restaurant+El+Amrani/data=!4m7!3m6!1s0xd0c7fa321f8480f:0xe4903930739a8cc8!8m2!3d35.7856643!4d-5.8121147!16s%2Fg%2F11rx3ln622!19sChIJD0j4IaN_DA0RyIyaczA5kOQ?authuser=0&hl=fr&rclk=1
