place name,category,city,link
Grottes d'Hercule,Tourist Attraction,Tanger,https://www.google.com/maps/place/Grottes+d%27Hercule/data=!4m7!3m6!1s0xd0b882d10964725:0xa9ac855c8cfd195a!8m2!3d35.7599335!4d-5.9392319!16s%2Fm%2F0w6bp17!19sChIJJUeWEC2ICw0RWhn9jFyFrKk?authuser=0&hl=fr&rclk=1
Grand Socco,Tourist Attraction,Tanger,https://www.google.com/maps/place/Grand+Socco/data=!4m7!3m6!1s0xd0c7f52c1d18a39:0x596950994ba00cee!8m2!3d35.7843526!4d-5.8130192!16s%2Fg%2F1td26pwb!19sChIJOYrRwVJ_DA0R7gygS5lQaVk?authuser=0&hl=fr&rclk=1
Parc Perdicaris,Tourist Attraction,Tanger,https://www.google.com/maps/place/Parc+Perdicaris/data=!4m7!3m6!1s0xd0c78671386ebad:0x5a16840a29c13148!8m2!3d35.7929606!4d-5.8624116!16s%2Fg%2F1tznnlv9!19sChIJreuGE2d4DA0RSDHBKQqEFlo?authuser=0&hl=fr&rclk=1
Musée de la légation américaine de Tanger,Tourist Attraction,Tanger,https://www.google.com/maps/place/Mus%C3%A9e+de+la+l%C3%A9gation+am%C3%A9ricaine+de+Tanger/data=!4m7!3m6!1s0xd0c7f52437b2d95:0x1b0fb9036b45097f!8m2!3d35.7839407!4d-5.8108489!16zL20vMDc2cTRk!19sChIJlS17Q1J_DA0RfwlFawO5Dxs?authuser=0&hl=fr&rclk=1
Réserve du Cap Spartel,Tourist Attraction,Tanger,https://www.google.com/maps/place/R%C3%A9serve+du+Cap+Spartel/data=!4m7!3m6!1s0xd0c77f6764ed297:0xdcb7c0630ed54213!8m2!3d35.7868764!4d-5.9039944!16s%2Fg%2F1ptx46v56!19sChIJl9JOdvZ3DA0RE0LVDmPAt9w?authuser=0&hl=fr&rclk=1
Quad Tanger Villa Meryem,Tourist Attraction,Tanger,https://www.google.com/maps/place/Quad+Tanger+Villa+Meryem/data=!4m7!3m6!1s0xd0c81fbbb295299:0xc2ee3a0113b20765!8m2!3d35.7945475!4d-5.7295117!16s%2Fg%2F11yd69vt6_!19sChIJmVIpu_uBDA0RZQeyEwE67sI?authuser=0&hl=fr&rclk=1
Cap Spartel,Tourist Attraction,Tanger,https://www.google.com/maps/place/Cap+Spartel/data=!4m7!3m6!1s0xd0b898ab2a0afd1:0x1441c1d6ee2cb2bf!8m2!3d35.7910118!4d-5.9238034!16s%2Fg%2F11f08zcfr2!19sChIJ0a-gsoqJCw0Rv7Is7tbBQRQ?authuser=0&hl=fr&rclk=1
Ocean Viewpoint,Tourist Attraction,Tanger,https://www.google.com/maps/place/Ocean+Viewpoint/data=!4m7!3m6!1s0xd0c7955642831d3:0xc507228678a2356!8m2!3d35.794651!4d-5.857995!16s%2Fg%2F11fjtljrrc!19sChIJ0zEoZFV5DA0RViOKZyhyUAw?authuser=0&hl=fr&rclk=1
Kasbah Tanger,Tourist Attraction,Tanger,https://www.google.com/maps/place/Kasbah+Tanger/data=!4m7!3m6!1s0xd0c7f006f91fa2b:0x9513ed519823b944!8m2!3d35.7881672!4d-5.8135258!16s%2Fg%2F11y3rhnlr9!19sChIJK_qRbwB_DA0RRLkjmFHtE5U?authuser=0&hl=fr&rclk=1
Muraille de Tanger,Tourist Attraction,Tanger,https://www.google.com/maps/place/Muraille+de+Tanger/data=!4m7!3m6!1s0xd0c7f207e0ef4a3:0x7b575519161759f!8m2!3d35.7879839!4d-5.8087003!16s%2Fg%2F11gpm8nb1g!19sChIJo_QOfiB_DA0Rn3VhkVF1tQc?authuser=0&hl=fr&rclk=1
