place name,category,city,link
Marina Smir Hôtel & Spa,Hotel,Tetouan,https://www.google.com/maps/place/Marina+Smir+H%C3%B4tel+%26+Spa/data=!4m10!3m9!1s0xd0b5efdc835b80d:0x5416927e2f1bf8e4!5m2!4m1!1i2!8m2!3d35.7511639!4d-5.3451371!16s%2Fg%2F11cn5m63m_!19sChIJDbg1yP1eCw0R5PgbL36SFlQ?authuser=0&hl=fr&rclk=1
Hôtel Suite Martil,Hotel,Tetouan,https://www.google.com/maps/place/H%C3%B4tel+Suite+Martil/data=!4m10!3m9!1s0xd0b44d045daf63b:0x4176ebc81bbd7397!5m2!4m1!1i2!8m2!3d35.6166898!4d-5.2770843!16s%2Fg%2F1q62g6lw_!19sChIJO_baRdBECw0Rl3O9G8jrdkE?authuser=0&hl=fr&rclk=1
Hôtel Tamuda Beach,Hotel,Tetouan,https://www.google.com/maps/place/H%C3%B4tel+Tamuda+Beach/data=!4m10!3m9!1s0xd0b5e91dabded6f:0x3383dd3aa7d2fc34!5m2!4m1!1i2!8m2!3d35.723937!4d-5.341041!16s%2Fg%2F11bw1zr3y8!19sChIJb-292pFeCw0RNPzSpzrdgzM?authuser=0&hl=fr&rclk=1
Résidence Méditerranée,Hotel,Tetouan,https://www.google.com/maps/place/R%C3%A9sidence+M%C3%A9diterran%C3%A9e/data=!4m10!3m9!1s0xd0b4500f258b611:0x41ff206df4f13ff2!5m2!4m1!1i2!8m2!3d35.618022!4d-5.2712526!16s%2Fg%2F11hdvhr4dv!19sChIJEbZY8gBFCw0R8j_x9G0g_0E?authuser=0&hl=fr&rclk=1
Hôtel Réstinga Martil,Hotel,Tetouan,https://www.google.com/maps/place/H%C3%B4tel+R%C3%A9stinga+Martil/data=!4m10!3m9!1s0xd0b44d656e5bb37:0x3cf36c8f00874c3b!5m2!4m1!1i2!8m2!3d35.61814!4d-5.2710227!16s%2Fg%2F11f4wt34d2!19sChIJN7vlVtZECw0RO0yHAI9s8zw?authuser=0&hl=fr&rclk=1
Suites Hôtel Omeya,Hotel,Tetouan,https://www.google.com/maps/place/Suites+H%C3%B4tel+Omeya/data=!4m10!3m9!1s0xd0b44d7a58be5cb:0xdbb30c4e7c497a03!5m2!4m1!1i2!8m2!3d35.6168322!4d-5.2705819!16s%2Fg%2F1hm4gvq0w!19sChIJy-WLpddECw0RA3pJfE4Ms9s?authuser=0&hl=fr&rclk=1
Tarbi'aat Tetaoun,Hotel,Tetouan,https://www.google.com/maps/place/Tarbi%27aat+Tetaoun/data=!4m10!3m9!1s0xd0b434a01e14cb1:0xeafdbb18da05c0fe!5m2!4m1!1i2!8m2!3d35.5711365!4d-5.3663273!16s%2Fg%2F11sm_5kzn1!19sChIJsUzhAUpDCw0R_sAF2hi7_eo?authuser=0&hl=fr&rclk=1
Prestige Hotel,Hotel,Tetouan,https://www.google.com/maps/place/Prestige+Hotel/data=!4m10!3m9!1s0xd0b426ff4b2861d:0xc0f8e1d4cac6bb63!5m2!4m1!1i2!8m2!3d35.5658465!4d-5.3823592!16s%2Fg%2F11btwpz34z!19sChIJHYay9G9CCw0RY7vGytTh-MA?authuser=0&hl=fr&rclk=1
Hôtel A44,Hotel,Tetouan,https://www.google.com/maps/place/H%C3%B4tel+A44/data=!4m10!3m9!1s0xd0b430dba601dad:0xaa7d47202c1dfdbf!5m2!4m1!1i2!8m2!3d35.5881131!4d-5.3345699!16s%2Fg%2F11b8y7rck5!19sChIJrR1gug1DCw0Rv_0dLCBHfao?authuser=0&hl=fr&rclk=1
Hôtel La Paloma,Hotel,Tetouan,https://www.google.com/maps/place/H%C3%B4tel+La+Paloma/data=!4m10!3m9!1s0xd0b69c8802e072f:0xfe2017525d0b22da!5m2!4m1!1i2!8m2!3d35.5650312!4d-5.4121476!16s%2Fg%2F11cfhsbj8!19sChIJLwcugMhpCw0R2iILXVIXIP4?authuser=0&hl=fr&rclk=1
