place name,category,city,link
Little Mamma Tétouan,Restaurant,Tetouan,https://www.google.com/maps/place/Little+Mamma+T%C3%A9touan/data=!4m7!3m6!1s0xd0b4347670923cd:0xab770e42c4cd9ab0!8m2!3d35.5885614!4d-5.3346058!16s%2Fg%2F11xp7g1td8!19sChIJzSMJZ0dDCw0RsJrNxEIOd6s?authuser=0&hl=fr&rclk=1
Restaurant Restinga,Restaurant,Tetouan,https://www.google.com/maps/place/Restaurant+Restinga/data=!4m7!3m6!1s0xd0b425d85db2d31:0xfb1c9a3c4a52c20f!8m2!3d35.570022!4d-5.3726135!16s%2Fg%2F11c59xdmrq!19sChIJMS3bhV1CCw0RD8JSSjyaHPs?authuser=0&hl=fr&rclk=1
"El Horno : Café, Restaurant, Pizzeria, Boulangerie & Pâtisserie",Restaurant,Tetouan,"https://www.google.com/maps/place/El+Horno+:+Caf%C3%A9,+Restaurant,+Pizzeria,+Boulangerie+%26+P%C3%A2tisserie/data=!4m7!3m6!1s0xd0b43a60cc2775d:0xf5df0bbdd78516e8!8m2!3d35.5888656!4d-5.341189!16s%2Fg%2F11krgqv578!19sChIJXXfCDKZDCw0R6BaF170L3_U?authuser=0&hl=fr&rclk=1"
"Diamond Tétouan Restaurant, Coffee & Pâtisserie ( highest rated )",Restaurant,Tetouan,"https://www.google.com/maps/place/Diamond+T%C3%A9touan+Restaurant,+Coffee+%26+P%C3%A2tisserie+%28+highest+rated+%29/data=!4m7!3m6!1s0xd0b43dafe854aff:0xbf859c1b03b2a3e1!8m2!3d35.5683675!4d-5.3769929!16s%2Fg%2F11ghkhzgth!19sChIJ_0qF_tpDCw0R4aOyAxuchb8?authuser=0&hl=fr&rclk=1"
Café Al Amal | مقهى الأمل,Restaurant,Tetouan,https://www.google.com/maps/place/Caf%C3%A9+Al+Amal+%7C+%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%A3%D9%85%D9%84%E2%80%AD/data=!4m7!3m6!1s0xd0b4361d212654d:0x66599c70d9647ef4!8m2!3d35.5706794!4d-5.3625412!16s%2Fg%2F11qfyf_zbn!19sChIJTWUS0mFDCw0R9H5k2XCcWWY?authuser=0&hl=fr&rclk=1
محلبة احمد,Restaurant,Tetouan,https://www.google.com/maps/place/%D9%85%D8%AD%D9%84%D8%A8%D8%A9+%D8%A7%D8%AD%D9%85%D8%AF%E2%80%AD/data=!4m7!3m6!1s0xd0b43929480ad73:0x9b91d968bd401dbf!8m2!3d35.5637179!4d-5.3649666!16s%2Fg%2F11qn67xhxd!19sChIJc62AlJJDCw0Rvx1AvWjZkZs?authuser=0&hl=fr&rclk=1
Restaurant Sed Nakhla,Restaurant,Tetouan,https://www.google.com/maps/place/Restaurant+Sed+Nakhla/data=!4m7!3m6!1s0xd0b40000378a4ad:0x104a294f8d194cd0!8m2!3d35.4459747!4d-5.3933463!16s%2Fg%2F11c1cfn_y7!19sChIJraR4AwBACw0R0EwZjU8pShA?authuser=0&hl=fr&rclk=1
سناك لاس فيغاس تطوان,Restaurant,Tetouan,https://www.google.com/maps/place/%D8%B3%D9%86%D8%A7%D9%83+%D9%84%D8%A7%D8%B3+%D9%81%D9%8A%D8%BA%D8%A7%D8%B3+%D8%AA%D8%B7%D9%88%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0xd0b439bfb2c2fd7:0xb832a0b952ef8cb8!8m2!3d35.5923846!4d-5.3521349!16s%2Fg%2F11s0s7blx8!19sChIJ1y8s-5tDCw0RuIzvUrmgMrg?authuser=0&hl=fr&rclk=1
La Dorada,Restaurant,Tetouan,https://www.google.com/maps/place/La+Dorada/data=!4m7!3m6!1s0xd0b430db7768061:0xd22599ebb74fb69d!8m2!3d35.5893228!4d-5.3349923!16s%2Fg%2F11b75kjgg1!19sChIJYYB2tw1DCw0RnbZPt-uZJdI?authuser=0&hl=fr&rclk=1
La Cubanita,Restaurant,Tetouan,https://www.google.com/maps/place/La+Cubanita/data=!4m7!3m6!1s0xd0b43007d074f63:0x29e8e15f0494d0c1!8m2!3d35.5854523!4d-5.3423215!16s%2Fg%2F11whf2r53l!19sChIJY08HfQBDCw0RwdCUBF_h6Ck?authuser=0&hl=fr&rclk=1
