place name,category,city,link
Palais Royal,Tourist Attraction,Tetouan,https://www.google.com/maps/place/Palais+Royal/data=!4m7!3m6!1s0xd0b425c74846e6f:0xe86f8a6772d6e92d!8m2!3d35.57058!4d-5.3685329!16s%2Fg%2F1tl_mzjv!19sChIJb26EdFxCCw0RLenWcmeKb-g?authuser=0&hl=fr&rclk=1
Place Moulay El Mehdi,Tourist Attraction,Tetouan,https://www.google.com/maps/place/Place+Moulay+El+Mehdi/data=!4m7!3m6!1s0xd0b42676cc5540d:0x2775ca6602f16f84!8m2!3d35.5701816!4d-5.3742839!16s%2Fg%2F11b6dps3_h!19sChIJDVTFbGdCCw0RhG_xAmbKdSc?authuser=0&hl=fr&rclk=1
كورنيش جبل درسة,Tourist Attraction,Tetouan,https://www.google.com/maps/place/%D9%83%D9%88%D8%B1%D9%86%D9%8A%D8%B4+%D8%AC%D8%A8%D9%84+%D8%AF%D8%B1%D8%B3%D8%A9%E2%80%AD/data=!4m7!3m6!1s0xd0b425f9be5432f:0x5ef31ebd642e8011!8m2!3d35.5766973!4d-5.3707796!16s%2Fg%2F11cr_fl28m!19sChIJL0Plm19CCw0REYAuZL0e814?authuser=0&hl=fr&rclk=1
Paloma Blanca,Tourist Attraction,Tetouan,https://www.google.com/maps/place/Paloma+Blanca/data=!4m7!3m6!1s0xd0b427b0b1eeb63:0x1d2eb7acba96db25!8m2!3d35.5700975!4d-5.3857855!16s%2Fg%2F11dxppnx_s!19sChIJY-seC3tCCw0RJduWuqy3Lh0?authuser=0&hl=fr&rclk=1
Bab Tut,Tourist Attraction,Tetouan,https://www.google.com/maps/place/Bab+Tut/data=!4m7!3m6!1s0xd0b425def877df3:0x80e2e15bf8ca4c86!8m2!3d35.5714143!4d-5.3720286!16s%2Fg%2F11dxbvwsmw!19sChIJ832H711CCw0RhkzK-Fvh4oA?authuser=0&hl=fr&rclk=1
Quad Tetouan Discovery,Tourist Attraction,Tetouan,https://www.google.com/maps/place/Quad+Tetouan+Discovery/data=!4m7!3m6!1s0xd0b5cd2698c036b:0x754aedd451e319e1!8m2!3d35.6301693!4d-5.3339153!16s%2Fg%2F11df3mll4_!19sChIJawOMadJcCw0R4RnjUdTtSnU?authuser=0&hl=fr&rclk=1
Musée Ethnographique Bab Okla,Tourist Attraction,Tetouan,https://www.google.com/maps/place/Mus%C3%A9e+Ethnographique+Bab+Okla/data=!4m7!3m6!1s0xd0b425a5c5fe793:0x178f238522fb39c4!8m2!3d35.5703198!4d-5.363844!16s%2Fg%2F11c5rwnjty!19sChIJk-dfXFpCCw0RxDn7IoUjjxc?authuser=0&hl=fr&rclk=1
Marokko tetouan,Tourist Attraction,Tetouan,https://www.google.com/maps/place/Marokko+tetouan/data=!4m7!3m6!1s0xd0b43006b8a0949:0xceb1c86cb2655f96!8m2!3d35.57168!4d-5.3597051!16s%2Fg%2F11xh2bfd9v!19sChIJSQmKawBDCw0Rll9lsmzIsc4?authuser=0&hl=fr&rclk=1
جبل بوعنان,Tourist Attraction,Tetouan,https://www.google.com/maps/place/%D8%AC%D8%A8%D9%84+%D8%A8%D9%88%D8%B9%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0xd0b43557369ed29:0xe4254a788558efea!8m2!3d35.544751!4d-5.3714863!16s%2Fg%2F11s831rvry!19sChIJKe1pc1VDCw0R6u9YhXhKJeQ?authuser=0&hl=fr&rclk=1
La Granja,Tourist Attraction,Tetouan,https://www.google.com/maps/place/La+Granja/data=!4m7!3m6!1s0xd0b5d1d5d855d1b:0xff0acf6a52cf3cd0!8m2!3d35.6399217!4d-5.3454206!16s%2Fg%2F11nnp_l2q4!19sChIJG12FXR1dCw0R0DzPUmrPCv8?authuser=0&hl=fr&rclk=1
Village Artisanal de Tétouan,Tourist Attraction,Tetouan,https://www.google.com/maps/place/Village+Artisanal+de+T%C3%A9touan/data=!4m7!3m6!1s0xd0b5db0d46434ff:0xa2fed86d6b5b517f!8m2!3d35.6621936!4d-5.3189412!16s%2Fg%2F11q3_x1g1f!19sChIJ_zRk1LBdCw0Rf1Fba23Y_qI?authuser=0&hl=fr&rclk=1
Place El Mechouar,Tourist Attraction,Tetouan,https://www.google.com/maps/place/Place+El+Mechouar/data=!4m7!3m6!1s0xd0b425c69b0688d:0x9e1df4ff09ee8614!8m2!3d35.5703629!4d-5.3690509!16s%2Fg%2F1thq1zcv!19sChIJjWiwaVxCCw0RFIbuCf_0HZ4?authuser=0&hl=fr&rclk=1
المتحف الإثنوغرافي,Tourist Attraction,Tetouan,https://www.google.com/maps/place/%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%A5%D8%AB%D9%86%D9%88%D8%BA%D8%B1%D8%A7%D9%81%D9%8A%E2%80%AD/data=!4m7!3m6!1s0xd0b425a67ba5945:0xe3c9d075bcbc9a77!8m2!3d35.5704179!4d-5.3636243!16s%2Fg%2F1tftgkwb!19sChIJRVm6Z1pCCw0Rd5q8vHXQyeM?authuser=0&hl=fr&rclk=1
