city,category,place name,name,date,review text
Agadir,Hotel,Bahia City Hôtel,pamelaeG9018WF,il y a un mois ,J’ai été très deçue de l’hotel ! Il n’y a pas de petit frigo ni wifi dans la chambre alors que dans l’annonce ils ont dit le contraire. Il n’y avait pas de lampe de chevet dans la chambre.Prise pres du lit défectueuse impossible de …
Agadir,Hotel,Bahia City Hôtel,Samia R.,il y a 4 semaines ,"Très bon emplacement ! L’hôtel est très vieux voire en fin de vie !!! Je n’ai jamais vu un petit déjeuner si limité et de très mauvaise qualité ! Les chambres nécessitent une rénovation, on vous parle de wifi mais il est inexistant. …"
Agadir,Hotel,Bahia City Hôtel,Pam chichi,il y a un mois ,L’hotel sud bahia n’est plus l’hôtel que j’ai connu en 2013 ! Le ménage est bien fait par l’état des chambres laisse à désirer ! La piscine moyen le petit déjeuner est catastrophique ! Pendant toute la semaine j’ai déjeuner dehors malgré …
Agadir,Hotel,Bahia City Hôtel,Jonathan Temoschenko,il y a un mois ,"Bah moi j'aime son petit style rétro, le petit bistro à côté, le petit déjeuner avec la Vache qui rit distribuée à seulement 1 par personne, sa piscine et possibilité de commander à manger en bord de piscine à midi. Tranquille. Trouver …"
Agadir,Hotel,Bahia City Hôtel,Ben Dairi,il y a 3 mois ,"L'hotel Bahia City est très bien placé à environ 15 minutes à pied de la plage  et à côté de nombreux restaurants et commerces.
Il dispose d'une grande piscine très bien entretenue, ainsi que de transats. Les …"
Agadir,Hotel,Bahia City Hôtel,Firas Khi,il y a un mois ,Très mauvaise expérience hôtel catastrophique très dégueulasse aucun service compétent aucune sécurité les balcons dans les chambres donnent les un sur les autres aucune honnêteté du service nous ne sommes pas rester dans l'hôtel nous …
Agadir,Hotel,Bahia City Hôtel,Aurelien Chergui,il y a un mois ,"Horrible sale vieux ....
Habituellement je n'aime pas mettre de mauvais avis mais la vraiment très mauvaise expérience, n'y allez surtout pas sauf si vous voulez gâcher vos vacances... …"
Agadir,Hotel,Bahia City Hôtel,nory77,il y a 4 mois ,"Ce n est pas le lux mais franchement propre securiser
Le matelat confortable proche tt comoditer
Pour un petit budget faut pas chipoter . …"
Agadir,Hotel,Bahia City Hôtel,camel abdelkrim,il y a 3 mois ,"C'est un hôtel bien implanté pas loin du  bord de mer,mais les chambres sont très vêtuste !"
Agadir,Hotel,Bahia City Hôtel,sylvie triballeau,il y a 10 mois ,"Bonjour, j'ai passé 2 nuits dans cet établissement. La chambre n'était pas vraiment propre  (exemple: une culotte avait été laissée dans la salle d'eau!). Et après un ménage fait le lendemain de la 1ère nuit je n'ai plus retrouvé mon masque …"
Agadir,Hotel,Bahia City Hôtel,Hafsa Laala,il y a un mois ,"Le service de l’accueil ne mérite même pas une étoile malheureusement, nous n’avons donc pas pris le risque de rester habiter"
Agadir,Hotel,Bahia City Hôtel,zohrab2019,il y a un an ,"Hôtel d'une certaine époque mais joli dans les parties communes et entretenu quotidiennement, piscine agréable également avec personnel sympathique. La chambre est propre en général, le linge de lit propre, ménage fait tous les jours, seul …"
Agadir,Hotel,Bahia City Hôtel,280lylaa,il y a un an ,"Très bien, hôtel plutôt vieux mais propre. Le personnel très gentil. La piscine nettoyé tout les matins très agréable.|Juste un peu de bruit du au boîte de nuit à côté de l’hôtel mais en fermant la fenêtre ça allait. Pour le petit déjeuner il y’a du choix bien sûr dans l’esprit marocain."
Agadir,Hotel,Bahia City Hôtel,cindy brouart,il y a 7 mois ,"Vieux, moche, sale, porte de terrasse déformée impossible à fermer. La femme de ménage passe une serpillière noire de crasse sur les moquettes du couloir puis lave le sol directement sans relever le balais dans les chambres... Les …"
Agadir,Hotel,Bahia City Hôtel,D7887OJmohammedh,il y a 8 mois ,"C’est catastrophique cet hotel.personnel mal éduqué surtout la femme à la réception.on dirais une sorcière.le gérant n’a aucun pouvoir et peut résoudre même les moindres problèmes des client. Pas d’intérêt,pas d’eau chaude et c’est sale . Il y’a une odeur qui n’est pas agréable."
Agadir,Hotel,Bahia City Hôtel,lahoussinea2022,il y a un an ,"Je me suis rendu à la réception de  l hôtel pour obtenir des renseignements en vue de réserver une chambre pour trois semaines pour trois personnes.||Malheureusement, j'ai été accueilli par une réceptionniste dont l'attitude m'a fortement …"
Agadir,Hotel,Bahia City Hôtel,Christian,il y a un an,"Les gens me font rire... ils choisissent l'hôtel le moins cher d'Agadir (pour ce prix on n'a même pas un lit dans un dortoir d'auberge de jeunesse sans petit déjeuner) et ils veulent avoir un service Sofitel... Les chambres sont grandes, le …"
Agadir,Hotel,Bahia City Hôtel,Nabil Kharroubi,il y a un an ,"Je suis désolé mais sincèrement je suis déçu. L’objectif principal des hôtels est de fournir l’hébergement le plus confortable et le plus agréable possible, afin que les clients passent un séjour aussi agréable que possible… mais avec le …"
Agadir,Hotel,Bahia City Hôtel,Soria Menadjlia,il y a 8 mois ,"Hotel vraiment horrible ,tout est vieux ,odeur de renfermer,  très bruyant,à eviter ne pas emmener vos enfants aucun insonorisé  avec le bar qui s'arrête à 2h du matin , aucun respect pour les client . Hotel a fuir absolument"
Agadir,Hotel,Bahia City Hôtel,Malika El G,il y a 7 mois ,"Réceptionniste loin d’être agréable, le prix de la réservation a été doublé à l’arrivé. Elle nia complètement la responsabilité de sa capacité à nous accueillir d’après les termes initialement convenus."
Agadir,Hotel,Bahia City Hôtel,M. S. Bouaouda-Orthophonie- (Orthophoniste.Acousticien),il y a un mois ,Beaucoup de souvenirs inoubliables dans cet hôtel depuis la fin des années 70
Agadir,Hotel,Bahia City Hôtel,Amine Bakar,il y a un an ,"De quel 3 étoiles parlez vous !?
c'est la honte, franchement c'est la mauvaise expérience dans toute ma vie, dommage que l'annulation de la réservation est impossible. …"
Agadir,Hotel,Bahia City Hôtel,Abd Hi,il y a un an ,"Le seul point positif de cet hôtel est l'emplacement.  L'hôtel est situé dans un quartier moderne et propre, à proximité de la plage . L'accueil a également été très chaleureux …"
Agadir,Hotel,Bahia City Hôtel,Saf Etdubien,il y a un an ,"Tout était très bien. Le seul bémol, le petit déjeuner je n'étais pas fan du tout on y a été une fois sur les 3 jours mais après chacun ses goûts, sinon les piscines( pour grand et petit) sont très propres. Un monsieur était là tout la journée pour s'en occuper et surveiller. Les chambres étaient sympa, il y avait la clim"
Agadir,Hotel,Bahia City Hôtel,eric le morillon,il y a 5 mois ,"Il n y a pas internet que ce soit dans le salon,  la réception ou bien les chambres."
Agadir,Hotel,Bahia City Hôtel,Zineb BEN RIDA,il y a 2 ans ,"Hôtel dégoutant, qui sent mauvais. Mobilier et sanitaires qui datent d'une autre époque. Personnel ça va à part la réceptionniste qui nous a traité d'une manière inacceptable et irrespectueuse. J'ai eu la première nuit une chambre qui donne …"
Agadir,Hotel,Bahia City Hôtel,aboubakre736,il y a 2 ans ,"J’ai fais une réservation via booking pour cinq nuitées pour une chambre triple, le malheur va commencer après la première nuitée, avec le climat chaud ||Je me suis surpris que la chambre ne dispose pas de climatisation, pas de shampooing …"
Agadir,Hotel,Bahia City Hôtel,diopndeye2017,il y a 2 ans ,"Si je pouvais mettre 0 étoile j’allais le mettre hôtel à fuir carrément.|Un hôtel vraiment mais vraiment dégoûtant des serviettes trouées, pas d’eau chaude ni de gel douche.|Le pire on ne peut même pas dormir car y’avait une musique jusqu’à …"
Agadir,Hotel,Bahia City Hôtel,Malika ed douch,il y a un an ,"L'hôtel est très vieux, et ses installations sanitaires sont hors service. Je vous le déconseille, petit déjeuner est très limite. Passez votre chemin. Je vous le déconseille."
Agadir,Hotel,Bahia City Hôtel,Brigitte Braem,il y a un an ,"Hôtel ancien qui s améliore,ménage fait tous les jours, piscine et jardin très bien entretenus , chambre simple( c est pour dormir), eau chaude, petit déjeuner correcte, il ne faut pas être exigeant pour le prix 20 euros la nuit en petit déjeuner. Très bonne situation."
Agadir,Hotel,Bahia City Hôtel,Louisa Doudou,Modifié il y a 3 ans ,"Une semaine décevante dans un hôtel vétuste qui flique les faits et gestes des clients: 1 seule prise dans la chambre , gros problèmes électriques bloqués dans l ascenseur dès le premier jour ,aucunes tv ne s' allument, le pire la  literie …"
Agadir,Hotel,Bahia City Hôtel,Meriem El,il y a 11 mois ,"À fuir 👎🏻👎🏻👎🏻👎🏻La chambre est très vieille, mal entretenue et sent l'humidité.les toilettes Très très sale Les draps sont poussiéreux et déchirés, et ce n'est pas la pièce qu'on m'a dit, les femmes de ménages font du bruit tôt le matin, ils …"
Agadir,Hotel,Bahia City Hôtel,haute normandie,il y a 5 ans ,"Bonjour à tous, dans cet hôtel pour avoir un bon accueil il ne faut pas faire de réclamation, niveau réception médiocre, le personnel à l’accueil sont juste là pour meubler l’entrée, Dame de réception qui vous répond avec arrogance, petit …"
Agadir,Hotel,Bahia City Hôtel,Francois-Xavier Camacho,il y a 3 ans ,"Etablissement certainement prestigieux par le passé mais qui a perdu de sa superbe. A part la piscine, rien ne correspond aux belles photos attrayantes du site de réservation. Propreté plus que limite, une grande serviette de toilette par …"
Agadir,Hotel,Bahia City Hôtel,621lucienp,il y a un an ,"Hotel a éviter.|A part le personnel sympa le reste (chambre, literie, salle de bain c'est nul, pas de wifi, pas de clim pas de télé qui marche) le petit déjeuner est a proscrire (jus d'orange en boite au Maroc !!!|Trés bruyant . |Nous ni mettrons plus les pieds."
Agadir,Hotel,Bahia City Hôtel,Brahim Ouhammou,il y a 2 ans ,"Mon séjour à Bahia City Hôtel a été véritablement merveilleux, et je prévois certainement d'y retourner lors de ma prochaine visite. Je recommande vivement cet hôtel aux voyageurs en quête de confort, d'hospitalité exceptionnelle et d'emplacement privilégié."
Agadir,Hotel,Bahia City Hôtel,Y4968LZlaurentl,il y a un an ,"Rien de positif, à fuir,tout est pourrit la chambre,le petit déjeuner,la reception,le personnel,cerise sur le gâteau music à fond tout les jours jusqu'à  1h30 bref fuyez..........,................................................."
Agadir,Hotel,Bahia City Hôtel,Albahja Marrakech,il y a un an ,"Ancien Hôtel de bon emplacement, classé 3* et composé de 3 etage, proche de la plage, et du centre ville, chambre de taille assez grande, avec petit balcon vue magnifique sur la piscine, piscine propre, restaurant interne et autre à …"
