city,category,place name,name,date,review text
Agadir,Hotel,Océan Atlantic View,Amir Alaa,il y a un mois ,"Je recommande fortement cet hôtel vraiment qualité et prix service top , le personnels de restaurant sympa serviables. Très propre les 2 piscines modernes sécurisées situé dans un endroit calme près de la plage 5 min à pied et 5 min en voiture au centre ville."
Agadir,Hotel,Océan Atlantic View,Rosane Philippe,il y a un mois ,"Hôtel avec un emplacement parfait ( commerces , plage , piscine ) 👍🏼
Le personnel très sympathique et accueillant 🫶🏽 Très bon service et petit déjeuner . …"
Agadir,Hotel,Océan Atlantic View,Laurent Lemieux (Laurent),il y a 3 semaines ,"Le personnel est aimable et disponible. Il donne de bons conseils pour les visites, les activités ou tout simplement pour se déplacer dans la ville.
Malgré un problème technique lors de notre arrivée de nuit, Youssef a été très …"
Agadir,Hotel,Océan Atlantic View,RACHID HADDOUCH,il y a 4 semaines ,"J’ai passé un excellent séjour dans cet hôtel, et je tiens à souligner la qualité remarquable de leur service. Dès mon arrivé, le voiturier Nordine m’a accueilli avec le sourire et beaucoup de professionnalisme, rendant mon arrivé fluide et …"
Agadir,Hotel,Océan Atlantic View,L1131XSminab,il y a 3 mois ,"La chambre , l’emplacement, la piscine et salle de sports sont parfaits mais si comme moi vous voulez du calme , vous reposer , c’est impossible !| La journée: des travaux NON stop: disqueuse , coups de burin dans les murs, perceuse , on …"
Agadir,Hotel,Océan Atlantic View,Sophiane Malki,il y a une semaine ,J’ai mis une étoile à cette hôtel pour diverses raisons notamment un litige et les conditions catastrophiques de la conservation de la nourriture au petit déjeuné ainsi que la wifi qui fonctionne à peine dans les chambres et le commentaire a été supprimé. Bravo .
Agadir,Hotel,Océan Atlantic View,Dorothée Lefebvre,il y a un mois ,"Nous avons passé 3 semaines dans cette hôtel avec notre petit chien qui a été très bien accepté , nous le recommandons vivement .il est géographiquement très bien placé de la mer , du centre d'Agadir Bay , et du souk .Nous tenons à …"
Agadir,Hotel,Océan Atlantic View,Nwlb75,il y a 5 mois ,"Excellent séjour à Agadir, la chambre offre une vue magnifique sur la plage.|L'hôtel est à proximité de la plage et des commerces à pied.Nous avons été super bien accueilli en français, les réceptionnistes parlent plusieurs langues et sont …"
Agadir,Hotel,Océan Atlantic View,Sabr Koopan,il y a un an ,"Accueil extrêmement chaleureux et surtout très humain, M.Youssef et son équipe sont formidables et attentionnés ! L’hôtel est très bien situé non loin de la plage et au calme. La vue sur l’océan est splendide. Le petit déjeuner était très …"
Agadir,Hotel,Océan Atlantic View,Anaïs Vuaillat Sonrel,il y a 7 mois ,"Hôtel très sympathique et bien placé dans le founty, Youssef nous a donné un plan d'Agadir avec de bonnes adresses et de bons restaurants : point ô combien important avec un conjoint cuistot ! …"
Agadir,Hotel,Océan Atlantic View,Charlotte Almayrac,il y a 5 mois ,Nous avons passé un excellent séjour dans cet hôtel. Le personnel est très sympathique et à l’écoute.
Agadir,Hotel,Océan Atlantic View,Myriam,il y a un an ,"Un excellent hôtel tout est parfait, je recommande vivement cet hôtel. Au calme tout en étant proche de la mer et de la ville. La vue est super. La propreté des chambres et le confort sont très agréable. Le petit déjeuner est varié et …"
Agadir,Hotel,Océan Atlantic View,Latifa,il y a un an ,"Cet hôtel est vraiment très bien.  Très agréable. Juste à côté de la mer. Le service est au top. Tout le Personnel d'accueil, de chambre et de cuisine sont géniaux, vraiment agréable et à l écoute.  Merci beaucoup pour votre accueil et sourire.  A bientôt 😊 …"
Agadir,Hotel,Océan Atlantic View,Marine,il y a un an ,"Un magnifique Hotel. Tout était réuni : une belle vue au loin de la mer, 5 min à pied pour l’a rejoindre, une proximité avec de bons restaurants dans le nouveau quartier au dessus, de belles chambres propres et spacieuses. Un personnel …"
Agadir,Hotel,Océan Atlantic View,Laura Arnould,il y a un an ,"Mes parents sont venus séjourner dans cet hôtel pour une semaine au mois de novembre. Ils reviennent enchanté par l'accueil des marocains sur place !
Un hôtel avec du personnel a l'écoute, serviable, agréable et souriant. …"
Agadir,Hotel,Océan Atlantic View,Daniel Guerin,il y a un an ,"Petit hôtel très propre avec chambre spacieuse et une terrasse avec vue sur la mer qui est à 400 m.
Très calme. …"
Agadir,Hotel,Océan Atlantic View,Soum So,il y a un an ,"Nous avons séjourné une semaine dans cet hôtel : il est super, l’emplacement est IDÉAL. À deux pas de la plage, avec une vue magnifique. Les chambres sont spacieuses, propres et fonctionnelles. Le personnel est TRÈS gentil et très réactif. …"
Agadir,Hotel,Océan Atlantic View,L S,Modifié il y a 2 ans ,Le personnel est très accueillant et disponible. Le hall de l'hôtel est très moderne et beau. Les chambres sont spacieuses et grandes mais sont vétustes je pense qu'un coup de neuf sera nécessaire. Le petit déjeuner est juste parfait sauf …
Agadir,Hotel,Océan Atlantic View,Sophia Belkhir,il y a un an ,"J'ai passé un excellent séjour à l Océan Atlantic View.Accueil très chaleureux et l ensemble du personnel est vraiment au petit soin et à votre écoute. Bon emplacement, à proximité de la plage et du centre ville. L hôtel est parfaitement bien entretenu. Petit déjeuner très complet."
Agadir,Hotel,Océan Atlantic View,Sehaila Nhari,il y a un an ,"Très bon emplacement de cet hotel qui donne lieu a une vue agréable sur l'océan atlantique. Personnel très impliqué et accueillant. Les taxis passent souvent autour de l'hotel donc pas besoin d'en chercher. Le petit déjeuner est très bon et copieux, je recommande vivement"
Agadir,Hotel,Océan Atlantic View,Julia Boncristiano,il y a 2 ans ,"Nous avons passé un super séjour au sein de cet hôtel. L'hôtel est très propre, les chambres sont grandes, spacieuses et très lumineuses.
Le personnel de la réception sont à l'écoute, très professionnels et ont étés …"
Agadir,Hotel,Océan Atlantic View,Fanfan3180,il y a 3 ans ,Un bon hôtel pas loin de la mer. Nous avons été surclassés la chambre était très grande 2 salles de bain 2 wc une très belle terrasse au dessus de la piscine et vue sur la mer. Youssef a été charmant et a su nous recommander un très bon …
Agadir,Hotel,Océan Atlantic View,Karima Sadaoui,il y a un an ,Nous avons passé 3 nuits dans cet hotel. Nous avons été agréablement surpris par la propreté et la disponibilité du personnel. Une mention spéciale pour Youssef qui est d'une gentillesse sans limite. Merci à vous je reviendrai.
Agadir,Hotel,Océan Atlantic View,mpzu,il y a 2 ans ,|Nous sommes arrivés en fin d'après midi suite à une  vive déconvenue dans une autre réservation et nous avons été extrêmement bien accueillis par M. Yousseph qui nous a dépannés en nous proposant un appartement avec une vaste terrasse.|Un …
Agadir,Hotel,Océan Atlantic View,Saleha Bendahmane,il y a un an ,Belle chambre spacieuse et propre..Grande terrasse équipée table basse et fauteuil.Hotel calme.Personnel au top et super accueillant:merci à Youssef Elhadi et Aziz👍grande piscine avec serviette à disposition.Petit déj très varié avec buffet et produits frais.. Je recommande. …
Agadir,Hotel,Océan Atlantic View,U7014PYsofiam,il y a 2 ans ,"Je déconseille totalement|Entre la salle de boxe et la salle de musculation qui fait un bruit terrible jusqu’à 22h, on a l’impression d’être a la guerre… |Le service nettoyage est pitoyable. Le petit déjeuner est servi dans la cave, …"
Agadir,Hotel,Océan Atlantic View,nawfal zouaoui,il y a 6 ans ,"Un excellent Hotel, qui a dépassé toutes nos attentes : l'appartement est très spacieuse, confortable et super bien équipé. Et le fait d'avoir une douche et une baignoire est un indéniable avantage. …"
Agadir,Hotel,Océan Atlantic View,karim st,il y a 2 ans ,"Endroit agréable et calme, avec un rapport qualité prix irréprochable.
Un hôtel chaleureux avec une belle vue sur l'océan, les appartements sont spacieux et propres et une odeur super plaisante diffusée dans les couloirs de la …"
Agadir,Hotel,Océan Atlantic View,Meryem Khouil,il y a 2 ans ,"L'hôtel est bien situé au quartier Agadir Bay, à quelques minutes à pieds d'une magnifique plage. Le service est parfait, tout le personnel de l'établissement est au petit soin. Je rajoute à cela que le petit déjeuner est excellent!"
Agadir,Hotel,Océan Atlantic View,Bilel Rbei,il y a 2 ans ,"Excellent séjour dans cet hôtel avec une superbe vue sur l’océan Atlantique.
Tout a été nickel.
Le personnel de l’hôtel est au top. …"
Agadir,Hotel,Océan Atlantic View,Lila sgn,il y a 2 ans ,"Un magnifique hôtel ! Tout le personnel est adorable et aux petits soins. La piscines et le jacuzzi sont génial, les salles de sport sont très très bien équipées ! Le petit déjeuner est délicieux !!! Oh my bun le restaurant est super bon. Je recommande !!"
Agadir,Hotel,Océan Atlantic View,Villa Nui,il y a 2 ans ,"Nous avons séjourné une semaine complète dans ce joli hôtel situé en zone touristique où nous avons passé un bon séjour. Nous félicitons Houssef et Mokhtar pour leur chaleureux accueil, leur sympathie, leurs conseils et leur bonne humeur. …"
Agadir,Hotel,Océan Atlantic View,Andréa Golin,il y a 3 ans ,Séjour plus que moyen. Des photos sur Booking.com et un nom qui font rêver à beau séjour au bord de l’océan. En réalité il n’en ai rien à part la piscine et le petit déjeuner rien n’est à la hauteur du standing que suppose le hall d’entrée …
Agadir,Hotel,Océan Atlantic View,Nassera IZMER,il y a 2 ans ,"J’y ai passé un mois de vacances avec mon mari et mes enfants. Un accueil de qualité supérieure, un personnel d’une performance 5 étoiles, une écoute et une disponibilité inégalée. Je recommande a 1000 % pour des vacances en toute tranquillité logé dans une suite au top tant au niveau de la propreté que sur l’agencement."
Agadir,Hotel,Océan Atlantic View,Erich Vogel,il y a 2 ans ,"On est arrivé épuisés d'un long voyage en voiture, et dès notre entrée dans l'hôtel tout a été parfait. Abdel a pris le temps de nous présenter l'hôtel et différentes chambres, et est resté disponible pour toutes nos demandes. Le lendemain …"
Agadir,Hotel,Océan Atlantic View,Jacques,il y a 2 ans ,Chambre propre et grande. Aménagement simple. Manque table et chaise sur balcon. Belle vue sur l'océan. Insonorisation désastreuse entre chambres et avec la salle de sport (crossfit) juste en dessus. Impossible de fermer l'oeil durant la journée!!! Eviter absolument l'aile Nord.
Agadir,Hotel,Océan Atlantic View,Lord Starck 007,il y a un an ,"Hotel sympathique pas cher la suite..
Bon rapport qualité prix...
Petit déjeuner très correct et personnel aux petits soins... …"
Agadir,Hotel,Océan Atlantic View,EasyJardins Azur,il y a 5 ans ,"Très bel hôtel, au calme. Personnel compétent et attentif à votre bien être.
Vue mer imprenable.
Chambres spacieuses, confortables et propres. …"
Agadir,Hotel,Océan Atlantic View,Morgan Helary,il y a 7 ans ,"L'hôtel est plutôt moderne mais n'a pas de minibar.
Les chambres sont spacieuses et propres.
Le petit déjeuner est vraiment super. Il ne pas hésiter. …"
