city,category,place name,name,date,review text
Rabat,Restaurant,Coq Magic Hassan,Ayoub ZAID,il y a une semaine,"Très bon repas chez Coq Magic à Rabat ! Le poulet était bien assaisonné et tendre, les accompagnements frais et le service rapide.
Un bon rapport qualité-prix pour un repas savoureux. Je recommande"
Rabat,Restaurant,Coq Magic Hassan,Najwa Hmimda,il y a un mois,"Mauvaise expérience, très déçue du service et de la qualité de la bouf, ca na rien avoir avec le coqmagic d’avant 😖😔 …"
Rabat,Restaurant,Coq Magic Hassan,Laurent F,Modifié il y a une semaine,Ce restaurant est une blague ! Les plats sont très très moyen et EXTRÊMEMENT CHERS ! Méchoui de 250g sur la carte qui correspond à  peine à  100g de viande une fois les os et la peau retirés : pour 85dhm cela revient quand même à 850dhm le …
Rabat,Restaurant,Coq Magic Hassan,Nezha Amakkar,il y a 6 mois,"Excellent en tous points
Cuisine raffinée et variée
Service parfait …"
Rabat,Restaurant,Coq Magic Hassan,Philippe C,il y a 6 mois,"Excellentes brochettes de foie et jus frais carotte-orange. Bon rapport qualité-prix.
Emplacement plutôt calme.
Reste ouvert tard"
Rabat,Restaurant,Coq Magic Hassan,Mick L,il y a un an,"Coq Magic ça semble être une chaîne, en sent une certaine organisation et un soin qu'il n'y a pas dans les restaurants de base. Une meilleur hygiène. …"
Rabat,Restaurant,Coq Magic Hassan,Nora Moussaoui,il y a un mois,"Service rapide et efficace. Les repas étaient tous très bons, mention spéciale pour la salade marocaine faite avec des aliments frais. Merci au serveur Abdellah pour son accueil chaleureux."
Rabat,Restaurant,Coq Magic Hassan,Fatiha,il y a un an,"Je découvre pour la première fois cette enseigne. Repas correct. Concernant l'ambiance, sur le temps du repas de midi il y avait du monde ce fût donc un peu bruyant. Enseigne à tester afin de se faire un avis."
Rabat,Restaurant,Coq Magic Hassan,Aurelie Beaumer,il y a 9 mois,"Une très bonne rôtisserie à Rabat, nous avons apprécié le poulet rôti, les brochettes ou encore le méchoui."
Rabat,Restaurant,Coq Magic Hassan,Najib Zemed,il y a 2 mois,"Franchement déçu. Le poulet avait une odeur bizarre, pas frais du tout. Le riz aussi pas bon. Rien à voir avec la qualité de Hay Riad ou Salé
Vraiment dmg"
Rabat,Restaurant,Coq Magic Hassan,Douja Jh,il y a 2 ans,"Vu qu'on a déjà mangé le poulet rôti dans un autre local on voulait testé celui de Hassan, mais malheureusement nous étions trop déçus primo par la propreté de lieu, on nous a demandé si nous voulions de la salade, la réponse a été NON! …"
Rabat,Restaurant,Coq Magic Hassan,Ali Reda,il y a un mois,Poulet cru et sans assaisonnement. Une très mauvaise expérience.
Rabat,Restaurant,Coq Magic Hassan,Fouad Thaiboxing,il y a un mois,Service nul lkhedama li tma ne te donne jamais ton temp de choisir ton parfum ni de te presenter les produits les nouveau arrivages .  je vous deconseils cette boutique de hadri sale et merci
Rabat,Restaurant,Coq Magic Hassan,Med Mustapha,il y a un an,"Bonjour, he suis un habitué du coin m, côté cuisine rien à dire je peux même dire c'est le meilleur coin pour manger le poulet à rabat, toutefois je viens de remarquer un inconvénient qui touche à l'image de marque du coin: les serveurs, et …"
Rabat,Restaurant,Coq Magic Hassan,Salma SAIDI,il y a un mois,"Pas cuit, mauvais goût , mauvais service , vous êtes devenu nulle il seigne tjrs votre qualité à vrmt baissé"
Rabat,Restaurant,Coq Magic Hassan,reda mcm,il y a 2 semaines,Coc pas sécher du sang et la salade hawaïenne a pas du thon et la salade coc magic ne contient pas de pommes de terre
Rabat,Restaurant,Coq Magic Hassan,Karim Hilali,il y a 3 semaines,La qualité du service et des plats est excellente par conséquent c'est très bruyant comme endroit ^^
Rabat,Restaurant,Coq Magic Hassan,Abdou Ben,il y a 4 mois,Je préfère celui de hay salam largement  le poulet est rouge rouge on dirait qu’il a bien souffert meskine riz froid sans aucun goût
Rabat,Restaurant,Coq Magic Hassan,MEDECIN CHIRURGIEN DENTISTE,il y a 2 mois,Leur nourritures est bonne mais leur prix commence à devenir exagéré.
Rabat,Restaurant,Coq Magic Hassan,hassan daoudi,il y a 2 ans,"Restaurant propre, personnel, aimable, service rapide, très bon rapport qualité prix.
Merci …"
Rabat,Restaurant,Coq Magic Hassan,Souhail Rahmani,il y a 5 mois,"Couscous à 65 dh une bouchée de viande de 30 ou 40g, servie froid en plus,
J’ai mangé à 13h , douleurs à l’estomac après 3h"
Rabat,Restaurant,Coq Magic Hassan,Mustapha Housni,il y a un mois,il faut savoir garder et entretenir son image de marque surtout quand on est submergé par une affluence accrue
Rabat,Restaurant,Coq Magic Hassan,amine el khalfi,il y a 5 mois,"Mauvais service , sandwich viande haché presque vide , peu de garniture , ratio frites sans condiments wallah j'ai regreté."
Rabat,Restaurant,Coq Magic Hassan,yazid jouihri,il y a 10 mois,"J'ai commandé un café crème, mais on m'a servi un café noir en me disant qu'il n'y avait pas de café crème. J'étais un peu agacé, et pour couronner le tout, le serveur m'a demandé de laisser un pourboire après un tel service. C'était …"
Rabat,Restaurant,Coq Magic Hassan,Mehdi Benmoussa,il y a 10 mois,Jy ai mangé hier en famille.. intoxication moi et mon fils de 6 ans.. nous étions les seuls à manger le riz servis..
Rabat,Restaurant,Coq Magic Hassan,widhy viotty,il y a un an,Efficace pour le couscous du vendredi. Service rapide mais pas très accueillant.
Rabat,Restaurant,Coq Magic Hassan,Issam Belfhil,il y a 3 mois,"Très bonne expérience, c'est propre et le personnel est accueillant"
Rabat,Restaurant,Coq Magic Hassan,M'rouane Jender,il y a un an,"Retour au coq magic plus de 15 années après lors de mon passage par rabat, le poulet est toujours  aussi bon, bien cuit, c'est une bonne adresse pour un déjeuner en week-end moins fréquenté qu'en semaine, idéal aussi pour un repas en …"
Rabat,Restaurant,Coq Magic Hassan,Djalil Menacer,il y a un an,"Excellent restaurant avec de délicieuses grillades! Les assises sont confortables, offrant un cadre agréable pour savourer un repas. Le service est impeccable et la qualité des plats est remarquable. Je recommande vivement cet endroit, ça fait vraiment le taf je recommande !"
Rabat,Restaurant,Coq Magic Hassan,Nabil Benz,il y a 6 mois,Poulet non parfaitement cuit viande demi-saignante prix exorbitant qualité bâte gamme...!
Rabat,Restaurant,Coq Magic Hassan,Saber Mustapha,il y a 4 mois,"vraiment je suis trés décu ,service menable et  les repas froid
c'est catastrophique"
Rabat,Restaurant,Coq Magic Hassan,Achraf Achraf,il y a 5 ans,"La qualité est en déclin.
Certains employeurs changent leur vêtements en pleins clients  car il n’ya pas de place pour eux. …"
Rabat,Restaurant,Coq Magic Hassan,Khalil Khayat,il y a 2 mois,Bon restaurant qui se trouve dans le quartier Hassane.
Rabat,Restaurant,Coq Magic Hassan,NasAz Ch,il y a 11 mois,"Je ne suis pas satisfait de leur service récen👎🏻👎🏻 . Si vous vous y rendez en personne, vous pouvez demander ce que vous voulez et choisir le morceau de poulet que vous voulez. Mais si vous commandez en livraison, ils essaient de vous vendre ce qu'ils veulent. Ils mentent et disent qu'ils n'ont plus ce que vous voulez. …"
Rabat,Restaurant,Coq Magic Hassan,bouaidoun brigitte,il y a 2 mois,Rien d'exceptionnel pas beaucoup de choix ne recommande pas
Rabat,Restaurant,Coq Magic Hassan,Yassine Bilou,Modifié il y a 4 ans,"Trop bon le coquelet sur feu du bois, aimable service, bon prix."
Rabat,Restaurant,Coq Magic Hassan,Mohammed Elbrahimi,Modifié il y a 8 mois,Coq Magic Hassan c'est mon endroit préféré pour manger le Poulet rôti.
Rabat,Restaurant,Coq Magic Hassan,HAYAT AREJDAL,il y a un an,"❌❌ Service médiocre, je ne recommande pas. ❌👎👎👎👎

J'y étais moi et ma petite famille, on a demandé du poulet rôti, j'étais …"
Rabat,Restaurant,Coq Magic Hassan,HASSAN BARNOUSSI,il y a 9 mois,Bonne nourriture mais attention à l'agent de sécurité de la terrasse qui se permet de récupérer les restes  pour nourrir les chats errants qui se baladent entre les jambes des clients au mépris de leur santé et des normes d'hygiène. 😡 …
Rabat,Restaurant,Coq Magic Hassan,ALAOUI Younes,il y a 7 ans,"Endroit parfait pour dîner ou déjeuner en famille ou seul. Spécialité poulet. C'est propre, rapide et le personnel est très serviable. Je recommande"
Rabat,Restaurant,Coq Magic Hassan,MOHAMED SALAHDINE BEN YOUSSEF,il y a un an,Le coquelet était délicieux. Il était grillé d'une manière optimale et les frites étaient également très bonnes. Le service était impeccable. Rien à dire.
Rabat,Restaurant,Coq Magic Hassan,fatima choukrani,il y a un an,"Vous avez pris la grosse tête !!!! vous traitez les clients comme un moins que rien, y’avait une certaine personne ignoble à l’accueil vêtu du noir avec casquette, mal habillé  qui nous a renvoyé du resto sans prendre le temps de nous …"
Rabat,Restaurant,Coq Magic Hassan,sanae meghraoui,il y a un mois,Mauvaise expérience 🤮 …
Rabat,Restaurant,Coq Magic Hassan,Hamza Mehimdate,il y a un an,"Mon expérience dans ce restaurant n'était pas bonne.  Malheureusement, la qualité de la nourriture était inacceptable et ce n’était pas une expérience aussi délicieuse que ce à quoi je m’attendais.  La qualité des aliments doit être améliorée pour améliorer l’expérience client à l’avenir."
Rabat,Restaurant,Coq Magic Hassan,Oro Mal,il y a 2 ans,Services franchement nul aucune organisation des serveurs. Tous les plats + entrées sont emmener en même temps alors qu'ils pouvaient envoyer d'abord l'entré puis les plats ce qui serait logique enfin bref la salade trop salé malgré qu'on …
Rabat,Restaurant,Coq Magic Hassan,Legzira Said Parapente,Modifié il y a un an,"Service zéro.
زيروا زيرو.
Pas recommandé"
Rabat,Restaurant,Coq Magic Hassan,hicham naji,il y a une semaine,Ambiance bon enfant
Rabat,Restaurant,Coq Magic Hassan,Fa Ben,il y a 2 ans,"Service de très bonne qualité, lieu propre, les plats sont bons à l'exception des frites qui ne sont pas tjr de bonne qualité selon moi (qui n'aime pas du tout les frites congelées). Les prix sont élevés par contre par rapport aux plats …"
Rabat,Restaurant,Coq Magic Hassan,aabaslama Abdelmounim,il y a 3 ans,"J'adore tout simplement , des grillades juteuses et délicieuses"
Rabat,Restaurant,Coq Magic Hassan,Bennis Kamal,il y a 6 mois,"Pour un repas rapide
Pas très goûteux"
Rabat,Restaurant,LA RAMBLA RABAT,Zinoune Saida,il y a un mois,"Nous avons dîné dans ce restaurant avec mon mari et même mon petit bébé , et c’était tout simplement un régal du début à la fin ! La qualité de la viande était exceptionnelle, parfaitement cuite et savoureuse . Le service était chaleureux, …"
Rabat,Restaurant,LA RAMBLA RABAT,Siham Mdiji,il y a un mois,"NUL mis à part l’ambiance.
On a payé une addition salée pour des plats servis froids, fades, sans aucun goût. Le cuistot devrait clairement revoir ses bases, il confond une cuisson à …"
Rabat,Restaurant,LA RAMBLA RABAT,Anas Meftah,il y a 2 semaines,"Très belle découverte ! L’ambiance est chaleureuse et agréable, idéale pour passer un bon moment. La viande maturée est tout simplement excellente, parfaitement préparée et savoureuse. Service attentif et professionnel. Une adresse que je recommande vivement à tous les amateurs de bonne cuisine."
Rabat,Restaurant,LA RAMBLA RABAT,Aimane Cherragui,il y a 2 mois,"- Expérience très positive.
- Chef Abdellah Kamoune doing his magic with meat and fire.
- Menu varié et boissons à la carte. …"
Rabat,Restaurant,LA RAMBLA RABAT,Atiq Mounir,il y a une semaine,Cadre agréable. Personnels courtois et rapport qualité prix assuré. Je. Recommande vivement
Rabat,Restaurant,LA RAMBLA RABAT,Ghita miz,il y a 4 semaines,"Ce restaurant a toujours été excellent concernant la cuisine l’ambiance et le service. Les viandes sont excellentes, service irréprochable, ambiance et fréquentation nickel pour passer une agréable soirée et bien manger.
Je recommande vivement"
Rabat,Restaurant,LA RAMBLA RABAT,Nawal aouad,il y a 3 semaines,"Excellente viande . Accompagnements bons et généreux.
Le chef est venu nous voir et nous conseiller une 1ere fois puis une 2eme fois pour recueillir nos avis .
A noter un très bon service ."
Rabat,Restaurant,LA RAMBLA RABAT,Rita,il y a 2 semaines,"Abominable, je ne recommande absolument pas. Les plats sont insipides, les cocktails imbuvables et mal réalisés et le service mauvais (serveurs agressifs et insolents). Endroit à éviter."
Rabat,Restaurant,LA RAMBLA RABAT,M C,Modifié il y a 2 ans,"ce coin est très sympa, la déco est magnifique mais malheureusement on a eu deux grandes déception, c'était une journée de canicule il faisait 39°C  et le comble pas de clim, deuxième déception la paella était immangeable et les desserts …"
Rabat,Restaurant,LA RAMBLA RABAT,Amine Rabhi,il y a un mois,"Une expérience parfaite
L'endroit l'ambiance la musique le service sont top.
La viande est extrêmement parfaite.
Je recommande à 100%"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Yassine Elkhayati,il y a 3 semaines,"J’avais lu plusieurs avis négatifs sur l’accueil, mais j’ai eu une expérience complètement différente. L’hôtesse m’a accueilli chaleureusement, a retrouvé ma réservation rapidement et m’a accompagné jusqu’à la table avec beaucoup de …"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,oumaima ouz,il y a 2 semaines,"Très mauvaise expérience dans ce restaurant. Le service est lent et désorganisé, et nous avons été très mal accueillis. La gérante elle-même a fait preuve d’un comportement irrespectueux et d’un manque total de professionnalisme. On ressent …"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,ENNOUHI MOHAMMED,il y a 5 mois,Très beau restaurant avec une belle ambiance musicale.  Cuisine raffinée et personnel affable et professionnel.
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Drissia Be,il y a 10 mois,"Nous y sommes allés samedi soir sur les conseils d amis et l endroit est génial !! On y mange bien, le restaurant propose un spectacle pendant le repas et ensuite place au DJ qui permet de prolonger la soirée ! 👯👯 La décoration est faite …"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Melissa Abeng,il y a 4 mois,"J’adore très beau cadre
Nourriture excellente
Ambiance parfait
Les serveurs sont tellement gentils"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Anthalas,il y a 3 mois,"Agréable endroit, bonne musique, personnel bien sympa et professionnel, qualité des plats et à la hauteur avec un prix raisonnable.
Espérant vous rendre visite une autre fois."
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Salma TAOUIL,il y a un an,"J'ai récemment visité ce restaurant et mon expérience a été mitigée. Le service était correct, sans être exceptionnel. Cependant, j'ai remarqué une certaine discrimination envers les clients qui ne consomment pas d'alcool, ce qui peut …"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Kenza Ouahim,il y a 3 semaines,"Si zéro existait j’aurais mis zéro ! Claquette Hermès non autorisé ! Alors que j’ai
appellez avant de venir et on ne m’a jamais parler de tenue correcte exigée , …"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Karim Tazi,Modifié il y a 10 mois,"Je me demande si les commentaires négatifs ne concernent pas un autre restaurant... Notre réservation a été bien enregistrée, nous avons été bien accueillis et très bien servis... L'ambiance est chic décontractée avec un style éclectique, …"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,ennil najia,il y a 4 ans,"Un endroit cosy, sympa, bonne ambiance, le service était top et rapide dès le début jusqu'à la fin, le virgin PinaColada était juste magnifique, les pizzas aussi, le calamars à la plancha trop bon, avec une bonne cuisson pas élastique du tout... la déco exotique est juste sublime. Je recommande vivement ce lieu ..."
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Nono Thefoodie,il y a 4 ans,"Le rooftop est très mignon et agréable. Cosy, intime et qui vous fait oublier le quartier dans lequel vous êtes. Pour ce qui est de la nourriture, c'était correct mais sans plus expliquant par conséquent la fourchette de prix accessible. Le …"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Marouane Ou,il y a 4 mois,"Comportement inacceptable à l’entrée! Un agent impoli, agressif, incapable de gérer l’accueil il bloque l’accès sans raison pendant que d’autres passent sans souci. …"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,EL Jaouhari Aya,il y a un mois,Accueil très chaleureux dès l’entrée le videur chauve avec des tatouages était très sympa et drôle le serveur (chauve) est hyper sympa et joyeux la nourriture est excellente et l’ambiance au top rien à dire c’était une soirée magnifique !
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Rachid Hammouch,il y a 3 mois,"Je serai de passage á Rabat semaine prochaine. Je pensais y faire un saut avant de rentrer á Paris. Mais vu les nombreux commentaires sur les résas, l’accueil, la bouffe... Je passerai mon tour. Merci aux clients qui partagent leurs expériences. Le Nola c’est pareil?"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Glam Mimij,il y a 4 mois,"JE NE RECOMMANDE PAS DU TOUT, si votre bute est de sortir dans un coin pour s'èclater avec vos amis …"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Kenza Zizoune,Modifié il y a 3 ans,"Très bel endroit sur Rabat;

- la réservation a été faites sur leur page instagram car le numéro affiché est …"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Kitmane,il y a 6 mois,"Pensez a changer votre hôtesse d’accueil, même si tu es la propriétaire ou tu fais partie de la famille tu dois quitter pour que vous ne perdez plus de clients, pas un seul sourire pas un excuse après nous avoir dit que notre reservation …"
Rabat,Restaurant,La Casa Emma - Lounge Restaurant,Palczewski Hugo,il y a 7 mois,"Cela faisait trois ans que je n’avais pas été dans ce restaurant, et j’avais hâte d’y retourner pour mon retour au Maroc. Quelle ne fut pas ma déception quand j’y suis retourné avec mes amis et qu’on nous a renvoyé car nous ne voulions …"
