TES,zawina morocco,morocco travel restrictions,mamounia hotel marrakech,is morocco safe,marrakech morocco,agadir morocco,marrakech hotels,morocco travel requirements,morocco trips,morocco weather,places in morocco,rabat morocco,best marrakech hotels,marrakech weather,savoy le grand hotel marrakech,agadir weather,le riad marrakech,riad marrakech pas cher,riad marrakech medina,visit morocco,morocco travel from uk,best places in morocco,morocco holidays,best time to visit morocco,morocco visa,marrakech weather in march,riad marrakech,casablanca weather,tangier morocco,morocco tour,flights to morocco,fes morocco,agadir hotels,ogx argan oil of morocco,chefchaouen morocco,agadir weather may,morocco weather in march,flight to morocco,blue city morocco,morocco country,argan oil morocco,morocco visa for indians,morocco time,agadir weather february,things to do in morocco,morocco visa requirements,casablanca hotel,morocco weather february,marrakech weather february,london to morocco,cheap flights to morocco,casablanca airport,morocco language,morocco map,hotel marrakech,air morocco,riad fes morocco,tangier flights,where is morocco,riad fes maroc,morocco travel,morocco travel advice,flights uk to morocco,kings league morocco,5 star marrakech hotels,morocco,brazil vs morocco,1 week morocco itinerary,morocco earthquake 2023,earthquake in morocco,morocco vs,france morocco,morocco vs france,marrakech weather december,usa vs morocco,rayan morocco,morocco world cup,argentina vs morocco,morocco earthquake death toll,morocco vs portugal,morocco portugal,spain morocco
444408.0,0.0,0.0,43.0,9.0,72.0,70.0,63.0,5.0,73.0,42.0,34.0,65.0,19.0,78.0,0.0,63.0,69.0,44.0,12.0,22.0,0.0,27.0,52.0,23.0,28.0,63.0,18.0,52.0,44.0,49.0,77.0,82.0,47.0,0.0,20.0,0.0,69.0,22.0,0.0,5.0,0.0,0.0,17.0,44.0,36.0,63.0,97.0,54.0,67.0,52.0,70.0,55.0,7.0,26.0,76.0,39.0,0.0,39.0,8.0,14.0,69.0,17.0,42.0,0.0,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
494208.0,0.0,23.0,43.0,16.0,18.0,15.0,60.0,40.0,22.0,9.0,35.0,31.0,38.0,13.0,0.0,14.0,16.0,28.0,16.0,26.0,16.0,29.0,11.0,24.0,30.0,0.0,21.0,51.0,39.0,35.0,24.0,26.0,50.0,0.0,20.0,0.0,6.0,24.0,0.0,4.0,6.0,0.0,26.0,23.0,40.0,19.0,84.0,40.0,3.0,19.0,67.0,45.0,7.0,11.0,24.0,21.0,0.0,49.0,10.0,0.0,68.0,15.0,75.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
624848.0,0.0,100.0,60.0,13.0,27.0,28.0,69.0,23.0,32.0,26.0,37.0,43.0,29.0,30.0,0.0,26.0,24.0,35.0,59.0,26.0,70.0,22.0,30.0,10.0,28.0,29.0,64.0,41.0,36.0,36.0,50.0,29.0,58.0,0.0,18.0,32.0,38.0,23.0,0.0,5.0,9.0,0.0,29.0,35.0,43.0,44.0,71.0,48.0,31.0,38.0,65.0,51.0,6.0,14.0,27.0,29.0,37.0,47.0,11.0,0.0,64.0,23.0,31.0,0.0,19.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
327017.0,0.0,9.0,34.0,24.0,70.0,81.0,52.0,10.0,65.0,48.0,43.0,77.0,35.0,71.0,0.0,68.0,68.0,21.0,61.0,28.0,18.0,31.0,59.0,19.0,27.0,58.0,63.0,44.0,45.0,50.0,90.0,75.0,41.0,0.0,17.0,36.0,80.0,25.0,9.0,6.0,15.0,15.0,31.0,52.0,39.0,96.0,67.0,53.0,66.0,80.0,51.0,50.0,7.0,22.0,75.0,53.0,23.0,45.0,13.0,31.0,59.0,37.0,30.0,0.0,32.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
382407.0,0.0,0.0,37.0,22.0,73.0,84.0,50.0,10.0,79.0,50.0,48.0,75.0,49.0,78.0,0.0,84.0,65.0,19.0,75.0,32.0,20.0,40.0,57.0,32.0,32.0,66.0,69.0,55.0,46.0,40.0,85.0,63.0,34.0,10.0,30.0,39.0,96.0,27.0,14.0,6.0,26.0,0.0,5.0,43.0,51.0,82.0,71.0,47.0,66.0,67.0,53.0,45.0,6.0,23.0,67.0,52.0,34.0,33.0,13.0,29.0,58.0,37.0,26.0,0.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
339974.0,0.0,0.0,46.0,25.0,85.0,100.0,57.0,0.0,100.0,59.0,51.0,83.0,52.0,100.0,0.0,100.0,69.0,21.0,100.0,36.0,23.0,42.0,56.0,33.0,34.0,100.0,100.0,47.0,47.0,42.0,100.0,81.0,42.0,14.0,34.0,39.0,100.0,29.0,33.0,7.0,41.0,0.0,6.0,35.0,56.0,79.0,60.0,38.0,100.0,90.0,57.0,49.0,7.0,24.0,68.0,57.0,0.0,44.0,14.0,28.0,66.0,22.0,21.0,0.0,44.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
340481.0,0.0,0.0,56.0,46.0,54.0,87.0,64.0,0.0,62.0,40.0,50.0,63.0,45.0,71.0,39.0,73.0,93.0,23.0,58.0,35.0,0.0,42.0,85.0,32.0,34.0,43.0,66.0,39.0,57.0,61.0,85.0,42.0,45.0,19.0,42.0,22.0,46.0,32.0,31.0,6.0,52.0,0.0,6.0,32.0,59.0,77.0,60.0,51.0,14.0,47.0,59.0,60.0,7.0,38.0,97.0,69.0,74.0,48.0,12.0,100.0,75.0,18.0,23.0,0.0,49.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
395875.0,0.0,0.0,49.0,50.0,47.0,56.0,57.0,0.0,43.0,30.0,65.0,57.0,59.0,56.0,29.0,47.0,60.0,14.0,44.0,47.0,0.0,53.0,49.0,49.0,40.0,32.0,62.0,50.0,52.0,63.0,54.0,58.0,38.0,33.0,69.0,36.0,38.0,41.0,68.0,8.0,55.0,0.0,7.0,61.0,72.0,55.0,58.0,74.0,14.0,34.0,44.0,68.0,9.0,36.0,65.0,52.0,40.0,62.0,14.0,39.0,67.0,5.0,21.0,0.0,43.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
369286.0,0.0,0.0,19.0,53.0,50.0,57.0,25.0,0.0,40.0,33.0,79.0,56.0,71.0,62.0,38.0,47.0,63.0,4.0,39.0,59.0,0.0,69.0,52.0,73.0,47.0,55.0,53.0,69.0,77.0,59.0,60.0,48.0,18.0,30.0,81.0,56.0,56.0,52.0,99.0,9.0,65.0,11.0,8.0,59.0,89.0,63.0,64.0,57.0,17.0,40.0,12.0,58.0,16.0,27.0,66.0,43.0,49.0,67.0,19.0,40.0,33.0,12.0,34.0,0.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
349581.0,0.0,0.0,20.0,57.0,57.0,56.0,27.0,0.0,52.0,29.0,68.0,57.0,79.0,64.0,42.0,44.0,61.0,0.0,64.0,58.0,0.0,63.0,47.0,70.0,48.0,61.0,66.0,64.0,63.0,35.0,56.0,54.0,21.0,64.0,85.0,53.0,59.0,50.0,96.0,8.0,59.0,22.0,9.0,0.0,83.0,36.0,58.0,4.0,12.0,41.0,18.0,25.0,11.0,24.0,64.0,41.0,41.0,37.0,15.0,32.0,89.0,12.0,22.0,0.0,36.0,6.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
