date,timestamp,values,keyword,scraped_at
Jan 2010,1262304000,"[{'query': 'amazon moroccan oil', 'value': '0', 'extracted_value': 0}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Feb 2010,1264982400,"[{'query': 'amazon moroccan oil', 'value': '21', 'extracted_value': 21}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Mar 2010,1267401600,"[{'query': 'amazon moroccan oil', 'value': '18', 'extracted_value': 18}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Apr 2010,1270080000,"[{'query': 'amazon moroccan oil', 'value': '24', 'extracted_value': 24}]",amazon moroccan oil,2025-10-07T18:32:33.919058
May 2010,1272672000,"[{'query': 'amazon moroccan oil', 'value': '0', 'extracted_value': 0}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Jun 2010,1275350400,"[{'query': 'amazon moroccan oil', 'value': '0', 'extracted_value': 0}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Jul 2010,1277942400,"[{'query': 'amazon moroccan oil', 'value': '0', 'extracted_value': 0}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Aug 2010,1280620800,"[{'query': 'amazon moroccan oil', 'value': '33', 'extracted_value': 33}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Sep 2010,1283299200,"[{'query': 'amazon moroccan oil', 'value': '39', 'extracted_value': 39}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Oct 2010,1285891200,"[{'query': 'amazon moroccan oil', 'value': '29', 'extracted_value': 29}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Nov 2010,1288569600,"[{'query': 'amazon moroccan oil', 'value': '49', 'extracted_value': 49}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Dec 2010,1291161600,"[{'query': 'amazon moroccan oil', 'value': '32', 'extracted_value': 32}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Jan 2011,1293840000,"[{'query': 'amazon moroccan oil', 'value': '55', 'extracted_value': 55}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Feb 2011,1296518400,"[{'query': 'amazon moroccan oil', 'value': '36', 'extracted_value': 36}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Mar 2011,1298937600,"[{'query': 'amazon moroccan oil', 'value': '35', 'extracted_value': 35}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Apr 2011,1301616000,"[{'query': 'amazon moroccan oil', 'value': '47', 'extracted_value': 47}]",amazon moroccan oil,2025-10-07T18:32:33.919058
May 2011,1304208000,"[{'query': 'amazon moroccan oil', 'value': '38', 'extracted_value': 38}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Jun 2011,1306886400,"[{'query': 'amazon moroccan oil', 'value': '58', 'extracted_value': 58}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Jul 2011,1309478400,"[{'query': 'amazon moroccan oil', 'value': '50', 'extracted_value': 50}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Aug 2011,1312156800,"[{'query': 'amazon moroccan oil', 'value': '59', 'extracted_value': 59}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Sep 2011,1314835200,"[{'query': 'amazon moroccan oil', 'value': '41', 'extracted_value': 41}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Oct 2011,1317427200,"[{'query': 'amazon moroccan oil', 'value': '51', 'extracted_value': 51}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Nov 2011,1320105600,"[{'query': 'amazon moroccan oil', 'value': '64', 'extracted_value': 64}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Dec 2011,1322697600,"[{'query': 'amazon moroccan oil', 'value': '57', 'extracted_value': 57}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Jan 2012,1325376000,"[{'query': 'amazon moroccan oil', 'value': '74', 'extracted_value': 74}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Feb 2012,1328054400,"[{'query': 'amazon moroccan oil', 'value': '70', 'extracted_value': 70}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Mar 2012,1330560000,"[{'query': 'amazon moroccan oil', 'value': '57', 'extracted_value': 57}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Apr 2012,1333238400,"[{'query': 'amazon moroccan oil', 'value': '69', 'extracted_value': 69}]",amazon moroccan oil,2025-10-07T18:32:33.919058
May 2012,1335830400,"[{'query': 'amazon moroccan oil', 'value': '71', 'extracted_value': 71}]",amazon moroccan oil,2025-10-07T18:32:33.919058
Jun 2012,1338508800,"[{'query': 'amazon moroccan oil', 'value': '83', 'extracted_value': 83}]",amazon moroccan oil,2025-10-07T18:32:33.919058
