date,timestamp,values,keyword,scraped_at
Jan 2010,1262304000,"[{'query': 'london marrakech flights', 'value': '98', 'extracted_value': 98}]",london marrakech flights,2025-10-07T23:00:20.668255
Feb 2010,1264982400,"[{'query': 'london marrakech flights', 'value': '95', 'extracted_value': 95}]",london marrakech flights,2025-10-07T23:00:20.668255
Mar 2010,1267401600,"[{'query': 'london marrakech flights', 'value': '100', 'extracted_value': 100}]",london marrakech flights,2025-10-07T23:00:20.668255
Apr 2010,1270080000,"[{'query': 'london marrakech flights', 'value': '91', 'extracted_value': 91}]",london marrakech flights,2025-10-07T23:00:20.668255
May 2010,1272672000,"[{'query': 'london marrakech flights', 'value': '59', 'extracted_value': 59}]",london marrakech flights,2025-10-07T23:00:20.668255
Jun 2010,1275350400,"[{'query': 'london marrakech flights', 'value': '55', 'extracted_value': 55}]",london marrakech flights,2025-10-07T23:00:20.668255
Jul 2010,1277942400,"[{'query': 'london marrakech flights', 'value': '56', 'extracted_value': 56}]",london marrakech flights,2025-10-07T23:00:20.668255
Aug 2010,1280620800,"[{'query': 'london marrakech flights', 'value': '51', 'extracted_value': 51}]",london marrakech flights,2025-10-07T23:00:20.668255
Sep 2010,1283299200,"[{'query': 'london marrakech flights', 'value': '68', 'extracted_value': 68}]",london marrakech flights,2025-10-07T23:00:20.668255
Oct 2010,1285891200,"[{'query': 'london marrakech flights', 'value': '46', 'extracted_value': 46}]",london marrakech flights,2025-10-07T23:00:20.668255
Nov 2010,1288569600,"[{'query': 'london marrakech flights', 'value': '43', 'extracted_value': 43}]",london marrakech flights,2025-10-07T23:00:20.668255
Dec 2010,1291161600,"[{'query': 'london marrakech flights', 'value': '35', 'extracted_value': 35}]",london marrakech flights,2025-10-07T23:00:20.668255
Jan 2011,1293840000,"[{'query': 'london marrakech flights', 'value': '91', 'extracted_value': 91}]",london marrakech flights,2025-10-07T23:00:20.668255
Feb 2011,1296518400,"[{'query': 'london marrakech flights', 'value': '50', 'extracted_value': 50}]",london marrakech flights,2025-10-07T23:00:20.668255
Mar 2011,1298937600,"[{'query': 'london marrakech flights', 'value': '46', 'extracted_value': 46}]",london marrakech flights,2025-10-07T23:00:20.668255
Apr 2011,1301616000,"[{'query': 'london marrakech flights', 'value': '46', 'extracted_value': 46}]",london marrakech flights,2025-10-07T23:00:20.668255
May 2011,1304208000,"[{'query': 'london marrakech flights', 'value': '33', 'extracted_value': 33}]",london marrakech flights,2025-10-07T23:00:20.668255
Jun 2011,1306886400,"[{'query': 'london marrakech flights', 'value': '33', 'extracted_value': 33}]",london marrakech flights,2025-10-07T23:00:20.668255
Jul 2011,1309478400,"[{'query': 'london marrakech flights', 'value': '56', 'extracted_value': 56}]",london marrakech flights,2025-10-07T23:00:20.668255
Aug 2011,1312156800,"[{'query': 'london marrakech flights', 'value': '62', 'extracted_value': 62}]",london marrakech flights,2025-10-07T23:00:20.668255
Sep 2011,1314835200,"[{'query': 'london marrakech flights', 'value': '51', 'extracted_value': 51}]",london marrakech flights,2025-10-07T23:00:20.668255
Oct 2011,1317427200,"[{'query': 'london marrakech flights', 'value': '45', 'extracted_value': 45}]",london marrakech flights,2025-10-07T23:00:20.668255
Nov 2011,1320105600,"[{'query': 'london marrakech flights', 'value': '22', 'extracted_value': 22}]",london marrakech flights,2025-10-07T23:00:20.668255
Dec 2011,1322697600,"[{'query': 'london marrakech flights', 'value': '37', 'extracted_value': 37}]",london marrakech flights,2025-10-07T23:00:20.668255
Jan 2012,1325376000,"[{'query': 'london marrakech flights', 'value': '64', 'extracted_value': 64}]",london marrakech flights,2025-10-07T23:00:20.668255
Feb 2012,1328054400,"[{'query': 'london marrakech flights', 'value': '71', 'extracted_value': 71}]",london marrakech flights,2025-10-07T23:00:20.668255
Mar 2012,1330560000,"[{'query': 'london marrakech flights', 'value': '55', 'extracted_value': 55}]",london marrakech flights,2025-10-07T23:00:20.668255
Apr 2012,1333238400,"[{'query': 'london marrakech flights', 'value': '86', 'extracted_value': 86}]",london marrakech flights,2025-10-07T23:00:20.668255
May 2012,1335830400,"[{'query': 'london marrakech flights', 'value': '71', 'extracted_value': 71}]",london marrakech flights,2025-10-07T23:00:20.668255
Jun 2012,1338508800,"[{'query': 'london marrakech flights', 'value': '61', 'extracted_value': 61}]",london marrakech flights,2025-10-07T23:00:20.668255
Jul 2012,1341100800,"[{'query': 'london marrakech flights', 'value': '66', 'extracted_value': 66}]",london marrakech flights,2025-10-07T23:00:20.668255
Aug 2012,1343779200,"[{'query': 'london marrakech flights', 'value': '60', 'extracted_value': 60}]",london marrakech flights,2025-10-07T23:00:20.668255
Sep 2012,1346457600,"[{'query': 'london marrakech flights', 'value': '50', 'extracted_value': 50}]",london marrakech flights,2025-10-07T23:00:20.668255
Oct 2012,1349049600,"[{'query': 'london marrakech flights', 'value': '54', 'extracted_value': 54}]",london marrakech flights,2025-10-07T23:00:20.668255
Nov 2012,1351728000,"[{'query': 'london marrakech flights', 'value': '41', 'extracted_value': 41}]",london marrakech flights,2025-10-07T23:00:20.668255
Dec 2012,1354320000,"[{'query': 'london marrakech flights', 'value': '44', 'extracted_value': 44}]",london marrakech flights,2025-10-07T23:00:20.668255
Jan 2013,1356998400,"[{'query': 'london marrakech flights', 'value': '80', 'extracted_value': 80}]",london marrakech flights,2025-10-07T23:00:20.668255
Feb 2013,1359676800,"[{'query': 'london marrakech flights', 'value': '49', 'extracted_value': 49}]",london marrakech flights,2025-10-07T23:00:20.668255
Mar 2013,1362096000,"[{'query': 'london marrakech flights', 'value': '49', 'extracted_value': 49}]",london marrakech flights,2025-10-07T23:00:20.668255
Apr 2013,1364774400,"[{'query': 'london marrakech flights', 'value': '43', 'extracted_value': 43}]",london marrakech flights,2025-10-07T23:00:20.668255
May 2013,1367366400,"[{'query': 'london marrakech flights', 'value': '42', 'extracted_value': 42}]",london marrakech flights,2025-10-07T23:00:20.668255
Jun 2013,1370044800,"[{'query': 'london marrakech flights', 'value': '46', 'extracted_value': 46}]",london marrakech flights,2025-10-07T23:00:20.668255
Jul 2013,1372636800,"[{'query': 'london marrakech flights', 'value': '37', 'extracted_value': 37}]",london marrakech flights,2025-10-07T23:00:20.668255
Aug 2013,1375315200,"[{'query': 'london marrakech flights', 'value': '40', 'extracted_value': 40}]",london marrakech flights,2025-10-07T23:00:20.668255
Sep 2013,1377993600,"[{'query': 'london marrakech flights', 'value': '36', 'extracted_value': 36}]",london marrakech flights,2025-10-07T23:00:20.668255
Oct 2013,1380585600,"[{'query': 'london marrakech flights', 'value': '30', 'extracted_value': 30}]",london marrakech flights,2025-10-07T23:00:20.668255
Nov 2013,1383264000,"[{'query': 'london marrakech flights', 'value': '33', 'extracted_value': 33}]",london marrakech flights,2025-10-07T23:00:20.668255
Dec 2013,1385856000,"[{'query': 'london marrakech flights', 'value': '32', 'extracted_value': 32}]",london marrakech flights,2025-10-07T23:00:20.668255
Jan 2014,1388534400,"[{'query': 'london marrakech flights', 'value': '62', 'extracted_value': 62}]",london marrakech flights,2025-10-07T23:00:20.668255
