date,timestamp,values,keyword,scraped_at
Jan 2010,1262304000,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Feb 2010,1264982400,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Mar 2010,1267401600,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Apr 2010,1270080000,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
May 2010,1272672000,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Jun 2010,1275350400,"[{'query': 'marrakech weather in october', 'value': '22', 'extracted_value': 22}]",marrakech weather in october,2025-10-07T23:17:16.115547
Jul 2010,1277942400,"[{'query': 'marrakech weather in october', 'value': '26', 'extracted_value': 26}]",marrakech weather in october,2025-10-07T23:17:16.115547
Aug 2010,1280620800,"[{'query': 'marrakech weather in october', 'value': '57', 'extracted_value': 57}]",marrakech weather in october,2025-10-07T23:17:16.115547
Sep 2010,1283299200,"[{'query': 'marrakech weather in october', 'value': '73', 'extracted_value': 73}]",marrakech weather in october,2025-10-07T23:17:16.115547
Oct 2010,1285891200,"[{'query': 'marrakech weather in october', 'value': '38', 'extracted_value': 38}]",marrakech weather in october,2025-10-07T23:17:16.115547
Nov 2010,1288569600,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Dec 2010,1291161600,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Jan 2011,1293840000,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Feb 2011,1296518400,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Mar 2011,1298937600,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Apr 2011,1301616000,"[{'query': 'marrakech weather in october', 'value': '18', 'extracted_value': 18}]",marrakech weather in october,2025-10-07T23:17:16.115547
May 2011,1304208000,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Jun 2011,1306886400,"[{'query': 'marrakech weather in october', 'value': '21', 'extracted_value': 21}]",marrakech weather in october,2025-10-07T23:17:16.115547
Jul 2011,1309478400,"[{'query': 'marrakech weather in october', 'value': '40', 'extracted_value': 40}]",marrakech weather in october,2025-10-07T23:17:16.115547
Aug 2011,1312156800,"[{'query': 'marrakech weather in october', 'value': '73', 'extracted_value': 73}]",marrakech weather in october,2025-10-07T23:17:16.115547
Sep 2011,1314835200,"[{'query': 'marrakech weather in october', 'value': '65', 'extracted_value': 65}]",marrakech weather in october,2025-10-07T23:17:16.115547
Oct 2011,1317427200,"[{'query': 'marrakech weather in october', 'value': '32', 'extracted_value': 32}]",marrakech weather in october,2025-10-07T23:17:16.115547
Nov 2011,1320105600,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Dec 2011,1322697600,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Jan 2012,1325376000,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Feb 2012,1328054400,"[{'query': 'marrakech weather in october', 'value': '13', 'extracted_value': 13}]",marrakech weather in october,2025-10-07T23:17:16.115547
Mar 2012,1330560000,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Apr 2012,1333238400,"[{'query': 'marrakech weather in october', 'value': '15', 'extracted_value': 15}]",marrakech weather in october,2025-10-07T23:17:16.115547
May 2012,1335830400,"[{'query': 'marrakech weather in october', 'value': '15', 'extracted_value': 15}]",marrakech weather in october,2025-10-07T23:17:16.115547
Jun 2012,1338508800,"[{'query': 'marrakech weather in october', 'value': '19', 'extracted_value': 19}]",marrakech weather in october,2025-10-07T23:17:16.115547
Jul 2012,1341100800,"[{'query': 'marrakech weather in october', 'value': '49', 'extracted_value': 49}]",marrakech weather in october,2025-10-07T23:17:16.115547
Aug 2012,1343779200,"[{'query': 'marrakech weather in october', 'value': '58', 'extracted_value': 58}]",marrakech weather in october,2025-10-07T23:17:16.115547
Sep 2012,1346457600,"[{'query': 'marrakech weather in october', 'value': '78', 'extracted_value': 78}]",marrakech weather in october,2025-10-07T23:17:16.115547
Oct 2012,1349049600,"[{'query': 'marrakech weather in october', 'value': '19', 'extracted_value': 19}]",marrakech weather in october,2025-10-07T23:17:16.115547
Nov 2012,1351728000,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Dec 2012,1354320000,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Jan 2013,1356998400,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Feb 2013,1359676800,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Mar 2013,1362096000,"[{'query': 'marrakech weather in october', 'value': '0', 'extracted_value': 0}]",marrakech weather in october,2025-10-07T23:17:16.115547
Apr 2013,1364774400,"[{'query': 'marrakech weather in october', 'value': '11', 'extracted_value': 11}]",marrakech weather in october,2025-10-07T23:17:16.115547
May 2013,1367366400,"[{'query': 'marrakech weather in october', 'value': '29', 'extracted_value': 29}]",marrakech weather in october,2025-10-07T23:17:16.115547
Jun 2013,1370044800,"[{'query': 'marrakech weather in october', 'value': '22', 'extracted_value': 22}]",marrakech weather in october,2025-10-07T23:17:16.115547
Jul 2013,1372636800,"[{'query': 'marrakech weather in october', 'value': '38', 'extracted_value': 38}]",marrakech weather in october,2025-10-07T23:17:16.115547
